start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.00163,0.079,1.0,0.118,0.336,0.083,0.035,0.448,0.064,0.036,0.725,0.13,0.091
2.63519,0.207,0.396,0.097,1.0,0.095,0.019,0.148,0.016,0.016,0.106,0.035,0.077
2.98975,0.611,1.0,0.131,0.231,0.07,0.04,0.197,0.074,0.748,0.301,0.055,0.214
3.21596,0.075,0.214,0.064,1.0,0.142,0.053,0.159,0.064,0.051,0.144,0.167,0.111
3.59859,0.149,1.0,0.228,0.199,0.139,0.121,0.244,0.08,0.144,0.208,0.247,0.237
4.42839,0.165,0.555,0.102,0.035,0.05,0.161,0.038,0.027,1.0,0.133,0.114,0.09
5.06222,0.043,0.361,0.089,1.0,0.121,0.03,0.013,0.022,0.088,0.021,0.029,0.032
5.31796,0.546,0.744,0.205,1.0,0.176,0.105,0.082,0.076,0.273,0.07,0.24,0.027
5.49655,0.611,1.0,0.256,0.42,0.141,0.122,0.023,0.016,0.288,0.062,0.205,0.013
5.67229,0.129,0.199,0.084,0.041,0.033,0.066,0.085,0.066,1.0,0.128,0.153,0.152
6.05424,0.125,1.0,0.208,0.081,0.15,0.115,0.076,0.066,0.339,0.082,0.166,0.155
6.91433,0.122,1.0,0.2,0.033,0.252,0.072,0.067,0.615,0.092,0.024,0.079,0.21
7.53587,0.1,0.265,0.092,0.044,0.099,0.019,0.017,0.076,0.021,1.0,0.051,0.135
7.87669,0.129,0.644,0.112,0.026,1.0,0.209,0.041,0.123,0.067,0.898,0.072,0.2
8.09868,0.235,0.48,0.142,0.106,0.38,0.185,0.127,0.173,0.143,1.0,0.383,0.446
8.49261,0.45,0.305,0.247,0.165,0.411,0.159,0.071,0.219,0.196,0.408,0.438,1.0
8.87238,0.228,0.186,0.216,0.29,0.394,0.247,0.215,0.501,0.253,1.0,0.655,0.809
9.26476,0.106,0.876,0.221,0.813,0.143,0.052,0.484,0.153,1.0,0.157,0.195,0.117
9.90907,0.292,0.271,0.148,0.585,0.246,0.088,0.355,0.263,1.0,0.233,0.232,0.237
10.84277,0.066,0.078,0.051,1.0,0.108,0.019,0.04,0.032,0.15,0.025,0.211,0.07
11.20363,0.061,0.058,0.091,1.0,0.066,0.015,0.033,0.039,0.135,0.022,0.206,0.075
11.5083,0.145,0.096,0.169,1.0,0.045,0.019,0.017,0.029,0.108,0.072,0.342,0.095
11.82494,0.089,0.119,0.35,1.0,0.689,0.086,0.017,0.037,0.05,0.059,0.068,0.06
12.04018,0.055,0.092,0.165,1.0,0.363,0.078,0.089,0.063,0.041,0.045,0.141,0.088
12.47546,0.039,0.229,0.152,1.0,0.16,0.03,0.029,0.042,0.015,0.032,0.422,0.077
12.77079,0.143,0.038,0.015,0.336,0.142,1.0,0.201,0.026,0.047,0.119,0.13,0.01
12.95465,0.061,0.053,0.017,0.041,0.031,0.039,1.0,0.196,0.028,0.023,0.074,0.015
13.13732,0.186,0.314,0.098,0.107,0.054,0.244,1.0,0.153,0.091,0.094,0.254,0.512
13.30939,0.153,0.072,0.053,0.064,0.044,1.0,0.219,0.016,0.034,0.12,0.083,0.263
13.49451,0.382,0.069,0.063,0.095,0.353,1.0,0.155,0.02,0.115,0.132,0.17,0.195
13.66998,0.102,0.391,0.201,0.228,0.666,1.0,0.537,0.073,0.093,0.126,0.379,0.372
14.22939,0.147,0.096,0.132,1.0,0.088,0.027,0.014,0.023,0.014,0.014,0.259,0.09
14.44299,0.261,0.872,0.381,1.0,0.339,0.057,0.095,0.046,0.103,0.131,0.552,0.085
14.57497,0.044,0.048,0.047,0.309,0.072,0.1,0.017,0.013,0.031,0.14,1.0,0.165
14.93678,0.078,0.148,0.1,0.123,0.033,0.08,0.037,0.018,0.018,0.131,1.0,0.102
15.24939,0.012,0.043,0.063,0.051,0.03,0.048,0.011,0.004,0.005,0.046,1.0,0.113
15.55714,0.203,0.168,0.086,0.075,0.054,0.077,0.062,0.051,0.136,0.249,1.0,0.242
