start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.679,0.338,0.618,0.571,0.403,0.62,0.702,1.0,0.8,0.467,0.795,0.677
0.82998,0.143,0.172,0.17,0.143,0.177,0.127,0.262,1.0,0.258,0.06,0.023,0.224
1.05066,0.417,0.251,1.0,0.101,0.054,0.05,0.308,0.789,0.136,0.092,0.04,0.191
1.37016,0.43,0.333,1.0,0.143,0.066,0.114,0.141,0.745,0.199,0.144,0.065,0.254
1.66748,0.39,0.682,1.0,0.465,0.205,0.248,0.327,0.59,0.22,0.198,0.219,0.276
1.77129,0.097,0.19,0.571,0.11,0.096,0.12,0.474,1.0,0.314,0.302,0.054,0.087
1.93873,0.048,0.048,0.168,0.044,0.019,0.022,0.315,1.0,0.155,0.044,0.02,0.098
2.20431,0.026,0.03,0.149,0.036,0.012,0.023,0.079,1.0,0.223,0.039,0.042,0.065
2.60948,0.149,0.213,0.397,0.122,0.071,0.068,0.165,1.0,0.288,0.18,0.177,0.061
2.77447,0.048,0.045,0.109,0.026,0.006,0.013,0.141,1.0,0.119,0.021,0.01,0.046
3.08898,0.007,0.007,0.05,0.009,0.005,0.009,0.04,1.0,0.045,0.019,0.017,0.035
3.91927,0.089,0.215,0.12,0.073,0.503,0.508,0.991,1.0,0.622,0.633,0.085,0.064
3.99519,0.015,0.016,0.118,0.018,0.006,0.015,0.06,1.0,0.103,0.023,0.018,0.038
4.47937,0.34,0.768,1.0,0.466,0.089,0.067,0.401,0.954,0.432,0.211,0.084,0.182
4.58113,0.065,0.076,0.122,0.03,0.007,0.018,0.359,1.0,0.279,0.027,0.011,0.049
4.80073,0.099,0.107,0.585,0.109,0.055,0.068,0.303,1.0,0.236,0.077,0.077,0.173
5.19492,0.024,0.088,0.441,0.115,0.012,0.025,0.342,1.0,0.345,0.066,0.022,0.054
5.38249,0.039,0.073,0.199,0.069,0.074,0.081,0.128,1.0,0.2,0.09,0.049,0.07
6.29868,0.486,0.263,0.207,0.061,0.431,0.956,0.166,0.429,0.15,1.0,0.235,0.195
6.5307,0.379,0.422,0.19,0.183,0.315,0.861,0.751,0.654,0.948,1.0,0.468,0.109
6.61796,0.525,0.312,0.213,0.198,0.411,0.946,0.851,0.72,0.975,1.0,0.697,0.092
6.68086,0.553,0.311,0.072,0.088,0.48,0.846,0.399,0.282,0.177,1.0,0.389,0.034
6.83782,0.829,0.416,0.083,0.095,0.527,1.0,0.337,0.32,0.268,0.809,0.388,0.085
7.00082,0.368,0.218,0.021,0.028,0.279,0.38,0.097,0.122,0.336,1.0,0.209,0.055
