start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.998,0.356,0.18,0.117,0.104,0.076,0.061,0.119,0.178,0.204,0.535
0.23524,1.0,0.94,0.033,0.029,0.009,0.026,0.02,0.003,0.005,0.014,0.019,0.034
0.5415,0.288,1.0,0.564,0.175,0.05,0.045,0.092,0.307,0.085,0.062,0.305,0.508
1.62023,0.349,0.215,0.395,0.165,0.032,0.029,0.185,0.273,0.13,0.124,0.438,1.0
2.15034,0.201,0.256,0.483,0.252,0.088,0.088,0.121,0.289,0.172,0.172,0.521,1.0
2.93696,1.0,0.519,0.905,0.278,0.173,0.143,0.087,0.088,0.141,0.116,0.268,0.359
3.72395,1.0,0.845,0.316,0.193,0.016,0.004,0.008,0.005,0.01,0.076,0.016,0.07
4.0512,0.793,0.725,1.0,0.752,0.303,0.043,0.016,0.006,0.02,0.104,0.028,0.289
4.27465,1.0,0.927,0.372,0.355,0.136,0.018,0.019,0.005,0.016,0.135,0.037,0.053
4.53986,1.0,0.91,0.461,0.152,0.128,0.13,0.109,0.106,0.193,0.268,0.515,0.009
4.72041,0.25,0.228,1.0,0.659,0.146,0.067,0.035,0.029,0.058,0.104,0.092,0.103
5.51964,0.879,1.0,0.753,0.656,0.2,0.023,0.019,0.01,0.015,0.077,0.015,0.11
5.81741,0.926,1.0,0.744,0.508,0.193,0.197,0.056,0.051,0.045,0.097,0.214,0.003
5.9981,1.0,0.69,0.418,0.328,0.21,0.214,0.203,0.197,0.198,0.259,0.356,0.003
6.12444,1.0,0.542,0.719,0.644,0.166,0.026,0.013,0.014,0.015,0.157,0.044,0.057
6.41882,0.357,0.21,1.0,0.394,0.163,0.104,0.086,0.013,0.057,0.18,0.044,0.036
6.88358,1.0,0.99,0.115,0.044,0.03,0.017,0.018,0.004,0.003,0.009,0.007,0.042
7.13556,1.0,0.607,0.501,0.404,0.239,0.242,0.35,0.352,0.142,0.153,0.102,0.045
7.27841,0.297,1.0,0.154,0.089,0.046,0.026,0.028,0.002,0.007,0.03,0.024,0.3
7.59556,0.434,1.0,0.433,0.127,0.038,0.025,0.023,0.003,0.011,0.053,0.016,0.285
7.95224,1.0,0.838,0.605,0.376,0.134,0.02,0.025,0.006,0.01,0.1,0.046,0.499
