start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.922,0.25,0.217,0.208,0.212,0.178,0.147,0.113,0.097,0.094,0.266
0.3654,1.0,0.527,0.418,0.416,0.127,0.094,0.204,0.21,0.259,0.34,0.147,0.012
0.52422,0.016,0.011,1.0,0.025,0.016,0.01,0.056,0.005,0.005,0.059,0.01,0.006
3.16961,0.112,0.555,1.0,0.175,0.012,0.021,0.114,0.016,0.007,0.2,0.015,0.005
3.34349,0.018,0.09,1.0,0.072,0.003,0.003,0.012,0.001,0.001,0.018,0.001,0.003
3.61542,0.011,0.026,0.321,0.035,0.069,0.02,0.051,1.0,0.065,0.01,0.009,0.017
3.91143,1.0,0.048,0.069,0.012,0.039,0.005,0.006,0.376,0.026,0.007,0.027,0.062
4.19828,0.126,0.125,1.0,0.19,0.031,0.012,0.025,0.394,0.037,0.034,0.018,0.075
4.45741,0.121,0.018,0.624,0.058,0.021,0.009,0.042,0.018,0.006,0.023,0.011,1.0
5.80476,0.055,0.072,1.0,0.139,0.05,0.018,0.03,0.015,0.014,0.056,0.03,0.53
7.48694,0.939,0.494,0.138,0.116,0.169,0.172,0.236,0.15,0.107,0.202,0.054,1.0
7.7854,0.036,0.035,1.0,0.056,0.03,0.012,0.134,0.006,0.006,0.139,0.011,0.012
8.83061,0.018,0.018,1.0,0.034,0.019,0.015,0.159,0.008,0.005,0.036,0.004,0.008
9.59596,0.076,0.622,1.0,0.392,0.069,0.091,0.246,0.015,0.02,0.173,0.032,0.031
9.69746,0.059,0.084,0.458,0.207,1.0,0.253,0.059,0.013,0.021,0.019,0.025,0.081
9.9151,0.094,0.135,1.0,0.302,0.068,0.022,0.046,0.005,0.004,0.039,0.027,0.065
10.11873,0.033,0.128,1.0,0.121,0.079,0.449,0.049,0.005,0.004,0.038,0.008,0.019
10.32639,0.021,0.033,1.0,0.041,0.142,0.197,0.034,0.005,0.006,0.058,0.006,0.021
10.87533,0.016,0.026,1.0,0.112,0.039,0.039,0.025,0.004,0.003,0.035,0.012,0.028
11.4302,0.308,1.0,0.313,0.317,0.089,0.068,0.071,0.024,0.012,0.015,0.044,0.074
11.50508,0.395,0.253,1.0,0.067,0.042,0.016,0.02,0.03,0.005,0.013,0.016,0.042
11.66172,0.042,0.031,1.0,0.051,0.039,0.009,0.019,0.007,0.007,0.013,0.014,0.64
12.9785,0.074,0.045,0.811,0.073,0.099,0.033,0.031,0.01,0.02,0.026,0.018,1.0
13.47941,0.015,0.014,1.0,0.038,0.028,0.012,0.102,0.006,0.003,0.07,0.005,0.009
14.62576,0.107,0.132,1.0,0.248,0.056,0.025,0.15,0.006,0.004,0.018,0.039,0.086
14.8493,0.981,0.059,1.0,0.063,0.031,0.015,0.106,0.036,0.009,0.033,0.011,0.038
15.30803,0.414,0.177,1.0,0.173,0.036,0.028,0.083,0.021,0.007,0.041,0.049,0.075
15.50508,0.222,0.038,0.75,0.056,0.069,0.031,0.071,0.019,0.037,0.273,0.1,1.0
16.28422,0.041,0.034,1.0,0.034,0.03,0.016,0.028,0.008,0.01,0.608,0.037,0.08
17.26703,0.03,0.08,0.433,0.121,0.078,0.081,0.076,0.028,0.015,1.0,0.036,0.064
17.9268,0.161,0.101,0.265,0.135,0.125,0.111,0.083,0.067,0.057,1.0,0.072,0.06
18.37401,0.015,0.023,1.0,0.05,0.031,0.012,0.064,0.003,0.002,0.078,0.006,0.008
19.41964,0.014,0.042,1.0,0.073,0.05,0.023,0.078,0.801,0.053,0.046,0.012,0.031
19.8585,0.032,0.069,1.0,0.05,0.05,0.041,0.135,0.104,0.03,0.83,0.036,0.023
20.55515,0.068,0.095,1.0,0.038,0.022,0.013,0.075,0.037,0.027,0.265,0.014,0.01
20.87927,0.054,0.031,0.38,0.043,0.08,0.039,0.119,1.0,0.084,0.089,0.031,0.055
21.18213,0.018,0.073,0.285,0.02,0.07,0.022,0.025,0.028,0.037,1.0,0.049,0.022
21.59533,0.033,0.032,0.345,0.014,0.022,0.007,0.017,0.009,0.032,1.0,0.03,0.008
21.92512,0.07,0.089,0.356,0.082,0.21,0.161,0.182,1.0,0.445,0.661,0.413,0.165
22.62082,0.079,0.455,1.0,0.124,0.061,0.051,0.087,0.217,0.125,0.671,0.234,0.046
22.7854,0.011,0.03,0.356,0.048,0.147,0.04,0.046,1.0,0.066,0.15,0.015,0.021
23.12172,0.102,0.088,0.417,0.055,0.101,0.053,0.212,1.0,0.277,0.433,0.058,0.073
23.42005,0.07,0.134,0.8,0.107,0.22,0.087,0.069,0.162,0.09,1.0,0.102,0.078
23.80073,0.094,0.061,1.0,0.038,0.079,0.048,0.034,0.868,0.067,0.673,0.04,0.023
24.33959,0.371,1.0,0.94,0.388,0.097,0.073,0.092,0.125,0.271,0.913,0.306,0.026
24.45034,0.104,0.046,0.214,0.06,0.031,0.018,0.023,0.017,0.036,0.137,0.355,1.0
24.7122,0.05,0.063,0.251,0.051,0.094,0.019,0.029,1.0,0.091,0.091,0.02,0.171
24.95556,0.027,0.054,0.165,0.045,0.167,0.054,1.0,0.125,0.009,0.031,0.025,0.093
25.23084,0.039,0.102,0.227,0.044,0.029,0.055,1.0,0.396,0.03,0.072,0.019,0.058
25.44009,0.012,0.024,0.307,0.02,0.072,0.05,1.0,0.177,0.037,0.055,0.012,0.015
26.26059,0.206,0.594,0.393,0.171,0.118,0.659,1.0,0.233,0.111,0.176,0.111,0.018
26.35977,0.026,0.191,1.0,0.125,0.045,0.03,0.069,0.027,0.009,0.031,0.007,0.019
26.57964,0.018,0.062,1.0,0.128,0.05,0.008,0.033,0.004,0.003,0.027,0.007,0.012
26.86109,0.04,0.309,1.0,0.184,0.113,0.026,0.04,0.006,0.006,0.03,0.018,0.025
27.02281,0.086,0.133,0.55,0.175,0.56,0.167,1.0,0.132,0.007,0.017,0.026,0.033
27.23673,0.049,0.072,0.597,0.094,1.0,0.207,0.08,0.019,0.034,0.036,0.01,0.043
27.95256,0.002,0.001,0.011,0.004,1.0,0.031,0.002,0.001,0.001,0.001,0.001,0.007
28.578,0.004,0.004,0.044,0.004,1.0,0.043,0.003,0.003,0.004,0.004,0.003,0.01
29.29565,0.007,0.011,0.047,0.006,1.0,0.055,0.005,0.003,0.003,0.003,0.001,0.006
29.79678,0.004,0.002,0.006,0.007,1.0,0.097,0.002,0.001,0.003,0.001,0.001,0.014
30.92372,0.038,0.022,0.013,0.101,1.0,0.199,0.203,0.018,0.01,0.006,0.007,0.019
31.18299,0.017,0.008,0.013,0.02,1.0,0.052,0.009,0.006,0.009,0.002,0.001,0.027
31.5381,0.003,0.002,0.004,0.008,1.0,0.052,0.002,0.001,0.003,0.001,0.0,0.009
31.96676,0.002,0.001,0.002,0.006,1.0,0.077,0.002,0.001,0.002,0.001,0.0,0.006
32.41946,0.003,0.002,0.002,0.009,1.0,0.112,0.006,0.001,0.002,0.001,0.001,0.008
32.81057,0.009,0.005,0.017,0.085,1.0,0.046,0.016,0.004,0.001,0.003,0.001,0.014
33.07596,1.0,0.027,0.124,0.132,0.268,0.091,0.057,0.099,0.011,0.01,0.01,0.03
33.70635,1.0,0.016,0.017,0.005,0.04,0.021,0.005,0.02,0.002,0.002,0.004,0.016
34.3493,1.0,0.101,0.013,0.002,0.016,0.005,0.004,0.028,0.003,0.002,0.001,0.033
34.65392,1.0,0.471,0.013,0.012,0.009,0.009,0.017,0.024,0.019,0.015,0.204,0.084
34.74236,1.0,0.251,0.071,0.053,0.074,0.025,0.026,0.126,0.037,0.023,0.03,0.191
34.94612,1.0,0.251,0.066,0.065,0.106,0.04,0.041,0.155,0.035,0.018,0.025,0.178
35.19442,1.0,0.179,0.92,0.219,0.072,0.021,0.073,0.126,0.011,0.184,0.035,0.203
35.38209,0.053,0.011,0.027,0.034,1.0,0.473,0.008,0.003,0.027,0.009,0.005,0.037
35.5634,0.055,0.021,0.044,0.03,0.149,0.142,1.0,0.13,0.008,0.015,0.012,0.022
35.76463,0.054,0.013,0.09,0.022,0.375,0.037,1.0,0.995,0.116,0.067,0.029,0.024
36.09805,0.024,0.016,0.103,0.019,0.577,0.07,1.0,0.649,0.059,0.128,0.014,0.019
37.46254,0.008,0.007,0.017,0.003,0.05,0.026,0.015,0.005,0.008,0.306,1.0,0.229
38.45061,0.019,0.012,0.036,0.006,0.13,0.021,0.016,0.012,0.028,1.0,0.155,0.038
38.83683,0.073,0.047,0.076,0.024,0.125,0.02,0.014,0.005,0.074,1.0,0.184,0.054
39.03302,0.018,0.026,0.122,0.032,0.104,0.016,0.011,0.008,0.054,1.0,0.149,0.047
