start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.99,1.0,0.672,0.687,0.881,0.87,0.966,0.968,0.927,0.925,0.77,0.031
0.11351,0.007,0.019,1.0,0.149,0.007,0.003,0.002,0.002,0.002,0.061,0.011,0.003
0.55256,0.005,0.019,1.0,0.164,0.006,0.003,0.002,0.002,0.003,0.114,0.015,0.004
0.95256,0.098,0.08,0.502,0.088,0.083,0.078,0.554,0.081,0.095,1.0,0.183,0.618
2.69302,0.071,0.015,0.086,0.01,0.006,0.012,0.109,0.011,0.007,0.027,0.028,1.0
3.55224,0.018,0.12,0.032,0.01,0.13,0.015,0.055,0.016,0.028,1.0,0.049,0.068
4.34943,0.007,0.072,0.016,0.004,0.071,0.005,0.019,0.008,0.024,1.0,0.034,0.019
4.83465,0.018,0.626,0.064,0.014,0.797,0.044,0.107,0.029,0.053,1.0,0.063,0.065
5.28902,0.051,0.072,0.6,0.029,0.087,0.01,0.043,1.0,0.062,0.108,0.015,0.435
5.73043,0.144,0.079,1.0,0.087,0.118,0.128,0.295,0.791,0.257,0.112,0.06,0.694
6.15197,0.091,0.047,0.648,0.027,0.036,0.029,0.145,1.0,0.061,0.068,0.04,0.661
6.96077,0.03,0.084,1.0,0.139,0.015,0.021,0.374,0.057,0.02,0.126,0.026,0.108
7.59429,0.01,0.06,1.0,0.184,0.008,0.059,0.173,0.049,0.005,0.062,0.009,0.047
7.80036,0.006,0.02,0.641,0.086,0.027,0.028,0.175,0.02,0.01,1.0,0.046,0.036
8.12694,0.013,0.08,0.691,0.182,0.046,0.009,0.012,0.009,0.125,1.0,0.321,0.035
8.24154,0.028,0.068,1.0,0.097,0.036,0.094,0.941,0.085,0.026,0.912,0.061,0.038
8.63306,0.081,0.025,0.385,0.039,0.019,0.026,0.477,0.04,0.008,0.111,0.039,1.0
9.55433,0.054,0.026,0.178,0.019,0.01,0.013,0.348,0.023,0.008,0.042,0.043,1.0
10.39692,0.006,0.022,0.019,0.006,0.146,0.012,0.053,0.01,0.02,1.0,0.031,0.033
11.2434,0.003,0.025,0.015,0.006,0.112,0.009,0.027,0.01,0.029,1.0,0.061,0.013
11.69143,0.12,0.628,0.118,0.024,0.782,0.145,0.191,0.081,0.104,1.0,0.109,0.129
12.138,0.015,0.05,0.461,0.02,0.043,0.013,0.048,1.0,0.063,0.065,0.011,0.117
12.55102,0.019,0.036,0.722,0.02,0.046,0.016,0.025,1.0,0.022,0.045,0.012,0.156
13.83297,0.02,0.045,1.0,0.119,0.017,0.008,0.04,0.027,0.01,0.095,0.026,0.023
14.64454,0.056,0.063,0.484,0.083,0.058,0.054,0.426,0.061,0.087,1.0,0.138,0.199
16.00567,0.15,0.03,0.374,0.051,0.041,0.007,0.519,0.056,0.01,0.082,0.022,1.0
16.29528,1.0,0.142,0.346,0.054,0.067,0.02,0.275,0.059,0.072,0.167,0.539,0.902
16.38703,0.064,0.013,0.082,0.011,0.01,0.012,0.109,0.014,0.007,0.026,0.025,1.0
