start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.054,0.295,0.056,0.067,0.039,0.348,0.061,0.105,1.0,0.047,0.018,0.018
0.95107,0.144,1.0,0.077,0.054,0.069,0.445,0.066,0.078,0.757,0.09,0.072,0.039
1.34082,0.406,1.0,0.33,0.094,0.123,0.877,0.143,0.202,0.537,0.115,0.094,0.022
1.46712,0.631,1.0,0.273,0.089,0.085,0.53,0.12,0.168,0.601,0.112,0.194,0.078
1.61401,0.149,0.753,0.104,0.047,0.05,0.413,0.054,0.056,1.0,0.049,0.033,0.055
1.90367,0.077,1.0,0.061,0.037,0.052,0.079,0.041,0.069,0.292,0.032,0.027,0.014
2.0673,0.08,1.0,0.039,0.033,0.032,0.129,0.029,0.032,0.225,0.053,0.031,0.023
2.53102,0.172,1.0,0.105,0.096,0.075,0.426,0.074,0.085,0.697,0.163,0.087,0.086
3.02485,0.166,1.0,0.074,0.049,0.025,0.262,0.044,0.057,0.933,0.064,0.02,0.035
3.34508,0.175,0.942,0.089,0.069,0.078,0.211,0.121,0.224,1.0,0.182,0.061,0.024
3.51079,0.174,1.0,0.097,0.33,0.159,0.328,0.226,0.174,0.776,0.105,0.118,0.109
3.98249,0.215,1.0,0.199,0.303,0.075,0.506,0.102,0.06,0.551,0.091,0.106,0.083
4.30698,0.245,0.599,0.183,0.174,0.103,0.271,0.08,0.348,1.0,0.154,0.061,0.024
4.42966,0.115,0.855,0.083,0.157,0.067,0.151,0.056,0.09,1.0,0.077,0.046,0.064
4.84209,0.29,1.0,0.138,0.215,0.135,0.221,0.153,0.154,0.677,0.125,0.084,0.205
5.06639,0.201,0.445,0.099,0.092,0.032,0.797,0.046,0.057,1.0,0.05,0.111,0.093
5.34676,0.124,0.396,0.11,0.15,0.096,1.0,0.073,0.098,0.688,0.099,0.13,0.057
5.54376,0.078,0.174,0.047,0.059,0.165,1.0,0.148,0.079,0.214,0.034,0.074,0.037
5.95537,0.149,0.728,0.083,0.053,0.073,1.0,0.108,0.071,0.424,0.044,0.043,0.039
6.1995,0.153,0.616,0.109,0.098,0.093,1.0,0.069,0.105,0.965,0.107,0.076,0.054
6.64027,0.278,0.679,0.078,0.051,0.053,0.463,0.081,0.123,1.0,0.101,0.054,0.081
6.83828,0.141,0.637,0.106,0.064,0.087,0.647,0.063,0.106,1.0,0.04,0.039,0.031
7.04517,0.242,1.0,0.162,0.123,0.119,0.969,0.076,0.112,0.886,0.127,0.04,0.129
7.28376,0.104,0.518,0.043,0.062,0.043,0.823,0.062,0.076,1.0,0.054,0.037,0.031
7.52485,0.112,1.0,0.088,0.062,0.063,0.274,0.054,0.06,0.532,0.055,0.047,0.055
8.34934,0.196,0.867,0.118,0.051,0.05,0.502,0.046,0.121,1.0,0.069,0.037,0.068
8.54467,0.137,0.643,0.133,0.156,0.11,0.802,0.081,0.108,1.0,0.131,0.189,0.09
10.17687,0.219,0.679,0.098,0.101,0.081,0.97,0.129,0.098,1.0,0.029,0.022,0.041
10.40422,0.268,0.509,0.039,0.058,0.051,0.542,0.063,0.119,1.0,0.054,0.044,0.028
10.87841,0.611,1.0,0.403,0.406,0.292,0.397,0.328,0.325,0.449,0.331,0.107,0.086
10.97116,0.27,0.31,0.073,0.246,0.058,0.435,0.069,0.181,1.0,0.063,0.057,0.063
12.66059,0.188,0.26,0.065,0.079,0.037,0.344,0.043,0.113,1.0,0.063,0.049,0.065
13.02676,0.186,0.514,0.062,0.09,0.072,0.174,0.093,0.262,1.0,0.131,0.033,0.055
13.1834,0.573,1.0,0.143,0.161,0.142,0.264,0.2,0.225,0.57,0.182,0.066,0.13
13.32853,0.335,1.0,0.138,0.24,0.099,0.745,0.138,0.132,0.45,0.087,0.045,0.119
13.5902,0.33,0.431,0.147,0.127,0.094,0.706,0.11,0.087,1.0,0.079,0.083,0.093
13.89669,0.234,0.813,0.18,0.119,0.077,0.608,0.108,0.155,1.0,0.091,0.019,0.02
14.08721,0.521,1.0,0.084,0.137,0.078,0.869,0.141,0.194,0.648,0.133,0.068,0.212
14.44834,0.53,1.0,0.161,0.172,0.13,0.996,0.155,0.188,0.797,0.269,0.193,0.28
14.80295,0.421,0.996,0.103,0.103,0.152,1.0,0.224,0.178,0.49,0.083,0.04,0.063
14.98317,0.215,0.508,0.069,0.105,0.126,0.556,0.062,0.137,1.0,0.112,0.062,0.07
15.3834,0.651,1.0,0.331,0.459,0.441,0.901,0.171,0.278,0.86,0.259,0.097,0.248
15.95887,0.207,0.479,0.115,0.197,0.079,0.768,0.097,0.113,1.0,0.088,0.112,0.071
16.65361,0.047,0.104,0.079,0.062,0.04,0.259,0.089,0.229,1.0,0.085,0.163,0.026
17.15937,0.255,0.348,0.145,0.164,0.104,1.0,0.132,0.154,0.722,0.112,0.241,0.056
17.54912,0.284,0.468,0.182,0.169,0.093,1.0,0.088,0.089,0.758,0.109,0.531,0.092
18.15152,0.13,1.0,0.071,0.05,0.061,0.393,0.048,0.069,0.223,0.052,0.118,0.051
18.98444,0.156,0.594,0.045,0.049,0.038,1.0,0.079,0.059,0.956,0.04,0.138,0.034
19.32667,0.819,1.0,0.227,0.247,0.233,0.81,0.182,0.199,0.601,0.147,0.089,0.073
19.43628,0.595,1.0,0.166,0.747,0.163,0.856,0.176,0.31,0.883,0.163,0.315,0.097
19.99574,0.334,0.977,0.409,0.32,0.21,0.931,1.0,0.311,0.709,0.227,0.118,0.084
20.17238,0.161,0.331,0.111,0.241,0.072,1.0,0.161,0.068,0.407,0.094,0.041,0.053
