start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.005,0.004,0.002,0.001,0.006,0.008,0.002,0.002,0.014,1.0,0.019,0.004
0.19134,0.003,0.005,0.002,0.001,0.013,0.005,0.002,0.001,0.014,1.0,0.036,0.003
0.32984,0.002,0.002,0.001,0.001,0.008,0.002,0.001,0.001,0.014,1.0,0.032,0.001
0.47079,0.001,0.001,0.0,0.002,0.007,0.001,0.001,0.001,0.003,1.0,0.004,0.001
0.83637,0.001,0.003,0.001,0.003,0.015,0.001,0.001,0.002,0.002,1.0,0.013,0.002
1.358,0.001,0.002,0.001,0.003,0.013,0.002,0.002,0.002,0.003,1.0,0.009,0.003
1.8171,0.001,0.002,0.002,0.003,0.012,0.001,0.001,0.003,0.003,1.0,0.016,0.003
2.85628,0.003,0.002,0.001,0.003,0.009,0.001,0.002,0.002,0.021,1.0,0.034,0.002
2.99052,0.002,0.004,0.002,0.003,0.012,0.002,0.002,0.002,0.003,1.0,0.018,0.003
4.16857,0.002,0.03,0.002,0.003,0.013,0.002,0.002,0.002,0.003,1.0,0.018,0.004
5.32848,0.003,0.099,0.003,0.004,0.014,0.003,0.002,0.002,0.005,1.0,0.019,0.004
6.50649,0.002,0.204,0.004,0.005,0.016,0.004,0.003,0.003,0.005,1.0,0.019,0.005
7.68005,0.005,0.334,0.011,0.003,0.012,0.003,0.003,0.003,0.019,1.0,0.026,0.003
7.83692,0.002,0.243,0.005,0.005,0.016,0.003,0.002,0.003,0.006,1.0,0.015,0.004
8.4171,0.006,0.463,0.006,0.007,0.013,0.006,0.004,0.004,0.008,1.0,0.02,0.006
8.83483,0.016,0.676,0.013,0.007,0.014,0.008,0.004,0.003,0.023,1.0,0.018,0.006
9.02168,0.007,0.344,0.011,0.006,0.01,0.002,0.002,0.002,0.015,1.0,0.053,0.003
9.15528,0.008,0.556,0.006,0.006,0.012,0.004,0.003,0.002,0.008,1.0,0.017,0.004
9.39143,0.007,1.0,0.005,0.006,0.015,0.006,0.003,0.003,0.009,0.953,0.017,0.007
10.08322,0.016,0.315,0.014,0.008,0.016,0.004,0.002,0.003,0.027,1.0,0.057,0.007
10.19959,0.006,0.479,0.006,0.006,0.011,0.004,0.003,0.002,0.006,1.0,0.008,0.005
10.56467,0.006,0.82,0.009,0.009,0.016,0.008,0.005,0.007,0.01,1.0,0.026,0.011
11.37764,0.007,0.318,0.008,0.012,0.02,0.005,0.003,0.005,0.007,1.0,0.018,0.007
11.91746,0.005,0.392,0.006,0.011,0.014,0.004,0.003,0.006,0.012,1.0,0.016,0.005
12.27846,0.056,1.0,0.039,0.011,0.01,0.004,0.003,0.003,0.048,0.763,0.052,0.006
12.37628,0.021,1.0,0.015,0.01,0.014,0.008,0.004,0.002,0.016,0.748,0.019,0.008
12.56249,0.018,0.342,0.009,0.011,0.011,0.004,0.002,0.003,0.019,1.0,0.062,0.005
12.68522,0.008,0.753,0.008,0.013,0.02,0.005,0.004,0.004,0.008,1.0,0.024,0.01
13.102,0.007,1.0,0.008,0.01,0.012,0.004,0.005,0.007,0.01,0.676,0.015,0.013
13.74041,0.009,0.68,0.008,0.012,0.022,0.005,0.004,0.005,0.01,1.0,0.023,0.012
14.28689,0.009,1.0,0.008,0.011,0.013,0.007,0.007,0.009,0.011,0.727,0.02,0.016
14.91887,0.009,0.673,0.007,0.013,0.037,0.006,0.005,0.007,0.011,1.0,0.023,0.018
15.45365,0.01,1.0,0.011,0.012,0.049,0.007,0.005,0.007,0.011,0.667,0.017,0.028
16.14435,0.009,0.68,0.008,0.012,0.127,0.007,0.006,0.006,0.011,1.0,0.026,0.023
16.53882,0.014,0.535,0.011,0.014,0.125,0.005,0.005,0.006,0.015,1.0,0.029,0.029
16.73587,0.026,1.0,0.013,0.012,0.163,0.006,0.01,0.007,0.025,0.954,0.023,0.022
16.94553,0.032,1.0,0.028,0.01,0.069,0.003,0.003,0.003,0.02,0.544,0.025,0.027
17.0668,0.012,0.573,0.011,0.016,0.13,0.012,0.007,0.008,0.012,1.0,0.03,0.027
17.47206,0.016,0.584,0.007,0.018,0.177,0.005,0.008,0.005,0.009,1.0,0.025,0.034
17.75778,0.014,0.935,0.006,0.012,0.121,0.005,0.005,0.007,0.013,1.0,0.017,0.027
18.12834,0.038,1.0,0.031,0.013,0.202,0.006,0.004,0.003,0.023,0.519,0.024,0.024
18.24426,0.014,0.962,0.018,0.017,0.29,0.013,0.005,0.007,0.012,1.0,0.023,0.031
18.52317,0.012,0.613,0.014,0.011,0.266,0.005,0.01,0.011,0.017,1.0,0.025,0.02
18.69796,0.02,0.497,0.012,0.013,0.269,0.006,0.005,0.008,0.012,1.0,0.033,0.053
18.92431,0.015,0.916,0.011,0.012,0.172,0.008,0.009,0.012,0.017,1.0,0.036,0.028
19.301,0.023,1.0,0.013,0.008,0.286,0.007,0.01,0.007,0.01,0.5,0.013,0.042
19.62095,0.017,0.493,0.008,0.014,0.456,0.007,0.008,0.011,0.017,1.0,0.039,0.028
19.77846,0.015,0.583,0.011,0.016,0.133,0.013,0.011,0.011,0.016,1.0,0.041,0.083
20.16009,0.02,0.882,0.014,0.011,0.159,0.013,0.013,0.006,0.02,1.0,0.028,0.041
20.37492,0.03,1.0,0.017,0.017,0.488,0.01,0.011,0.015,0.024,0.719,0.027,0.105
20.60689,0.028,1.0,0.027,0.022,0.629,0.018,0.021,0.02,0.028,0.775,0.036,0.079
20.81116,0.02,0.595,0.015,0.018,0.751,0.015,0.01,0.017,0.015,1.0,0.023,0.063
21.07887,0.026,0.494,0.017,0.015,0.355,0.015,0.012,0.012,0.022,1.0,0.041,0.108
21.25102,0.029,0.423,0.025,0.022,0.585,0.019,0.009,0.009,0.031,1.0,0.066,0.063
21.36857,0.023,0.974,0.016,0.013,0.378,0.014,0.01,0.009,0.025,1.0,0.035,0.096
