start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.967,1.0,0.961,0.41,0.123,0.162,0.283,0.175,0.073,0.186,0.154,0.814
0.34853,0.13,0.114,0.307,0.223,0.299,0.389,1.0,0.518,0.394,0.24,0.107,0.088
0.52816,0.064,0.307,0.988,0.195,0.064,0.073,0.212,0.143,0.145,1.0,0.694,0.093
0.69655,0.079,0.234,1.0,0.472,0.085,0.085,0.162,0.128,0.113,0.451,0.378,0.092
0.86494,0.978,1.0,0.062,0.038,0.071,0.069,0.166,0.162,0.397,0.409,0.733,0.019
1.03909,0.172,0.472,1.0,0.329,0.22,0.259,0.709,0.413,0.297,0.544,0.258,0.15
1.38163,0.968,1.0,0.936,0.359,0.106,0.138,0.257,0.18,0.081,0.261,0.197,0.813
1.71265,0.227,0.328,1.0,0.38,0.335,0.419,1.0,0.539,0.407,0.556,0.521,0.28
2.05501,0.063,0.313,1.0,0.374,0.082,0.083,0.114,0.093,0.089,0.249,0.148,0.087
2.20617,0.913,1.0,0.925,0.553,0.312,0.306,0.396,0.284,0.146,0.151,0.127,0.78
2.40907,0.213,0.46,1.0,0.345,0.258,0.273,0.746,0.428,0.312,0.597,0.494,0.261
2.74549,0.898,1.0,0.98,0.355,0.109,0.152,0.285,0.195,0.079,0.19,0.187,0.758
3.09374,0.121,0.414,1.0,0.31,0.223,0.268,0.679,0.383,0.253,0.384,0.373,0.166
3.42508,0.063,0.285,1.0,0.414,0.06,0.07,0.14,0.098,0.098,0.34,0.269,0.087
3.59918,0.956,1.0,0.062,0.04,0.068,0.062,0.141,0.136,0.366,0.373,0.694,0.027
3.77878,0.154,0.516,1.0,0.311,0.252,0.297,0.734,0.376,0.327,0.73,0.425,0.145
4.12118,0.955,0.998,1.0,0.376,0.11,0.153,0.282,0.172,0.052,0.217,0.199,0.807
4.46372,0.12,0.104,0.273,0.208,0.279,0.362,1.0,0.503,0.376,0.229,0.09,0.078
4.64395,0.059,0.19,0.982,0.184,0.054,0.062,0.138,0.092,0.096,1.0,0.895,0.074
