start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.941,0.625,0.65,0.508,0.684,0.759,0.482,0.895,0.861,0.661,0.952
1.18522,0.359,0.426,0.721,1.0,0.621,0.505,0.559,0.863,0.813,0.822,0.511,0.484
1.65433,0.908,0.742,0.618,0.711,0.74,0.505,0.729,0.685,0.739,0.651,0.846,1.0
1.84014,0.625,0.687,0.815,1.0,0.574,0.566,0.659,0.631,0.508,0.706,0.664,0.679
2.38005,0.461,0.677,1.0,0.947,0.761,0.625,0.448,0.722,0.744,0.747,0.584,0.576
2.87927,0.6,0.632,0.862,1.0,0.725,0.667,0.834,0.622,0.689,0.697,0.576,0.706
3.41338,0.013,0.018,0.024,0.007,0.008,0.008,0.122,1.0,0.055,0.013,0.009,0.008
3.94404,0.011,0.013,0.03,0.013,0.018,0.02,0.175,1.0,0.064,0.018,0.016,0.014
4.33624,0.302,0.76,1.0,0.478,0.381,0.354,0.846,0.927,0.588,0.541,0.299,0.171
4.46871,0.236,0.473,0.788,0.466,0.469,0.402,0.58,1.0,0.456,0.415,0.234,0.136
4.58018,0.035,0.12,0.948,0.155,0.032,0.044,0.318,1.0,0.226,0.044,0.034,0.07
4.79138,0.054,0.187,1.0,0.156,0.062,0.069,0.226,0.473,0.111,0.099,0.058,0.072
4.96921,0.072,0.071,1.0,0.203,0.078,0.08,0.097,0.401,0.166,0.098,0.076,0.09
5.52036,0.174,0.496,1.0,0.484,0.171,0.187,0.217,0.246,0.225,0.222,0.162,0.084
5.6468,0.032,0.054,1.0,0.121,0.037,0.04,0.108,0.715,0.065,0.045,0.048,0.066
6.00753,0.148,0.158,1.0,0.374,0.184,0.146,0.209,0.698,0.369,0.186,0.169,0.181
6.52481,0.136,0.121,0.367,0.245,0.212,0.262,0.189,1.0,0.272,0.16,0.224,0.202
7.00617,0.4,0.321,0.485,0.504,0.58,0.368,0.616,1.0,0.495,0.415,0.414,0.55
7.51746,0.619,1.0,0.089,0.04,0.032,0.055,0.294,0.33,0.146,0.15,0.317,0.074
7.68585,0.005,0.01,0.025,0.003,0.005,0.006,0.292,1.0,0.02,0.004,0.003,0.005
8.03506,0.031,0.041,0.115,0.059,0.048,0.062,0.197,1.0,0.141,0.061,0.038,0.04
8.43447,0.295,0.491,0.656,0.191,0.287,0.344,0.704,1.0,0.664,0.591,0.385,0.209
8.56757,0.009,0.021,0.313,0.039,0.009,0.012,0.084,1.0,0.087,0.015,0.014,0.04
9.07909,0.034,0.032,1.0,0.137,0.04,0.034,0.052,0.566,0.078,0.037,0.032,0.049
9.59034,0.026,0.043,1.0,0.076,0.023,0.02,0.065,0.56,0.058,0.021,0.017,0.026
9.93333,0.039,0.255,1.0,0.105,0.06,0.051,0.114,0.178,0.087,0.084,0.05,0.021
10.1049,0.088,0.071,1.0,0.188,0.104,0.073,0.114,0.573,0.115,0.101,0.116,0.123
10.61741,0.133,0.182,1.0,0.174,0.102,0.09,0.087,0.223,0.092,0.053,0.07,0.17
10.94277,0.382,0.575,0.963,0.201,0.44,0.451,0.955,1.0,0.811,0.796,0.57,0.177
11.12163,0.617,0.344,0.45,0.533,0.44,0.558,0.584,0.794,1.0,0.74,0.714,0.762
11.64472,0.009,0.02,0.031,0.005,0.005,0.012,0.123,1.0,0.032,0.014,0.009,0.008
12.16771,0.013,0.016,0.056,0.022,0.02,0.017,0.158,1.0,0.065,0.019,0.016,0.017
12.55819,0.224,0.481,0.272,0.182,0.438,0.458,0.976,1.0,0.579,0.535,0.221,0.119
12.68971,0.024,0.041,0.504,0.049,0.019,0.026,0.33,1.0,0.086,0.022,0.021,0.051
13.01546,0.019,0.098,0.64,0.111,0.013,0.034,0.491,1.0,0.229,0.012,0.013,0.02
13.21714,0.046,0.06,1.0,0.16,0.071,0.069,0.106,0.674,0.117,0.074,0.063,0.073
13.70485,0.055,0.095,1.0,0.069,0.034,0.04,0.062,0.481,0.052,0.052,0.039,0.063
14.05569,0.367,0.371,1.0,0.035,0.07,0.059,0.119,0.135,0.14,0.144,0.329,0.028
14.241,0.171,0.13,1.0,0.218,0.153,0.207,0.246,0.803,0.134,0.126,0.111,0.188
14.75633,0.245,0.469,1.0,0.151,0.212,0.229,0.348,0.427,0.325,0.276,0.203,0.203
14.93043,0.092,0.185,1.0,0.178,0.122,0.184,0.217,0.559,0.15,0.112,0.132,0.133
15.24961,0.434,0.49,0.71,0.96,0.588,0.625,1.0,0.877,0.56,0.705,0.573,0.582
15.7722,0.039,0.079,0.062,0.039,0.042,0.105,0.627,1.0,0.432,0.08,0.036,0.028
15.98971,0.002,0.005,0.031,0.002,0.003,0.008,0.324,1.0,0.047,0.008,0.003,0.007
16.29882,0.024,0.015,0.059,0.023,0.015,0.021,0.213,1.0,0.067,0.023,0.031,0.041
16.68798,0.356,0.79,1.0,0.481,0.298,0.299,0.725,0.89,0.576,0.529,0.396,0.184
16.80317,0.059,0.105,0.597,0.128,0.045,0.046,0.328,1.0,0.195,0.045,0.042,0.166
17.13819,0.014,0.122,1.0,0.182,0.014,0.023,0.274,0.599,0.161,0.011,0.014,0.045
17.33946,0.063,0.042,0.851,0.176,0.039,0.038,0.086,1.0,0.257,0.041,0.06,0.085
17.8561,0.028,0.006,0.048,0.016,0.065,1.0,0.301,0.023,0.011,0.011,0.005,0.007
18.33927,0.025,0.006,0.035,0.012,0.042,1.0,0.133,0.02,0.008,0.011,0.005,0.007
