start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.204,0.274,1.0,0.168,0.153,0.22,0.181,0.458,0.227,0.543,0.299,0.438
0.31361,0.165,0.124,1.0,0.153,0.07,0.099,0.133,0.198,0.108,0.237,0.169,0.24
0.57478,0.11,0.115,1.0,0.162,0.074,0.06,0.116,0.246,0.157,0.225,0.188,0.146
0.778,0.064,0.076,1.0,0.072,0.043,0.072,0.054,0.206,0.113,0.199,0.109,0.092
1.78222,0.257,0.241,0.886,0.231,0.159,0.241,0.193,1.0,0.461,0.338,0.289,0.294
3.0649,0.285,0.199,0.617,0.209,0.095,0.214,0.236,0.304,0.147,1.0,0.163,0.256
3.3961,0.446,0.37,1.0,0.286,0.185,0.297,0.291,0.242,0.214,0.828,0.356,0.308
3.59918,0.133,0.032,1.0,0.046,0.03,0.01,0.161,0.015,0.01,0.158,0.039,0.886
3.87057,0.235,0.131,1.0,0.111,0.032,0.016,0.088,0.019,0.01,0.051,0.041,0.543
3.9761,0.374,0.46,1.0,0.148,0.037,0.015,0.074,0.014,0.056,0.103,0.191,0.263
4.05116,0.034,0.009,1.0,0.025,0.03,0.012,0.111,0.006,0.005,0.086,0.01,0.488
4.3951,0.125,0.047,1.0,0.034,0.026,0.007,0.083,0.009,0.008,0.037,0.009,0.427
4.55184,0.027,0.014,1.0,0.019,0.01,0.006,0.098,0.006,0.006,0.084,0.015,0.431
4.93279,0.081,0.024,1.0,0.026,0.005,0.004,0.052,0.004,0.004,0.033,0.001,0.272
5.11374,0.102,0.055,1.0,0.064,0.006,0.005,0.046,0.003,0.003,0.016,0.051,0.394
5.30404,0.012,0.004,1.0,0.011,0.016,0.008,0.039,0.005,0.007,0.009,0.006,0.735
7.3361,0.171,0.355,1.0,0.078,0.137,0.035,0.036,0.009,0.057,0.301,0.082,0.973
7.64063,0.054,0.529,0.574,0.03,0.183,0.017,0.022,0.018,0.032,1.0,0.033,0.499
8.2712,0.08,0.618,0.202,0.022,0.263,0.011,0.01,0.008,0.095,1.0,0.184,0.142
8.42172,0.004,0.337,0.055,0.003,0.122,0.005,0.004,0.006,0.016,1.0,0.013,0.044
9.12971,0.003,0.251,0.017,0.003,0.146,0.005,0.003,0.006,0.014,1.0,0.018,0.016
9.66168,0.003,0.171,0.023,0.004,0.088,0.004,0.003,0.003,0.008,1.0,0.011,0.007
10.92417,0.003,0.014,0.003,0.003,0.012,0.002,0.004,0.007,0.279,1.0,0.387,0.007
11.02853,0.432,0.81,0.175,0.216,0.478,0.142,0.49,0.201,0.82,1.0,0.829,0.246
11.11474,0.006,0.005,0.049,0.003,0.004,0.001,0.019,0.005,0.02,1.0,0.055,0.035
11.36009,0.012,0.014,1.0,0.013,0.017,0.011,0.043,0.012,0.008,0.534,0.011,0.488
13.34757,0.025,0.01,1.0,0.02,0.01,0.01,0.033,0.01,0.015,0.176,0.018,0.994
14.65256,0.077,0.028,1.0,0.072,0.009,0.011,0.171,0.012,0.009,0.161,0.042,0.214
