start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.443,0.122,0.081,0.215,0.034,0.037,0.118,0.037,0.062,0.061,0.057,1.0
0.16272,0.468,0.076,0.041,0.152,0.014,0.012,0.096,0.031,0.028,0.031,0.019,1.0
0.30667,0.343,0.274,0.315,0.166,0.174,0.127,0.145,0.126,0.19,0.285,0.508,1.0
0.51673,0.488,0.042,0.059,0.032,0.016,0.015,0.045,0.017,0.012,0.02,0.015,1.0
0.68104,0.503,0.053,0.027,0.032,0.012,0.017,0.035,0.016,0.012,0.028,0.029,1.0
0.83492,0.386,0.112,0.408,0.049,0.034,0.024,0.051,0.025,0.112,0.181,0.347,1.0
1.039,0.317,0.037,0.072,0.055,0.019,0.018,0.039,0.016,0.024,0.03,0.189,1.0
1.22594,0.422,0.027,0.019,0.052,0.009,0.007,0.042,0.01,0.013,0.018,0.011,1.0
1.38916,0.522,0.163,0.728,0.128,0.063,0.058,0.095,0.068,0.097,0.12,0.049,1.0
1.5615,0.386,0.163,0.504,0.112,0.035,0.022,0.15,0.037,0.038,0.062,0.04,1.0
1.73043,0.225,0.153,0.086,0.086,0.069,0.065,0.123,0.061,0.039,0.079,0.076,1.0
1.89823,0.106,0.134,1.0,0.07,0.033,0.033,0.077,0.051,0.043,0.131,0.035,0.373
2.07814,0.487,0.218,0.498,0.332,0.087,0.071,0.133,0.071,0.11,0.17,0.095,1.0
2.23515,0.529,0.313,0.174,0.266,0.061,0.079,0.218,0.1,0.148,0.176,0.119,1.0
2.40952,0.279,0.157,1.0,0.152,0.059,0.106,0.129,0.059,0.107,0.348,0.333,0.914
2.76898,0.476,0.213,0.508,0.301,0.052,0.056,0.083,0.048,0.061,0.11,0.113,1.0
2.9146,0.305,0.14,0.084,0.183,0.028,0.031,0.124,0.04,0.078,0.08,0.039,1.0
3.08367,0.257,0.152,0.368,0.141,0.063,0.054,0.167,0.078,0.109,0.256,0.26,1.0
3.44739,0.439,0.149,0.091,0.17,0.047,0.039,0.23,0.055,0.065,0.111,0.063,1.0
3.61043,0.226,0.178,1.0,0.182,0.075,0.026,0.105,0.074,0.1,0.288,0.35,0.679
3.79646,0.455,0.028,0.158,0.071,0.023,0.012,0.045,0.031,0.02,0.023,0.021,1.0
3.96535,0.407,0.066,0.022,0.053,0.012,0.01,0.042,0.014,0.016,0.051,0.025,1.0
4.12277,0.381,0.143,0.787,0.083,0.031,0.029,0.075,0.044,0.043,0.131,0.048,1.0
4.30136,0.434,0.049,0.176,0.107,0.019,0.014,0.067,0.02,0.025,0.021,0.022,1.0
4.46975,0.497,0.087,0.077,0.082,0.018,0.015,0.044,0.019,0.027,0.029,0.04,1.0
4.64367,0.238,0.158,1.0,0.154,0.043,0.017,0.063,0.037,0.086,0.243,0.333,0.8
4.83542,0.501,0.061,0.153,0.089,0.013,0.014,0.059,0.016,0.02,0.023,0.021,1.0
4.9902,0.455,0.026,0.018,0.077,0.013,0.012,0.055,0.011,0.015,0.023,0.014,1.0
5.15986,0.23,0.134,0.417,0.085,0.037,0.036,0.096,0.055,0.087,0.168,0.097,1.0
5.50327,0.401,0.351,0.556,0.299,0.095,0.079,0.095,0.072,0.13,0.203,0.172,1.0
5.6659,0.289,0.163,0.102,0.194,0.031,0.031,0.126,0.041,0.099,0.108,0.056,1.0
5.83968,0.253,0.129,0.427,0.151,0.094,0.062,0.205,0.089,0.121,0.327,0.332,1.0
6.21188,0.423,0.147,0.082,0.162,0.038,0.029,0.241,0.04,0.074,0.128,0.058,1.0
6.36848,0.213,0.139,1.0,0.104,0.038,0.022,0.067,0.026,0.056,0.143,0.038,0.564
6.55283,0.509,0.042,0.197,0.095,0.035,0.017,0.058,0.036,0.022,0.038,0.035,1.0
6.7058,0.25,0.046,0.039,0.068,0.021,0.017,0.059,0.03,0.025,0.061,0.128,1.0
6.89578,0.349,0.121,0.982,0.086,0.037,0.029,0.096,0.041,0.089,0.136,0.056,1.0
7.06535,0.443,0.055,0.179,0.118,0.019,0.014,0.079,0.019,0.022,0.023,0.019,1.0
7.22771,0.358,0.047,0.042,0.076,0.015,0.015,0.048,0.024,0.031,0.029,0.03,1.0
7.401,0.259,0.227,1.0,0.131,0.049,0.035,0.07,0.048,0.094,0.229,0.34,0.936
7.59306,0.484,0.047,0.169,0.085,0.014,0.012,0.075,0.02,0.026,0.031,0.019,1.0
7.7478,0.437,0.016,0.016,0.087,0.007,0.009,0.063,0.009,0.016,0.026,0.019,1.0
7.91819,0.232,0.139,0.482,0.115,0.059,0.035,0.102,0.055,0.101,0.19,0.099,1.0
8.26054,0.397,0.377,0.63,0.329,0.106,0.084,0.111,0.081,0.154,0.237,0.195,1.0
8.42295,0.26,0.144,0.127,0.226,0.033,0.037,0.139,0.045,0.114,0.123,0.065,1.0
8.59224,0.258,0.141,0.506,0.173,0.106,0.068,0.241,0.102,0.138,0.391,0.326,1.0
8.9688,0.397,0.15,0.089,0.193,0.045,0.036,0.284,0.043,0.078,0.148,0.066,1.0
9.1254,0.177,0.143,1.0,0.165,0.055,0.025,0.095,0.052,0.083,0.247,0.241,0.545
9.31719,0.533,0.044,0.235,0.123,0.043,0.021,0.073,0.045,0.027,0.046,0.041,1.0
9.46091,0.231,0.046,0.042,0.075,0.021,0.019,0.068,0.034,0.029,0.075,0.127,1.0
9.65451,0.311,0.125,1.0,0.09,0.036,0.027,0.102,0.042,0.091,0.15,0.057,0.963
9.82195,0.403,0.051,0.217,0.145,0.023,0.016,0.099,0.024,0.027,0.03,0.021,1.0
9.99465,0.338,0.034,0.033,0.085,0.016,0.016,0.053,0.024,0.029,0.03,0.03,1.0
10.15955,0.231,0.224,1.0,0.126,0.049,0.034,0.072,0.048,0.089,0.208,0.273,0.873
10.35039,0.475,0.056,0.217,0.112,0.019,0.013,0.096,0.025,0.033,0.042,0.025,1.0
10.50644,0.417,0.02,0.021,0.118,0.009,0.011,0.083,0.012,0.019,0.035,0.02,1.0
10.67515,0.237,0.153,0.598,0.143,0.067,0.039,0.134,0.067,0.12,0.227,0.107,1.0
11.01188,0.523,0.587,0.252,0.724,0.362,0.393,0.456,0.209,0.242,0.27,0.25,1.0
11.13397,0.187,0.292,0.115,0.209,0.048,0.064,0.987,0.074,0.068,0.117,0.168,1.0
11.3722,0.247,0.147,0.256,0.128,0.105,0.097,0.427,0.107,0.169,0.184,0.261,1.0
11.72594,0.472,0.08,0.096,0.057,0.027,0.026,0.116,0.028,0.026,0.04,0.052,1.0
11.86975,0.384,0.199,0.85,0.188,0.179,0.176,0.345,0.135,0.172,0.28,0.286,1.0
