start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.319,0.391,0.588,0.427,0.493,0.558,0.429,1.0,0.5,0.738,0.574,0.437
0.2473,0.009,0.001,0.004,0.124,0.007,0.003,0.006,0.046,1.0,0.055,0.009,0.002
0.44689,0.002,0.008,0.001,0.016,0.018,0.002,0.002,0.008,0.128,1.0,0.024,0.001
0.68494,0.001,0.007,0.002,0.008,0.015,0.002,0.003,0.009,0.061,1.0,0.041,0.002
1.26077,0.005,0.015,0.005,0.005,0.02,0.003,0.003,0.004,0.028,1.0,0.074,0.001
1.38712,0.0,0.004,0.001,0.002,0.027,0.002,0.001,0.003,0.005,1.0,0.022,0.001
2.01483,0.002,0.001,0.004,0.015,0.17,0.008,0.028,1.0,0.045,0.026,0.005,0.012
2.72145,0.077,1.0,0.091,0.031,0.087,0.083,0.016,0.222,0.323,0.104,0.021,0.034
2.87891,0.06,0.322,0.034,0.014,0.045,0.017,0.012,0.078,0.241,1.0,0.121,0.027
3.08898,0.006,0.023,0.003,0.003,0.05,0.004,0.006,0.046,0.041,1.0,0.099,0.006
3.23995,0.019,0.007,0.008,0.066,0.01,0.008,0.029,0.101,1.0,0.146,0.022,0.004
3.38499,0.02,0.038,0.048,0.019,0.038,0.027,0.017,1.0,0.165,0.219,0.018,0.114
4.06916,0.014,0.02,0.056,0.01,0.013,0.031,0.076,1.0,0.276,0.125,0.016,0.093
4.2098,0.004,0.008,0.003,0.012,0.03,0.004,0.008,0.044,0.139,1.0,0.033,0.006
4.6849,0.01,0.012,0.003,0.007,0.057,0.007,0.011,0.045,0.051,1.0,0.185,0.011
4.842,1.0,0.117,0.024,0.015,0.025,0.011,0.015,0.22,0.033,0.139,0.062,0.202
4.958,1.0,0.198,0.142,0.052,0.069,0.231,0.052,0.306,0.089,0.428,0.76,0.247
5.23025,0.108,0.021,0.098,0.011,0.015,0.265,0.031,0.072,0.059,0.367,1.0,0.112
5.43401,0.11,0.026,0.067,0.009,0.019,0.238,0.022,0.06,0.052,0.209,1.0,0.108
5.67166,0.108,0.046,0.076,0.015,0.019,0.241,0.031,0.052,0.045,0.229,1.0,0.113
5.78748,0.088,0.067,0.15,0.01,0.017,0.423,0.042,0.043,0.045,0.179,1.0,0.131
5.90916,0.041,0.017,0.07,0.016,0.026,0.231,0.015,0.017,0.028,0.085,1.0,0.085
6.13011,0.044,0.018,0.059,0.007,0.016,0.279,0.027,0.022,0.027,0.103,1.0,0.143
6.24005,0.055,0.013,0.161,0.008,0.015,0.494,0.036,0.026,0.032,0.076,1.0,0.089
6.37995,0.069,0.018,0.111,0.014,0.019,0.397,0.022,0.022,0.07,0.269,1.0,0.08
6.57719,0.006,0.031,0.019,0.006,0.066,0.017,0.007,0.017,0.088,1.0,0.31,0.018
6.6405,0.001,0.007,0.002,0.001,0.037,0.004,0.003,0.015,0.005,1.0,0.077,0.003
6.81438,0.004,0.01,0.002,0.004,0.04,0.004,0.006,0.019,0.104,1.0,0.203,0.01
6.92467,0.028,0.006,0.007,0.065,0.011,0.01,0.026,0.109,1.0,0.375,0.04,0.003
7.06308,0.007,0.014,0.004,0.011,0.072,0.007,0.011,0.031,0.157,1.0,0.161,0.011
7.20943,0.003,0.003,0.002,0.01,1.0,0.026,0.003,0.007,0.045,0.065,0.01,0.011
7.47751,0.002,0.002,0.005,0.003,1.0,0.031,0.002,0.007,0.036,0.076,0.007,0.006
7.98753,0.029,0.005,0.011,0.037,1.0,0.241,0.025,0.013,0.125,0.016,0.005,0.037
10.28494,0.004,0.003,0.004,0.003,1.0,0.031,0.002,0.001,0.011,0.003,0.001,0.004
10.61673,0.001,0.001,0.002,0.008,1.0,0.045,0.002,0.001,0.014,0.003,0.001,0.003
10.85492,0.002,0.001,0.003,0.064,1.0,0.09,0.004,0.002,0.016,0.003,0.001,0.005
10.96653,0.002,0.001,0.003,0.043,1.0,0.07,0.003,0.003,0.015,0.002,0.002,0.005
11.09311,0.001,0.001,0.003,0.007,1.0,0.036,0.003,0.004,0.014,0.003,0.002,0.003
11.37646,0.003,0.004,0.013,0.049,1.0,0.097,0.015,0.011,0.021,0.003,0.002,0.006
11.64413,0.003,0.003,0.007,0.071,1.0,0.072,0.011,0.008,0.039,0.009,0.002,0.016
11.80653,0.002,0.011,0.012,0.005,0.054,0.011,0.005,0.009,0.014,1.0,0.045,0.004
12.5088,0.003,0.016,0.01,0.002,0.026,0.006,0.005,0.006,0.029,1.0,0.077,0.002
12.63274,0.002,0.008,0.003,0.004,0.024,0.006,0.005,0.005,0.024,1.0,0.069,0.001
12.75882,0.002,0.006,0.002,0.003,0.02,0.003,0.001,0.002,0.025,1.0,0.067,0.001
12.88735,0.002,0.007,0.001,0.002,0.015,0.003,0.0,0.001,0.03,1.0,0.076,0.001
13.00254,0.003,0.009,0.002,0.003,0.019,0.004,0.004,0.004,0.031,1.0,0.077,0.001
13.11982,0.004,0.016,0.008,0.003,0.017,0.004,0.004,0.004,0.027,1.0,0.067,0.001
13.24603,0.004,0.014,0.004,0.003,0.015,0.004,0.004,0.004,0.031,1.0,0.074,0.001
