start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.307,0.159,0.246,0.406,0.431,0.448,0.738,1.0,0.877,0.622,0.412,0.325
0.20803,0.137,0.392,0.068,0.063,0.068,0.401,1.0,0.616,0.353,0.157,0.095,0.045
0.32336,0.034,0.485,0.023,0.02,0.025,0.057,1.0,0.044,0.23,0.027,0.164,0.025
1.45011,0.091,0.237,0.072,0.053,0.069,0.081,1.0,0.087,0.208,0.057,0.153,0.087
2.0024,0.259,0.431,0.104,0.14,0.137,0.414,1.0,0.675,0.276,0.138,0.112,0.108
2.13274,0.014,0.148,0.009,0.01,0.014,0.038,1.0,0.031,0.181,0.015,0.097,0.009
3.23814,0.238,0.391,0.079,0.072,0.137,0.091,1.0,0.104,0.371,0.142,0.176,0.164
3.89601,0.025,0.035,0.017,0.017,0.018,0.237,1.0,0.254,0.07,0.035,0.018,0.01
4.0917,0.022,0.264,0.019,0.011,0.01,0.037,1.0,0.027,0.101,0.011,0.047,0.011
5.121,0.325,0.317,0.093,0.066,0.195,0.181,1.0,0.102,0.3,0.109,0.252,0.258
5.21256,0.086,1.0,0.054,0.03,0.066,0.081,0.764,0.056,0.114,0.041,0.123,0.061
5.79488,0.026,0.562,0.028,0.046,0.023,0.049,1.0,0.032,0.064,0.032,0.16,0.02
6.97878,0.116,1.0,0.136,0.082,0.155,0.147,0.716,0.14,0.12,0.076,0.124,0.08
7.10526,0.097,1.0,0.058,0.053,0.08,0.084,0.452,0.061,0.109,0.059,0.18,0.051
7.62721,0.023,0.058,0.016,0.023,0.026,0.287,1.0,0.457,0.137,0.024,0.029,0.016
7.76662,0.02,0.25,0.017,0.009,0.01,0.052,1.0,0.016,0.051,0.016,0.051,0.008
8.40721,0.046,1.0,0.061,0.026,0.017,0.054,0.651,0.03,0.076,0.007,0.048,0.008
8.75891,0.173,1.0,0.252,0.049,0.02,0.158,0.403,0.082,0.07,0.018,0.062,0.026
8.8634,0.131,1.0,0.407,0.063,0.077,0.075,0.179,0.052,0.106,0.038,0.122,0.06
8.95188,0.042,1.0,0.039,0.027,0.028,0.032,0.301,0.029,0.025,0.017,0.051,0.016
9.44304,0.271,1.0,0.311,0.144,0.174,0.195,0.278,0.567,0.717,0.349,0.284,0.067
9.52621,0.034,0.322,0.029,0.016,0.009,0.146,1.0,0.036,0.069,0.053,0.247,0.018
9.7059,0.022,0.482,0.022,0.009,0.006,0.074,1.0,0.02,0.059,0.012,0.049,0.008
10.11805,0.028,1.0,0.064,0.017,0.013,0.038,0.308,0.023,0.092,0.011,0.102,0.013
10.6629,0.042,1.0,0.035,0.015,0.022,0.032,0.207,0.03,0.031,0.03,0.108,0.029
11.22653,0.169,1.0,0.154,0.021,0.019,0.087,0.253,0.055,0.046,0.084,0.425,0.052
11.32621,0.049,0.058,0.033,0.026,0.033,0.243,1.0,0.242,0.041,0.027,0.067,0.025
11.45887,0.02,0.334,0.017,0.012,0.014,0.042,1.0,0.024,0.101,0.013,0.146,0.013
