start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.04435,0.261,0.171,0.143,0.155,0.196,0.716,0.808,0.593,0.311,0.29,1.0,0.846
3.25746,1.0,0.349,0.194,0.188,0.14,0.183,0.178,0.478,0.616,0.165,0.16,0.211
3.36726,0.262,0.662,1.0,0.261,0.201,0.234,0.201,0.244,0.478,0.925,0.241,0.251
3.47107,0.372,0.249,0.3,0.351,0.682,1.0,0.459,0.973,0.481,0.374,0.282,0.375
3.75007,0.586,0.448,0.464,0.822,0.618,1.0,0.647,0.722,0.768,0.776,0.572,0.532
3.94186,0.592,0.648,0.564,0.563,0.519,0.811,0.541,0.671,0.956,0.781,1.0,0.654
4.12762,0.59,1.0,0.053,0.099,0.079,0.05,0.05,0.155,0.122,0.094,0.205,0.305
4.36236,0.717,1.0,0.912,0.91,0.363,0.402,0.104,0.157,0.087,0.073,0.08,0.391
4.51392,1.0,0.964,0.964,0.94,0.446,0.444,0.092,0.305,0.164,0.074,0.104,0.674
4.66159,0.955,1.0,0.786,0.765,0.392,0.431,0.178,0.617,0.346,0.062,0.066,0.976
4.80522,0.638,1.0,0.868,0.874,0.654,0.661,0.31,0.404,0.112,0.106,0.04,0.242
4.94014,0.467,0.656,0.583,0.71,1.0,0.92,0.881,0.58,0.569,0.542,0.563,0.686
5.83528,0.82,0.351,0.161,0.258,0.773,0.824,1.0,0.741,0.74,0.557,0.853,0.535
5.97755,0.766,0.514,0.695,0.571,0.531,0.346,0.25,0.301,0.398,0.252,0.229,1.0
6.22803,0.55,0.641,0.552,0.565,1.0,0.723,0.472,0.451,0.652,0.37,0.483,0.875
6.37388,0.469,0.569,0.408,0.371,0.73,0.725,1.0,0.995,0.706,0.699,0.222,0.286
6.54803,0.867,0.966,0.324,0.24,0.515,0.353,0.173,0.31,0.232,0.186,0.31,1.0
6.76272,0.306,0.303,0.25,0.249,0.312,0.31,0.997,1.0,0.647,0.642,0.42,0.064
6.93873,0.504,1.0,0.225,0.176,0.476,0.188,0.148,0.132,0.109,0.097,0.264,0.506
7.12839,0.863,1.0,0.4,0.313,0.652,0.42,0.3,0.387,0.51,0.244,0.256,0.874
7.47692,0.84,0.721,0.415,0.361,0.637,0.533,0.745,0.872,0.634,0.501,0.27,1.0
7.64027,0.849,0.873,0.183,0.347,1.0,0.547,0.685,0.751,0.867,0.848,0.926,0.47
7.7902,0.185,1.0,0.225,0.139,0.12,0.082,0.1,0.125,0.116,0.111,0.201,0.281
8.15787,0.158,0.356,0.269,0.285,1.0,0.952,0.944,0.967,0.252,0.24,0.097,0.088
8.31351,0.223,0.328,0.301,0.311,1.0,0.925,1.0,0.919,0.437,0.429,0.124,0.531
8.48667,0.48,0.56,0.391,0.35,0.839,0.259,0.421,0.602,0.552,0.417,0.399,1.0
9.02535,0.393,0.337,0.308,0.306,1.0,0.323,0.555,0.835,0.719,0.45,0.39,0.778
9.19515,0.442,1.0,0.424,0.501,0.465,0.567,0.768,0.261,0.344,0.224,0.963,0.734
9.47959,0.09,0.259,0.39,0.457,0.355,0.659,1.0,0.52,0.295,0.204,0.216,0.11
9.85592,0.397,0.958,0.294,0.266,0.347,0.435,1.0,0.36,0.379,0.373,0.617,0.361
10.20549,0.178,0.563,0.262,0.17,0.336,0.317,1.0,0.332,0.369,0.294,0.508,0.387
10.55937,0.472,1.0,0.203,0.121,0.087,0.044,0.093,0.048,0.079,0.074,0.145,0.244
10.75338,0.518,0.769,0.365,0.326,0.464,0.495,1.0,0.414,0.588,0.338,0.561,0.453
11.0873,0.113,0.123,0.021,0.02,0.516,0.499,1.0,0.965,0.483,0.479,0.227,0.011
11.26726,0.45,0.723,0.431,0.328,0.495,0.443,1.0,0.429,0.467,0.308,0.497,0.421
11.60399,0.27,0.708,0.36,0.282,0.34,0.364,1.0,0.401,0.353,0.472,0.669,0.546
11.9351,0.714,0.902,0.839,0.249,0.337,0.142,0.296,0.499,0.226,0.139,0.412,1.0
12.2717,0.376,0.383,0.29,0.289,0.506,0.502,0.99,1.0,0.823,0.821,0.387,0.065
12.43138,0.59,1.0,0.169,0.135,0.266,0.082,0.109,0.254,0.182,0.107,0.241,0.321
12.62612,0.634,0.944,0.523,0.481,0.845,0.355,0.506,1.0,0.54,0.494,0.524,0.879
12.92209,0.185,0.181,0.234,0.247,0.778,0.263,0.397,0.715,0.44,0.234,0.471,1.0
13.13683,0.891,0.963,0.203,0.243,1.0,0.414,0.715,0.839,0.793,0.726,0.835,0.481
13.28186,0.081,0.226,0.402,0.474,0.398,0.702,1.0,0.5,0.264,0.18,0.172,0.098
