start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.149,0.05,0.113,0.081,1.0,0.079,0.098,0.044,0.092,0.19,0.093,0.106
0.2659,0.291,0.494,0.976,1.0,0.899,0.273,0.308,0.444,0.355,0.51,0.326,0.212
0.5956,0.127,0.086,0.071,0.048,0.253,1.0,0.482,0.086,0.127,0.251,0.132,0.094
0.69238,0.224,0.26,0.248,0.174,0.132,1.0,0.251,0.06,0.161,0.26,0.225,0.332
0.92181,0.567,0.533,0.489,0.232,0.358,1.0,0.559,0.074,0.105,0.262,0.166,0.276
1.02816,0.346,0.071,0.071,0.038,0.045,1.0,0.172,0.044,0.047,0.182,0.117,0.107
1.28993,0.57,0.191,0.147,0.112,0.157,0.799,0.136,0.047,0.074,1.0,0.235,0.32
1.5156,0.709,0.178,0.068,0.101,0.115,0.141,0.038,0.015,0.168,1.0,0.269,0.276
1.6556,0.275,0.119,0.129,0.184,0.22,0.858,0.269,0.213,0.108,1.0,0.39,0.171
1.91383,0.289,0.197,0.136,0.066,0.168,1.0,0.193,0.065,0.134,0.506,0.206,0.114
2.11365,0.802,0.753,0.838,1.0,0.702,0.633,0.341,0.427,0.334,0.419,0.552,0.58
2.21238,0.612,0.31,0.175,0.208,0.154,1.0,0.231,0.079,0.211,0.367,0.19,0.36
2.37805,0.112,0.182,0.065,0.107,0.176,1.0,0.157,0.038,0.043,0.2,0.087,0.078
2.57805,0.413,0.228,0.209,0.268,0.3,1.0,0.215,0.194,0.258,0.568,0.183,0.218
2.83909,1.0,0.386,0.271,0.369,0.548,0.732,0.22,0.217,0.363,0.638,0.509,0.459
3.002,1.0,0.53,0.249,0.523,0.333,0.497,0.247,0.143,0.513,0.451,0.454,0.386
3.12866,0.925,0.672,0.715,0.853,0.63,1.0,0.457,0.455,0.274,0.423,0.694,0.834
3.30218,0.418,0.28,0.261,0.147,0.14,0.873,0.323,0.213,0.241,0.693,1.0,0.422
3.46712,0.799,0.515,0.373,0.309,0.3,1.0,0.382,0.506,0.347,0.499,0.659,0.492
3.76145,0.594,0.874,0.593,0.259,0.221,1.0,0.531,0.384,0.266,0.427,0.387,0.312
3.90236,0.42,0.211,0.132,0.14,0.166,1.0,0.471,0.182,0.142,0.292,0.096,0.37
4.03964,0.336,0.659,0.882,0.323,0.244,1.0,0.301,0.418,0.299,0.574,0.458,0.615
4.22063,0.279,0.635,0.853,0.542,0.443,1.0,0.446,0.111,0.149,0.29,0.233,0.269
4.33696,0.774,0.849,0.755,0.79,0.329,1.0,0.5,0.573,0.755,0.805,0.986,0.639
4.64458,1.0,0.458,0.385,0.194,0.276,0.349,0.163,0.232,0.331,0.468,0.272,0.598
4.77293,0.933,0.375,0.127,0.242,0.194,0.629,0.19,0.151,0.16,0.54,0.177,1.0
4.92186,1.0,0.495,0.83,0.324,0.264,0.259,0.23,0.303,0.609,0.671,0.594,0.694
5.23546,0.639,0.482,0.519,0.352,0.474,0.61,0.337,0.611,1.0,0.818,0.619,0.806
5.4337,0.543,0.327,0.517,0.394,0.618,0.165,0.449,0.646,0.422,1.0,0.669,0.577
5.86299,0.327,0.098,0.123,0.11,1.0,0.09,0.046,0.083,0.086,0.233,0.108,0.065
6.31973,1.0,0.547,0.464,0.312,0.364,0.31,0.229,0.301,0.24,0.776,0.514,0.899
6.44367,1.0,0.6,0.511,0.448,0.587,0.353,0.259,0.308,0.29,0.795,0.277,0.733
6.58748,0.364,0.232,0.221,0.288,1.0,0.357,0.093,0.114,0.13,0.159,0.124,0.275
6.75111,0.497,0.338,0.375,0.535,1.0,0.237,0.192,0.133,0.173,0.333,0.254,0.232
7.0707,1.0,0.52,0.237,0.553,0.429,0.971,0.406,0.239,0.437,0.831,0.758,0.552
7.18576,0.38,0.222,0.182,0.345,1.0,0.275,0.132,0.087,0.093,0.084,0.103,0.267
7.33832,0.175,0.178,0.166,0.239,1.0,0.375,0.081,0.113,0.059,0.304,0.124,0.088
7.50503,0.409,0.391,0.374,0.297,1.0,0.4,0.043,0.072,0.122,0.678,0.443,0.27
7.6629,0.691,0.317,0.197,0.47,0.827,0.529,0.168,0.136,0.273,1.0,0.74,0.58
7.79016,0.283,0.209,0.476,0.272,0.653,0.338,0.207,0.238,0.141,1.0,0.415,0.322
8.1015,0.372,0.354,0.194,0.728,0.836,0.675,1.0,0.508,0.122,0.363,0.352,0.358
8.23224,0.388,0.135,0.071,0.147,0.247,0.117,0.033,0.052,0.023,0.491,1.0,0.27
8.41728,0.509,0.32,0.318,0.365,1.0,0.336,0.073,0.055,0.073,0.435,0.169,0.197
8.55011,0.93,0.518,0.274,0.234,0.461,0.28,0.076,0.125,0.539,1.0,0.523,0.58
8.67306,0.138,0.153,0.135,0.058,0.347,0.113,0.048,0.056,0.072,0.541,1.0,0.33
9.0181,0.148,0.113,0.089,0.36,1.0,0.516,0.057,0.067,0.106,0.146,0.049,0.1
9.14431,0.188,0.062,0.074,0.285,1.0,0.122,0.036,0.037,0.101,0.309,0.276,0.173
9.32717,0.249,0.259,0.063,0.338,0.64,0.37,0.121,0.097,0.277,1.0,0.302,0.342
9.43873,0.792,0.13,0.18,0.126,1.0,0.069,0.064,0.183,0.307,0.487,0.451,0.483
9.78041,0.191,0.115,0.032,0.354,1.0,0.308,0.04,0.052,0.058,0.314,0.124,0.115
9.92014,1.0,0.469,0.064,0.12,0.226,0.093,0.153,0.138,0.34,0.363,0.711,0.225
10.00771,0.603,0.204,0.196,0.124,0.178,1.0,0.133,0.108,0.113,1.0,0.158,0.138
10.36635,0.703,1.0,0.455,0.216,0.12,0.499,0.262,0.126,0.27,0.238,0.564,0.976
10.47333,1.0,0.938,0.669,0.372,0.636,0.678,0.528,0.214,0.268,0.252,0.408,0.252
10.67016,0.699,0.16,0.054,0.09,0.092,1.0,0.221,0.052,0.035,0.17,0.14,0.27
10.82263,1.0,0.631,0.478,0.498,0.64,0.901,0.404,0.18,0.191,0.418,0.414,0.394
10.92531,0.402,0.217,0.171,0.094,0.086,0.408,0.175,0.18,0.704,1.0,0.509,0.397
11.09297,0.683,0.561,0.272,0.242,0.134,0.45,0.156,0.035,0.082,1.0,0.233,0.246
11.26567,0.383,0.355,0.279,0.141,0.262,1.0,0.25,0.098,0.224,0.646,0.165,0.334
11.37252,0.761,0.418,0.44,0.319,0.157,0.555,0.137,0.372,0.543,0.5,0.611,1.0
11.57628,0.27,0.123,0.184,0.374,0.528,1.0,0.156,0.073,0.074,0.112,0.102,0.154
11.70794,0.509,0.371,0.109,0.081,0.141,0.51,0.166,0.069,0.041,0.294,0.424,1.0
11.84825,0.495,0.204,0.106,0.166,0.18,1.0,0.282,0.095,0.214,0.422,0.221,0.262
12.02349,0.352,0.149,0.033,0.03,0.159,1.0,0.183,0.019,0.032,0.109,0.33,0.22
12.16045,0.716,0.326,0.173,0.108,0.068,0.586,0.108,0.078,0.083,0.355,1.0,0.671
12.46467,0.422,0.61,0.403,0.256,0.257,0.691,0.189,0.247,0.128,0.541,1.0,0.253
12.57995,0.484,0.131,0.144,0.066,0.052,0.359,0.144,0.155,0.119,0.729,1.0,0.448
12.77016,0.571,0.214,0.237,0.266,0.308,1.0,0.339,0.085,0.139,0.454,0.508,0.415
12.90816,0.194,0.151,0.068,0.064,0.08,1.0,0.222,0.03,0.034,0.361,0.269,0.094
