start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.316,0.233,0.237,0.322,0.471,1.0,0.883,0.305,0.363,0.392,0.418,0.422
0.81828,0.016,0.022,0.062,0.024,0.01,0.012,0.022,1.0,0.361,0.02,0.018,0.02
1.08177,0.01,0.008,0.04,0.01,0.006,0.005,0.014,1.0,0.167,0.005,0.005,0.011
1.46295,0.007,0.006,0.011,0.038,0.012,0.007,0.014,0.27,1.0,0.128,0.009,0.008
2.06073,0.009,0.011,0.062,0.022,0.013,0.019,0.032,1.0,0.467,0.034,0.009,0.016
2.32077,0.004,0.005,0.036,0.01,0.005,0.008,0.013,1.0,0.193,0.01,0.007,0.01
2.71805,0.012,0.016,0.044,1.0,0.232,0.023,0.017,0.738,0.107,0.012,0.096,0.026
3.30884,0.017,1.0,0.157,0.09,0.021,0.006,0.004,0.02,0.046,0.008,0.009,0.008
3.93823,0.011,0.238,0.046,0.011,0.008,0.041,0.012,0.012,0.011,0.022,1.0,0.202
4.5673,0.017,1.0,0.163,0.008,0.007,0.011,0.005,0.003,0.042,0.011,0.155,0.03
5.17937,0.021,0.74,0.138,1.0,0.223,0.029,0.011,0.014,0.028,0.013,0.095,0.029
5.77002,0.007,0.022,0.044,0.095,0.03,0.105,0.107,1.0,0.161,0.006,0.009,0.008
6.37438,0.007,0.006,0.017,0.061,0.051,0.021,0.026,0.276,1.0,0.563,0.017,0.005
6.99433,0.003,0.003,0.036,0.016,0.013,0.01,0.023,1.0,0.262,0.075,0.006,0.006
7.60454,0.039,0.203,0.221,1.0,0.249,0.039,0.039,0.61,0.128,0.02,0.057,0.015
7.93075,0.029,0.175,0.365,1.0,0.31,0.025,0.029,0.436,0.125,0.031,0.119,0.014
8.13383,0.324,1.0,0.382,0.258,0.065,0.028,0.027,0.104,0.185,0.053,0.035,0.084
8.3659,0.495,1.0,0.262,0.13,0.031,0.007,0.005,0.038,0.043,0.01,0.01,0.018
8.56857,0.446,1.0,0.175,0.187,0.031,0.007,0.005,0.034,0.037,0.017,0.026,0.039
8.79927,0.092,0.194,0.038,0.035,0.008,0.027,0.008,0.01,0.012,0.166,1.0,0.164
9.15995,0.063,0.186,0.082,0.037,0.012,0.04,0.013,0.009,0.012,0.09,1.0,0.354
9.31551,0.12,1.0,0.263,0.034,0.011,0.02,0.014,0.021,0.121,0.138,0.409,0.146
9.54975,0.072,1.0,0.163,0.013,0.005,0.012,0.004,0.006,0.044,0.036,0.223,0.056
9.83859,0.178,1.0,0.274,0.01,0.004,0.006,0.003,0.003,0.057,0.024,0.059,0.018
9.93125,0.035,0.74,0.175,1.0,0.468,0.029,0.012,0.014,0.022,0.029,0.153,0.04
10.55964,0.017,0.183,0.099,0.263,0.108,0.014,0.037,1.0,0.309,0.029,0.041,0.022
10.74599,0.007,0.026,0.054,0.219,0.065,0.008,0.023,1.0,0.457,0.044,0.016,0.01
10.91302,0.009,0.064,0.067,0.163,0.053,0.013,0.014,1.0,0.469,0.026,0.011,0.012
11.15642,0.006,0.011,0.016,0.076,0.038,0.007,0.009,0.302,1.0,0.384,0.008,0.005
11.6146,0.013,0.008,0.017,0.069,0.063,0.009,0.018,0.299,0.694,1.0,0.022,0.008
11.74966,0.005,0.006,0.064,0.082,0.031,0.011,0.013,1.0,0.716,0.354,0.008,0.008
12.12717,0.011,0.011,0.096,0.234,0.03,0.036,0.046,1.0,0.727,0.191,0.008,0.008
12.30685,0.026,0.033,0.079,1.0,0.424,0.079,0.066,0.574,0.423,0.034,0.146,0.04
12.48086,0.009,0.014,0.059,1.0,0.184,0.038,0.039,0.479,0.21,0.033,0.073,0.02
12.90322,0.04,1.0,0.163,0.304,0.053,0.011,0.01,0.078,0.102,0.013,0.028,0.011
13.25274,0.096,1.0,0.186,0.219,0.026,0.008,0.006,0.027,0.032,0.008,0.012,0.015
13.45651,0.041,0.265,0.033,0.043,0.007,0.031,0.01,0.019,0.025,0.243,1.0,0.155
14.01297,0.2,1.0,0.337,0.07,0.032,0.026,0.023,0.038,0.117,0.114,0.294,0.109
14.25102,0.061,1.0,0.133,0.012,0.004,0.008,0.003,0.005,0.029,0.048,0.272,0.045
14.65075,0.079,0.776,0.114,1.0,0.165,0.01,0.005,0.009,0.018,0.015,0.124,0.021
15.01805,0.132,0.569,0.146,1.0,0.256,0.011,0.009,0.011,0.017,0.028,0.106,0.017
15.23243,0.014,0.102,0.079,0.272,0.053,0.014,0.022,1.0,0.281,0.028,0.026,0.011
15.5688,0.014,0.051,0.104,0.226,0.02,0.011,0.012,1.0,0.461,0.029,0.014,0.008
