start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.039,0.063,0.043,0.068,0.055,0.038,0.073,1.0,0.649,0.036,0.033,0.054
0.53388,0.158,1.0,0.04,0.132,0.011,0.072,0.011,0.022,0.082,0.046,0.076,0.034
1.43923,0.142,0.325,0.071,0.18,0.057,0.129,0.538,0.508,1.0,0.344,0.328,0.148
2.27088,0.014,0.041,0.119,1.0,0.029,0.009,0.035,0.016,0.048,0.049,0.082,0.024
3.15247,0.598,0.632,0.213,0.361,0.389,0.202,0.279,0.261,0.461,1.0,0.571,0.15
3.29696,0.02,0.024,0.055,0.162,0.033,0.101,0.051,0.587,1.0,0.233,0.34,0.021
3.73991,0.05,0.193,0.023,0.111,0.07,0.133,1.0,0.411,0.466,0.432,0.166,0.009
3.9185,0.238,0.141,0.116,0.157,0.203,1.0,0.241,0.137,0.162,0.208,0.109,0.06
3.98816,0.928,1.0,0.633,0.413,0.193,0.234,0.039,0.063,0.169,0.111,0.077,0.599
4.21456,0.116,1.0,0.154,0.183,0.023,0.137,0.01,0.011,0.2,0.011,0.013,0.028
4.57973,0.151,1.0,0.139,0.171,0.014,0.145,0.011,0.008,0.309,0.007,0.008,0.013
4.89896,0.126,0.101,0.064,0.093,0.068,0.34,0.96,1.0,0.317,0.063,0.065,0.178
5.12494,0.062,0.274,0.047,0.234,0.034,0.123,0.09,0.158,1.0,0.147,0.137,0.032
5.68966,0.018,0.058,0.102,1.0,0.04,0.012,0.046,0.018,0.071,0.046,0.101,0.028
6.58281,0.27,0.503,0.093,0.128,0.191,0.258,0.332,0.325,0.476,0.384,1.0,0.265
6.70376,0.026,0.03,0.041,0.107,0.022,0.088,0.048,0.441,1.0,0.241,0.338,0.027
7.12259,0.139,1.0,0.994,0.4,0.052,0.055,0.066,0.067,0.328,0.094,0.155,0.062
7.34853,0.848,1.0,0.512,0.601,0.189,0.161,0.08,0.108,0.459,0.383,0.477,0.614
7.7215,0.398,1.0,0.053,0.141,0.013,0.119,0.012,0.103,0.125,0.045,0.046,0.027
8.34104,0.545,0.337,0.15,0.145,0.116,0.216,0.756,1.0,0.666,0.691,0.564,0.26
8.7302,1.0,0.366,0.028,0.144,0.029,0.117,0.035,0.219,0.724,0.153,0.057,0.066
9.14472,0.032,0.055,0.197,1.0,0.097,0.021,0.049,0.043,0.073,0.061,0.108,0.05
9.72481,0.027,0.265,0.188,1.0,0.297,0.06,0.497,0.027,0.134,0.018,0.104,0.012
9.95338,0.244,0.174,0.298,1.0,0.481,0.672,0.175,0.13,0.15,0.15,0.179,0.235
10.19401,0.041,0.034,0.036,0.469,0.054,0.062,0.053,0.529,1.0,0.25,0.227,0.03
10.6166,0.093,0.049,0.021,0.318,0.028,0.031,0.055,0.036,1.0,0.033,0.039,0.015
10.91769,1.0,0.936,0.068,0.121,0.043,0.098,0.083,0.083,0.296,0.233,0.568,0.01
11.07624,0.219,1.0,0.036,0.117,0.059,0.164,0.014,0.075,0.081,0.062,0.087,0.015
11.71401,0.137,0.091,0.078,0.109,0.074,0.212,0.775,1.0,0.247,0.129,0.213,0.099
12.27161,0.171,0.254,0.069,0.335,0.031,0.163,0.023,0.056,1.0,0.037,0.03,0.036
12.43415,0.183,0.17,0.054,0.327,0.063,0.084,0.035,0.069,1.0,0.065,0.071,0.039
12.57306,0.117,0.22,0.456,1.0,0.311,0.074,0.113,0.074,0.084,0.019,0.044,0.128
12.88562,0.01,0.091,0.259,1.0,0.224,0.006,0.047,0.011,0.128,0.004,0.048,0.017
13.16526,0.007,0.073,0.237,1.0,0.255,0.006,0.044,0.01,0.183,0.004,0.048,0.004
13.43846,0.429,0.448,0.482,1.0,0.158,0.083,0.196,0.438,0.677,0.152,0.19,0.838
13.76712,0.188,0.388,0.398,1.0,0.141,0.053,0.151,0.126,0.788,0.074,0.137,0.168
14.00304,0.158,0.118,0.104,0.41,0.323,0.239,0.574,0.597,1.0,0.621,0.382,0.03
14.12277,0.02,0.032,0.033,0.082,0.023,0.049,0.025,0.011,0.083,0.06,1.0,0.226
14.34372,0.644,1.0,0.381,0.241,0.036,0.121,0.07,0.382,0.324,0.108,0.059,0.218
14.56558,0.111,0.499,0.105,0.127,0.058,0.149,0.244,0.468,1.0,0.41,0.128,0.07
15.49306,0.412,1.0,0.263,0.331,0.149,0.3,0.246,0.445,0.888,0.628,0.484,0.193
15.6502,0.02,0.059,0.019,0.021,0.008,0.03,0.365,1.0,0.126,0.024,0.013,0.016
15.84698,0.104,0.121,0.027,0.065,0.029,0.141,0.636,1.0,0.576,0.138,0.11,0.036
16.00431,0.052,0.065,0.299,1.0,0.124,0.026,0.055,0.041,0.081,0.088,0.141,0.122
16.39914,0.067,0.055,0.103,1.0,0.095,0.011,0.052,0.018,0.095,0.021,0.094,0.643
16.8971,0.074,0.026,0.041,0.089,0.015,0.02,0.038,0.355,1.0,0.153,0.227,0.153
17.40485,0.764,0.176,0.07,0.287,0.031,0.071,0.159,0.153,0.213,0.269,0.292,1.0
17.75664,0.752,0.971,0.605,1.0,0.514,0.462,0.46,0.5,0.516,0.418,0.259,0.151
17.83923,0.093,1.0,0.05,0.128,0.012,0.121,0.02,0.12,0.756,0.155,0.06,0.018
18.62875,0.339,0.263,0.182,0.164,0.128,0.151,0.232,0.545,1.0,0.71,0.773,0.07
18.79152,0.775,0.953,0.295,0.287,0.302,0.516,0.46,0.561,1.0,0.447,0.587,0.113
18.93664,0.016,0.041,0.008,0.047,0.006,0.024,0.013,0.237,1.0,0.061,0.018,0.01
19.42807,0.285,0.614,0.712,1.0,0.505,0.235,0.216,0.126,0.282,0.205,0.149,0.226
19.6322,0.185,0.067,0.192,1.0,0.1,0.021,0.086,0.038,0.175,0.077,0.21,0.268
20.21474,0.16,0.246,0.432,1.0,0.485,0.055,0.074,0.063,0.188,0.053,0.13,0.163
20.42236,0.043,0.038,0.038,0.112,0.036,0.02,0.047,0.524,1.0,0.183,0.104,0.033
20.84562,0.557,0.094,0.105,0.3,0.053,0.081,0.156,0.182,0.254,0.486,0.833,1.0
21.13991,0.572,1.0,0.209,0.248,0.068,0.194,0.033,0.075,0.218,0.049,0.034,0.28
21.47011,0.131,1.0,0.046,0.132,0.017,0.106,0.021,0.098,0.842,0.109,0.051,0.023
22.00444,0.198,0.151,0.023,0.101,0.061,0.149,1.0,0.946,0.771,0.4,0.195,0.274
22.23283,0.037,0.116,0.046,0.07,0.127,0.158,0.245,1.0,0.721,0.093,0.02,0.043
22.45156,0.018,0.049,0.016,0.031,0.011,0.028,0.014,0.066,1.0,0.158,0.01,0.01
22.67592,0.058,0.081,0.038,0.103,0.162,0.07,0.049,0.06,0.646,1.0,0.345,0.062
