start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.186,0.103,0.198,0.077,0.121,1.0,0.067,0.086,0.018,0.117,0.015,0.033
1.53846,1.0,0.684,0.564,0.182,0.101,0.251,0.13,0.124,0.096,0.63,0.113,0.425
1.63687,0.046,0.033,0.068,0.096,0.6,1.0,0.052,0.036,0.016,0.584,0.034,0.033
2.04943,0.419,1.0,0.474,0.144,0.398,0.601,0.143,0.187,0.145,0.631,0.149,0.167
2.5073,0.396,1.0,0.465,0.287,0.264,0.255,0.092,0.154,0.215,0.465,0.114,0.182
2.8273,1.0,0.541,0.366,0.297,0.118,0.115,0.222,0.223,0.447,0.454,0.987,0.335
2.91605,1.0,0.149,0.131,0.042,0.026,0.033,0.014,0.077,0.046,0.057,0.048,0.079
3.91351,1.0,0.092,0.126,0.127,0.039,0.054,0.029,0.05,0.038,0.057,0.046,0.071
5.08422,0.064,0.226,0.053,0.019,0.123,0.028,0.018,0.259,0.043,1.0,0.188,0.04
6.27968,0.051,1.0,0.154,0.03,0.081,0.039,0.235,0.315,0.163,0.629,0.203,0.031
6.65288,0.028,0.114,0.051,0.032,0.054,0.03,0.042,0.135,0.105,1.0,0.395,0.038
7.03678,0.025,0.08,0.034,0.034,0.065,0.027,0.035,0.115,0.084,1.0,0.239,0.047
7.30707,0.349,0.509,0.531,0.294,0.187,0.089,0.043,0.116,0.129,1.0,0.196,0.323
7.52993,0.017,0.337,1.0,0.396,0.029,0.008,0.011,0.01,0.02,0.375,0.158,0.027
7.78449,0.253,0.172,1.0,0.188,0.204,0.179,0.019,0.038,0.015,0.307,0.033,0.014
8.12127,0.061,0.05,1.0,0.16,0.068,0.615,0.009,0.013,0.01,0.117,0.006,0.005
8.58508,0.138,1.0,0.144,0.044,0.068,0.48,0.027,0.009,0.008,0.091,0.028,0.011
8.75388,0.058,0.033,1.0,0.145,0.373,0.276,0.027,0.027,0.025,0.119,0.035,0.033
9.67642,0.13,0.051,0.108,0.062,0.04,0.334,0.055,0.564,0.125,0.042,0.034,1.0
10.9219,0.145,0.074,0.112,0.107,0.054,0.843,0.116,1.0,0.186,0.082,0.063,0.546
11.26834,0.96,0.16,0.177,0.35,0.13,0.581,0.684,0.246,0.263,1.0,0.059,0.049
12.0459,0.01,0.008,1.0,0.141,0.066,0.114,0.004,0.006,0.005,0.012,0.007,0.192
13.14458,0.022,0.027,1.0,0.154,0.081,0.132,0.022,0.019,0.018,0.025,0.033,0.118
14.00168,1.0,0.082,0.116,0.21,0.154,0.749,0.511,0.385,0.118,0.139,0.076,0.082
14.35909,0.237,0.092,0.065,0.059,0.352,0.45,0.992,1.0,0.422,0.42,0.141,0.098
14.44839,0.077,0.022,0.038,0.045,0.251,0.214,0.028,1.0,0.052,0.174,0.024,0.049
15.5278,0.081,0.022,0.044,0.04,0.188,0.284,0.148,1.0,0.331,0.202,0.115,0.095
15.92322,0.054,0.047,0.048,0.044,0.2,0.048,0.029,0.067,0.046,1.0,0.069,0.061
16.45161,0.233,0.028,0.073,0.089,0.053,0.043,0.014,0.051,0.072,1.0,0.053,0.045
16.70612,0.032,0.057,0.319,0.021,0.013,0.468,0.017,0.02,0.016,0.087,0.029,1.0
17.02689,0.084,0.075,1.0,0.115,0.082,0.587,0.059,0.743,0.047,0.23,0.094,0.92
17.78082,0.139,0.132,0.706,0.088,0.106,1.0,0.061,0.258,0.07,0.229,0.087,0.315
18.4068,0.42,1.0,0.056,0.031,0.008,0.018,0.01,0.008,0.042,0.096,0.051,0.016
18.53456,0.418,1.0,0.103,0.06,0.013,0.019,0.011,0.016,0.027,0.091,0.155,0.033
18.64268,0.175,1.0,0.728,0.127,0.029,0.038,0.021,0.023,0.016,0.091,0.058,0.057
18.79673,0.188,0.405,0.272,0.047,0.08,1.0,0.138,0.005,0.006,0.041,0.058,0.006
18.90059,0.057,0.077,0.382,0.066,0.062,0.663,0.054,1.0,0.117,0.643,0.159,0.037
19.43537,0.014,0.009,0.06,0.016,0.043,0.203,0.021,0.366,0.039,1.0,0.063,0.016
20.06245,0.035,0.027,0.06,0.011,0.037,0.221,0.051,0.076,0.09,1.0,0.128,0.01
20.15556,0.06,0.053,0.395,0.062,0.099,0.509,0.03,1.0,0.06,0.586,0.288,0.033
21.2532,0.029,0.026,0.109,0.033,0.018,0.307,0.025,0.081,0.023,0.077,1.0,0.468
22.40068,0.058,0.036,0.09,0.043,0.019,0.149,0.033,0.082,0.057,0.45,1.0,0.211
23.26145,0.012,0.009,0.015,0.009,0.02,1.0,0.041,0.009,0.006,0.005,0.009,0.005
23.44494,0.019,0.029,0.048,0.013,0.034,1.0,0.063,0.597,0.049,0.009,0.017,0.005
23.60268,0.41,1.0,0.796,0.699,0.401,0.458,0.086,0.133,0.092,0.066,0.372,0.35
23.69002,0.023,0.194,0.141,1.0,0.325,0.025,0.085,0.172,0.368,0.36,0.024,0.029
24.06794,0.726,0.195,0.069,1.0,0.213,0.021,0.081,0.41,0.022,0.025,0.018,0.036
24.73937,0.039,0.014,1.0,0.139,0.008,0.106,0.113,0.005,0.003,0.011,0.006,0.007
25.8737,0.045,1.0,0.156,0.016,0.192,0.171,0.011,0.008,0.023,0.014,0.014,0.368
26.96444,1.0,0.863,0.443,0.55,0.341,0.117,0.058,0.062,0.084,0.097,0.657,0.653
27.22127,1.0,0.466,0.127,0.65,0.325,0.073,0.041,0.062,0.129,0.158,0.825,0.153
27.36499,0.928,0.425,0.183,0.748,0.337,0.569,0.149,0.511,0.146,0.13,1.0,0.17
27.54544,0.309,0.204,0.233,0.539,0.193,0.279,0.287,1.0,0.824,0.61,0.844,0.386
27.71732,0.656,1.0,0.049,0.043,0.037,0.038,0.104,0.079,0.106,0.391,0.292,0.218
27.84785,0.962,0.564,1.0,0.818,0.232,0.162,0.42,0.101,0.08,0.112,0.278,0.113
28.00902,0.412,0.468,1.0,0.642,0.514,0.814,0.193,0.071,0.138,0.354,0.24,0.247
28.26435,0.039,0.018,0.026,0.576,0.078,1.0,0.074,0.043,0.022,0.364,0.023,0.026
28.73986,0.109,0.113,0.533,0.273,0.098,0.352,0.086,0.073,0.053,0.383,1.0,0.076
28.97261,0.357,0.089,0.159,0.208,0.159,0.217,0.131,0.115,0.334,1.0,0.169,0.125
29.17515,0.051,0.052,0.036,0.029,0.042,1.0,0.051,0.042,0.047,0.057,0.02,0.052
29.30989,1.0,0.107,0.091,0.773,0.07,0.086,0.043,0.382,0.094,0.48,0.051,0.083
29.4771,0.046,0.066,0.059,0.378,0.035,0.165,0.033,0.058,0.058,0.334,1.0,0.056
29.6337,0.158,0.121,0.142,0.107,0.097,0.194,0.468,1.0,0.615,0.208,0.087,0.046
29.84086,0.03,0.047,0.07,0.028,0.019,0.02,0.066,0.127,0.32,1.0,0.251,0.043
30.40467,0.053,0.024,1.0,0.143,0.012,0.004,0.08,0.006,0.02,0.115,0.016,0.009
31.5839,0.64,0.057,1.0,0.126,0.051,0.137,0.562,0.022,0.02,0.059,0.026,0.033
32.25161,0.078,0.095,0.076,0.015,0.043,0.024,0.053,0.048,0.307,1.0,0.874,0.173
32.4542,0.105,0.112,0.619,0.127,0.194,0.098,0.192,0.118,0.216,1.0,0.335,0.094
32.68812,0.259,0.142,0.297,0.164,0.598,1.0,0.242,0.494,0.165,0.099,0.117,0.988
33.00853,0.095,0.053,0.324,0.025,0.547,0.379,0.056,0.246,0.104,0.051,0.069,1.0
33.25741,0.074,0.044,0.063,0.092,0.464,1.0,0.188,0.533,0.15,0.049,0.062,0.826
33.50122,0.085,0.078,0.737,0.076,0.263,0.297,0.203,1.0,0.304,0.077,0.096,0.516
33.7034,0.091,0.137,0.103,0.164,0.175,1.0,0.305,0.944,0.275,0.152,0.112,0.207
33.918,0.091,0.176,0.729,0.127,0.14,0.183,0.214,1.0,0.771,0.269,0.158,0.194
34.19111,0.066,0.052,0.068,0.063,0.134,1.0,0.305,0.439,0.126,0.115,0.06,0.221
34.32535,0.092,0.137,0.659,0.155,0.337,0.294,0.41,1.0,0.702,0.306,0.218,0.449
34.53447,0.083,0.066,0.043,0.066,0.139,1.0,0.094,0.109,0.048,0.052,0.065,0.227
34.65578,0.035,0.096,0.099,0.05,0.031,0.078,0.155,1.0,0.214,0.033,0.046,0.055
34.96068,0.061,0.591,1.0,0.618,0.17,0.037,0.106,0.248,0.258,0.071,0.026,0.064
35.16104,1.0,0.737,0.725,0.056,0.091,0.155,0.04,0.164,0.08,0.185,0.311,0.237
35.4463,1.0,0.793,0.702,0.219,0.146,0.095,0.147,0.185,0.286,0.427,0.813,0.217
35.54413,1.0,0.594,0.278,0.119,0.092,0.076,0.075,0.114,0.175,0.191,0.554,0.12
35.65465,0.827,0.4,0.498,1.0,0.218,0.079,0.075,0.072,0.118,0.303,0.407,0.571
35.85125,1.0,0.381,0.172,0.104,0.046,0.04,0.025,0.071,0.099,0.149,0.364,0.204
35.9556,0.835,0.643,0.342,0.871,0.282,0.097,0.111,0.117,0.286,1.0,0.663,0.116
36.06549,1.0,0.473,0.28,0.179,0.106,0.081,0.031,0.125,0.094,0.118,0.321,0.235
36.24685,1.0,0.523,0.11,0.121,0.117,0.105,0.024,0.019,0.098,0.129,0.076,0.942
36.39782,0.19,0.032,0.104,0.078,1.0,0.444,0.018,0.012,0.051,0.034,0.068,0.243
36.72893,0.463,0.896,0.851,0.831,1.0,0.997,0.414,0.413,0.135,0.142,0.393,0.176
36.80317,0.271,0.036,0.067,0.199,1.0,0.287,0.013,0.028,0.039,0.024,0.094,0.361
37.09723,0.118,0.192,0.051,0.362,1.0,0.377,0.081,0.054,0.249,0.06,0.255,0.133
37.40608,0.649,0.083,0.041,0.042,0.372,1.0,0.103,0.265,0.043,0.304,0.037,0.046
38.54472,0.099,0.037,0.034,0.077,0.836,1.0,0.044,0.046,0.046,0.411,0.041,0.036
38.90957,0.44,1.0,0.241,0.128,0.395,0.443,0.091,0.14,0.085,0.306,0.114,0.086
39.20082,0.196,0.263,0.106,0.092,0.133,0.133,0.13,0.214,0.512,1.0,0.696,0.137
39.45669,0.295,0.797,0.209,0.104,0.241,0.113,0.073,0.089,0.211,1.0,0.421,0.25
39.71941,0.815,1.0,0.498,0.067,0.061,0.046,0.027,0.1,0.079,0.105,0.25,0.318
39.97238,1.0,0.738,0.301,0.11,0.07,0.071,0.052,0.128,0.069,0.112,0.063,0.282
40.29206,1.0,0.096,0.084,0.022,0.02,0.025,0.007,0.057,0.019,0.03,0.027,0.07
40.78594,0.141,0.118,0.127,0.066,0.1,0.177,0.125,1.0,0.241,0.074,0.037,0.044
41.92227,0.02,0.151,0.118,0.015,0.107,0.026,0.048,0.165,0.027,1.0,0.222,0.036
43.0717,0.103,0.204,0.089,0.029,0.197,0.243,0.802,0.553,1.0,0.952,0.603,0.032
43.2551,0.083,0.071,0.052,0.079,0.079,0.097,0.175,0.17,1.0,0.223,0.112,0.037
43.35841,0.027,0.034,0.034,0.015,0.023,0.015,0.08,0.073,0.206,1.0,0.118,0.013
43.54295,0.256,0.131,0.106,0.087,0.19,0.215,0.453,0.498,1.0,0.678,0.407,0.223
43.64839,0.083,0.054,0.045,0.04,0.082,0.021,0.038,0.088,0.092,1.0,0.174,0.047
44.23932,0.239,0.162,1.0,0.19,0.013,0.353,0.01,0.01,0.013,0.056,0.019,0.034
44.61728,0.087,0.297,1.0,0.262,0.068,0.163,0.004,0.003,0.003,0.063,0.003,0.014
44.88975,0.026,0.14,1.0,0.081,0.018,0.062,0.011,0.02,0.013,0.073,0.018,0.016
45.25941,0.283,1.0,0.072,0.034,0.255,0.026,0.033,0.043,0.018,0.019,0.014,0.012
45.39755,0.611,1.0,0.934,0.941,0.584,0.484,0.114,0.121,0.096,0.099,0.594,0.569
45.47465,0.884,0.704,1.0,0.387,0.192,0.92,0.104,0.159,0.279,0.738,0.576,0.347
46.02272,1.0,0.14,0.086,0.093,0.115,0.313,0.329,0.075,0.139,0.237,0.183,0.102
46.56653,0.077,0.039,0.065,0.033,0.518,0.416,0.029,0.445,0.023,0.022,0.032,1.0
47.6702,0.194,0.343,0.389,0.311,0.784,1.0,0.168,0.468,0.15,0.134,0.109,0.682
47.97796,0.094,0.175,1.0,0.191,0.057,0.065,0.034,0.049,0.025,0.034,0.021,0.152
48.14707,0.011,0.009,0.003,0.008,0.023,1.0,0.021,0.008,0.006,0.005,0.004,0.012
48.39143,0.061,0.091,0.047,0.054,0.045,0.384,0.163,0.395,1.0,0.103,0.041,0.024
48.52485,0.015,0.019,0.012,0.008,0.033,0.158,0.062,0.044,0.088,1.0,0.058,0.008
48.65655,0.293,0.479,1.0,0.383,0.332,0.926,0.528,0.286,0.089,0.745,0.208,0.235
48.75601,0.385,0.202,0.379,0.141,0.737,0.673,0.345,0.067,0.05,0.104,0.102,1.0
49.55125,0.193,0.152,0.455,0.227,0.671,0.744,0.162,0.161,0.172,0.145,0.081,1.0
49.96943,0.161,0.1,1.0,0.118,0.015,0.137,0.096,0.007,0.007,0.014,0.009,0.015
50.49696,0.059,0.389,1.0,0.333,0.05,0.079,0.151,0.365,0.117,0.568,0.037,0.019
50.75819,0.093,0.474,0.038,0.016,0.026,1.0,0.121,0.025,0.008,0.007,0.008,0.005
50.91075,0.117,0.764,1.0,0.049,0.029,0.583,0.115,0.028,0.017,0.041,0.024,0.008
51.06757,0.114,0.082,0.153,0.1,0.234,1.0,0.253,0.494,0.154,0.072,0.084,0.315
51.31592,0.1,0.021,0.036,0.05,0.605,0.283,0.08,0.208,1.0,0.117,0.061,0.747
51.47342,0.09,0.087,0.137,0.074,0.349,0.249,0.15,1.0,0.16,0.27,0.049,0.563
51.79229,0.092,0.091,0.056,0.051,0.154,0.193,0.175,1.0,0.138,0.19,0.058,0.215
52.08825,0.036,0.045,0.043,0.029,0.061,0.072,0.049,1.0,0.074,0.024,0.017,0.096
52.26916,0.066,0.046,0.096,0.134,0.141,0.059,0.05,1.0,0.122,0.054,0.062,0.132
52.90694,1.0,0.951,0.327,0.178,0.081,0.057,0.205,0.043,0.084,0.349,0.29,0.271
53.41751,0.012,0.015,1.0,0.104,0.072,0.034,0.005,0.008,0.006,0.01,0.007,0.183
