start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.765,0.349,0.663,0.802,0.308,0.409,0.285,1.0,0.441,0.381,0.317,0.285
0.58154,0.04,0.123,0.022,0.024,0.031,0.05,1.0,0.079,0.021,0.012,0.013,0.03
0.84771,0.191,0.101,0.102,0.065,0.086,0.305,0.334,0.048,1.0,0.556,0.375,0.879
1.14327,0.245,0.424,1.0,0.573,0.339,0.238,0.226,0.086,0.219,0.347,0.128,0.399
1.56794,0.79,0.393,0.125,0.057,0.153,1.0,0.17,0.309,0.2,0.148,0.177,0.479
1.76417,0.252,1.0,0.217,0.053,0.043,0.077,0.058,0.366,0.15,0.047,0.06,0.084
2.20018,0.096,0.215,0.071,0.105,1.0,0.143,0.096,0.201,0.226,0.379,0.186,0.164
2.43179,0.079,0.108,0.099,1.0,0.539,0.04,0.046,0.064,0.073,0.383,0.315,0.062
2.51365,0.054,0.077,0.506,0.128,0.05,0.021,0.03,0.038,0.032,0.088,1.0,0.111
2.7341,1.0,0.838,0.197,0.132,0.054,0.037,0.034,0.046,0.04,0.074,0.096,0.371
3.08245,1.0,0.255,0.037,0.016,0.009,0.006,0.008,0.009,0.012,0.013,0.017,0.042
3.15256,1.0,0.321,0.032,0.024,0.011,0.009,0.01,0.012,0.011,0.016,0.018,0.028
3.3322,1.0,0.801,0.105,0.06,0.034,0.032,0.049,0.043,0.029,0.038,0.038,0.104
3.698,0.055,0.141,0.385,0.053,0.049,0.176,0.479,1.0,0.129,0.029,0.024,0.028
3.88322,0.065,0.071,0.259,0.227,1.0,0.238,0.111,0.044,0.143,0.05,0.07,0.187
4.45841,0.148,0.259,1.0,0.158,0.14,0.061,0.271,0.099,0.107,0.323,0.042,0.068
4.89324,0.342,0.913,0.381,0.986,0.371,0.281,0.477,0.623,0.684,1.0,0.54,0.815
5.71823,0.06,0.134,0.064,0.111,0.05,0.063,0.05,0.101,1.0,0.147,0.054,0.068
6.44825,0.346,0.443,0.252,0.223,0.262,0.081,0.125,0.228,0.255,0.175,1.0,0.25
7.88295,0.03,0.008,0.008,0.006,0.009,1.0,0.034,0.012,0.008,0.003,0.004,0.01
8.26667,0.047,0.046,0.047,0.048,0.025,0.739,0.089,0.096,0.044,0.07,1.0,0.086
8.59673,0.166,0.088,0.04,0.031,0.029,0.498,0.073,0.031,0.073,0.112,1.0,0.086
8.74172,0.216,0.145,0.094,0.097,0.043,0.299,0.074,0.047,0.06,0.063,1.0,0.068
8.89873,0.073,0.069,0.044,0.052,0.056,0.038,0.035,1.0,0.061,0.023,0.229,0.099
9.12531,0.138,0.269,0.135,0.048,0.046,0.111,0.143,1.0,0.131,0.048,0.414,0.11
9.56077,1.0,0.041,0.048,0.017,0.063,0.018,0.11,0.231,0.025,0.032,0.115,0.047
10.45941,0.298,0.074,0.058,0.039,0.04,0.021,0.078,0.144,0.064,0.037,0.062,1.0
11.97683,0.261,0.129,0.094,0.272,0.726,0.298,0.126,0.071,0.11,0.241,0.209,1.0
12.07841,0.33,0.371,0.916,0.897,0.332,0.073,0.187,0.069,0.2,1.0,0.101,0.115
12.20163,0.127,0.1,0.102,0.274,0.138,0.323,0.185,0.067,0.051,0.121,1.0,0.103
12.31878,0.507,0.966,1.0,0.479,0.435,0.918,0.406,0.366,0.556,0.253,0.31,0.756
12.86794,0.244,0.069,0.07,0.313,0.084,0.082,0.213,0.671,1.0,0.472,0.195,0.079
13.06054,0.282,0.343,0.591,0.661,1.0,0.259,0.252,0.497,0.598,0.924,0.92,0.457
13.60014,1.0,0.377,0.198,0.314,0.105,0.904,0.563,0.293,0.186,0.228,0.203,0.441
13.76902,0.434,0.823,0.194,0.14,0.353,1.0,0.669,0.426,0.288,0.124,0.54,0.173
13.88113,0.202,0.179,0.053,0.056,0.053,0.161,0.496,1.0,0.142,0.094,0.062,0.171
14.22717,0.396,0.246,0.037,0.253,0.062,0.074,0.172,0.11,1.0,0.199,0.171,0.316
14.39624,0.261,0.156,0.111,0.115,1.0,0.38,0.148,0.332,0.249,0.896,0.876,0.348
14.55846,0.768,1.0,0.277,0.672,0.219,0.191,0.083,0.171,0.784,0.245,0.246,0.194
14.82086,0.442,0.308,0.597,0.427,0.088,0.22,0.288,0.095,0.142,0.185,0.228,1.0
15.74399,0.276,0.394,0.453,0.238,0.127,0.259,1.0,0.932,0.264,0.148,0.116,0.252
16.99728,0.025,0.014,0.011,0.066,0.083,0.012,0.013,0.048,1.0,0.873,0.048,0.014
17.65202,1.0,0.464,0.136,0.048,0.115,0.014,0.05,0.508,0.651,0.076,0.044,0.402
17.74531,0.269,0.013,0.022,0.009,0.02,0.156,0.011,0.032,0.049,0.028,1.0,0.048
18.5283,0.068,0.89,1.0,0.075,0.036,0.052,0.039,0.023,0.085,0.084,0.144,0.056
20.05016,0.05,0.121,0.758,0.255,1.0,0.176,0.039,0.08,0.07,0.059,0.421,0.124
20.27737,0.03,0.027,0.184,0.08,0.114,0.028,0.011,0.02,0.018,0.338,1.0,0.08
20.41601,0.866,1.0,0.594,0.153,0.156,0.084,0.087,0.136,0.098,0.199,0.201,0.621
20.60204,0.453,0.262,1.0,0.173,0.068,0.064,0.047,0.076,0.042,0.091,0.07,0.187
20.98454,0.754,0.411,0.359,0.708,0.224,0.154,0.135,0.187,0.276,0.185,1.0,0.215
21.08354,0.328,0.156,0.185,0.19,0.309,0.896,1.0,0.292,0.36,0.233,0.166,0.114
21.45596,0.05,0.063,0.058,0.047,0.081,0.097,0.076,0.044,0.05,1.0,0.142,0.042
21.98313,0.449,0.362,0.155,0.261,1.0,0.217,0.111,0.078,0.232,0.218,0.209,0.202
22.08658,0.857,0.279,0.374,0.255,1.0,0.726,0.229,0.14,0.282,0.271,0.149,0.523
22.26231,0.493,0.198,0.162,0.291,0.16,0.446,0.139,0.123,0.16,0.237,1.0,0.196
22.37837,0.434,0.443,0.302,0.337,0.204,0.689,0.176,0.114,0.192,0.197,1.0,0.682
23.49311,0.444,0.106,0.274,0.113,0.128,0.545,0.185,0.763,1.0,0.518,0.321,0.616
23.81723,0.618,0.904,1.0,0.192,0.112,0.164,0.108,0.347,0.445,0.23,0.105,0.25
24.39234,0.047,0.109,0.062,0.066,0.231,0.056,1.0,0.108,0.038,0.031,0.022,0.051
24.56698,0.619,0.551,0.369,0.231,0.887,0.725,1.0,0.258,0.129,0.186,0.119,0.362
