start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.06,0.147,0.093,0.036,0.046,0.159,1.0,0.556,0.06,0.041,0.157,0.122
0.41755,0.087,0.244,0.146,0.044,0.047,0.167,1.0,0.454,0.087,0.046,0.226,0.131
0.64485,0.297,0.351,0.272,0.133,0.135,0.417,1.0,0.585,0.257,0.22,0.442,0.4
0.84091,0.354,0.97,0.477,0.173,0.218,0.282,1.0,0.784,0.329,0.174,0.317,0.606
0.95206,0.178,0.093,0.065,0.116,0.099,0.061,1.0,0.393,0.287,0.156,0.157,0.307
1.57828,0.337,0.154,0.079,0.12,0.116,0.065,1.0,0.459,0.604,0.163,0.147,0.569
1.73057,0.496,0.171,0.132,0.214,0.181,0.197,1.0,0.631,0.775,0.35,0.181,0.984
1.9434,0.362,0.119,0.066,0.176,0.157,0.132,1.0,0.466,0.679,0.223,0.154,0.467
2.16472,0.376,0.137,0.083,0.153,0.119,0.069,1.0,0.401,0.411,0.164,0.168,0.48
2.38018,0.174,0.084,0.112,0.09,0.104,0.086,1.0,0.544,0.581,0.269,0.123,0.16
2.58825,0.079,0.106,0.099,0.131,0.073,0.117,1.0,0.66,0.988,0.426,0.228,0.257
2.69347,0.177,0.093,0.063,0.093,0.112,0.037,1.0,0.425,0.265,0.099,0.099,0.264
2.86676,0.501,0.235,0.126,0.333,0.174,0.104,1.0,0.697,0.833,0.399,0.278,0.391
3.05941,0.389,0.095,0.079,0.141,0.115,0.069,1.0,0.537,0.398,0.143,0.192,0.375
3.43057,0.105,0.103,0.06,0.082,0.099,0.043,1.0,0.392,0.201,0.115,0.18,0.214
3.72073,0.306,0.066,0.064,0.142,0.113,0.036,1.0,0.406,0.286,0.132,0.159,0.451
4.03995,0.22,0.082,0.088,0.13,0.11,0.089,1.0,0.553,0.264,0.097,0.154,0.379
4.36014,0.171,0.07,0.09,0.123,0.073,0.066,1.0,0.455,0.229,0.099,0.114,0.271
4.58571,0.196,0.105,0.123,0.166,0.112,0.07,1.0,0.522,0.268,0.2,0.151,0.245
4.83515,0.239,0.112,0.127,0.149,0.096,0.05,1.0,0.336,0.136,0.078,0.092,0.358
5.13596,0.218,0.08,0.1,0.11,0.088,0.067,1.0,0.521,0.329,0.144,0.123,0.402
5.35864,0.471,0.11,0.126,0.154,0.12,0.096,1.0,0.836,0.278,0.15,0.281,0.916
5.51501,0.249,0.128,0.082,0.193,0.116,0.076,1.0,0.605,0.203,0.094,0.216,0.366
5.72426,0.405,0.159,0.119,0.168,0.233,0.135,1.0,0.521,0.18,0.091,0.104,0.51
5.8171,0.296,0.217,0.117,0.183,0.182,0.223,1.0,0.778,0.332,0.178,0.245,0.489
5.95469,0.355,0.384,0.369,0.208,0.41,0.324,1.0,0.424,0.226,0.165,0.379,0.506
6.12971,0.209,0.603,0.403,0.2,0.277,0.367,1.0,0.566,0.378,0.312,0.544,0.429
6.30354,0.103,0.325,0.175,0.105,0.195,0.305,1.0,0.348,0.171,0.111,0.241,0.167
6.53678,0.182,0.646,0.366,0.157,0.286,0.363,1.0,0.621,0.266,0.23,0.357,0.248
6.83265,0.079,0.217,0.15,0.055,0.077,0.249,1.0,0.354,0.136,0.106,0.175,0.11
7.15102,0.186,0.212,0.161,0.15,0.229,0.469,1.0,0.302,0.287,0.243,0.593,0.208
7.24957,0.088,0.374,0.237,0.107,0.148,0.445,1.0,0.395,0.239,0.22,0.484,0.217
7.50576,0.116,0.38,0.325,0.122,0.152,0.336,1.0,0.411,0.253,0.223,0.22,0.219
7.64449,0.138,0.311,0.237,0.062,0.123,0.213,1.0,0.577,0.178,0.171,0.53,0.291
8.13392,0.1,0.196,0.157,0.053,0.052,0.128,1.0,0.494,0.065,0.104,0.328,0.354
8.45719,0.046,0.128,0.133,0.036,0.058,0.107,1.0,0.472,0.054,0.057,0.273,0.149
8.73088,0.068,0.179,0.125,0.047,0.065,0.136,1.0,0.295,0.053,0.06,0.175,0.158
9.06771,0.148,0.299,0.26,0.094,0.104,0.27,1.0,0.44,0.123,0.085,0.232,0.24
9.27542,0.081,0.367,0.22,0.061,0.066,0.202,1.0,0.66,0.069,0.076,0.454,0.331
9.46608,0.073,0.205,0.159,0.054,0.068,0.148,1.0,0.326,0.066,0.051,0.187,0.164
9.93778,0.158,0.306,0.195,0.077,0.094,0.226,1.0,0.735,0.109,0.074,0.215,0.291
10.12422,0.103,0.305,0.148,0.047,0.097,0.188,1.0,0.457,0.05,0.065,0.219,0.296
10.3858,0.122,0.345,0.274,0.056,0.104,0.236,1.0,0.58,0.088,0.086,0.349,0.362
10.75156,0.151,0.285,0.197,0.055,0.123,0.316,1.0,0.314,0.077,0.04,0.263,0.391
10.90236,0.066,0.3,0.149,0.051,0.07,0.142,1.0,0.392,0.048,0.044,0.182,0.165
11.32576,0.102,0.214,0.117,0.04,0.061,0.254,1.0,0.73,0.099,0.084,0.193,0.171
11.42512,0.067,0.16,0.13,0.107,0.079,0.162,1.0,0.442,0.223,0.141,0.156,0.097
11.73175,0.175,0.624,0.472,0.401,0.183,0.65,1.0,0.438,0.477,0.494,0.436,0.384
11.87669,0.121,0.233,0.094,0.259,0.268,0.17,1.0,0.265,0.322,0.171,0.209,0.176
12.05605,0.133,0.334,0.127,0.24,0.19,0.158,0.414,0.378,1.0,0.47,0.314,0.335
12.23129,0.102,0.235,0.157,0.316,0.319,0.1,0.568,0.324,1.0,0.946,0.174,0.195
12.51542,0.116,0.134,0.099,0.359,0.185,0.115,0.618,0.385,1.0,0.944,0.129,0.169
12.78798,0.184,0.175,0.137,0.27,0.243,0.157,0.613,0.435,1.0,0.72,0.175,0.272
12.99116,0.087,0.108,0.078,0.298,0.243,0.092,0.283,0.386,1.0,0.515,0.144,0.118
13.11283,0.223,0.204,0.147,0.514,0.329,0.14,0.77,0.548,1.0,0.776,0.145,0.3
13.35079,0.119,0.145,0.125,0.544,0.248,0.111,0.922,0.758,1.0,0.515,0.138,0.142
13.67007,0.156,0.196,0.136,0.372,0.268,0.217,1.0,0.568,0.999,0.354,0.113,0.238
14.002,0.33,0.308,0.141,0.388,0.232,0.371,1.0,0.799,0.556,0.185,0.124,0.526
14.11193,0.252,0.247,0.205,0.634,0.495,0.179,1.0,0.662,0.241,0.161,0.141,0.425
14.21161,0.101,0.14,0.15,0.61,0.408,0.108,0.646,1.0,0.747,0.48,0.158,0.226
14.40218,0.155,0.155,0.115,0.315,0.217,0.153,1.0,0.657,0.393,0.342,0.095,0.327
14.53116,0.141,0.132,0.124,0.41,0.242,0.086,1.0,0.731,0.373,0.316,0.11,0.243
14.99329,0.137,0.112,0.107,0.561,0.444,0.109,1.0,0.47,0.702,0.384,0.167,0.31
15.31397,0.291,0.149,0.221,0.621,0.521,0.169,1.0,0.347,0.66,0.417,0.273,0.556
15.65551,0.31,0.166,0.174,0.525,0.406,0.283,1.0,0.579,0.764,0.343,0.249,0.605
15.87601,0.353,0.371,0.227,0.939,0.977,0.13,0.777,1.0,0.717,0.195,0.242,0.504
16.00481,0.307,0.117,0.157,1.0,0.646,0.119,0.634,0.611,0.544,0.537,0.34,0.43
16.09111,0.601,0.117,0.077,0.435,0.335,0.039,0.44,0.199,0.16,0.13,0.117,1.0
16.17787,0.513,0.073,0.072,0.45,0.385,0.095,0.559,0.381,0.249,0.106,0.088,1.0
16.27084,0.313,0.144,0.165,0.852,0.398,0.11,1.0,0.637,0.456,0.295,0.227,0.637
16.69025,0.348,0.076,0.09,0.475,0.358,0.117,1.0,0.65,0.282,0.262,0.188,0.611
16.81732,0.121,0.086,0.138,0.375,0.33,0.107,1.0,0.452,0.116,0.076,0.075,0.182
16.94041,0.182,0.283,0.179,0.299,0.284,0.286,1.0,0.374,0.248,0.178,0.251,0.281
17.77483,0.117,0.233,0.16,0.116,0.153,0.28,1.0,0.475,0.187,0.089,0.258,0.215
18.49333,0.141,0.393,0.176,0.08,0.133,0.179,1.0,0.351,0.133,0.113,0.46,0.285
18.76227,0.139,0.26,0.102,0.069,0.059,0.146,1.0,0.467,0.074,0.077,0.48,0.429
18.87764,0.141,0.238,0.091,0.065,0.11,0.125,1.0,0.351,0.11,0.11,0.42,0.555
19.05193,0.086,0.14,0.127,0.047,0.095,0.21,1.0,0.317,0.041,0.058,0.367,0.289
19.33764,0.09,0.147,0.14,0.044,0.069,0.157,1.0,0.296,0.081,0.071,0.163,0.211
19.65002,0.087,0.164,0.104,0.036,0.071,0.148,1.0,0.272,0.051,0.037,0.258,0.143
19.99361,0.093,0.213,0.135,0.054,0.088,0.133,1.0,0.407,0.104,0.086,0.333,0.217
20.89683,0.454,0.974,0.47,0.223,0.245,0.34,1.0,0.457,0.15,0.216,0.838,0.977
21.04385,0.195,0.286,0.151,0.104,0.141,0.255,1.0,0.564,0.094,0.071,0.205,0.242
21.16621,0.139,0.407,0.243,0.109,0.137,0.269,1.0,0.376,0.108,0.08,0.438,0.474
21.78522,0.112,0.335,0.178,0.066,0.069,0.221,1.0,0.591,0.067,0.093,0.301,0.223
22.1981,0.074,0.259,0.175,0.074,0.097,0.195,1.0,0.495,0.075,0.06,0.139,0.168
22.33782,0.197,0.891,0.395,0.066,0.083,0.267,1.0,0.522,0.093,0.097,0.115,0.308
22.51823,0.098,0.321,0.2,0.066,0.101,0.244,1.0,0.301,0.075,0.077,0.184,0.227
22.81374,0.232,0.7,0.42,0.215,0.24,0.232,1.0,0.845,0.193,0.243,0.477,0.291
22.90671,0.225,0.317,0.229,0.133,0.133,0.187,1.0,0.467,0.205,0.124,0.346,0.343
23.15116,0.353,0.24,0.182,0.151,0.16,0.289,1.0,0.344,0.305,0.335,0.196,0.581
23.30132,0.182,0.178,0.149,0.169,0.15,0.091,1.0,0.409,0.462,0.183,0.19,0.223
23.5561,0.561,0.255,0.122,0.237,0.162,0.141,1.0,0.52,0.642,0.402,0.199,0.876
23.93506,0.542,0.35,0.314,0.266,0.227,0.257,0.896,0.518,1.0,0.523,0.321,0.61
24.09011,0.337,0.483,0.187,0.171,0.127,0.171,1.0,0.58,0.488,0.16,0.217,0.376
24.24068,0.395,0.24,0.129,0.103,0.08,0.11,1.0,0.526,0.654,0.204,0.257,0.548
24.50186,0.257,0.168,0.104,0.107,0.107,0.109,1.0,0.609,0.582,0.245,0.147,0.403
24.71175,0.254,0.163,0.184,0.164,0.126,0.107,1.0,0.557,0.993,0.213,0.203,0.473
25.25107,0.193,0.147,0.067,0.127,0.101,0.097,1.0,0.388,0.289,0.185,0.204,0.404
25.41501,0.459,0.353,0.156,0.244,0.189,0.152,1.0,0.58,0.2,0.353,0.797,0.902
25.52499,0.472,0.184,0.12,0.15,0.131,0.069,1.0,0.715,0.245,0.207,0.201,0.475
25.66336,0.293,0.201,0.11,0.176,0.167,0.098,1.0,0.563,0.902,0.278,0.296,0.518
25.84975,0.26,0.121,0.165,0.213,0.139,0.1,1.0,0.482,0.378,0.213,0.268,0.394
26.1112,0.336,0.188,0.241,0.211,0.154,0.137,1.0,0.594,0.419,0.234,0.369,0.62
26.37873,0.521,0.146,0.254,0.304,0.169,0.279,1.0,0.664,0.706,0.233,0.315,0.841
26.48834,0.195,0.168,0.235,0.235,0.144,0.08,1.0,0.607,0.176,0.058,0.145,0.303
26.61637,0.214,0.125,0.059,0.148,0.103,0.051,1.0,0.282,0.105,0.077,0.063,0.204
26.69723,0.252,0.206,0.17,0.116,0.072,0.099,1.0,0.422,0.34,0.157,0.1,0.488
26.87116,0.715,0.223,0.181,0.44,0.21,0.117,0.858,0.631,0.67,0.226,0.236,1.0
27.01011,0.763,0.349,0.227,0.278,0.193,0.114,0.915,0.393,0.181,0.128,0.188,1.0
27.11501,0.445,0.275,0.15,0.258,0.195,0.102,1.0,0.344,0.435,0.171,0.221,0.532
27.26544,0.29,0.165,0.067,0.151,0.109,0.067,1.0,0.599,0.253,0.108,0.192,0.51
27.45805,0.305,0.183,0.186,0.176,0.146,0.077,1.0,0.457,0.206,0.116,0.179,0.521
27.60345,0.13,0.124,0.061,0.12,0.073,0.047,1.0,0.444,0.23,0.073,0.131,0.199
27.82866,0.264,0.217,0.214,0.222,0.235,0.301,1.0,0.55,0.243,0.207,0.256,0.465
28.11791,0.193,0.264,0.272,0.174,0.206,0.244,1.0,0.691,0.618,0.156,0.295,0.257
