start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.648,0.845,1.0,0.474,0.448,0.543,0.386,0.8,0.609,0.326,0.408,0.714
0.19125,0.038,1.0,0.073,0.02,0.019,0.044,0.016,0.03,0.057,0.02,0.024,0.052
0.65011,0.02,1.0,0.045,0.007,0.008,0.024,0.008,0.01,0.031,0.009,0.011,0.025
0.99424,0.019,1.0,0.06,0.005,0.003,0.013,0.005,0.007,0.042,0.005,0.006,0.018
1.38181,0.191,1.0,0.416,0.016,0.009,0.021,0.007,0.009,0.047,0.006,0.008,0.064
1.48571,0.012,1.0,0.043,0.007,0.01,0.037,0.01,0.01,0.056,0.009,0.011,0.036
2.15356,0.253,1.0,0.421,0.035,0.008,0.05,0.007,0.008,0.059,0.006,0.011,0.095
2.24685,0.032,1.0,0.121,0.006,0.006,0.069,0.005,0.005,0.026,0.003,0.006,0.021
2.47356,0.089,1.0,0.316,0.01,0.013,0.127,0.006,0.005,0.022,0.003,0.006,0.027
2.61211,0.05,1.0,0.111,0.007,0.027,0.13,0.005,0.003,0.032,0.005,0.005,0.029
2.84299,0.058,1.0,0.129,0.011,0.038,0.158,0.006,0.005,0.044,0.005,0.004,0.033
3.04794,0.063,1.0,0.139,0.011,0.036,0.124,0.006,0.005,0.053,0.006,0.004,0.02
3.25624,0.062,1.0,0.176,0.02,0.071,0.153,0.007,0.005,0.056,0.008,0.003,0.027
3.44844,0.034,1.0,0.122,0.025,0.078,0.102,0.011,0.008,0.074,0.007,0.004,0.037
3.63333,0.067,1.0,0.082,0.031,0.111,0.114,0.008,0.008,0.107,0.011,0.006,0.034
3.86658,0.052,1.0,0.102,0.056,0.132,0.084,0.008,0.008,0.1,0.01,0.005,0.036
4.04608,0.14,1.0,0.062,0.055,0.285,0.106,0.014,0.013,0.126,0.011,0.013,0.042
4.33043,0.357,1.0,0.389,0.249,0.351,0.298,0.05,0.055,0.253,0.034,0.054,0.131
4.4473,0.21,0.693,0.036,0.061,0.305,0.075,0.244,0.022,0.056,0.021,0.068,1.0
4.78381,0.105,0.191,0.013,0.031,0.22,0.028,0.156,0.006,0.028,0.012,0.082,1.0
5.06558,0.077,0.147,0.011,0.021,0.194,0.022,0.21,0.009,0.018,0.015,0.07,1.0
5.49664,0.078,0.03,0.005,0.012,0.052,0.011,0.228,0.007,0.012,0.015,0.037,1.0
6.23497,0.132,0.045,0.009,0.022,0.106,0.025,0.272,0.011,0.02,0.022,0.069,1.0
7.02372,1.0,0.124,0.009,0.037,0.02,0.021,0.227,0.023,0.16,0.162,0.947,0.47
7.11537,0.132,0.026,0.006,0.019,0.056,0.016,0.161,0.011,0.007,0.007,0.226,1.0
7.30821,0.093,0.027,0.003,0.021,0.162,0.008,0.184,0.008,0.005,0.004,0.038,1.0
7.64912,0.461,0.021,0.012,0.076,0.089,0.045,0.177,0.036,0.011,0.009,0.052,1.0
7.76313,0.363,0.08,0.056,0.102,0.11,0.115,0.339,0.044,0.009,0.007,0.122,1.0
7.88113,0.402,0.038,0.021,0.055,0.113,0.062,0.185,0.026,0.008,0.008,0.031,1.0
8.02349,0.065,0.206,0.239,0.028,0.12,0.04,1.0,0.021,0.021,0.024,0.065,0.871
8.74789,0.52,0.254,0.221,0.253,0.162,0.165,1.0,0.092,0.04,0.04,0.111,0.783
8.91048,0.074,0.081,0.158,0.039,0.188,0.053,1.0,0.044,0.03,0.041,0.064,0.469
9.46921,0.184,0.117,0.099,0.109,0.055,0.13,1.0,0.103,0.009,0.007,0.022,0.327
9.62649,0.078,0.105,0.005,0.017,0.067,0.037,1.0,0.023,0.008,0.006,0.036,0.788
9.97175,0.296,0.167,0.007,0.026,0.061,0.131,1.0,0.066,0.009,0.012,0.167,0.955
10.16354,0.245,0.333,0.01,0.024,0.074,0.021,1.0,0.033,0.011,0.01,0.03,0.921
10.53497,0.109,0.143,0.009,0.021,0.041,0.076,1.0,0.09,0.009,0.007,0.092,0.532
10.72721,0.142,0.103,0.049,0.054,0.054,0.189,1.0,0.17,0.012,0.011,0.038,0.378
10.84961,0.214,0.203,0.008,0.01,0.012,0.066,1.0,0.051,0.01,0.007,0.095,0.707
11.08213,0.182,0.114,0.007,0.015,0.021,0.114,0.855,0.057,0.01,0.009,0.176,1.0
11.28558,0.191,0.096,0.005,0.016,0.013,0.037,0.546,0.055,0.012,0.012,0.159,1.0
11.4946,0.206,0.052,0.004,0.012,0.009,0.081,0.715,0.06,0.009,0.012,0.158,1.0
11.69007,0.443,0.1,0.039,0.056,0.03,0.108,0.743,0.119,0.014,0.017,0.077,1.0
11.80086,0.156,0.063,0.004,0.012,0.01,0.034,0.488,0.041,0.009,0.013,0.217,1.0
11.98816,0.23,0.042,0.016,0.024,0.011,0.038,0.297,0.014,0.013,0.011,0.027,1.0
12.16735,0.231,0.036,0.012,0.019,0.011,0.046,0.5,0.016,0.008,0.01,0.017,1.0
12.34644,0.115,0.092,0.004,0.016,0.01,0.06,0.927,0.046,0.009,0.012,0.11,1.0
12.57977,0.191,0.124,0.043,0.06,0.016,0.044,0.7,0.055,0.02,0.025,0.031,1.0
12.75937,0.041,0.063,0.004,0.012,0.008,0.067,1.0,0.067,0.007,0.008,0.037,0.423
12.9859,0.088,0.045,0.013,0.021,0.01,0.15,1.0,0.142,0.013,0.01,0.038,0.356
