start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.696,1.0,0.385,0.402,0.241,0.053,0.051,0.229,0.182,0.021,0.033,0.187
0.33673,1.0,0.186,0.018,0.033,0.037,0.025,0.016,0.19,0.028,0.027,0.041,0.374
0.49247,1.0,0.027,0.013,0.013,0.012,0.016,0.012,0.085,0.012,0.046,0.029,0.03
1.06141,0.569,0.02,0.068,0.023,0.018,0.019,0.091,1.0,0.03,0.018,0.017,0.024
1.6824,0.312,0.047,0.053,0.247,0.035,0.021,0.028,1.0,0.026,0.028,0.051,0.024
4.23982,0.05,0.017,0.022,0.039,0.024,0.033,0.058,1.0,0.047,0.131,0.22,0.053
4.80422,0.011,0.008,0.02,0.007,0.006,0.05,0.037,1.0,0.032,0.158,0.63,0.026
5.27202,0.013,0.013,0.102,0.047,0.031,0.047,0.118,1.0,0.046,0.147,0.816,0.034
5.75302,0.224,0.033,0.055,0.101,0.025,0.049,0.048,1.0,0.043,0.06,0.634,0.021
8.71347,0.003,0.002,0.007,0.006,0.002,0.021,0.004,0.012,0.004,0.099,1.0,0.009
9.37515,0.02,0.01,0.012,0.027,0.035,0.632,0.035,0.018,0.01,0.058,1.0,0.016
9.96635,0.057,0.476,0.072,0.023,0.029,0.339,0.025,0.048,0.059,0.138,1.0,0.069
10.4668,0.034,0.123,0.012,0.03,0.04,1.0,0.064,0.015,0.014,0.035,0.094,0.006
10.96567,0.057,0.44,0.04,0.022,0.074,1.0,0.03,0.015,0.057,0.043,0.163,0.02
11.36626,0.024,0.067,0.007,0.012,0.017,1.0,0.037,0.012,0.014,0.029,0.031,0.007
12.12621,0.073,0.027,0.021,0.076,0.036,1.0,0.072,0.054,0.745,0.031,0.047,0.02
13.32059,0.105,0.396,0.06,0.076,0.054,0.894,0.073,0.046,1.0,0.063,0.118,0.028
16.64295,1.0,0.042,0.013,0.017,0.014,0.011,0.013,0.118,0.02,0.04,0.075,0.042
17.25941,0.557,0.018,0.093,0.034,0.026,0.016,0.086,1.0,0.037,0.041,0.026,0.038
17.7985,0.029,0.008,0.023,0.043,0.016,0.012,0.033,1.0,0.028,0.019,0.03,0.022
18.27841,0.079,0.009,0.057,0.033,0.018,0.012,0.075,1.0,0.026,0.018,0.016,0.022
18.72599,0.083,0.024,0.06,0.403,0.034,0.044,0.056,1.0,0.037,0.05,0.072,0.036
19.17456,0.042,0.02,0.039,0.062,0.024,0.066,0.038,0.421,0.047,0.208,1.0,0.096
20.36481,0.017,0.025,0.12,0.023,0.011,0.112,0.117,1.0,0.062,0.047,0.384,0.135
20.52132,1.0,0.056,0.082,0.301,0.077,0.106,0.098,0.667,0.055,0.068,0.728,0.066
21.33977,0.229,0.033,0.051,0.208,0.035,0.048,0.051,1.0,0.05,0.063,0.276,0.029
23.87615,0.044,0.005,0.008,0.093,0.009,0.012,0.023,0.054,1.0,0.03,0.021,0.01
24.59238,0.042,0.011,0.015,0.061,0.039,1.0,0.07,0.05,0.838,0.024,0.015,0.01
25.11365,0.558,0.027,0.025,0.023,0.022,0.331,0.059,1.0,0.278,0.023,0.036,0.036
25.5898,0.139,0.01,0.012,0.023,0.039,1.0,0.063,0.159,0.119,0.022,0.014,0.005
26.03424,0.268,0.022,0.013,0.025,0.034,1.0,0.05,0.056,0.111,0.034,0.023,0.02
26.99846,0.039,0.008,0.012,0.006,0.006,0.163,0.009,0.014,0.014,0.139,1.0,0.022
27.56127,0.053,0.015,0.022,0.022,0.036,1.0,0.057,0.027,0.023,0.066,0.72,0.029
28.12091,0.025,0.026,0.154,0.017,0.028,1.0,0.031,0.023,0.023,0.044,0.279,0.019
28.68943,0.021,0.017,0.158,0.037,0.036,1.0,0.054,0.02,0.012,0.035,0.312,0.012
29.39125,0.083,0.039,0.544,0.039,0.057,1.0,0.047,0.06,0.077,0.187,0.554,0.057
31.44041,0.041,0.006,0.011,0.08,0.01,0.022,0.021,0.039,1.0,0.047,0.03,0.01
32.13465,0.097,0.01,0.02,0.083,0.048,0.627,0.092,0.296,1.0,0.083,0.025,0.019
32.36204,0.623,0.056,0.026,0.047,0.043,1.0,0.059,0.067,0.518,0.094,0.059,0.07
33.17098,0.118,0.012,0.007,0.02,0.026,1.0,0.036,0.013,0.082,0.014,0.009,0.011
33.74531,0.425,0.034,0.021,0.041,0.055,1.0,0.078,0.038,0.134,0.052,0.035,0.029
34.59342,0.585,0.021,0.02,0.018,0.026,0.169,0.026,0.016,0.02,0.13,1.0,0.02
35.31918,0.161,0.059,0.344,0.05,0.041,1.0,0.068,0.032,0.042,0.121,0.664,0.038
