start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.035,0.476,0.467,0.468,0.986,1.0,0.562,0.565,0.03,0.03,0.03,0.002
0.1854,0.443,1.0,0.134,0.038,0.212,0.274,0.843,0.702,0.11,0.059,0.066,0.184
0.3888,0.199,1.0,0.317,0.184,0.364,0.245,0.249,0.24,0.25,0.208,0.04,0.112
0.56844,0.747,1.0,0.472,0.106,0.264,0.144,0.437,0.465,0.24,0.189,0.249,0.224
0.66816,0.234,1.0,0.246,0.101,0.232,0.181,0.354,0.411,0.47,0.231,0.182,0.414
0.90612,0.124,1.0,0.544,0.362,0.403,0.443,0.639,0.451,0.573,0.462,0.611,0.267
1.04531,0.213,1.0,0.124,0.091,0.285,0.227,0.458,0.536,0.483,0.3,0.563,0.467
1.28231,0.171,0.363,0.159,0.114,0.191,0.257,0.46,0.353,0.895,0.522,1.0,0.525
1.53714,0.851,1.0,0.258,0.128,0.562,0.501,0.628,0.533,0.07,0.084,0.324,0.385
1.8229,1.0,0.631,0.142,0.076,0.108,0.211,0.113,0.21,0.057,0.029,0.1,0.106
2.06508,0.841,1.0,0.302,0.068,0.252,0.545,0.637,0.849,0.194,0.086,0.324,0.241
2.29642,0.209,0.24,0.173,0.123,0.411,0.343,0.485,1.0,0.922,0.328,0.671,0.278
2.73429,0.342,0.365,0.097,0.086,0.199,0.192,0.266,0.292,0.055,0.114,1.0,0.52
3.05909,0.686,0.465,0.756,0.961,1.0,0.646,0.888,0.53,0.692,0.397,0.284,0.461
3.33202,0.196,0.054,0.04,0.027,0.145,0.149,0.764,0.753,0.997,1.0,0.548,0.034
3.4873,0.257,0.07,0.009,0.004,0.188,0.199,0.993,1.0,0.905,0.895,0.158,0.011
3.65592,0.611,0.289,0.084,0.024,0.105,0.048,0.132,0.378,0.346,0.41,0.342,1.0
3.89147,0.885,1.0,0.297,0.238,0.31,0.129,0.127,0.166,0.283,0.268,0.48,0.342
4.12617,0.415,0.122,0.011,0.011,0.356,0.359,0.915,0.909,0.997,1.0,0.733,0.011
4.26499,0.626,0.453,0.185,0.456,0.949,1.0,0.344,0.986,0.591,0.436,0.619,0.27
4.82476,0.909,0.509,0.268,0.226,0.647,0.726,0.242,0.613,0.265,0.123,1.0,0.852
5.16739,0.563,0.407,0.199,0.046,0.355,0.167,0.245,0.339,0.122,0.162,1.0,0.348
5.38222,0.19,0.185,0.171,0.163,0.602,1.0,0.616,0.15,0.106,0.169,0.25,0.219
