start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.483,0.234,0.395,0.219,0.357,0.228,0.315,0.165,0.141,0.161,0.236
0.88948,0.102,0.157,0.769,0.151,0.042,0.064,0.117,0.06,0.153,1.0,0.474,0.042
1.05828,0.151,0.247,0.67,0.12,0.068,0.046,0.079,0.07,0.07,1.0,0.088,0.079
1.44676,0.009,0.027,0.102,0.01,0.011,0.022,1.0,0.072,0.019,0.081,0.007,0.005
1.9405,0.035,0.107,0.276,0.047,0.024,0.1,1.0,0.159,0.077,0.566,0.146,0.037
2.1668,0.039,0.057,0.361,0.031,0.02,0.022,0.317,0.07,0.028,1.0,0.101,0.02
2.46236,0.015,0.08,0.88,0.073,0.018,0.028,1.0,0.067,0.023,0.189,0.022,0.019
2.98304,0.165,0.657,1.0,0.094,0.063,0.099,0.993,0.142,0.071,0.252,0.125,0.103
3.14712,0.053,0.292,0.928,0.065,0.059,0.034,1.0,0.099,0.094,0.907,0.154,0.033
3.50186,0.022,0.136,1.0,0.071,0.039,0.015,0.147,0.032,0.023,0.404,0.038,0.02
4.04054,0.028,0.219,1.0,0.096,0.018,0.015,0.213,0.024,0.014,0.298,0.02,0.02
4.43379,0.268,1.0,0.348,0.028,0.039,0.037,0.434,0.056,0.038,0.38,0.089,0.011
4.60376,0.201,1.0,0.3,0.036,0.056,0.043,0.411,0.063,0.04,0.666,0.127,0.06
4.77778,0.043,0.306,1.0,0.065,0.063,0.037,0.422,0.057,0.039,0.539,0.028,0.018
5.19075,0.022,0.123,1.0,0.043,0.038,0.022,0.462,0.043,0.057,0.424,0.034,0.013
5.73388,0.009,0.043,0.165,0.012,0.014,0.025,1.0,0.084,0.027,0.156,0.011,0.007
6.18717,0.018,0.08,0.382,0.028,0.028,0.025,0.95,0.093,0.106,1.0,0.071,0.021
6.70689,0.012,0.043,0.414,0.029,0.013,0.021,1.0,0.059,0.017,0.097,0.01,0.009
7.21723,0.024,0.094,0.6,0.036,0.046,0.022,0.816,0.072,0.074,1.0,0.057,0.015
7.72091,0.029,0.121,1.0,0.057,0.036,0.027,0.329,0.038,0.02,0.507,0.027,0.029
8.24902,0.035,0.097,1.0,0.073,0.082,0.026,0.413,0.072,0.039,0.593,0.032,0.015
8.99129,0.062,0.206,1.0,0.07,0.07,0.032,0.354,0.051,0.039,0.227,0.067,0.04
9.42753,0.045,0.385,0.736,0.155,0.055,0.097,1.0,0.157,0.042,0.317,0.049,0.017
9.6858,0.025,0.172,1.0,0.104,0.036,0.027,0.559,0.071,0.057,0.403,0.034,0.014
10.05941,0.73,0.938,1.0,0.784,0.372,0.336,0.299,0.155,0.175,0.305,0.625,0.581
10.13537,0.004,0.036,0.078,0.007,0.008,0.033,1.0,0.081,0.012,0.082,0.008,0.004
