start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.795,0.859,0.846,0.88,0.917,0.958,0.856,0.821,0.94,0.973,1.0,0.922
0.47016,0.002,0.003,0.007,0.004,0.002,0.01,0.008,0.004,0.003,0.011,1.0,0.01
1.18404,0.01,0.014,0.026,1.0,0.026,0.009,0.01,0.247,0.008,0.011,0.086,0.009
1.8405,0.007,0.01,0.031,0.67,0.016,0.008,0.02,1.0,0.019,0.005,0.021,0.014
2.38599,0.012,0.015,0.041,0.691,0.02,0.017,0.028,1.0,0.026,0.013,0.052,0.04
2.97832,0.007,0.014,0.014,1.0,0.016,0.006,0.005,0.037,0.002,0.004,0.086,0.005
3.53356,0.039,0.045,0.514,0.598,0.03,0.36,0.028,0.054,0.783,0.032,0.047,1.0
3.95374,0.073,0.031,0.367,1.0,0.193,0.414,0.027,0.109,0.912,0.055,0.046,0.864
4.13891,0.037,0.089,0.579,0.812,0.044,0.218,0.101,1.0,0.258,0.043,0.044,0.395
4.69578,0.018,0.022,0.036,1.0,0.031,0.167,0.02,0.056,0.011,0.016,0.096,0.011
5.23574,0.014,0.009,0.032,0.715,0.017,0.02,0.029,1.0,0.021,0.011,0.194,0.017
5.71184,0.025,0.015,0.044,1.0,0.027,0.037,0.022,0.514,0.02,0.022,0.384,0.029
6.32331,0.007,0.03,1.0,0.103,0.003,0.004,0.016,0.005,0.002,0.033,0.004,0.002
6.88508,0.014,0.026,1.0,0.341,0.006,0.009,0.009,0.006,0.007,0.032,0.342,0.021
7.44295,0.009,0.019,0.206,0.059,0.004,0.028,0.008,0.007,0.01,0.03,1.0,0.028
8.01601,1.0,0.025,0.009,0.005,0.04,0.004,0.005,0.127,0.007,0.026,0.07,0.103
8.57923,1.0,0.054,0.024,0.005,0.041,0.009,0.021,0.789,0.036,0.008,0.021,0.111
8.85261,1.0,0.079,0.031,0.009,0.045,0.007,0.016,0.574,0.033,0.018,0.032,0.094
9.11878,1.0,0.251,0.065,0.021,0.038,0.018,0.091,0.594,0.07,0.015,0.016,0.29
9.26404,1.0,0.102,0.032,0.01,0.025,0.012,0.033,0.37,0.037,0.038,0.062,0.286
9.51946,1.0,0.114,0.059,0.037,0.045,0.025,0.061,0.339,0.03,0.019,0.057,0.714
9.68254,1.0,0.028,0.006,0.004,0.029,0.003,0.004,0.045,0.005,0.026,0.045,0.093
10.21039,0.427,0.046,0.028,0.007,0.026,0.018,0.022,1.0,0.029,0.029,0.475,0.067
10.73265,1.0,0.051,0.027,0.006,0.018,0.046,0.022,0.61,0.022,0.038,0.733,0.062
