start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.071,0.139,0.38,0.322,1.0,0.491,0.262,0.598,0.379,0.186,0.129,0.339
0.30263,0.245,0.117,0.257,0.11,0.345,0.065,0.471,0.598,0.44,0.138,0.087,1.0
0.43583,0.1,0.094,0.214,0.124,1.0,0.155,0.345,0.411,0.288,0.206,0.095,0.431
1.25977,0.085,0.11,0.22,0.131,1.0,0.257,0.469,0.201,0.321,0.207,0.128,0.469
1.48032,0.063,0.082,0.114,0.037,1.0,0.089,0.252,0.212,0.186,0.097,0.073,0.256
1.74789,0.071,0.108,0.208,0.083,1.0,0.223,0.508,0.274,0.251,0.296,0.118,0.576
2.22857,0.056,0.067,0.09,0.061,1.0,0.111,0.291,0.164,0.156,0.124,0.072,0.347
2.61238,0.144,0.148,0.278,0.152,0.6,0.217,0.728,0.429,0.507,0.37,0.13,1.0
2.92014,0.091,0.09,0.181,0.103,1.0,0.229,0.408,0.386,0.2,0.264,0.127,0.531
3.65673,0.096,0.143,0.3,0.127,1.0,0.364,0.46,0.504,0.701,0.377,0.114,0.663
4.13832,0.114,0.109,0.209,0.1,0.508,0.223,0.868,0.268,0.341,0.151,0.141,1.0
4.48785,0.132,0.144,0.24,0.114,1.0,0.258,0.699,0.324,0.511,0.388,0.112,0.9
4.84127,0.138,0.093,0.181,0.171,1.0,0.203,0.48,0.238,0.344,0.206,0.151,0.815
5.13202,0.127,0.102,0.137,0.127,0.601,0.29,0.332,0.198,0.274,0.253,0.117,1.0
5.39832,0.27,0.184,0.349,0.129,0.906,0.441,0.481,1.0,0.47,0.151,0.189,0.59
5.56177,0.051,0.074,0.169,0.05,1.0,0.135,0.252,0.212,0.219,0.142,0.088,0.642
6.01959,0.183,0.185,0.214,0.146,1.0,0.34,0.592,0.646,0.731,0.501,0.304,0.863
6.53605,0.137,0.077,0.148,0.089,1.0,0.223,0.357,0.362,0.311,0.237,0.166,0.675
6.7815,0.138,0.127,0.293,0.141,0.982,0.321,0.545,0.531,0.662,0.385,0.204,1.0
7.3785,0.117,0.105,0.258,0.106,1.0,0.187,0.418,0.531,0.511,0.282,0.154,0.72
7.99474,0.108,0.108,0.245,0.081,1.0,0.187,0.566,0.365,0.374,0.305,0.187,0.779
8.93456,0.075,0.1,0.21,0.08,0.419,0.173,0.266,0.368,0.255,0.324,0.125,1.0
9.67202,0.07,0.121,0.19,0.194,1.0,0.387,0.47,0.39,0.176,0.247,0.152,0.356
9.98095,0.149,0.132,0.348,0.125,1.0,0.297,0.669,0.47,0.598,0.37,0.196,0.906
10.80363,0.148,0.133,0.268,0.158,1.0,0.243,0.919,0.306,0.665,0.464,0.152,0.757
11.08798,0.105,0.075,0.172,0.129,1.0,0.172,0.409,0.335,0.353,0.21,0.134,0.774
11.44785,0.151,0.132,0.245,0.147,1.0,0.259,0.398,0.457,0.389,0.318,0.181,0.675
