start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0346,0.35,1.0,0.122,0.042,0.095,0.196,0.053,0.071,0.354,0.033,0.025,0.147
4.33964,0.117,0.148,0.047,0.189,0.019,0.056,0.038,0.099,1.0,0.06,0.026,0.053
4.64141,0.18,0.3,0.07,0.244,0.203,0.314,0.652,0.674,1.0,0.837,0.3,0.042
4.718,0.625,0.772,0.167,0.379,0.283,0.617,0.71,0.71,1.0,0.818,0.476,0.089
4.79002,0.308,0.601,0.121,0.152,0.078,0.335,0.055,0.253,1.0,0.095,0.045,0.067
4.92789,0.102,1.0,0.035,0.114,0.05,0.317,0.064,0.087,0.704,0.035,0.018,0.026
5.25923,0.211,1.0,0.124,0.224,0.136,0.357,0.098,0.192,0.765,0.078,0.051,0.072
5.7849,0.353,0.951,0.3,0.19,0.057,0.194,0.042,0.289,1.0,0.123,0.058,0.076
5.90381,0.16,0.52,0.07,0.163,0.051,0.191,0.04,0.194,1.0,0.087,0.032,0.038
6.17601,0.37,1.0,0.238,0.205,0.096,0.315,0.076,0.172,0.417,0.108,0.03,0.082
6.27061,0.216,0.91,0.081,0.196,0.101,0.408,0.086,0.182,1.0,0.085,0.069,0.085
8.4995,0.183,0.462,0.078,0.22,0.121,0.306,0.052,0.167,1.0,0.064,0.05,0.066
9.6468,0.231,1.0,0.072,0.179,0.097,0.444,0.066,0.124,0.957,0.054,0.051,0.067
10.46036,0.193,0.6,0.088,0.334,0.068,0.257,0.053,0.096,1.0,0.061,0.198,0.063
11.17465,0.187,1.0,0.089,0.259,0.063,0.361,0.08,0.065,0.501,0.063,0.101,0.058
11.54703,0.183,0.481,0.057,0.243,0.059,0.402,0.058,0.161,1.0,0.084,0.06,0.062
11.91215,0.246,0.758,0.124,0.577,0.131,0.4,0.226,0.123,0.44,0.205,1.0,0.156
12.69474,0.11,1.0,0.057,0.059,0.052,0.386,0.338,0.052,0.126,0.077,0.616,0.053
13.51991,0.149,0.485,0.097,0.372,0.108,0.322,0.292,0.1,0.242,0.174,1.0,0.104
14.32236,0.11,0.717,0.04,0.065,0.05,0.101,0.182,0.034,0.121,0.135,1.0,0.045
14.56476,0.097,1.0,0.064,0.088,0.048,0.141,0.435,0.073,0.116,0.136,0.885,0.065
15.18671,0.198,1.0,0.12,0.165,0.126,0.438,0.486,0.2,0.698,0.146,0.636,0.196
15.72739,0.598,1.0,0.364,0.6,0.242,0.571,0.169,0.315,0.804,0.165,0.173,0.183
15.85311,0.163,0.243,0.087,0.166,0.133,0.411,0.066,0.321,1.0,0.083,0.055,0.037
15.97533,0.236,0.544,0.035,0.144,0.09,0.682,0.073,0.134,1.0,0.063,0.065,0.037
16.35819,0.198,0.831,0.109,0.283,0.104,0.363,0.047,0.16,1.0,0.062,0.074,0.059
16.87442,0.194,1.0,0.063,0.13,0.072,0.45,0.056,0.116,0.962,0.053,0.056,0.051
17.46717,0.17,0.472,0.055,0.178,0.05,0.18,0.047,0.219,1.0,0.051,0.046,0.062
18.27519,0.256,1.0,0.123,0.089,0.086,0.392,0.071,0.202,0.708,0.138,0.071,0.022
18.40181,0.191,1.0,0.058,0.17,0.077,0.376,0.078,0.148,0.919,0.086,0.059,0.052
19.29465,0.183,0.415,0.131,0.493,0.073,0.266,0.059,0.197,1.0,0.075,0.367,0.085
19.76608,0.14,0.507,0.059,0.184,0.074,0.204,0.059,0.107,1.0,0.037,0.057,0.034
19.97442,0.161,1.0,0.058,0.182,0.073,0.173,0.036,0.073,0.538,0.049,0.059,0.05
20.66045,0.216,1.0,0.125,0.472,0.09,0.413,0.262,0.111,0.485,0.172,0.941,0.114
21.37279,0.077,1.0,0.062,0.074,0.054,0.437,0.391,0.027,0.156,0.04,0.209,0.023
21.66839,0.081,1.0,0.041,0.031,0.038,0.205,0.188,0.029,0.096,0.105,0.518,0.054
22.11134,0.165,0.791,0.125,0.505,0.101,0.331,0.213,0.119,0.226,0.164,1.0,0.105
22.73229,0.21,1.0,0.126,0.063,0.042,0.113,0.698,0.062,0.069,0.043,0.233,0.049
22.8595,0.083,1.0,0.047,0.057,0.036,0.119,0.292,0.025,0.093,0.03,0.235,0.024
23.22086,0.13,1.0,0.101,0.053,0.025,0.083,0.151,0.066,0.09,0.095,0.803,0.049
23.48662,0.082,0.502,0.056,0.049,0.045,0.164,0.113,0.056,0.121,0.118,1.0,0.038
23.80141,0.162,1.0,0.106,0.2,0.093,0.261,0.283,0.18,0.98,0.135,0.4,0.13
24.42259,0.184,0.33,0.124,0.15,0.063,0.218,0.029,0.319,1.0,0.061,0.041,0.027
24.54571,0.184,0.585,0.113,0.128,0.098,0.753,0.102,0.231,1.0,0.148,0.022,0.028
24.66422,0.215,1.0,0.085,0.159,0.056,0.223,0.056,0.135,0.895,0.074,0.05,0.056
25.21837,0.358,1.0,0.125,0.333,0.117,0.361,0.091,0.225,0.887,0.126,0.08,0.145
25.41401,0.151,1.0,0.043,0.068,0.061,0.37,0.046,0.115,0.808,0.037,0.029,0.038
26.01696,0.61,1.0,0.097,0.288,0.144,0.273,0.092,0.294,0.823,0.102,0.07,0.23
26.80712,0.349,0.097,0.149,1.0,0.223,0.297,0.078,0.165,0.098,0.371,0.448,0.195
27.01719,0.152,0.06,0.183,1.0,0.159,0.192,0.041,0.076,0.049,0.447,0.164,0.066
27.25079,0.091,0.041,0.12,1.0,0.099,0.162,0.292,0.113,0.039,0.137,0.14,0.042
27.53878,0.096,0.051,0.063,0.864,0.165,0.208,0.061,0.111,0.112,1.0,0.174,0.036
28.119,0.617,0.167,0.095,1.0,0.453,0.638,0.077,0.193,0.116,0.35,0.213,0.248
28.82177,0.515,0.09,0.214,1.0,0.206,0.252,0.057,0.086,0.039,0.132,0.098,0.092
29.01878,0.705,0.073,0.109,1.0,0.149,0.249,0.056,0.143,0.044,0.134,0.205,0.126
29.901,0.321,0.204,0.231,1.0,0.22,0.623,0.088,0.173,0.109,0.238,0.858,0.094
30.39438,0.097,0.764,0.076,0.116,0.07,0.281,0.069,0.039,0.083,0.088,1.0,0.049
30.68939,0.163,1.0,0.059,0.085,0.078,0.352,0.072,0.028,0.106,0.072,0.711,0.047
31.13751,0.217,1.0,0.102,0.089,0.086,0.387,0.038,0.037,0.184,0.09,0.717,0.058
31.65288,0.165,0.717,0.14,0.094,0.124,0.537,1.0,0.068,0.325,0.077,0.464,0.1
32.15474,0.196,0.711,0.548,1.0,0.329,0.132,0.253,0.1,0.287,0.192,0.886,0.084
32.25832,0.103,0.511,0.147,1.0,0.086,0.072,0.082,0.039,0.074,0.051,0.606,0.03
32.52503,0.14,0.738,0.273,1.0,0.25,0.037,0.059,0.025,0.09,0.069,0.545,0.029
32.6527,0.092,0.75,0.083,1.0,0.05,0.066,0.108,0.035,0.082,0.094,0.702,0.058
