start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.406,0.265,0.324,1.0,0.674,0.696,0.647,0.827,0.366,0.473,0.186,0.156
0.87084,1.0,0.484,0.208,0.223,0.191,0.186,0.332,0.32,0.533,0.582,0.65,0.381
1.01016,0.1,0.108,0.085,0.107,0.153,0.109,0.082,0.034,0.076,1.0,0.126,0.056
1.42753,0.099,0.085,0.018,0.04,0.045,0.014,0.02,0.013,1.0,0.416,0.024,0.03
1.63125,0.157,0.117,0.023,0.032,0.054,0.02,0.058,0.019,0.163,0.501,0.133,1.0
1.939,0.059,0.324,0.078,0.034,0.059,0.093,0.101,0.031,0.051,1.0,0.178,0.038
2.28798,0.133,0.44,0.07,0.054,0.193,0.158,0.13,0.074,0.195,1.0,0.148,0.071
2.4917,0.044,0.113,0.027,0.038,0.094,0.017,0.021,0.031,0.218,1.0,0.298,0.024
2.5883,0.099,0.139,0.087,0.189,0.462,0.16,0.088,0.086,0.226,1.0,0.39,0.072
2.65166,0.022,0.123,0.026,0.016,0.085,0.071,0.061,0.026,0.033,1.0,0.124,0.018
2.93188,0.012,0.069,0.016,0.059,1.0,0.263,0.027,0.014,0.024,0.371,0.03,0.008
3.23497,0.045,0.158,0.033,0.032,0.375,0.144,0.082,0.043,0.097,1.0,0.256,0.031
3.58839,0.105,0.254,0.058,0.037,0.13,0.088,0.055,0.05,0.098,1.0,0.133,0.031
3.93678,0.079,0.053,0.051,0.181,1.0,0.332,0.089,0.067,0.246,0.086,0.035,0.159
4.52857,0.071,0.025,0.071,0.301,1.0,0.396,0.127,0.049,0.151,0.058,0.041,0.134
4.87701,0.138,0.057,0.169,0.224,1.0,0.447,0.101,0.046,0.422,0.04,0.032,0.137
5.17868,0.045,0.029,0.058,0.198,1.0,0.447,0.111,0.044,0.126,0.048,0.025,0.074
5.46036,0.075,0.042,0.043,0.143,1.0,0.264,0.051,0.039,0.104,0.045,0.027,0.155
5.68304,0.033,0.033,0.051,0.056,1.0,0.228,0.016,0.016,0.106,0.014,0.011,0.113
5.88549,0.323,0.08,0.081,0.233,0.347,0.309,0.116,0.097,0.156,0.072,0.078,1.0
6.06576,0.117,0.063,0.104,0.198,1.0,0.328,0.172,0.153,0.769,0.118,0.05,0.34
6.5068,0.048,0.02,0.058,0.186,1.0,0.559,0.229,0.052,0.146,0.045,0.041,0.117
6.6932,0.05,0.025,0.018,0.118,1.0,0.436,0.048,0.033,0.096,0.027,0.021,0.108
7.01769,0.265,0.146,0.22,0.347,0.986,0.197,0.077,0.338,1.0,0.133,0.06,0.841
7.15034,0.09,0.029,0.039,0.121,0.335,1.0,0.425,0.061,0.193,0.057,0.044,0.49
7.51188,0.121,0.061,0.313,0.148,0.66,1.0,0.369,0.071,0.449,0.061,0.031,0.401
7.78295,0.426,0.371,1.0,0.269,0.469,0.24,0.069,0.07,0.304,0.769,0.68,0.564
7.90413,0.117,0.236,0.372,0.054,0.156,0.116,0.138,0.096,0.198,1.0,0.216,0.045
8.45837,0.368,1.0,0.3,0.135,0.254,0.064,0.078,0.066,0.073,0.286,0.225,0.114
8.61991,0.151,1.0,0.168,0.112,0.37,0.126,0.086,0.098,0.06,0.434,0.279,0.071
8.78902,0.052,0.179,0.068,0.029,0.182,0.129,0.077,0.051,0.082,1.0,0.124,0.027
9.11891,0.235,0.447,0.117,0.102,0.19,0.086,0.042,0.07,0.138,1.0,0.529,0.145
9.26916,0.104,0.257,0.07,0.05,0.093,0.053,0.059,0.07,0.092,1.0,0.438,0.216
