start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.105,0.252,0.118,0.109,0.137,0.188,0.151,0.177,0.188,0.207,1.0,0.175
0.33673,0.18,1.0,0.214,0.215,0.266,0.315,0.405,0.349,0.429,0.418,0.582,0.329
0.70816,1.0,0.601,0.282,0.337,0.449,0.577,0.535,0.545,0.599,0.623,0.545,0.487
1.00431,0.833,0.453,0.399,0.465,0.487,0.627,0.597,0.598,1.0,0.657,0.513,0.596
1.34676,0.273,0.516,0.159,0.182,0.296,0.308,0.284,0.22,0.488,0.388,1.0,0.234
1.62535,0.339,0.311,0.185,0.155,0.354,0.405,0.214,0.287,0.393,0.368,1.0,0.334
1.7298,0.328,1.0,0.344,0.406,0.448,0.439,0.476,0.418,0.482,0.432,0.725,0.395
2.03741,0.467,0.769,0.51,0.566,0.645,0.545,0.532,0.699,0.889,0.737,1.0,0.59
2.11873,1.0,0.373,0.204,0.27,0.3,0.318,0.314,0.284,0.294,0.375,0.347,0.248
2.28707,1.0,0.837,0.281,0.347,0.597,0.504,0.592,0.473,0.58,0.69,0.587,0.54
2.4381,0.794,0.622,0.555,0.56,0.603,0.596,0.587,0.543,1.0,0.654,0.613,0.732
2.74,0.534,0.337,0.275,0.37,0.363,0.363,0.48,0.358,1.0,0.526,0.374,0.36
2.82689,0.46,0.575,0.27,0.279,0.365,0.407,0.378,0.329,0.45,0.467,1.0,0.357
2.98957,0.178,0.305,0.143,0.17,0.226,0.246,0.203,0.208,0.363,0.337,1.0,0.216
3.16367,0.37,0.67,0.527,0.443,0.43,0.459,0.557,0.433,0.484,0.399,1.0,0.438
3.4366,1.0,0.981,0.605,0.543,0.581,0.619,0.577,0.694,0.769,0.68,0.571,0.602
3.6107,0.642,0.944,0.848,0.519,0.69,0.574,0.557,0.568,0.928,0.893,1.0,0.554
3.82553,0.858,0.654,1.0,0.911,0.573,0.565,0.67,0.661,0.687,0.658,0.698,0.762
4.15052,0.74,0.499,0.514,1.0,0.423,0.437,0.399,0.442,0.563,0.546,0.404,0.399
4.23773,0.396,0.487,0.491,0.31,0.363,0.287,0.359,0.39,0.545,0.573,1.0,0.347
4.41179,0.181,0.435,0.149,0.251,0.288,0.228,0.148,0.163,0.295,0.597,1.0,0.135
4.57424,0.418,0.748,1.0,0.558,0.529,0.554,0.686,0.526,0.49,0.393,0.718,0.434
4.85297,1.0,0.634,0.502,0.423,0.397,0.503,0.452,0.481,0.537,0.416,0.41,0.483
5.02717,1.0,0.994,0.737,0.876,0.842,0.714,0.462,0.434,0.456,0.511,0.597,0.426
5.12009,0.82,0.733,0.966,0.677,0.691,0.383,0.654,0.671,1.0,0.958,0.838,0.559
5.28259,0.625,0.527,1.0,0.728,0.454,0.412,0.616,0.361,0.647,0.548,0.567,0.637
