start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.484,0.948,0.684,1.0,0.681,0.29,0.321,0.215,0.423,0.37,0.709,0.593
1.05356,0.073,0.055,0.057,0.22,1.0,0.239,0.055,0.262,0.108,0.012,0.021,0.231
1.28766,0.103,0.047,0.033,0.431,1.0,0.333,0.031,0.342,0.067,0.005,0.012,0.226
1.49701,0.48,1.0,0.134,0.461,0.851,0.379,0.207,0.345,0.256,0.1,0.07,0.573
1.60304,0.113,0.081,0.023,0.095,1.0,0.188,0.017,0.26,0.029,0.007,0.012,0.165
1.93311,0.239,0.077,0.032,0.233,1.0,0.315,0.074,0.395,0.061,0.019,0.044,0.119
2.15379,0.264,0.113,0.103,0.164,1.0,0.203,0.067,0.905,0.098,0.027,0.102,0.332
2.38621,0.298,0.03,0.014,0.023,0.034,0.027,0.13,0.026,0.011,0.017,0.059,1.0
2.53156,0.208,0.017,0.007,0.01,0.009,0.016,0.155,0.024,0.003,0.009,0.145,1.0
2.72336,0.224,0.028,0.011,0.234,0.133,0.016,0.087,0.04,0.013,0.01,0.133,1.0
3.01342,0.135,0.1,0.114,1.0,0.274,0.044,0.428,0.123,0.055,0.037,0.198,0.527
3.57587,0.16,0.031,0.006,0.042,0.008,0.02,0.285,0.024,0.006,0.02,0.078,1.0
3.77442,0.191,0.021,0.003,0.032,0.004,0.006,0.055,0.01,0.002,0.009,0.062,1.0
3.96345,1.0,0.108,0.04,0.046,0.04,0.037,0.089,0.054,0.053,0.055,0.242,0.699
4.05238,1.0,0.126,0.009,0.078,0.019,0.01,0.177,0.067,0.01,0.004,0.015,0.293
4.42295,1.0,0.155,0.081,0.249,0.075,0.06,0.176,0.116,0.033,0.038,0.058,0.187
4.60245,0.364,0.05,0.025,0.211,1.0,0.186,0.088,0.031,0.028,0.179,0.043,0.041
4.97615,0.161,0.085,0.012,0.178,1.0,0.099,0.012,0.008,0.02,0.358,0.025,0.019
5.1707,0.047,0.049,0.041,0.039,0.462,0.054,1.0,0.316,0.015,0.078,0.049,0.061
5.5961,0.242,0.086,0.07,0.098,0.549,0.102,1.0,0.203,0.045,0.063,0.082,0.113
5.7698,0.02,0.016,0.026,0.08,1.0,0.238,0.066,0.395,0.039,0.014,0.018,0.055
6.20639,0.059,0.015,0.026,0.42,1.0,0.36,0.036,0.134,0.037,0.017,0.019,0.15
6.33361,0.05,0.032,0.03,0.03,1.0,0.109,0.035,0.217,0.06,0.019,0.021,0.107
6.9717,0.139,0.077,0.157,0.111,0.298,0.089,0.151,1.0,0.089,0.049,0.061,0.061
7.10517,0.224,0.133,0.161,0.141,0.146,0.081,0.069,1.0,0.121,0.04,0.035,0.059
7.21039,0.154,1.0,0.28,0.038,0.045,0.045,0.022,0.166,0.299,0.017,0.008,0.02
7.34866,0.076,1.0,0.198,0.009,0.014,0.016,0.01,0.252,0.046,0.012,0.006,0.009
7.5624,0.074,1.0,0.353,0.012,0.012,0.014,0.005,0.017,0.052,0.007,0.002,0.007
7.71501,0.069,1.0,0.196,0.025,0.256,0.037,0.025,0.345,0.142,0.032,0.015,0.066
7.99351,0.041,0.288,0.159,0.037,0.501,0.097,0.05,1.0,0.053,0.023,0.02,0.084
8.16771,0.119,0.261,0.107,0.056,1.0,0.274,0.097,0.556,0.066,0.025,0.023,0.179
8.37664,0.06,0.08,0.029,0.079,0.68,0.072,0.033,0.068,0.35,1.0,0.176,0.045
8.51034,0.022,0.079,0.011,0.014,0.269,0.018,0.015,0.131,0.187,1.0,0.096,0.017
8.74658,0.066,0.148,0.05,0.092,0.707,0.166,0.343,0.738,0.823,1.0,0.361,0.037
8.83438,0.02,0.28,0.049,0.025,0.27,0.035,0.018,0.415,0.192,1.0,0.13,0.045
8.98063,0.101,0.986,0.234,0.091,0.631,0.122,0.097,0.812,0.415,1.0,0.128,0.092
10.02372,0.055,0.21,1.0,0.203,0.079,0.049,0.158,0.049,0.035,0.098,0.029,0.023
10.43778,0.226,0.058,0.058,0.11,0.04,0.033,0.198,0.058,0.028,0.16,0.047,1.0
10.84395,0.165,0.074,0.042,0.225,1.0,0.331,0.087,0.142,0.096,0.036,0.027,0.381
11.06032,0.031,0.024,0.021,0.376,1.0,0.301,0.05,0.105,0.032,0.015,0.028,0.263
11.27333,0.087,0.043,0.026,0.427,1.0,0.396,0.054,0.044,0.049,0.009,0.021,0.203
11.46481,0.083,0.06,0.08,0.15,1.0,0.189,0.113,0.661,0.104,0.036,0.083,0.172
12.08,0.144,0.011,0.007,0.019,0.013,0.009,0.019,0.015,0.005,0.009,0.084,1.0
12.28413,0.187,0.055,0.019,0.016,0.007,0.005,0.077,0.019,0.006,0.006,0.096,1.0
12.47497,1.0,0.214,0.04,0.105,0.057,0.03,0.192,0.096,0.244,0.241,0.615,0.619
12.5454,0.522,0.088,0.068,0.197,0.17,0.036,0.07,0.042,0.053,0.048,0.128,1.0
12.68327,0.29,0.163,0.06,0.999,0.397,0.051,0.344,0.116,0.025,0.022,0.174,1.0
13.00912,0.293,0.073,0.089,1.0,0.265,0.061,0.232,0.113,0.056,0.056,0.089,0.414
13.16005,0.188,0.025,0.01,0.043,0.014,0.022,0.092,0.018,0.021,0.027,0.112,1.0
13.47351,0.198,0.019,0.003,0.009,0.002,0.003,0.054,0.005,0.003,0.009,0.088,1.0
13.6985,0.766,0.193,0.009,0.018,0.009,0.009,0.04,0.06,0.028,0.01,0.087,1.0
13.93215,1.0,0.198,0.021,0.121,0.034,0.018,0.129,0.064,0.02,0.027,0.023,0.048
14.50122,0.041,0.009,0.004,0.167,1.0,0.097,0.008,0.005,0.013,0.03,0.007,0.004
14.69424,0.04,0.025,0.009,0.109,1.0,0.116,0.011,0.006,0.019,0.242,0.019,0.009
14.90127,0.092,0.072,0.02,0.262,1.0,0.36,0.844,0.146,0.026,0.108,0.039,0.017
15.02413,0.035,0.031,0.016,0.027,0.307,0.036,1.0,0.137,0.01,0.035,0.047,0.076
15.51061,0.184,0.086,0.129,0.056,0.2,0.035,0.161,1.0,0.066,0.045,0.053,0.356
15.70848,0.035,0.02,0.05,0.219,1.0,0.06,0.062,0.578,0.029,0.007,0.009,0.054
15.92816,0.14,0.041,0.02,0.14,0.693,0.089,0.079,0.698,0.032,0.012,0.032,1.0
16.14454,0.131,0.074,0.089,0.335,1.0,0.3,0.077,0.2,0.084,0.032,0.049,0.258
16.24231,0.221,0.077,0.071,0.089,1.0,0.22,0.108,0.415,0.095,0.042,0.044,0.18
16.32966,0.098,0.073,0.088,0.123,1.0,0.168,0.091,0.992,0.103,0.025,0.048,0.33
16.70091,0.167,0.125,0.133,0.064,0.291,0.057,0.232,1.0,0.089,0.035,0.036,0.089
16.8463,0.139,1.0,0.078,0.011,0.024,0.024,0.048,0.448,0.262,0.017,0.011,0.021
17.09546,0.157,1.0,0.192,0.015,0.017,0.032,0.022,0.342,0.152,0.015,0.01,0.022
17.25197,0.118,1.0,0.212,0.014,0.022,0.033,0.016,0.104,0.197,0.014,0.007,0.013
17.42658,0.083,0.802,0.163,0.058,0.46,0.097,0.143,1.0,0.127,0.024,0.025,0.104
18.07687,0.057,0.063,0.031,0.077,0.813,0.073,0.03,0.073,0.299,1.0,0.084,0.044
18.24503,0.016,0.071,0.012,0.028,0.416,0.045,0.027,0.098,0.308,1.0,0.142,0.021
18.44313,0.02,0.196,0.027,0.019,0.383,0.037,0.034,0.474,0.203,1.0,0.073,0.05
18.81982,0.037,0.313,0.073,0.032,0.294,0.048,0.043,0.384,0.179,1.0,0.063,0.051
19.53397,0.042,0.292,1.0,0.208,0.067,0.049,0.143,0.038,0.03,0.16,0.039,0.023
20.23029,0.019,0.043,1.0,0.079,0.01,0.051,0.075,0.029,0.01,0.024,0.019,0.01
20.86327,0.014,0.018,0.113,0.024,0.013,0.439,1.0,0.162,0.005,0.003,0.005,0.003
21.07016,0.036,0.149,0.18,0.112,0.843,0.841,1.0,0.996,0.18,0.184,0.028,0.013
21.161,0.075,0.082,0.217,1.0,0.17,0.155,0.41,0.104,0.017,0.019,0.084,0.018
