start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.946,0.216,0.219,0.211,0.209,0.2,0.152,0.117,0.092,0.072,0.193
0.19057,0.434,0.092,0.355,0.213,0.945,0.58,0.523,0.442,0.183,1.0,0.285,0.374
0.51152,0.273,0.287,0.167,0.135,0.711,0.357,0.294,0.264,0.153,1.0,0.253,0.34
0.87111,0.482,0.355,0.311,0.195,1.0,0.496,0.934,0.967,0.317,0.642,0.342,0.466
1.21968,0.254,0.183,0.272,0.111,0.606,0.395,0.142,0.187,0.133,1.0,0.276,0.258
1.48757,0.265,0.363,0.416,0.124,0.425,0.148,0.184,0.225,0.192,1.0,0.199,0.459
1.71642,0.47,0.58,0.447,0.17,0.925,0.662,0.508,0.312,0.144,1.0,0.314,0.586
1.9844,0.267,0.38,0.531,0.097,1.0,0.326,0.153,0.138,0.118,0.575,0.228,0.31
2.35719,0.083,0.129,0.158,0.384,1.0,0.516,0.245,0.378,0.37,0.702,0.179,0.188
2.47651,0.189,0.462,0.343,0.193,0.842,0.244,0.17,0.423,0.171,1.0,0.44,0.33
2.67669,0.24,0.141,0.132,0.091,0.686,0.314,0.457,0.504,0.186,1.0,0.264,0.423
2.82227,0.744,0.764,0.664,0.372,0.759,1.0,0.593,0.406,0.227,0.991,0.759,0.531
2.93701,0.483,0.361,0.322,0.222,0.638,0.492,0.158,0.181,0.189,1.0,0.403,0.328
3.11878,0.61,0.458,0.093,0.22,0.492,0.405,0.108,0.07,0.164,1.0,0.75,0.241
3.18082,0.382,0.46,0.671,0.135,0.212,0.224,0.308,0.151,0.225,1.0,0.453,0.53
3.35338,0.38,0.259,0.259,0.095,1.0,0.547,0.833,0.364,0.115,0.705,0.252,0.295
3.65129,0.38,0.364,0.149,0.169,1.0,0.505,0.199,0.218,0.151,0.781,0.304,0.25
4.1141,0.144,0.805,1.0,0.1,0.449,0.357,0.714,0.387,0.169,0.639,0.323,0.518
4.28571,0.254,0.139,0.127,0.078,0.489,0.193,0.169,0.425,0.146,1.0,0.241,0.328
4.54599,0.642,0.947,0.85,0.219,1.0,0.793,0.897,0.516,0.252,0.44,0.423,0.497
4.67905,0.508,0.438,0.41,0.314,0.705,0.396,0.279,0.216,0.206,1.0,0.572,0.41
4.81891,0.495,0.511,0.848,0.145,0.689,0.462,0.419,0.54,0.331,1.0,0.316,0.454
5.03324,0.353,1.0,0.931,0.172,0.378,0.669,0.544,0.324,0.198,0.847,0.298,0.381
5.15583,0.473,0.258,0.269,0.15,0.74,0.574,0.62,0.534,0.198,1.0,0.236,0.355
5.38794,0.136,0.734,0.612,0.3,0.828,1.0,0.531,0.463,0.204,0.676,0.411,0.143
5.52658,0.173,0.122,0.255,0.197,1.0,0.644,0.151,0.376,0.257,0.923,0.26,0.263
5.72413,0.321,0.581,0.699,0.137,0.819,0.714,0.521,0.427,0.16,1.0,0.378,0.227
6.02694,0.294,0.098,0.095,0.216,0.719,1.0,0.384,0.387,0.2,0.753,0.226,0.384
6.22136,0.221,0.368,0.359,0.169,0.435,0.529,0.361,0.314,0.188,1.0,0.469,0.34
