start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.6,0.558,0.643,0.593,0.499,0.559,0.402,1.0,0.728,0.354,0.272,0.214
1.39329,1.0,0.44,0.21,0.883,0.093,0.033,0.011,0.093,0.06,0.014,0.034,0.029
1.53215,1.0,0.708,0.08,0.925,0.05,0.056,0.016,0.088,0.187,0.025,0.094,0.028
1.94499,1.0,0.246,0.089,0.675,0.04,0.018,0.009,0.06,0.096,0.012,0.034,0.02
2.08363,0.376,1.0,0.379,0.606,0.126,0.042,0.02,0.114,0.069,0.02,0.069,0.039
2.21746,0.803,1.0,0.048,0.514,0.02,0.032,0.012,0.113,0.102,0.014,0.055,0.023
2.72286,0.632,1.0,0.061,0.858,0.035,0.042,0.013,0.111,0.105,0.017,0.064,0.023
3.24499,1.0,0.861,0.164,0.673,0.12,0.051,0.019,0.072,0.147,0.036,0.08,0.034
3.5356,0.326,1.0,0.038,0.252,0.009,0.02,0.007,0.045,0.04,0.008,0.025,0.013
3.78549,0.932,1.0,0.189,0.785,0.085,0.047,0.017,0.076,0.101,0.024,0.061,0.031
4.24349,1.0,0.179,0.028,0.098,0.023,0.019,0.018,0.04,0.401,0.164,0.799,0.204
4.7605,0.89,0.147,0.024,0.163,0.021,0.018,0.013,0.044,1.0,0.062,0.327,0.068
5.1776,0.585,0.104,0.021,0.133,0.015,0.014,0.011,0.03,1.0,0.041,0.16,0.039
5.54345,0.255,0.067,0.016,0.09,0.023,0.013,0.016,1.0,0.284,0.05,0.115,0.049
5.82154,0.471,0.047,0.017,0.077,0.013,0.017,0.025,1.0,0.145,0.024,0.172,0.03
6.20553,0.558,0.137,0.022,0.118,0.026,0.014,0.019,1.0,0.415,0.072,0.148,0.072
6.39755,0.407,0.07,0.021,0.107,0.02,0.019,0.025,1.0,0.217,0.034,0.218,0.039
7.09324,0.596,1.0,0.093,0.102,0.02,0.019,0.022,0.664,0.172,0.029,0.146,0.037
7.6854,0.135,0.277,0.047,0.043,0.034,1.0,0.038,0.156,0.101,0.014,0.083,0.018
7.88912,0.18,1.0,0.066,0.054,0.018,0.854,0.057,0.114,0.089,0.02,0.122,0.035
8.60889,0.221,1.0,0.104,0.055,0.016,0.592,0.071,0.064,0.053,0.021,0.068,0.027
8.96304,0.257,1.0,0.082,0.063,0.035,0.804,0.045,0.088,0.096,0.021,0.115,0.024
9.17814,0.255,0.9,0.378,0.058,0.025,1.0,0.269,0.138,0.134,0.037,0.105,0.041
