start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.17986,0.302,0.019,0.155,0.096,0.106,0.359,1.0,0.339,0.755,0.615,0.071,0.521
0.44113,0.565,0.02,0.089,0.075,0.048,0.203,0.311,0.199,1.0,0.372,0.043,0.685
0.61515,0.93,0.051,0.156,0.096,0.112,0.305,0.895,0.263,0.855,0.438,0.081,1.0
0.98122,0.738,0.031,0.062,0.064,0.056,0.171,0.375,0.153,0.493,0.231,0.047,1.0
1.45692,0.795,0.023,0.184,0.094,0.039,0.097,0.278,0.099,0.339,0.162,0.031,1.0
1.80544,0.726,0.06,0.428,0.264,0.068,0.185,0.266,0.139,0.317,0.148,0.061,1.0
2.66467,0.716,0.165,0.433,0.241,0.189,0.323,0.287,0.274,0.345,0.188,0.164,1.0
3.41351,0.212,0.111,0.044,0.027,0.008,0.011,0.425,1.0,0.292,0.016,0.011,0.581
3.57596,0.24,0.22,0.077,0.042,0.01,0.012,0.366,1.0,0.306,0.016,0.014,0.676
3.84299,0.558,0.525,0.129,0.065,0.02,0.028,0.33,0.647,0.279,0.046,0.037,1.0
4.13909,0.83,0.749,0.187,0.111,0.03,0.034,0.31,0.648,0.189,0.041,0.033,1.0
4.44109,0.508,0.309,0.091,0.088,0.024,0.027,0.212,0.608,0.203,0.023,0.016,1.0
4.58023,0.648,0.557,0.14,0.135,0.044,0.046,0.277,0.641,0.232,0.055,0.044,1.0
4.98644,0.871,0.936,0.707,0.608,0.09,0.095,0.272,0.715,0.237,0.089,0.091,1.0
5.40426,0.162,0.151,1.0,0.639,0.062,0.074,0.095,0.196,0.095,0.052,0.056,0.199
6.83238,0.086,0.15,0.083,0.062,0.02,0.027,1.0,0.137,0.018,0.015,0.014,0.012
6.98925,0.17,0.226,0.143,0.121,0.128,0.12,1.0,0.297,0.124,0.121,0.07,0.149
7.0937,0.397,0.033,0.041,0.078,0.037,0.036,0.343,0.139,0.087,0.087,0.012,1.0
7.2678,0.365,0.014,0.018,0.052,0.015,0.014,0.254,0.078,0.04,0.043,0.009,1.0
7.4478,0.351,0.012,0.017,0.088,0.018,0.014,0.141,0.054,0.027,0.029,0.006,1.0
7.61655,0.35,0.025,0.018,0.079,0.022,0.014,0.161,0.065,0.028,0.028,0.008,1.0
