start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.588,0.264,0.31,0.195,0.151,1.0,0.62,0.833,0.337,0.098,0.066,0.087
1.90912,0.369,0.482,0.036,0.029,0.06,0.035,0.023,0.032,0.036,1.0,0.214,0.03
2.11211,0.074,0.051,0.012,0.013,0.022,0.009,0.006,0.009,0.011,1.0,0.117,0.014
2.33882,0.074,0.033,0.005,0.006,0.037,0.009,0.003,0.007,0.008,1.0,0.12,0.013
2.55442,0.093,0.062,0.052,0.053,0.09,0.063,0.095,0.098,0.071,1.0,0.158,0.004
2.69905,0.021,0.032,0.018,0.017,0.066,0.037,0.05,0.053,0.051,1.0,0.233,0.003
2.82707,0.08,0.088,0.07,0.071,0.046,0.023,0.056,0.058,0.05,1.0,0.14,0.005
2.98376,0.043,0.055,0.014,0.013,0.019,0.008,0.019,0.023,0.021,1.0,0.089,0.004
3.12939,0.008,0.045,0.008,0.006,0.047,0.026,0.038,0.041,0.023,1.0,0.144,0.003
3.30358,0.028,0.061,0.034,0.008,0.011,0.004,0.004,0.464,0.062,1.0,0.119,0.006
3.56984,0.029,0.035,0.078,0.033,0.018,0.016,0.028,1.0,0.108,0.136,0.062,0.014
3.68005,0.653,0.672,0.232,0.162,0.056,0.054,0.075,1.0,0.569,0.572,0.552,0.024
3.83751,0.045,0.03,0.03,0.012,0.004,0.004,0.009,1.0,0.131,0.016,0.003,0.016
4.19692,0.017,0.011,0.024,0.011,0.006,0.007,0.01,1.0,0.172,0.01,0.012,0.011
4.29569,0.018,0.01,0.04,0.018,0.003,0.004,0.006,1.0,0.207,0.003,0.002,0.019
4.49338,0.063,0.13,1.0,0.156,0.282,0.161,0.818,0.746,0.133,0.79,0.074,0.082
5.0322,0.014,0.429,1.0,0.164,0.038,0.017,0.235,0.022,0.018,0.184,0.024,0.008
5.26512,0.012,0.131,1.0,0.203,0.026,0.009,0.299,0.031,0.011,0.219,0.033,0.007
5.47478,0.009,0.315,1.0,0.288,0.051,0.017,0.297,0.049,0.013,0.198,0.04,0.006
5.59651,0.018,0.239,0.289,0.079,1.0,0.212,0.085,0.08,0.026,0.476,0.047,0.016
5.83306,0.105,1.0,0.2,0.045,0.33,0.128,0.071,0.264,0.171,0.849,0.296,0.047
5.91556,0.042,0.368,0.086,0.13,1.0,0.734,0.024,0.035,0.049,0.421,0.129,0.017
6.05905,0.019,0.295,0.047,0.01,1.0,0.259,0.012,0.057,0.064,0.399,0.036,0.012
6.49646,0.051,1.0,0.19,0.016,0.202,0.107,0.022,0.122,0.166,0.413,0.125,0.036
6.58857,0.037,0.463,0.1,0.055,1.0,0.33,0.379,0.232,0.139,0.887,0.049,0.048
6.87342,0.022,0.07,0.212,0.046,0.159,0.273,0.653,0.111,0.164,1.0,0.251,0.011
7.00068,0.022,0.236,0.165,0.026,0.127,0.126,0.704,0.097,0.058,1.0,0.155,0.013
7.16526,0.066,0.175,0.294,0.052,0.166,0.182,0.966,0.078,0.056,1.0,0.088,0.077
7.40753,0.026,0.056,0.172,0.022,0.066,0.148,1.0,0.079,0.029,0.714,0.054,0.011
7.64073,0.066,0.076,0.545,0.067,0.089,0.191,0.805,1.0,0.071,0.489,0.064,0.27
8.11501,0.052,0.03,1.0,0.12,0.039,0.099,0.224,0.944,0.086,0.19,0.043,0.444
8.27918,0.047,0.022,0.99,0.123,0.02,0.027,0.189,1.0,0.049,0.105,0.039,0.53
8.46349,0.06,0.032,1.0,0.175,0.014,0.019,0.105,0.819,0.143,0.08,0.042,0.412
8.64989,0.099,0.053,0.455,0.051,0.066,0.122,0.359,1.0,0.11,0.343,0.045,0.472
9.08431,0.038,0.058,0.463,0.051,0.032,0.034,0.487,0.262,0.143,1.0,0.103,0.084
9.21293,0.032,0.074,0.366,0.061,0.111,0.039,0.429,0.078,0.079,1.0,0.283,0.054
9.3405,0.021,0.054,0.282,0.028,0.075,0.024,0.501,0.067,0.05,1.0,0.167,0.016
9.50884,0.022,0.047,0.176,0.019,0.065,0.014,0.337,0.035,0.054,1.0,0.177,0.008
9.69333,0.02,0.044,0.244,0.022,0.034,0.023,0.312,0.023,0.077,1.0,0.211,0.007
9.86286,0.075,0.197,0.367,0.095,0.166,0.251,0.568,0.057,0.083,1.0,0.254,0.033
10.00739,0.079,0.207,0.11,0.085,0.113,0.122,0.052,0.014,0.052,1.0,0.149,0.027
10.14612,0.084,0.398,0.056,0.068,0.072,0.1,0.103,0.027,0.085,1.0,0.311,0.23
10.39683,0.044,0.298,0.04,0.021,0.064,0.066,0.021,0.024,0.141,1.0,0.196,0.074
10.50104,0.02,0.182,0.028,0.01,0.083,0.047,0.015,0.095,0.066,1.0,0.147,0.034
10.80331,0.159,0.649,0.568,0.112,0.201,1.0,0.254,0.904,0.264,0.837,0.135,0.091
11.41229,0.053,0.624,1.0,0.14,0.059,0.883,0.065,0.041,0.03,0.169,0.02,0.007
11.58086,0.062,0.482,1.0,0.099,0.066,0.854,0.06,0.026,0.017,0.153,0.016,0.006
11.75451,0.031,0.25,1.0,0.085,0.047,0.704,0.044,0.005,0.017,0.226,0.011,0.005
12.06345,0.028,0.11,1.0,0.046,0.02,0.078,0.201,0.034,0.019,0.104,0.016,0.008
13.57791,0.04,0.063,0.064,0.055,0.03,0.026,0.017,0.015,0.041,1.0,0.192,0.016
13.75791,0.009,0.022,0.006,0.006,0.023,0.006,0.004,0.006,0.025,1.0,0.088,0.011
14.00018,0.018,0.05,0.032,0.033,0.046,0.02,0.007,0.01,0.036,1.0,0.307,0.009
14.15397,0.003,0.024,0.011,0.011,0.03,0.016,0.009,0.01,0.054,1.0,0.226,0.006
14.30789,0.005,0.019,0.005,0.005,0.024,0.006,0.006,0.009,0.148,1.0,0.235,0.006
14.43678,0.004,0.021,0.031,0.008,0.043,0.012,0.013,0.142,0.035,1.0,0.033,0.012
15.04649,0.019,0.017,0.159,0.014,0.031,0.015,0.045,1.0,0.103,0.326,0.067,0.037
15.22018,0.015,0.024,0.152,0.01,0.009,0.01,0.103,1.0,0.071,0.097,0.018,0.04
15.45311,0.03,0.032,0.207,0.022,0.008,0.019,0.069,1.0,0.1,0.044,0.014,0.05
15.65615,0.026,0.035,0.159,0.028,0.026,0.041,0.091,1.0,0.326,0.042,0.013,0.038
15.75488,0.045,0.181,0.826,0.082,0.124,0.138,0.802,1.0,0.18,0.43,0.061,0.039
16.1268,0.021,0.279,1.0,0.185,0.068,0.041,0.07,0.088,0.021,0.474,0.04,0.03
16.26544,0.057,0.653,1.0,0.261,0.091,0.084,0.106,0.095,0.069,0.624,0.068,0.029
16.39841,0.02,0.321,1.0,0.197,0.022,0.023,0.035,0.021,0.028,0.277,0.042,0.008
16.53791,0.034,0.521,1.0,0.274,0.037,0.05,0.148,0.04,0.062,0.69,0.071,0.011
16.67175,0.047,0.255,1.0,0.214,0.224,0.178,0.053,0.053,0.053,0.292,0.057,0.027
17.06063,0.026,0.405,0.239,0.106,1.0,0.226,0.017,0.064,0.112,0.053,0.009,0.043
17.25229,0.036,0.507,0.163,0.13,1.0,0.538,0.019,0.065,0.146,0.036,0.011,0.053
17.40395,0.015,0.287,0.098,0.01,1.0,0.223,0.013,0.077,0.099,0.013,0.004,0.034
17.83302,0.033,0.397,0.646,0.055,0.785,0.814,1.0,0.14,0.056,0.073,0.029,0.031
18.40145,0.055,0.445,0.617,0.095,0.141,0.153,1.0,0.185,0.02,0.11,0.061,0.011
18.51769,0.028,0.479,0.585,0.068,0.061,0.141,1.0,0.324,0.024,0.207,0.057,0.012
18.6395,0.017,0.241,0.722,0.065,0.038,0.085,1.0,0.198,0.013,0.208,0.055,0.006
18.78508,0.025,0.159,0.34,0.024,0.036,0.144,1.0,0.064,0.01,0.091,0.025,0.007
19.23791,0.578,0.132,0.073,0.059,0.05,0.392,1.0,0.178,0.017,0.176,0.033,0.017
19.36032,0.587,0.194,0.05,0.112,0.024,0.136,1.0,0.14,0.009,0.161,0.056,0.036
19.52195,0.448,0.157,0.022,0.087,0.018,0.224,1.0,0.197,0.016,0.127,0.051,0.041
19.65102,0.616,0.138,0.023,0.079,0.035,0.093,1.0,0.12,0.024,0.183,0.057,0.063
20.85156,0.392,0.052,0.137,0.124,0.239,0.223,0.571,0.694,0.089,0.095,0.609,1.0
21.27501,0.407,0.131,0.028,0.029,0.097,0.057,0.096,0.1,0.027,0.12,0.445,1.0
21.51927,0.348,0.241,0.257,0.222,0.3,0.249,0.146,0.14,0.136,1.0,0.421,0.301
21.5888,0.094,0.222,0.268,0.064,0.051,0.053,0.229,1.0,0.268,0.231,0.168,0.153
21.83265,0.361,0.163,0.155,0.073,0.17,0.167,0.434,1.0,0.223,0.059,0.131,0.537
22.58762,0.087,0.066,0.04,0.301,1.0,0.189,0.076,0.076,0.021,0.013,0.146,0.138
22.79687,0.055,0.043,0.148,0.148,0.149,0.052,0.038,1.0,0.2,0.032,0.055,0.08
22.95909,0.048,0.052,0.089,0.072,1.0,0.134,0.054,0.255,0.182,0.035,0.03,0.139
23.13279,1.0,0.149,0.047,0.058,0.063,0.045,0.099,0.096,0.043,0.031,0.22,0.839
23.55088,0.252,0.055,0.03,0.042,0.223,0.051,0.053,0.022,0.027,0.033,0.251,1.0
23.80054,0.402,0.085,0.043,0.056,0.169,0.025,0.076,0.176,0.095,0.786,0.094,1.0
24.16068,0.123,0.269,0.097,0.068,0.362,0.163,1.0,0.703,0.052,0.126,0.052,0.231
24.5029,0.041,0.097,0.026,1.0,0.977,0.034,0.11,0.16,0.016,0.028,0.082,0.1
24.80408,0.011,0.037,0.033,0.041,0.115,0.028,0.26,1.0,0.266,0.016,0.023,0.034
24.96082,0.09,0.025,0.039,0.047,0.155,0.07,0.059,1.0,0.284,0.302,0.034,0.057
25.26961,0.257,0.486,0.164,0.086,0.265,0.147,1.0,0.852,0.344,0.232,0.104,0.103
25.49383,1.0,0.226,0.113,0.055,0.355,0.062,0.123,0.303,0.156,0.951,0.115,0.048
25.93646,0.297,0.074,0.041,0.024,0.3,0.047,0.275,0.193,0.111,1.0,0.089,0.025
26.17528,0.264,0.163,0.078,0.025,0.212,0.047,1.0,0.33,0.135,0.505,0.063,0.058
26.31465,0.483,0.142,1.0,0.162,0.195,0.089,0.974,0.564,0.116,0.379,0.099,0.241
26.59293,0.425,0.096,1.0,0.112,0.31,0.195,0.425,0.977,0.141,0.295,0.07,0.54
26.76671,0.442,0.091,1.0,0.165,0.067,0.071,0.098,0.118,0.044,0.357,0.091,0.684
26.88286,0.114,0.032,0.204,0.036,0.02,0.015,0.053,0.175,0.082,0.06,0.56,1.0
27.09193,0.628,0.049,0.044,0.052,0.023,0.012,0.022,0.113,0.778,0.359,1.0,0.014
27.17878,0.352,0.13,0.712,0.158,0.09,0.044,0.184,0.097,0.489,0.536,0.1,1.0
27.31215,0.23,0.437,0.326,0.33,0.182,0.048,0.071,0.11,1.0,0.463,0.144,0.825
27.63755,0.113,0.66,0.063,0.497,0.517,0.07,0.364,0.118,1.0,0.718,0.095,0.187
27.93361,0.095,0.781,0.093,0.137,1.0,0.058,0.116,0.087,0.532,0.769,0.032,0.317
28.079,0.09,0.715,0.066,0.033,0.808,0.05,0.123,0.404,0.269,1.0,0.052,0.126
