start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1683,0.321,0.387,0.447,0.284,1.0,0.475,0.506,0.359,0.331,0.215,0.234,0.891
0.48753,0.399,0.583,0.481,0.314,0.905,0.935,0.633,0.664,0.349,0.271,0.316,1.0
0.60385,0.373,0.362,0.336,0.274,0.556,0.337,0.369,0.506,0.447,0.176,0.143,1.0
0.71982,0.306,0.278,0.38,0.286,0.765,0.5,0.635,0.333,0.403,0.188,0.191,1.0
0.84753,0.289,0.296,0.258,0.227,0.488,0.776,0.686,0.394,0.337,0.134,0.128,1.0
0.95778,0.288,0.182,0.179,0.135,0.369,0.228,0.312,0.223,0.212,0.098,0.102,1.0
1.14948,0.288,0.212,0.206,0.23,0.331,0.176,0.479,0.484,0.515,0.139,0.134,1.0
1.21914,0.209,0.183,0.151,0.115,0.299,0.274,0.364,0.303,0.3,0.106,0.099,1.0
1.32367,0.337,0.218,0.195,0.155,0.425,0.761,0.818,0.245,0.267,0.163,0.084,1.0
1.4049,0.319,0.191,0.255,0.133,0.404,0.557,0.665,0.302,0.319,0.121,0.109,1.0
1.59628,0.37,0.219,0.223,0.161,0.548,0.425,0.42,0.204,0.332,0.129,0.126,1.0
1.88082,0.331,0.204,0.275,0.182,0.42,0.511,0.567,0.243,0.368,0.149,0.19,1.0
2.502,0.288,0.304,0.345,0.309,0.725,0.609,0.57,0.238,0.261,0.265,0.448,1.0
2.81542,0.246,0.387,0.29,0.387,0.545,0.516,0.908,0.232,0.341,0.303,0.377,1.0
3.34952,0.225,0.342,0.221,0.384,0.408,0.556,0.904,0.191,0.386,0.546,0.399,1.0
3.5005,0.152,0.27,0.236,0.422,0.39,0.349,1.0,0.136,0.251,0.357,0.214,0.768
3.74966,0.159,0.265,0.296,0.479,0.529,0.362,1.0,0.194,0.227,0.217,0.33,0.883
3.96499,0.144,0.312,0.205,0.317,0.551,0.329,1.0,0.117,0.205,0.353,0.204,0.786
4.20286,0.114,0.313,0.2,0.364,0.303,0.29,1.0,0.098,0.197,0.251,0.212,0.774
4.48753,0.132,0.368,0.371,0.189,0.458,0.282,1.0,0.128,0.293,0.384,0.361,0.976
4.84168,0.145,0.253,0.322,0.57,0.695,0.244,0.397,0.11,0.228,0.374,0.366,1.0
5.02177,0.177,0.299,0.333,0.554,0.452,0.323,1.0,0.134,0.248,0.279,0.305,0.939
5.44508,0.15,0.263,0.418,0.191,0.272,0.215,1.0,0.1,0.2,0.167,0.338,0.757
5.54961,0.164,0.349,0.579,0.313,0.352,0.211,0.902,0.107,0.263,0.392,0.389,1.0
5.72952,0.122,0.206,1.0,0.536,0.309,0.22,0.429,0.098,0.13,0.289,0.369,0.757
6.00807,0.075,0.108,1.0,0.274,0.216,0.102,0.354,0.068,0.088,0.422,0.184,0.371
6.28698,0.047,0.077,1.0,0.282,0.088,0.065,0.156,0.048,0.052,0.41,0.145,0.229
6.71052,0.045,0.072,1.0,0.307,0.077,0.047,0.15,0.038,0.037,0.307,0.116,0.186
6.86145,0.048,0.096,1.0,0.264,0.102,0.058,0.166,0.035,0.057,0.333,0.135,0.224
6.99492,0.075,0.186,1.0,0.243,0.158,0.078,0.222,0.1,0.062,0.257,0.199,0.368
7.08785,0.022,0.273,1.0,0.207,0.059,0.025,0.066,0.041,0.036,0.232,0.089,0.124
7.16345,0.042,0.531,1.0,0.291,0.086,0.057,0.125,0.054,0.09,0.359,0.15,0.186
7.31447,0.037,0.7,1.0,0.178,0.056,0.045,0.075,0.034,0.202,0.282,0.072,0.123
7.52313,0.04,1.0,0.732,0.108,0.062,0.044,0.119,0.038,0.249,0.265,0.073,0.142
7.65687,0.046,1.0,0.963,0.172,0.081,0.1,0.145,0.049,0.321,0.426,0.124,0.164
7.78454,0.028,0.532,1.0,0.157,0.048,0.071,0.075,0.043,0.115,0.309,0.148,0.113
7.91787,0.05,0.914,1.0,0.184,0.069,0.277,0.116,0.046,0.183,0.272,0.299,0.159
8.33596,0.077,0.82,1.0,0.191,0.069,0.404,0.162,0.057,0.19,0.303,0.33,0.68
8.91646,0.092,0.932,1.0,0.209,0.094,0.418,0.224,0.064,0.199,0.27,0.405,0.563
9.09079,0.097,0.576,1.0,0.206,0.142,0.689,0.203,0.055,0.202,0.254,0.35,0.899
9.28812,0.104,0.846,0.833,0.17,0.407,0.687,0.298,0.069,0.167,0.249,0.393,1.0
9.49138,0.092,0.572,0.659,0.144,0.786,0.373,0.19,0.06,0.124,0.193,0.301,1.0
9.88599,0.072,0.617,0.653,0.192,1.0,0.22,0.191,0.047,0.128,0.211,0.328,0.968
10.03692,0.073,0.475,0.711,0.158,1.0,0.194,0.179,0.063,0.117,0.147,0.259,0.753
10.21111,0.081,0.376,0.327,0.078,0.716,0.2,0.198,0.036,0.071,0.099,0.209,1.0
10.48395,0.076,0.278,0.377,0.066,0.444,0.168,0.202,0.032,0.057,0.085,0.157,1.0
10.64639,0.091,0.167,0.245,0.073,0.343,0.098,0.15,0.024,0.044,0.059,0.14,1.0
10.79152,0.07,0.098,0.154,0.034,0.141,0.083,0.195,0.031,0.038,0.041,0.167,1.0
10.90762,0.124,0.163,0.136,0.043,0.384,0.081,0.174,0.038,0.034,0.045,0.163,1.0
11.07016,0.162,0.134,0.123,0.043,0.285,0.081,0.172,0.041,0.032,0.055,0.172,1.0
11.25583,0.126,0.206,0.262,0.071,0.485,0.082,0.22,0.05,0.042,0.054,0.188,1.0
11.43578,0.206,0.166,0.18,0.052,0.156,0.069,0.2,0.064,0.035,0.048,0.149,1.0
11.72603,0.145,0.116,0.101,0.048,0.267,0.07,0.258,0.114,0.028,0.034,0.076,1.0
11.81868,0.167,0.117,0.136,0.051,0.319,0.055,0.161,0.143,0.036,0.036,0.141,1.0
12.19048,0.138,0.084,0.115,0.04,0.27,0.039,0.105,0.142,0.041,0.041,0.464,1.0
12.30086,0.162,0.071,0.092,0.03,0.118,0.111,0.124,0.126,0.038,0.032,0.497,1.0
12.55601,0.159,0.113,0.128,0.032,0.151,0.276,0.183,0.192,0.041,0.047,0.503,1.0
12.67252,0.177,0.095,0.126,0.047,0.247,0.199,0.422,0.179,0.039,0.041,0.713,1.0
