start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.607,0.39,0.607,1.0,0.459,0.441,0.408,0.648,0.273,0.216,0.157,0.16
3.60526,0.072,0.114,0.128,0.04,0.034,0.086,0.77,0.319,0.075,0.072,1.0,0.227
4.73125,0.501,0.282,0.024,0.033,0.013,0.039,0.295,0.09,0.034,0.078,1.0,0.221
4.92971,0.162,0.235,0.016,0.014,0.015,0.044,0.238,0.06,0.035,0.042,1.0,0.161
5.16308,0.267,0.159,0.026,0.013,0.013,0.04,0.082,0.045,0.013,0.025,1.0,0.078
5.44961,0.038,0.061,0.066,0.034,0.046,0.039,0.256,0.274,0.035,0.018,1.0,0.16
6.18145,0.047,0.115,0.09,0.112,0.095,0.195,0.472,0.297,0.093,0.069,1.0,0.182
7.39333,0.02,0.03,0.04,0.059,0.019,0.095,0.119,0.088,0.051,0.08,1.0,0.19
8.20707,0.064,0.06,0.026,0.019,0.023,0.053,0.14,0.07,0.058,0.122,1.0,0.165
8.35887,0.023,0.048,0.04,0.044,0.043,0.185,0.467,0.084,0.04,0.046,1.0,0.147
8.75451,0.267,0.115,0.025,0.021,0.033,0.229,0.909,0.144,0.034,0.094,1.0,0.092
9.11846,0.03,0.04,0.016,0.021,0.024,0.088,0.397,0.129,0.072,0.046,1.0,0.21
9.50921,0.009,0.032,0.005,0.005,0.005,0.018,0.251,0.066,0.009,0.018,1.0,0.064
9.87333,0.183,0.221,0.11,0.05,0.05,0.092,0.231,0.114,0.075,0.106,1.0,0.157
10.04853,1.0,0.741,0.167,0.091,0.093,0.091,0.065,0.056,0.129,0.157,0.233,0.413
10.2561,1.0,0.506,0.236,0.204,0.134,0.343,0.705,0.215,0.671,0.38,0.474,0.117
10.93111,0.465,0.33,0.091,0.089,0.031,0.078,0.167,0.194,1.0,0.294,0.24,0.035
11.53293,0.583,0.362,0.136,0.157,0.033,0.102,0.597,0.331,0.981,0.645,1.0,0.084
12.41673,0.943,0.417,0.164,0.165,0.072,0.128,0.541,0.355,0.852,1.0,0.603,0.125
12.92299,0.812,0.289,0.144,0.052,0.03,0.174,0.546,0.195,0.074,0.056,1.0,0.08
13.26998,1.0,0.336,0.077,0.027,0.039,0.151,0.542,0.228,0.057,0.06,0.327,0.077
13.50227,1.0,0.791,0.27,0.107,0.688,0.203,0.557,0.38,0.701,0.385,0.461,0.205
13.89143,0.333,0.216,0.051,0.027,0.281,0.129,0.29,0.118,0.133,0.036,1.0,0.108
14.25129,0.226,0.301,0.064,0.06,0.667,0.173,0.606,0.285,0.553,0.203,1.0,0.207
14.82599,1.0,0.387,0.112,0.125,0.805,0.314,0.39,0.174,0.191,0.125,0.9,0.246
15.05179,0.191,0.154,0.067,0.02,0.176,0.105,0.3,0.092,0.149,0.05,1.0,0.106
15.62009,0.094,0.107,0.069,0.072,0.212,0.118,1.0,0.347,0.722,0.335,0.919,0.155
21.07615,0.009,0.012,0.012,0.051,0.018,0.017,0.013,0.108,1.0,0.049,0.017,0.014
21.55447,0.021,0.018,0.033,0.118,0.356,0.074,0.022,0.101,1.0,0.041,0.069,0.026
22.90812,0.07,0.013,0.013,0.073,0.316,0.03,0.013,0.125,1.0,0.043,0.213,0.041
23.42159,0.26,0.061,0.037,0.101,0.229,0.159,0.61,0.659,1.0,0.729,0.251,0.211
23.57968,0.081,0.025,0.015,0.133,0.158,0.016,0.007,0.423,1.0,0.109,0.027,0.025
23.83057,0.413,0.028,0.023,0.155,0.305,0.05,0.036,0.203,1.0,0.141,0.254,0.048
24.47973,1.0,0.352,0.316,0.181,0.622,0.191,0.517,0.549,0.886,0.312,0.31,0.237
24.69429,1.0,0.314,0.222,0.124,0.19,0.072,0.421,0.142,0.281,0.286,0.297,0.08
24.87982,0.579,0.564,0.528,0.072,0.043,0.031,1.0,0.144,0.596,0.14,0.139,0.135
25.14757,0.561,0.241,0.33,0.107,0.323,0.09,1.0,0.25,0.538,0.332,0.317,0.088
25.57079,0.235,0.187,0.828,0.227,0.173,0.053,1.0,0.089,0.39,0.296,0.069,0.045
26.05329,0.174,0.254,0.968,0.12,0.067,0.051,1.0,0.051,0.473,0.375,0.089,0.037
26.70313,0.071,0.249,1.0,0.27,0.189,0.041,0.163,0.107,0.353,0.192,0.096,0.035
26.99923,0.5,1.0,0.427,0.303,0.192,0.112,0.157,0.073,0.043,0.089,0.153,0.048
27.10884,0.447,1.0,0.69,0.477,0.159,0.114,0.624,0.157,0.084,0.183,0.205,0.048
27.2259,0.2,0.19,0.905,0.573,0.286,0.131,1.0,0.286,0.986,0.306,0.264,0.058
27.66132,0.16,0.152,0.9,0.41,0.257,0.074,1.0,0.182,0.876,0.623,0.341,0.059
28.44467,0.227,0.281,0.849,1.0,0.213,0.484,0.458,0.155,0.224,0.184,0.142,0.074
28.62018,0.101,0.15,0.874,0.633,0.094,1.0,0.26,0.093,0.44,0.167,0.114,0.017
28.89351,0.076,0.157,0.712,0.202,0.065,1.0,0.265,0.043,0.196,0.169,0.07,0.017
29.16399,0.061,0.143,0.499,0.237,0.05,1.0,0.209,0.023,0.204,0.286,0.173,0.024
29.50671,0.084,0.209,0.57,0.147,0.074,1.0,0.149,0.058,0.121,0.182,0.171,0.047
30.34744,1.0,0.384,0.421,0.613,0.249,0.235,0.115,0.212,0.502,0.426,0.355,0.245
30.7854,1.0,0.972,0.452,0.612,0.105,0.114,0.135,0.155,0.147,0.121,0.206,0.361
31.00889,0.738,0.604,0.527,1.0,0.152,0.213,0.281,0.378,0.296,0.107,0.348,0.752
31.29642,1.0,0.284,0.149,0.618,0.091,0.141,0.191,0.226,0.084,0.029,0.141,0.537
31.57229,0.703,0.508,0.323,1.0,0.375,0.364,0.486,0.553,0.549,0.534,0.702,0.138
31.67283,0.456,0.247,0.143,1.0,0.22,0.284,0.525,0.564,0.581,0.544,0.614,0.125
31.8107,0.295,0.207,0.112,1.0,0.194,0.269,0.394,0.369,0.521,0.501,0.542,0.101
31.96177,0.192,0.189,0.043,1.0,0.065,0.125,0.137,0.212,0.039,0.017,0.456,0.141
32.22395,0.346,0.461,0.403,1.0,0.377,0.484,0.542,0.619,0.353,0.366,0.695,0.208
32.33306,0.58,0.393,0.286,1.0,0.29,0.398,0.485,0.635,0.373,0.353,0.456,0.177
32.45007,0.184,0.139,0.254,1.0,0.257,0.158,0.142,0.211,0.111,0.157,0.506,0.089
32.5498,0.202,0.167,0.1,1.0,0.234,0.129,0.075,0.12,0.073,0.105,0.701,0.095
32.63737,0.229,0.085,0.082,1.0,0.108,0.174,0.155,0.187,0.105,0.116,0.582,0.052
32.82159,0.411,0.092,0.074,1.0,0.075,0.102,0.139,0.211,0.185,0.07,0.293,0.39
33.08322,0.597,0.139,0.09,1.0,0.122,0.161,0.148,0.235,0.146,0.078,0.618,0.466
33.30281,0.594,0.133,0.097,0.611,0.136,0.119,0.197,0.193,1.0,0.143,0.346,0.636
34.59333,0.579,0.075,1.0,0.286,0.107,0.048,0.106,0.102,0.806,0.123,0.11,0.873
35.04794,0.49,0.058,1.0,0.168,0.163,0.056,0.17,0.084,0.061,0.087,0.15,0.675
35.93315,0.683,0.131,1.0,0.154,0.204,0.397,0.575,0.055,0.032,0.096,0.069,0.743
36.15424,0.583,0.097,1.0,0.117,0.183,0.609,0.938,0.141,0.038,0.105,0.071,0.712
36.44317,0.411,0.575,1.0,0.54,0.515,0.604,0.954,0.438,0.172,0.186,0.28,0.354
36.51315,0.576,0.175,1.0,0.109,0.06,0.081,0.865,0.093,0.089,0.142,0.336,0.151
36.6868,0.49,0.197,0.797,0.206,0.224,0.307,1.0,0.102,0.034,0.102,0.036,0.417
36.88485,0.505,0.15,0.808,0.184,0.101,0.24,1.0,0.085,0.026,0.063,0.037,0.282
37.12839,1.0,0.121,0.58,0.4,0.132,0.112,0.568,0.079,0.166,0.227,0.55,0.349
37.30263,0.766,0.113,0.511,0.289,0.127,0.094,0.515,0.12,0.055,0.072,0.101,1.0
37.57469,0.63,0.244,1.0,0.73,0.316,0.124,0.576,0.228,0.251,0.33,0.521,0.496
37.65619,0.307,0.197,1.0,0.402,0.194,0.099,0.214,0.111,0.131,0.206,0.175,0.35
37.77805,0.554,0.119,1.0,0.41,0.08,0.042,0.314,0.07,0.086,0.165,0.536,0.404
37.94721,1.0,0.462,0.579,0.341,0.085,0.077,0.297,0.068,0.238,0.318,0.781,0.232
38.08041,0.595,0.083,0.569,0.352,0.074,0.082,0.48,0.077,0.022,0.078,0.143,1.0
38.458,1.0,0.133,0.345,0.325,0.214,0.051,0.261,0.05,0.031,0.27,0.125,0.753
38.81147,1.0,0.205,0.336,0.136,0.288,0.231,0.304,0.032,0.04,0.172,0.276,0.565
39.33474,0.797,0.283,0.46,0.09,0.094,0.064,0.56,0.043,0.034,0.172,0.071,1.0
39.61909,0.738,1.0,0.639,0.143,0.108,0.127,0.741,0.1,0.145,0.358,0.216,0.338
39.75206,0.782,1.0,0.674,0.169,0.072,0.229,0.817,0.259,0.208,0.298,0.227,0.257
39.8459,0.253,0.368,0.106,0.046,0.02,0.029,0.412,0.048,0.06,0.263,0.138,1.0
40.6293,0.914,0.4,0.369,0.072,0.035,0.025,0.262,0.058,0.055,0.167,0.083,1.0
40.86036,0.546,0.135,0.316,0.056,0.032,0.03,0.474,0.037,0.031,0.343,0.221,1.0
41.25605,1.0,0.246,0.576,0.171,0.031,0.025,0.321,0.038,0.138,0.322,0.707,0.36
41.43546,0.174,0.044,0.101,0.057,0.017,0.021,0.12,0.013,0.015,0.143,0.284,1.0
41.90667,0.23,0.526,0.189,0.086,0.893,0.231,0.249,0.046,0.305,0.222,0.438,1.0
42.75438,0.398,0.362,0.196,0.069,0.6,0.239,0.431,0.046,0.337,0.079,0.039,1.0
43.06132,1.0,0.531,0.066,0.122,0.378,0.198,0.38,0.225,0.625,0.617,0.929,0.271
43.17215,0.23,0.207,0.069,0.044,0.486,0.2,0.228,0.033,0.054,0.187,0.311,1.0
43.55116,0.244,0.161,0.058,0.646,0.728,0.189,0.31,0.053,0.042,0.226,0.36,1.0
44.01302,0.105,0.093,0.038,1.0,0.811,0.133,0.192,0.049,0.04,0.152,0.171,0.415
44.4649,0.131,0.063,0.054,1.0,0.931,0.136,0.16,0.052,0.058,0.222,0.267,0.416
44.94127,0.462,0.152,0.043,0.503,1.0,0.073,0.142,0.048,0.175,0.307,0.587,0.258
45.0927,0.625,0.123,0.145,0.597,0.538,0.418,0.266,0.254,0.138,0.542,0.185,1.0
45.28395,0.156,0.048,0.091,0.102,0.473,0.194,0.155,0.914,0.063,0.159,0.163,1.0
46.1961,0.111,0.055,0.06,0.145,0.528,0.176,0.225,0.666,0.059,0.369,0.321,1.0
48.06435,1.0,0.507,0.462,0.215,0.091,0.472,0.45,0.053,0.091,0.517,0.229,0.308
48.26263,0.812,0.313,0.382,0.15,0.212,1.0,0.812,0.062,0.118,0.716,0.306,0.506
48.4556,0.558,0.329,0.213,0.118,0.067,0.282,1.0,0.075,0.107,0.28,0.107,0.27
48.61692,1.0,0.592,0.281,0.199,0.116,0.326,0.772,0.095,0.109,0.268,0.123,0.615
48.75578,0.306,0.105,0.353,0.082,0.055,0.558,1.0,0.034,0.034,0.253,0.06,0.369
49.12902,0.11,0.026,0.191,0.047,0.018,0.287,1.0,0.018,0.022,0.169,0.03,0.151
49.80757,0.177,0.245,0.307,0.062,0.031,0.28,1.0,0.033,0.048,0.269,0.053,0.106
50.43392,0.108,0.422,0.742,0.083,0.061,0.14,1.0,0.103,0.055,0.178,0.049,0.038
50.67039,0.288,0.219,0.869,0.1,0.164,0.375,1.0,0.087,0.117,0.479,0.08,0.047
51.1868,0.228,0.215,1.0,0.117,0.1,0.288,0.69,0.08,0.085,0.594,0.074,0.027
51.50313,0.399,0.755,0.314,0.134,0.165,0.584,1.0,0.238,0.154,0.48,0.151,0.054
51.61107,0.141,0.219,0.622,0.064,0.08,0.473,1.0,0.15,0.357,0.309,0.053,0.022
51.92712,0.092,0.077,0.387,0.058,0.052,0.19,1.0,0.03,0.328,0.233,0.03,0.015
52.28612,0.106,0.437,1.0,0.161,0.21,0.682,0.939,0.078,0.524,0.212,0.045,0.043
52.52363,0.221,0.439,0.845,0.105,0.098,0.513,1.0,0.092,0.362,0.39,0.098,0.037
52.79655,0.519,0.068,0.165,0.062,0.148,0.283,0.792,0.137,1.0,0.231,0.028,0.045
53.30082,0.488,0.059,0.023,0.014,0.122,0.142,1.0,0.101,0.929,0.198,0.034,0.052
53.44744,0.476,0.053,0.017,0.02,0.144,0.08,1.0,0.057,0.673,0.156,0.033,0.047
53.61605,0.311,0.023,0.018,0.018,0.107,0.147,1.0,0.029,0.337,0.174,0.024,0.049
53.84104,1.0,0.093,0.036,0.12,0.273,0.492,0.574,0.068,0.828,0.775,0.076,0.071
54.08032,0.769,0.23,0.062,0.048,0.138,0.392,0.176,0.116,1.0,0.329,0.169,0.26
54.47456,1.0,0.118,0.054,0.041,0.046,0.179,0.218,0.077,0.749,0.335,0.045,0.36
54.81134,0.897,0.071,0.044,0.102,0.068,0.237,0.321,0.09,1.0,0.385,0.135,0.366
55.23991,1.0,0.106,0.032,0.064,0.075,0.257,0.196,0.148,0.698,0.129,0.05,0.213
55.40358,1.0,0.097,0.138,0.154,0.189,0.512,0.337,0.112,0.767,0.241,0.09,0.863
55.79737,0.295,0.136,0.049,0.071,0.16,0.185,0.42,0.1,1.0,0.206,0.033,0.399
56.12857,1.0,0.378,0.164,0.111,0.116,0.164,0.622,0.056,0.409,0.108,0.086,0.299
56.4298,1.0,0.308,0.151,0.265,0.196,0.245,0.4,0.216,0.479,0.183,0.101,0.299
56.52853,1.0,0.4,0.229,0.231,0.272,0.228,0.414,0.179,0.303,0.18,0.076,0.262
56.66776,1.0,0.272,0.15,0.066,0.115,0.107,0.563,0.099,0.336,0.185,0.058,0.462
56.88277,1.0,0.259,0.068,0.109,0.178,0.115,0.647,0.098,0.254,0.169,0.155,0.334
57.05224,1.0,0.33,0.211,0.163,0.323,0.17,0.465,0.074,0.553,0.19,0.061,0.458
57.37741,1.0,0.073,0.086,0.202,0.196,0.182,0.449,0.19,0.452,0.17,0.077,0.275
57.60853,1.0,0.153,0.114,0.069,0.116,0.109,0.393,0.135,0.332,0.176,0.096,0.188
57.73692,1.0,0.709,0.597,0.611,0.413,0.274,0.518,0.316,0.318,0.161,0.148,0.44
57.96322,1.0,0.445,0.419,0.331,0.275,0.131,0.252,0.106,0.303,0.167,0.09,0.36
58.25279,1.0,0.471,0.17,0.233,0.422,0.106,0.448,0.242,0.391,0.229,0.083,0.258
58.50844,1.0,0.3,0.223,0.162,0.12,0.08,0.456,0.113,0.513,0.12,0.107,0.196
58.67651,1.0,0.119,0.105,0.117,0.194,0.378,0.339,0.127,0.566,0.194,0.071,0.167
59.06662,1.0,0.105,0.277,0.141,0.262,0.171,0.371,0.139,0.661,0.163,0.096,0.116
