start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.706,0.665,0.601,0.641,0.641,0.673,0.599,0.797,1.0,0.853,0.649,0.716
0.66766,0.257,0.283,1.0,0.386,0.372,0.333,0.177,0.479,0.272,0.309,0.249,0.375
0.80136,0.777,0.998,1.0,0.351,0.218,0.234,0.31,0.694,0.515,0.497,0.553,0.442
0.88259,0.231,0.321,1.0,0.268,0.293,0.218,0.234,0.403,0.23,0.227,0.224,0.206
1.03365,0.272,0.285,0.609,1.0,0.869,0.494,0.263,0.591,0.588,0.603,0.354,0.254
1.17832,0.122,0.525,1.0,0.696,0.708,0.261,0.144,0.178,0.143,0.126,0.208,0.137
1.28862,0.252,0.344,0.988,0.555,0.738,0.661,0.456,0.507,0.425,1.0,0.474,0.341
1.65365,0.132,0.282,1.0,0.756,0.415,0.314,0.262,0.278,0.195,0.42,0.252,0.165
2.35633,0.233,0.181,1.0,0.391,0.277,0.344,0.148,0.923,0.267,0.495,0.436,0.285
2.67506,0.146,0.164,0.568,0.213,0.163,0.247,0.121,1.0,0.217,0.32,0.164,0.134
2.81492,0.206,0.153,0.76,0.437,0.261,0.212,0.163,1.0,0.246,0.679,0.235,0.331
3.01887,0.149,0.126,0.653,0.342,0.15,0.269,0.156,1.0,0.265,0.483,0.25,0.291
3.39528,0.237,0.171,0.653,0.446,0.157,0.162,0.176,1.0,0.289,0.401,0.187,0.429
3.74408,0.379,0.288,0.44,0.327,0.61,1.0,0.873,0.773,0.439,0.493,0.549,0.433
4.06921,0.302,0.671,0.326,0.425,0.374,0.874,0.933,1.0,0.365,0.238,0.252,0.438
4.25007,0.239,0.596,0.818,0.507,0.24,0.412,0.939,1.0,0.489,0.387,0.235,0.441
4.53891,0.372,0.431,0.604,0.564,0.348,1.0,0.563,0.687,0.358,0.321,0.296,0.177
4.68989,0.581,0.71,1.0,0.599,0.417,0.625,0.661,0.935,0.585,0.887,0.478,0.574
5.5146,0.024,0.022,0.05,0.02,0.022,0.035,0.069,1.0,0.286,0.043,0.029,0.043
6.18236,0.389,0.457,0.777,0.309,0.375,0.46,0.74,1.0,0.272,0.355,0.375,0.55
6.36254,0.573,0.681,0.655,0.686,0.694,0.796,0.897,1.0,0.45,0.448,0.557,0.588
6.53075,0.579,0.729,0.693,0.654,0.661,0.705,0.867,1.0,0.475,0.461,0.533,0.564
6.70404,0.569,0.703,0.677,0.609,0.634,0.753,0.849,1.0,0.51,0.504,0.571,0.609
6.88481,0.03,0.024,0.064,0.023,0.028,0.044,0.072,1.0,0.314,0.045,0.034,0.048
7.52921,0.388,0.428,0.622,0.363,0.471,0.421,0.476,1.0,0.427,0.419,0.282,0.591
7.8137,0.665,0.76,0.718,0.645,0.825,0.869,0.98,1.0,0.573,0.551,0.557,0.644
7.91787,0.62,0.692,0.731,0.578,0.766,0.815,1.0,0.903,0.615,0.652,0.628,0.623
8.03406,0.648,0.741,0.696,0.586,0.737,0.877,0.971,1.0,0.598,0.625,0.642,0.678
8.15039,0.638,0.77,0.761,0.639,0.777,0.893,1.0,0.802,0.577,0.597,0.642,0.699
8.26658,0.11,0.085,0.115,0.058,0.093,0.143,0.204,1.0,0.723,0.179,0.125,0.145
8.65474,0.219,0.232,0.432,0.091,0.069,0.094,0.08,1.0,0.105,0.075,0.05,0.35
8.95125,0.336,0.488,0.764,0.445,0.513,0.386,0.518,1.0,0.383,0.259,0.325,0.436
9.12472,0.658,0.713,0.665,0.614,0.722,0.791,0.9,1.0,0.518,0.564,0.585,0.609
9.29351,0.593,0.736,0.758,0.674,0.774,0.955,0.916,1.0,0.563,0.569,0.598,0.574
9.46204,0.678,0.825,0.802,0.759,0.871,0.894,0.966,1.0,0.577,0.615,0.686,0.696
9.63655,0.033,0.028,0.094,0.033,0.043,0.071,0.112,1.0,0.454,0.066,0.038,0.058
10.50127,0.063,0.048,0.081,0.036,0.057,0.081,0.143,1.0,0.523,0.095,0.069,0.092
10.98245,0.052,0.04,0.091,0.031,0.054,0.076,0.094,1.0,0.469,0.076,0.053,0.066
11.72594,0.494,0.466,0.772,0.439,0.46,0.496,0.674,1.0,0.615,0.423,0.434,0.593
11.89306,0.711,0.816,0.787,0.732,0.758,0.887,0.939,1.0,0.533,0.682,0.703,0.668
12.05079,0.525,0.608,0.574,0.578,0.694,0.821,0.86,1.0,0.462,0.441,0.513,0.548
12.22413,0.606,0.754,0.683,0.689,0.752,0.87,1.0,1.0,0.527,0.609,0.615,0.593
12.40041,0.026,0.022,0.077,0.026,0.028,0.046,0.073,1.0,0.271,0.049,0.031,0.051
13.10753,0.58,0.741,0.678,0.684,0.576,0.658,0.797,1.0,0.899,0.903,0.538,0.614
13.32077,0.656,0.74,0.705,0.638,0.699,0.797,0.944,1.0,0.611,0.605,0.627,0.682
13.44372,0.807,0.763,0.789,0.708,0.747,0.861,0.973,1.0,0.709,0.639,0.724,0.769
13.55338,0.604,0.756,0.67,0.595,0.746,0.768,0.972,1.0,0.537,0.56,0.589,0.616
13.66603,0.66,0.726,0.716,0.604,0.725,0.907,1.0,0.822,0.523,0.589,0.641,0.631
13.78023,0.029,0.026,0.078,0.026,0.028,0.046,0.072,1.0,0.281,0.047,0.029,0.043
14.48948,0.493,0.444,0.666,0.361,0.314,0.406,0.498,1.0,0.337,0.368,0.307,0.329
14.63456,0.582,0.65,0.681,0.608,0.639,0.752,0.866,1.0,0.464,0.438,0.536,0.519
14.80916,0.568,0.657,0.693,0.632,0.62,0.65,0.812,1.0,0.493,0.475,0.502,0.557
14.98181,0.592,0.699,0.669,0.642,0.635,0.777,0.886,1.0,0.536,0.464,0.555,0.582
15.15678,0.024,0.02,0.062,0.022,0.027,0.039,0.065,1.0,0.27,0.05,0.031,0.033
15.86503,0.111,0.026,0.019,0.029,0.068,1.0,0.345,0.051,0.026,0.057,0.031,0.029
16.54971,0.025,0.024,0.06,0.022,0.025,0.038,0.07,1.0,0.277,0.044,0.027,0.045
17.24662,0.523,0.667,0.657,0.655,0.583,0.576,0.631,1.0,0.504,0.458,0.342,0.43
17.39764,0.611,0.687,0.648,0.659,0.684,0.827,0.91,1.0,0.51,0.52,0.581,0.562
17.56658,0.582,0.706,0.762,0.669,0.681,0.847,0.874,1.0,0.531,0.526,0.583,0.623
17.74698,0.731,0.892,0.788,0.776,0.854,0.846,0.974,1.0,0.566,0.678,0.688,0.735
17.9142,0.027,0.022,0.065,0.024,0.027,0.043,0.067,1.0,0.273,0.047,0.031,0.044
18.62816,0.388,0.66,0.709,0.46,0.451,0.425,0.714,1.0,0.654,0.539,0.347,0.56
18.83787,0.635,0.746,0.664,0.595,0.633,0.772,1.0,0.913,0.537,0.574,0.535,0.593
18.94712,0.688,0.713,0.741,0.647,0.779,0.882,0.941,1.0,0.599,0.555,0.631,0.707
19.0707,0.639,0.754,0.709,0.605,0.732,0.826,1.0,0.893,0.488,0.594,0.599,0.583
19.17955,0.614,0.79,0.739,0.584,0.759,0.968,1.0,0.815,0.567,0.632,0.704,0.641
19.29578,0.027,0.024,0.066,0.028,0.028,0.042,0.071,1.0,0.273,0.051,0.031,0.048
19.99778,0.473,0.559,0.873,0.529,0.528,0.523,0.698,1.0,0.532,0.343,0.56,0.59
20.15433,0.634,0.822,0.781,0.692,0.839,0.875,0.941,1.0,0.553,0.574,0.637,0.604
20.32875,0.582,0.676,0.648,0.593,0.768,0.969,0.99,1.0,0.467,0.492,0.552,0.563
20.49728,0.598,0.674,0.62,0.61,0.744,0.955,0.9,1.0,0.458,0.51,0.541,0.559
20.67188,0.053,0.042,0.075,0.028,0.051,0.07,0.118,1.0,0.461,0.076,0.058,0.076
21.20385,0.719,0.509,0.61,0.134,0.247,0.321,0.24,1.0,0.172,0.276,0.157,0.367
21.55442,0.038,0.035,0.116,0.026,0.037,0.098,0.121,1.0,0.425,0.069,0.049,0.057
22.06998,0.312,0.228,0.3,0.144,0.203,0.278,0.28,1.0,0.082,0.1,0.097,0.409
22.42231,0.442,0.472,0.978,0.237,0.2,0.293,0.316,1.0,0.169,0.204,0.153,0.724
22.76707,0.538,0.524,1.0,0.578,0.484,0.485,0.632,0.871,0.491,0.396,0.664,0.63
22.9176,0.602,0.728,0.598,0.615,0.645,0.769,0.666,1.0,0.474,0.491,0.53,0.573
23.08644,0.674,0.772,0.67,0.691,0.805,0.879,0.978,1.0,0.575,0.539,0.593,0.641
23.26658,0.609,0.787,0.669,0.638,0.709,0.833,1.0,0.968,0.496,0.561,0.598,0.653
23.42907,0.027,0.022,0.063,0.022,0.028,0.045,0.073,1.0,0.277,0.052,0.031,0.035
24.14254,0.636,0.663,0.774,0.738,0.683,0.785,1.0,0.93,0.918,0.861,0.636,0.708
24.35175,0.643,0.708,0.7,0.649,0.655,0.877,0.93,1.0,0.57,0.619,0.672,0.585
24.46848,0.546,0.706,0.673,0.551,0.696,0.709,1.0,0.762,0.43,0.556,0.467,0.553
24.57887,0.705,0.679,0.744,0.658,0.746,0.905,0.937,1.0,0.595,0.613,0.573,0.598
24.6937,0.65,0.738,0.667,0.612,0.668,0.924,1.0,0.833,0.626,0.737,0.638,0.651
24.82163,0.026,0.023,0.065,0.027,0.027,0.04,0.076,1.0,0.277,0.047,0.03,0.05
25.5185,0.477,0.673,0.661,0.556,0.637,0.546,0.734,1.0,0.466,0.403,0.483,0.459
25.6756,0.59,0.639,0.639,0.573,0.624,0.738,0.797,1.0,0.422,0.523,0.535,0.56
25.84395,0.61,0.73,0.665,0.649,0.772,0.893,0.921,1.0,0.47,0.492,0.536,0.591
26.01732,0.548,0.675,0.649,0.633,0.702,0.844,0.956,1.0,0.437,0.518,0.562,0.542
26.1858,0.028,0.023,0.074,0.027,0.03,0.046,0.073,1.0,0.27,0.053,0.032,0.042
26.90045,0.087,0.026,0.018,0.027,0.062,1.0,0.342,0.044,0.025,0.044,0.029,0.026
27.58494,0.753,0.453,0.149,0.07,0.19,0.201,0.82,1.0,0.938,0.946,0.337,0.121
27.76508,0.025,0.047,0.323,0.066,0.035,0.061,0.22,1.0,0.47,0.069,0.039,0.071
28.2819,1.0,0.153,0.257,0.081,0.106,0.092,0.194,0.293,0.099,0.105,0.104,0.13
28.59546,1.0,0.172,0.12,0.053,0.091,0.085,0.139,0.214,0.088,0.09,0.122,0.174
28.96667,0.836,0.626,0.234,0.111,0.243,0.242,0.83,1.0,0.855,0.874,0.161,0.142
29.12336,0.056,0.208,1.0,0.282,0.081,0.087,0.191,0.785,0.092,0.096,0.043,0.084
29.47819,0.069,0.143,1.0,0.151,0.086,0.118,0.147,0.639,0.112,0.144,0.078,0.095
29.81465,0.118,0.353,1.0,0.092,0.083,0.064,0.138,0.08,0.082,0.233,0.058,0.094
29.99442,0.083,0.173,0.448,1.0,0.175,0.076,0.131,0.146,0.075,0.095,0.182,0.082
30.19751,0.05,0.287,1.0,0.05,0.039,0.059,0.104,0.092,0.063,0.167,0.043,0.045
30.302,0.683,0.5,0.595,0.515,0.632,1.0,0.969,0.84,0.412,0.589,0.635,0.631
30.49973,0.027,0.075,0.397,0.08,0.033,0.054,0.181,1.0,0.462,0.058,0.034,0.062
31.0278,0.123,0.219,1.0,0.155,0.126,0.094,0.163,0.188,0.119,0.188,0.114,0.121
31.32957,0.134,0.3,1.0,0.182,0.102,0.102,0.158,0.17,0.135,0.205,0.136,0.131
31.72476,0.786,0.499,0.209,0.084,0.202,0.208,0.861,0.888,0.998,1.0,0.415,0.108
31.90549,0.036,0.12,1.0,0.194,0.043,0.063,0.114,0.638,0.073,0.056,0.033,0.082
32.24689,0.098,0.135,0.664,0.126,0.159,0.124,0.119,1.0,0.223,0.751,0.101,0.102
32.56617,0.98,0.756,0.401,0.224,0.212,0.222,0.729,0.82,0.948,1.0,0.296,0.254
32.74018,0.107,0.175,0.242,0.178,0.177,0.141,0.239,1.0,0.251,0.495,0.204,0.137
33.1054,0.025,0.023,0.085,0.026,0.026,0.037,0.072,1.0,0.277,0.054,0.033,0.039
33.7849,0.521,0.599,0.624,0.477,0.368,0.593,0.635,1.0,0.4,0.418,0.439,0.649
33.94803,0.522,0.657,0.632,0.575,0.608,0.749,0.83,1.0,0.446,0.46,0.458,0.549
34.11619,0.527,0.582,0.538,0.555,0.631,0.679,0.747,1.0,0.38,0.427,0.49,0.49
34.2898,0.566,0.705,0.729,0.675,0.699,0.813,0.935,1.0,0.538,0.528,0.597,0.611
34.47052,0.03,0.026,0.083,0.024,0.028,0.044,0.069,1.0,0.293,0.051,0.032,0.044
35.14317,0.478,0.753,0.964,0.68,0.504,0.493,0.545,1.0,0.953,0.775,0.488,0.541
35.39274,0.729,0.722,0.741,0.639,0.703,0.817,0.865,1.0,0.608,0.587,0.582,0.567
35.51542,0.737,0.827,0.774,0.728,0.904,1.0,0.954,0.982,0.724,0.766,0.725,0.771
35.62535,0.755,0.869,0.897,0.685,0.871,0.955,1.0,1.0,0.664,0.759,0.687,0.802
35.74159,0.622,0.767,0.759,0.606,0.778,0.806,0.959,1.0,0.626,0.622,0.675,0.653
35.85057,0.028,0.024,0.079,0.026,0.028,0.042,0.069,1.0,0.286,0.047,0.03,0.045
36.54821,0.471,0.541,0.888,0.53,0.416,0.407,0.503,1.0,0.356,0.345,0.32,0.423
36.70499,0.574,0.6,0.612,0.648,0.673,0.772,0.785,1.0,0.419,0.464,0.458,0.526
36.87283,0.638,0.71,0.727,0.789,0.775,0.927,0.918,1.0,0.516,0.549,0.581,0.581
37.05274,0.621,0.69,0.67,0.748,0.768,0.821,0.865,1.0,0.592,0.541,0.601,0.584
37.22739,0.027,0.022,0.064,0.027,0.026,0.038,0.07,1.0,0.278,0.049,0.03,0.048
37.9302,0.065,0.026,0.02,0.034,0.059,1.0,0.334,0.044,0.028,0.043,0.03,0.027
38.62023,0.813,0.514,0.214,0.092,0.219,0.228,0.854,0.977,0.982,1.0,0.327,0.099
38.79497,0.026,0.064,0.382,0.07,0.03,0.055,0.19,1.0,0.451,0.067,0.036,0.051
39.31587,1.0,0.21,0.341,0.118,0.127,0.086,0.126,0.314,0.14,0.115,0.106,0.193
39.63683,1.0,0.191,0.173,0.105,0.124,0.088,0.107,0.292,0.108,0.106,0.123,0.19
40.00172,0.798,0.508,0.242,0.076,0.21,0.221,0.856,1.0,0.96,0.961,0.359,0.127
40.17587,0.041,0.107,1.0,0.125,0.039,0.058,0.135,0.506,0.083,0.068,0.03,0.069
40.50626,0.202,0.246,1.0,0.198,0.111,0.164,0.153,0.801,0.15,0.346,0.161,0.306
