start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.356,0.206,0.222,0.481,0.121,0.105,0.281,0.153,0.085,0.11,0.498
0.36526,1.0,0.689,0.335,0.205,0.805,0.338,0.462,0.249,0.136,0.134,0.165,0.25
0.98104,1.0,0.337,0.314,0.454,0.903,0.232,0.2,0.374,0.18,0.062,0.115,0.633
1.32485,1.0,0.585,0.225,0.231,0.853,0.371,0.251,0.204,0.1,0.124,0.202,0.334
2.11279,1.0,0.729,0.39,0.508,0.654,0.374,0.309,0.706,0.438,0.219,0.197,0.524
2.32635,1.0,0.409,0.28,0.327,0.512,0.165,0.163,0.346,0.244,0.108,0.116,0.537
2.67152,1.0,0.37,0.312,0.247,0.589,0.238,0.229,0.46,0.295,0.136,0.134,0.394
2.89673,1.0,0.465,0.313,0.26,0.65,0.215,0.233,0.388,0.24,0.115,0.149,0.533
3.22195,1.0,0.448,0.178,0.178,0.463,0.159,0.145,0.194,0.097,0.078,0.102,0.295
3.45374,1.0,0.662,0.236,0.197,0.541,0.234,0.248,0.164,0.08,0.129,0.205,0.393
4.55211,1.0,0.626,0.432,0.451,0.574,0.254,0.283,0.273,0.339,0.186,0.19,0.369
4.78218,1.0,0.426,0.204,0.353,0.537,0.187,0.143,0.228,0.124,0.09,0.115,0.267
4.97615,1.0,0.205,0.247,0.567,0.616,0.47,0.293,0.585,0.186,0.109,0.186,0.544
5.15365,1.0,0.261,0.391,0.578,0.697,0.425,0.412,0.861,0.352,0.212,0.273,0.592
5.32762,1.0,0.526,0.176,0.149,0.393,0.165,0.224,0.21,0.108,0.058,0.054,0.112
5.52617,1.0,0.413,0.195,0.229,0.642,0.621,0.243,0.364,0.179,0.105,0.143,0.139
5.70544,1.0,0.339,0.171,0.262,0.632,0.321,0.248,0.119,0.077,0.127,0.142,0.248
6.10045,1.0,0.792,0.633,0.601,0.515,0.552,0.402,0.274,0.195,0.283,0.249,0.807
6.38544,0.501,0.535,0.965,1.0,0.659,0.534,0.452,0.306,0.247,0.297,0.403,0.553
6.66408,0.786,0.743,0.839,0.56,0.461,0.406,0.403,0.213,0.237,0.33,0.365,1.0
7.01243,0.927,0.932,0.914,0.763,0.429,0.852,0.728,0.274,0.325,0.336,0.461,1.0
7.23306,1.0,0.905,0.708,0.515,0.414,0.819,0.854,0.461,0.568,0.606,0.826,0.511
7.39556,1.0,0.541,0.085,0.08,0.306,0.066,0.07,0.046,0.068,0.12,0.167,0.149
7.59329,0.32,0.302,0.194,0.207,0.155,0.129,0.148,1.0,0.818,0.222,0.218,0.152
7.72068,0.33,0.172,0.134,0.172,0.103,0.073,0.117,0.104,0.067,0.074,1.0,0.475
7.84853,0.726,1.0,0.524,0.511,0.737,0.398,0.399,0.457,0.258,0.279,0.3,0.418
8.10381,1.0,0.563,0.14,0.142,0.365,0.097,0.067,0.079,0.059,0.113,0.101,0.24
8.45224,1.0,0.559,0.344,0.311,0.32,0.246,0.283,0.216,0.226,0.328,0.38,0.729
8.64948,0.939,1.0,0.624,0.497,0.558,0.455,0.526,0.583,0.469,0.481,0.825,0.472
8.79964,1.0,0.388,0.062,0.075,0.333,0.053,0.04,0.03,0.016,0.036,0.042,0.056
8.99043,0.37,1.0,0.7,0.382,0.569,0.279,0.34,0.771,0.185,0.128,0.16,0.234
9.18862,0.525,1.0,0.488,0.281,0.291,0.211,0.372,0.232,0.114,0.154,0.201,0.164
9.52594,1.0,0.68,0.128,0.101,0.262,0.113,0.069,0.068,0.148,0.19,0.3,0.234
9.87465,0.217,0.209,0.123,0.112,0.089,0.129,0.136,0.079,0.098,0.138,1.0,0.63
10.00739,0.454,1.0,0.452,0.312,0.203,0.155,0.324,0.737,0.26,0.238,0.736,0.391
10.18735,1.0,0.675,0.12,0.136,0.371,0.061,0.051,0.038,0.046,0.056,0.158,0.189
10.40975,0.541,1.0,0.554,0.32,0.396,0.232,0.598,0.158,0.154,0.117,0.166,0.173
10.63469,0.423,1.0,0.643,0.302,0.499,0.27,0.36,0.194,0.153,0.125,0.314,0.256
10.92499,1.0,0.863,0.181,0.14,0.496,0.066,0.086,0.06,0.041,0.055,0.085,0.126
11.10481,0.442,1.0,0.205,0.117,0.261,0.243,0.148,0.12,0.077,0.131,0.165,0.12
11.21524,0.87,1.0,0.517,0.551,0.587,0.273,0.431,0.273,0.205,0.211,0.292,0.379
11.28522,0.635,0.557,0.443,0.414,0.273,0.563,0.709,1.0,0.695,0.225,0.233,0.375
