start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.119,0.132,0.158,0.149,0.145,0.399,0.704,1.0,0.96,0.538,0.305,0.15
0.42027,0.101,0.109,1.0,0.087,0.069,0.033,0.137,0.269,0.055,0.281,0.039,0.092
0.66748,0.091,0.095,0.035,0.123,0.008,0.026,0.031,0.013,0.008,0.052,0.035,1.0
0.88812,0.102,0.208,0.049,0.046,0.145,0.036,0.046,0.039,0.042,1.0,0.16,0.423
1.21905,0.047,0.122,0.311,0.04,0.045,0.065,0.04,1.0,0.08,0.07,0.017,0.181
1.53878,0.026,0.052,0.032,0.077,1.0,0.074,0.066,0.033,0.121,0.04,0.018,0.098
1.7532,0.065,0.045,0.032,0.153,0.313,0.095,0.085,0.034,0.045,0.064,0.034,1.0
2.20045,0.062,0.077,1.0,0.073,0.092,0.023,0.185,0.298,0.054,0.359,0.03,0.088
2.40902,0.097,0.054,0.019,0.059,0.01,0.007,0.038,0.007,0.006,0.047,0.031,1.0
2.61256,0.346,0.241,0.074,0.142,0.11,0.109,0.128,0.09,0.136,0.323,0.359,1.0
2.75175,0.07,0.272,0.439,0.116,0.155,0.276,0.617,1.0,0.251,0.909,0.245,0.136
2.92617,0.032,0.061,0.147,0.049,0.038,0.056,0.174,1.0,0.399,0.073,0.032,0.068
3.27864,0.15,0.312,0.362,0.49,0.139,0.065,0.064,0.05,0.291,1.0,0.329,0.074
3.4839,0.045,0.07,0.044,0.056,0.202,0.055,0.059,0.075,0.158,1.0,0.094,0.064
3.93088,0.059,0.178,0.825,0.965,0.569,0.063,0.093,0.157,0.422,1.0,0.158,0.104
4.15057,0.101,0.13,0.363,0.956,0.523,0.064,0.059,0.033,0.046,0.364,0.164,1.0
4.36562,0.077,0.16,0.172,1.0,0.381,0.071,0.052,0.049,0.155,0.792,0.101,0.149
4.67596,0.206,0.531,1.0,0.449,0.716,0.305,0.163,0.816,0.22,0.323,0.233,0.281
4.91673,0.238,0.427,0.82,0.852,1.0,0.344,0.235,0.694,0.552,0.628,0.249,0.266
5.2244,0.1,0.193,0.242,1.0,0.548,0.179,0.191,0.148,0.156,0.176,0.098,0.276
5.67723,0.025,0.045,0.311,1.0,0.74,0.152,0.035,0.017,0.038,0.124,0.088,0.028
5.88993,0.053,0.104,0.266,1.0,0.662,0.162,0.068,0.039,0.08,0.174,0.101,0.271
6.10109,0.053,0.085,0.15,1.0,0.8,0.195,0.043,0.041,0.04,0.163,0.124,0.117
6.33438,0.336,1.0,0.597,0.59,0.623,0.621,0.255,0.257,0.167,0.17,0.382,0.266
6.42263,0.165,1.0,0.238,0.146,0.155,0.086,0.134,0.836,0.159,0.122,0.066,0.189
6.56576,0.042,0.072,0.209,1.0,0.835,0.299,0.064,0.193,0.074,0.042,0.061,0.054
6.759,0.039,0.096,0.15,0.724,1.0,0.397,0.066,0.046,0.111,0.336,0.103,0.062
6.98349,0.029,0.095,0.097,0.646,1.0,0.918,0.117,0.073,0.142,0.277,0.108,0.072
7.19102,0.028,0.117,0.143,0.888,1.0,0.655,0.099,0.063,0.126,0.286,0.115,0.041
7.39433,0.044,0.134,0.124,0.632,0.895,1.0,0.261,0.185,0.247,0.359,0.129,0.076
7.59923,0.084,0.129,0.186,0.377,0.73,1.0,0.355,0.203,0.294,0.323,0.118,0.092
7.8093,0.814,0.379,0.08,0.154,0.16,0.077,0.152,0.213,0.376,1.0,0.312,0.467
8.12689,0.052,0.045,0.082,0.142,0.275,0.093,0.197,1.0,0.267,0.17,0.089,0.092
8.48776,0.047,0.062,0.078,0.088,1.0,0.123,0.082,0.103,0.093,0.084,0.059,0.103
9.1668,0.06,0.09,0.072,0.443,1.0,0.68,0.221,0.145,0.144,0.097,0.075,0.176
9.38036,0.649,0.795,0.53,0.301,0.754,1.0,0.263,0.408,0.414,0.235,0.175,0.562
9.57787,0.129,0.186,0.187,0.297,1.0,0.261,0.162,0.165,0.172,0.112,0.097,0.217
10.0195,0.024,0.467,1.0,0.225,0.232,0.2,0.097,0.059,0.122,0.05,0.03,0.076
10.23252,0.47,0.593,0.53,0.396,0.214,0.118,0.315,0.086,0.105,0.089,0.166,1.0
10.45469,0.406,0.062,0.098,0.071,0.04,0.087,0.167,0.074,0.127,0.049,0.077,1.0
10.66971,0.643,0.301,0.223,0.128,0.087,0.08,0.181,0.082,0.093,0.074,0.044,1.0
10.89188,0.343,0.317,0.426,0.376,0.232,0.241,0.722,0.243,0.23,0.242,0.165,1.0
11.12308,0.787,0.408,0.344,0.37,0.37,0.421,0.546,0.313,0.231,0.251,0.34,1.0
11.3093,0.887,0.304,0.205,0.141,0.093,0.163,0.227,0.139,0.198,0.082,0.164,1.0
11.51805,0.383,0.442,0.426,0.281,0.397,0.362,0.15,0.328,0.228,1.0,0.614,0.447
11.77252,0.026,0.051,0.253,0.125,0.089,0.082,0.511,1.0,0.464,0.135,0.117,0.072
11.96971,0.264,0.276,0.252,0.593,1.0,0.879,0.235,0.194,0.18,0.057,0.094,0.354
12.19687,0.212,0.227,0.283,0.234,1.0,0.382,0.278,0.275,0.301,0.261,0.241,0.377
12.61855,0.306,0.197,0.159,0.826,1.0,0.296,0.384,0.259,0.264,0.101,0.168,0.689
12.858,0.759,1.0,0.872,0.862,0.517,0.514,0.432,0.43,0.594,0.597,0.714,0.558
12.93946,0.371,1.0,0.175,0.159,0.303,0.167,0.18,0.323,0.164,0.218,0.162,0.342
13.04376,0.226,0.134,0.102,0.655,1.0,0.439,0.367,0.165,0.197,0.115,0.094,0.28
13.29333,0.584,1.0,0.866,0.847,0.896,0.88,0.474,0.489,0.867,0.869,0.632,0.379
13.38576,0.354,0.479,0.73,0.416,0.471,0.33,0.459,1.0,0.439,0.296,0.175,0.367
13.51365,0.042,0.055,0.082,0.191,0.261,0.179,0.16,0.324,1.0,0.564,0.11,0.069
13.70531,0.312,0.276,0.088,0.055,0.285,0.157,0.051,0.048,0.2,1.0,0.62,0.308
13.94399,0.03,0.104,0.03,0.047,0.105,0.061,0.068,0.043,0.2,1.0,0.429,0.043
14.17655,0.506,0.474,0.334,0.33,0.593,0.385,0.572,0.556,0.763,1.0,0.582,0.121
14.27868,0.23,0.501,0.109,0.099,0.396,0.174,0.202,0.173,0.454,1.0,0.518,0.353
14.37302,0.045,0.11,0.07,0.101,0.37,0.124,0.161,0.135,0.311,1.0,0.544,0.067
14.58703,0.242,0.224,0.047,0.1,0.334,0.194,0.061,0.035,0.225,1.0,0.554,0.214
14.79152,0.148,0.222,0.163,0.228,0.317,0.144,0.156,0.173,0.186,1.0,0.408,0.173
15.12753,0.821,0.884,1.0,0.562,0.757,0.473,0.357,0.466,0.443,0.289,0.414,0.708
15.42966,0.069,0.077,0.094,0.101,1.0,0.123,0.099,0.119,0.119,0.091,0.078,0.159
16.10358,0.048,0.107,0.166,0.596,1.0,0.698,0.197,0.119,0.248,0.118,0.074,0.204
16.31206,0.221,0.246,0.116,0.457,1.0,0.343,0.04,0.171,0.174,0.102,0.086,0.21
16.54984,0.132,0.275,0.374,0.849,1.0,0.399,0.114,0.178,0.151,0.09,0.057,0.203
16.85782,0.409,1.0,0.725,0.293,0.237,0.175,0.153,0.318,0.167,0.235,0.238,0.438
16.99098,0.126,1.0,0.353,0.063,0.051,0.06,0.109,0.092,0.204,0.085,0.041,0.099
17.16154,0.483,0.312,0.327,0.406,0.332,0.268,0.139,0.109,0.154,0.094,0.154,1.0
17.42608,0.394,0.061,0.132,0.067,0.022,0.063,0.139,0.044,0.082,0.055,0.075,1.0
17.64118,1.0,0.961,0.445,0.375,0.421,0.428,0.494,0.465,0.525,0.53,0.643,0.169
