start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.987,0.246,0.226,0.198,0.201,0.186,0.161,0.14,0.112,0.097,0.307
0.35932,0.134,0.101,0.248,0.045,0.076,1.0,0.216,0.05,0.111,0.046,0.014,0.059
0.66853,0.538,0.686,0.062,0.088,0.225,0.135,0.405,0.405,0.943,1.0,0.86,0.033
0.83601,0.185,0.28,1.0,0.2,0.149,0.149,0.263,0.263,0.504,0.516,0.511,0.044
0.95206,0.039,0.661,1.0,0.358,0.068,0.695,0.028,0.01,0.007,0.022,0.008,0.064
1.16091,1.0,0.728,0.407,0.065,0.057,0.075,0.017,0.022,0.082,0.098,0.022,0.628
1.38168,1.0,0.332,0.085,0.056,0.055,0.155,0.104,0.066,0.104,0.253,0.175,0.514
1.7283,0.122,0.059,0.037,0.021,0.095,0.066,0.032,0.037,0.542,1.0,0.237,0.051
1.98522,0.05,0.607,1.0,0.196,0.024,0.119,0.029,0.115,0.023,0.029,0.015,0.042
2.25814,0.358,0.173,0.178,0.313,1.0,0.565,0.065,0.036,0.07,0.061,0.02,0.151
2.51823,0.54,1.0,0.062,0.073,0.152,0.632,0.196,0.062,0.033,0.074,0.837,0.07
2.65705,1.0,0.408,0.111,0.205,0.32,0.365,0.138,0.212,0.497,0.508,0.623,0.133
2.78095,0.093,0.053,0.065,0.016,0.045,0.24,0.311,1.0,0.245,0.126,0.056,0.055
3.03447,0.144,0.019,0.053,0.021,0.028,0.062,0.07,0.19,0.586,1.0,0.646,0.087
3.29628,0.547,0.21,0.359,0.068,0.107,0.272,0.164,0.335,0.679,1.0,0.783,0.764
3.58268,0.117,0.033,0.047,0.016,0.016,0.017,0.021,0.04,0.358,1.0,0.616,0.09
3.82059,0.175,0.148,0.3,0.25,0.145,0.462,0.28,1.0,0.3,0.156,0.119,0.131
4.31596,0.148,0.073,0.103,0.029,0.096,0.574,0.1,0.124,0.555,1.0,0.549,0.048
4.63782,0.231,0.155,1.0,0.107,0.029,0.088,0.064,0.092,0.248,0.398,0.454,0.272
4.88776,0.665,1.0,0.09,0.013,0.034,0.019,0.018,0.04,0.065,0.061,0.261,0.019
5.00358,0.447,1.0,0.095,0.02,0.011,0.013,0.011,0.018,0.026,0.017,0.034,0.033
5.17215,0.154,0.129,0.268,1.0,0.596,0.052,0.035,0.17,0.055,0.022,0.013,0.098
5.40531,1.0,0.596,0.041,0.137,0.724,0.286,0.058,0.077,0.05,0.045,0.247,0.027
5.58984,0.233,0.28,0.525,0.576,0.516,1.0,0.354,0.06,0.215,0.067,0.074,0.11
5.86186,0.401,0.742,0.787,0.733,1.0,0.718,0.293,0.294,0.177,0.149,0.434,0.345
5.9439,0.856,0.233,0.033,0.039,0.086,0.106,0.052,0.282,0.402,0.388,1.0,0.15
6.11828,0.696,0.687,0.202,0.332,0.198,1.0,0.514,0.285,0.254,0.255,0.216,0.512
6.38467,1.0,0.753,0.493,0.437,0.046,0.05,0.504,0.506,0.501,0.489,0.978,0.967
6.47274,0.164,0.697,1.0,0.482,0.149,0.043,0.023,0.017,0.024,0.058,0.024,0.015
6.66018,1.0,0.163,0.07,0.042,0.096,0.112,0.034,0.029,0.049,0.107,0.043,0.539
7.01569,1.0,0.479,0.155,0.014,0.008,0.011,0.021,0.016,0.034,0.031,0.45,0.036
7.19878,1.0,0.303,0.12,0.067,0.13,0.175,0.076,0.094,0.111,0.173,0.319,0.651
7.45324,0.603,0.483,1.0,0.165,0.05,0.12,0.137,0.07,0.208,0.225,0.457,0.06
7.55782,0.685,0.131,0.447,0.095,0.107,1.0,0.463,0.051,0.045,0.1,0.083,0.221
7.82494,0.175,0.117,0.096,0.197,1.0,0.372,0.052,0.461,0.082,0.029,0.01,0.104
8.08658,0.732,0.565,0.072,1.0,0.432,0.053,0.038,0.942,0.077,0.036,0.419,0.019
8.27039,0.157,0.402,1.0,0.103,0.025,0.013,0.012,0.013,0.027,0.08,0.016,0.087
8.63048,0.05,0.521,1.0,0.175,0.085,0.138,0.022,0.047,0.357,0.56,0.148,0.029
8.89905,0.696,0.367,0.806,0.363,0.198,0.919,0.416,1.0,0.264,0.328,0.917,0.69
9.16585,0.717,0.759,0.189,0.277,0.39,0.49,0.498,0.496,0.876,0.89,1.0,0.063
9.31166,0.703,0.617,0.538,0.487,0.473,0.912,0.477,0.315,1.0,0.578,0.451,0.845
9.49741,0.667,0.291,0.274,0.236,0.225,0.827,0.395,0.919,0.328,0.36,0.437,1.0
9.68871,1.0,0.512,0.03,0.061,0.193,0.088,0.105,0.072,0.31,0.753,0.849,0.156
9.84535,0.951,0.72,0.191,0.169,0.314,0.962,0.306,1.0,0.359,0.312,0.107,0.135
10.10993,1.0,0.847,0.957,0.439,0.176,0.086,0.078,0.055,0.088,0.126,0.075,0.555
10.36989,0.255,0.838,0.4,1.0,0.522,0.185,0.163,0.112,0.071,0.104,0.238,0.144
10.62744,0.56,1.0,0.943,0.938,0.587,0.554,0.128,0.129,0.141,0.141,0.596,0.532
10.71093,0.344,0.205,0.178,0.389,1.0,0.439,0.036,0.03,0.024,0.042,0.022,0.116
10.91116,0.425,0.151,0.254,0.201,0.319,1.0,0.421,0.299,0.456,0.884,0.269,0.114
11.51696,1.0,0.191,0.051,0.13,0.106,0.099,0.046,0.087,0.09,0.125,0.132,0.387
11.72494,1.0,0.133,0.065,0.154,0.129,0.171,0.052,0.075,0.642,0.244,0.067,0.984
12.02789,1.0,0.437,0.124,0.021,0.087,0.3,0.045,0.067,0.101,0.054,0.13,0.686
12.29048,0.813,1.0,0.067,0.004,0.023,0.02,0.023,0.013,0.053,0.056,0.302,0.009
12.43392,0.533,0.366,0.683,1.0,0.68,0.157,0.089,0.08,0.08,0.13,0.126,0.397
12.81787,0.151,0.116,0.122,0.124,1.0,0.625,0.042,0.027,0.024,0.017,0.022,0.148
13.07256,0.289,0.175,0.11,0.064,0.257,1.0,0.359,0.274,0.174,0.05,0.032,0.073
13.49619,0.201,0.086,0.061,0.059,0.087,0.114,0.08,0.353,1.0,0.437,0.074,0.101
13.79687,0.287,0.141,0.113,0.095,0.096,0.052,0.049,0.076,0.622,1.0,0.455,0.13
14.04222,0.247,0.16,1.0,0.19,0.055,0.121,0.147,0.593,0.654,0.888,0.704,0.263
14.31565,0.227,0.718,1.0,0.26,0.068,0.053,0.048,0.068,0.086,0.173,0.333,0.206
14.598,0.357,0.345,0.248,0.159,0.119,0.201,0.423,1.0,0.288,0.185,0.064,0.275
14.84907,0.5,0.583,0.218,0.162,0.276,0.086,0.069,0.101,0.244,1.0,0.582,0.152
14.94825,0.181,0.232,0.835,0.357,0.115,0.098,0.075,0.069,0.044,0.106,1.0,0.079
15.10952,1.0,0.845,0.333,0.209,0.168,0.181,0.094,0.255,0.652,0.409,0.213,0.247
15.3883,0.956,0.561,0.258,0.244,0.161,0.097,0.295,0.287,0.51,1.0,0.819,0.405
15.4771,0.394,0.847,1.0,0.041,0.073,0.835,0.213,0.108,0.079,0.141,0.235,0.08
15.65116,0.174,0.225,1.0,0.769,0.223,0.06,0.066,0.092,0.196,0.194,0.095,0.11
15.91578,0.689,0.633,1.0,0.155,0.227,0.684,0.238,0.816,0.292,0.345,0.153,0.337
16.26585,0.329,0.303,1.0,0.068,0.057,0.145,0.124,0.13,0.081,0.119,0.067,0.122
16.51959,0.422,0.75,1.0,0.449,0.066,0.187,0.193,0.078,0.08,0.19,0.316,0.112
16.67814,0.264,0.258,1.0,0.794,0.301,0.143,0.111,0.07,0.111,0.32,0.153,0.142
16.94617,0.11,0.046,0.114,0.26,1.0,0.292,0.067,0.104,0.085,0.093,0.043,0.089
17.26961,0.207,0.123,1.0,0.124,0.229,0.639,0.178,0.033,0.368,0.123,0.149,0.118
17.56585,0.829,1.0,0.43,0.153,0.222,0.479,0.527,0.575,0.192,0.174,0.451,0.122
17.74127,0.763,0.166,0.161,0.158,0.147,0.114,0.134,1.0,0.364,0.195,0.07,0.161
18.03011,0.264,0.254,0.232,0.256,0.169,0.166,0.125,0.351,1.0,0.184,0.197,0.198
18.10018,1.0,0.366,0.039,0.071,0.107,0.072,0.104,0.112,0.101,0.069,0.249,0.052
18.26753,0.327,0.183,1.0,0.785,0.262,0.205,0.167,0.114,0.069,0.188,0.081,0.096
18.62825,0.333,0.037,0.146,0.219,1.0,0.326,0.096,0.27,0.061,0.068,0.036,0.24
18.8893,0.245,1.0,0.22,0.127,0.313,0.967,0.434,0.123,0.135,0.132,0.064,0.19
19.14449,0.711,1.0,0.114,0.041,0.056,0.138,0.124,0.06,0.044,0.042,0.341,0.424
19.31329,1.0,0.595,0.557,0.178,0.347,0.341,0.309,0.499,0.591,0.593,0.58,0.57
19.59166,0.233,0.107,0.241,0.091,0.28,1.0,0.206,0.121,0.096,0.141,0.035,0.116
19.9424,0.598,0.165,0.108,0.29,1.0,0.344,0.056,0.627,0.19,0.187,0.066,0.311
20.201,0.24,0.16,0.331,1.0,0.492,0.081,0.082,0.142,0.04,0.023,0.123,0.036
20.3698,0.141,0.168,1.0,0.268,0.173,0.341,0.092,0.073,0.074,0.107,0.056,0.106
20.89224,0.785,0.426,1.0,0.286,0.467,0.154,0.162,0.146,0.342,0.492,0.152,0.424
21.19959,0.138,0.261,1.0,0.213,0.167,0.285,0.23,0.425,0.613,0.203,0.327,0.144
21.72236,0.361,1.0,0.354,0.278,0.258,0.272,0.49,0.483,0.643,0.752,0.204,0.189
21.98921,0.449,0.707,0.209,0.143,0.263,0.135,0.443,0.429,0.461,1.0,0.421,0.271
22.06417,0.103,0.127,1.0,0.204,0.028,0.047,0.04,0.427,0.092,0.082,0.048,0.064
22.30186,0.557,0.976,0.187,0.081,0.139,1.0,0.26,0.226,0.398,0.377,0.157,0.279
22.59333,1.0,0.39,0.153,0.13,0.438,0.26,0.3,0.313,0.45,0.572,0.42,0.444
22.96571,1.0,0.812,0.08,0.049,0.061,0.115,0.063,0.052,0.116,0.157,0.98,0.298
23.10503,0.324,0.052,0.023,0.014,0.022,0.054,0.049,0.107,0.641,1.0,0.641,0.114
23.29551,0.338,0.257,0.204,0.178,0.394,0.681,0.288,1.0,0.749,0.374,0.145,0.127
23.87587,0.161,0.048,0.09,0.357,1.0,0.276,0.021,0.053,0.059,0.026,0.021,0.135
24.08957,0.203,0.106,0.289,1.0,0.48,0.076,0.025,0.016,0.021,0.044,0.026,0.122
24.38063,0.434,1.0,0.124,0.016,0.016,0.016,0.025,0.024,0.031,0.041,0.114,0.005
24.53333,1.0,0.955,0.684,0.183,0.41,0.267,0.151,0.182,0.289,0.276,0.569,0.783
24.79859,1.0,0.61,0.27,0.149,0.291,0.439,0.151,0.595,0.306,0.173,0.141,0.922
25.05714,1.0,0.574,0.031,0.027,0.035,0.062,0.053,0.071,0.18,0.18,0.695,0.054
25.19342,0.95,0.696,0.04,0.099,0.748,0.191,0.038,0.085,0.458,0.449,1.0,0.11
25.34422,0.297,0.206,0.309,0.157,0.169,0.435,0.496,1.0,0.524,0.156,0.088,0.244
25.57728,0.226,0.184,0.245,0.119,0.246,1.0,0.204,0.103,0.125,0.211,0.035,0.118
25.94331,0.038,0.154,0.264,0.094,0.182,0.13,0.07,0.051,0.633,1.0,0.28,0.024
26.18626,0.159,0.748,1.0,0.397,0.105,0.048,0.039,0.035,0.144,0.079,0.02,0.074
26.37787,0.784,1.0,0.93,0.914,0.695,0.684,0.355,0.359,0.289,0.285,0.871,0.749
26.47016,1.0,0.595,0.033,0.021,0.022,0.026,0.056,0.023,0.046,0.052,0.502,0.023
26.63927,0.93,0.515,0.587,0.465,0.099,0.111,0.43,0.431,0.495,0.482,1.0,0.914
26.72649,1.0,0.532,0.097,0.02,0.017,0.051,0.037,0.041,0.236,0.155,0.493,0.046
26.90703,0.228,0.218,0.578,0.176,0.18,0.277,0.484,1.0,0.575,0.117,0.166,0.108
27.16073,0.392,0.416,0.445,0.266,0.425,1.0,0.474,0.193,0.496,0.791,0.42,0.262
27.42807,0.122,0.144,0.205,0.119,0.148,0.242,0.242,0.607,0.537,0.692,1.0,0.327
27.68399,0.167,0.082,0.101,0.108,0.089,0.12,0.121,0.09,0.506,1.0,0.275,0.1
28.02821,1.0,0.568,0.051,0.068,0.13,0.15,0.196,0.228,0.09,0.072,0.557,0.052
28.19111,0.353,0.177,0.151,0.268,0.179,0.184,0.543,1.0,0.695,0.208,0.144,0.201
28.46771,0.339,0.306,0.466,1.0,0.447,0.809,0.201,0.677,0.132,0.144,0.138,0.116
29.06517,0.99,1.0,0.161,0.181,0.092,0.16,0.1,0.106,0.055,0.035,0.339,0.067
29.21311,0.914,0.713,0.297,0.154,0.12,0.199,0.824,1.0,0.44,0.37,0.69,0.201
29.32104,0.149,0.117,0.178,0.062,0.241,1.0,0.248,0.145,0.085,0.2,0.061,0.171
29.56472,1.0,0.787,0.116,0.106,0.092,0.095,0.323,0.278,0.14,0.239,0.524,0.19
29.73995,0.39,0.158,0.484,0.152,0.201,0.487,0.139,0.286,0.543,0.88,1.0,0.275
30.09356,0.934,1.0,0.433,0.082,0.053,0.08,0.223,0.129,0.127,0.144,0.566,0.351
30.22585,0.066,0.142,0.338,0.075,0.08,0.152,0.096,0.249,1.0,0.384,0.147,0.083
30.61084,0.31,0.079,0.068,0.036,0.031,0.055,0.057,0.438,1.0,0.266,0.035,0.036
30.92281,0.213,0.105,0.089,0.027,0.045,0.074,0.365,0.962,0.365,0.103,1.0,0.202
31.14218,1.0,0.591,0.25,0.073,0.074,0.111,0.129,0.167,0.068,0.061,0.538,0.043
31.31474,0.301,0.236,0.219,0.072,0.151,0.343,0.948,1.0,0.355,0.356,0.05,0.188
31.59692,0.164,1.0,0.254,0.087,0.073,0.086,0.139,0.145,0.206,0.206,0.702,0.173
31.67819,0.317,0.745,0.205,0.078,0.068,0.414,1.0,0.267,0.082,0.046,0.052,0.215
31.98612,0.11,0.163,0.114,0.056,0.466,1.0,0.55,0.082,0.085,0.043,0.024,0.069
32.20594,0.415,0.252,0.055,0.106,0.807,1.0,0.249,0.077,0.081,0.043,0.315,0.073
32.36549,0.176,0.271,1.0,0.236,0.09,0.071,0.03,0.025,0.022,0.049,0.031,0.056
32.88032,0.326,1.0,0.708,0.067,0.095,0.05,0.05,0.096,0.051,0.057,0.042,0.262
33.14866,1.0,0.377,0.23,0.07,0.051,0.087,0.058,0.041,0.073,0.082,0.449,0.699
33.40966,0.679,0.255,1.0,0.56,0.142,0.19,0.289,0.483,0.186,0.15,0.09,0.309
33.68132,0.625,1.0,0.06,0.061,0.06,0.131,0.043,0.044,0.166,0.143,0.196,0.097
33.79619,1.0,0.542,0.047,0.127,0.049,0.301,0.186,0.15,0.556,0.197,0.306,0.055
33.94322,0.272,0.241,0.436,1.0,0.19,0.385,0.569,0.772,0.384,0.098,0.17,0.143
34.23755,0.325,1.0,0.617,0.159,0.199,0.568,0.172,0.273,0.295,0.512,0.419,0.268
