start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.506,0.509,0.75,0.882,0.88,1.0,0.652,0.194,0.507,0.707,0.612,0.433
0.49324,1.0,0.521,0.58,0.452,0.531,0.18,0.213,0.616,0.359,0.493,0.518,0.47
0.92821,1.0,0.698,0.012,0.018,0.043,0.025,0.042,0.074,0.118,0.112,0.562,0.041
1.05769,1.0,0.169,0.023,0.011,0.019,0.014,0.024,0.098,0.022,0.031,0.085,0.692
1.50807,1.0,0.16,0.129,0.101,0.105,0.098,0.077,0.092,0.078,0.124,0.113,0.879
2.29941,1.0,0.448,0.856,0.364,0.405,0.097,0.167,0.24,0.186,0.362,0.541,0.16
2.4634,0.711,0.805,1.0,0.977,0.459,0.151,0.236,0.313,0.172,0.843,0.946,0.615
2.70998,0.886,0.892,0.438,1.0,0.779,0.699,0.384,0.246,0.183,0.337,0.395,0.677
2.82063,0.542,1.0,0.091,0.122,0.098,0.096,0.188,0.171,0.452,0.455,0.321,0.054
3.00095,0.366,1.0,0.063,0.086,0.092,0.163,0.214,0.122,0.043,0.071,0.053,0.07
3.24435,1.0,0.167,0.085,0.058,0.051,0.048,0.046,0.121,0.034,0.04,0.054,0.246
3.77719,1.0,0.115,0.093,0.038,0.049,0.055,0.067,0.092,0.074,0.072,0.022,0.149
4.11488,1.0,0.428,0.089,0.054,0.088,0.118,0.093,0.088,0.09,0.077,0.038,0.555
4.35279,0.95,0.32,0.204,0.209,0.157,0.176,0.19,0.165,0.327,0.492,1.0,0.898
4.77918,0.701,0.492,0.126,0.081,0.266,1.0,0.198,0.148,0.281,0.143,0.047,0.493
5.01451,1.0,0.573,0.16,0.115,0.091,0.16,0.108,0.115,0.359,0.236,0.436,0.079
5.1824,0.573,0.365,0.308,0.226,0.458,1.0,0.33,0.416,0.469,0.654,0.928,0.513
5.42231,0.802,1.0,0.359,0.35,0.329,0.306,0.178,0.177,0.54,0.333,0.354,0.138
5.53093,1.0,0.858,0.635,0.773,0.843,0.746,0.621,0.4,0.536,0.726,0.954,0.349
5.63887,0.805,1.0,0.662,0.368,0.167,0.113,0.161,0.166,0.143,0.085,0.087,0.583
5.90948,1.0,0.357,0.023,0.048,0.051,0.045,0.05,0.127,0.024,0.023,0.04,0.462
6.15256,1.0,0.674,0.049,0.057,0.056,0.037,0.055,0.103,0.115,0.099,0.431,0.08
6.28195,1.0,0.136,0.042,0.03,0.031,0.026,0.024,0.082,0.031,0.022,0.022,0.262
6.58966,1.0,0.189,0.014,0.015,0.038,0.01,0.01,0.074,0.015,0.01,0.012,0.292
6.87937,1.0,0.071,0.027,0.046,0.031,0.011,0.013,0.085,0.017,0.013,0.022,0.293
7.4473,1.0,0.455,0.435,0.215,0.088,0.094,0.099,0.217,0.137,0.102,0.101,0.335
7.70948,1.0,0.319,0.094,0.058,0.067,0.022,0.03,0.121,0.065,0.048,0.036,0.496
7.94712,1.0,0.624,0.328,0.169,0.132,0.114,0.2,0.147,0.133,0.147,0.441,0.095
8.10567,1.0,0.414,0.271,0.219,0.188,0.083,0.067,0.132,0.083,0.224,0.484,0.53
8.34971,1.0,0.887,0.21,0.233,0.209,0.152,0.131,0.056,0.133,0.139,0.469,0.185
8.46209,0.609,1.0,0.054,0.064,0.034,0.027,0.069,0.052,0.192,0.19,0.046,0.045
8.62853,1.0,0.425,0.036,0.045,0.039,0.065,0.09,0.066,0.031,0.044,0.029,0.581
8.96259,1.0,0.081,0.023,0.025,0.018,0.008,0.012,0.037,0.017,0.045,0.03,0.831
9.30785,1.0,0.303,0.108,0.077,0.051,0.039,0.025,0.026,0.046,0.089,0.04,0.901
9.59029,1.0,0.208,0.06,0.052,0.101,0.033,0.034,0.057,0.045,0.112,0.134,0.701
10.03202,1.0,0.567,0.04,0.037,0.06,0.017,0.028,0.066,0.023,0.019,0.24,0.064
10.21605,1.0,0.725,0.179,0.4,0.378,0.236,0.141,0.166,0.163,0.142,0.462,0.221
10.33311,0.207,0.165,0.12,0.114,0.145,0.412,0.232,0.175,0.173,0.361,1.0,0.546
10.71084,1.0,0.719,0.38,0.137,0.13,0.053,0.091,0.201,0.238,0.1,0.078,0.745
10.93388,0.725,0.584,0.455,0.516,0.509,0.158,0.292,0.268,0.166,0.249,0.183,1.0
11.1688,1.0,0.394,0.586,0.477,0.537,0.531,0.336,0.15,0.264,0.553,0.331,0.208
12.50866,1.0,0.779,0.043,0.007,0.007,0.006,0.015,0.059,0.113,0.109,0.538,0.034
12.64027,1.0,0.412,0.117,0.008,0.007,0.006,0.006,0.044,0.018,0.012,0.009,0.442
12.96254,0.184,1.0,0.167,0.043,0.029,0.055,0.056,0.048,0.051,0.055,0.065,0.038
13.39732,0.098,1.0,0.182,0.082,0.093,0.087,0.073,0.074,0.107,0.069,0.039,0.052
13.68209,0.158,1.0,0.378,0.191,0.182,0.107,0.125,0.12,0.163,0.222,0.36,0.139
14.02571,0.566,0.789,0.989,0.809,0.739,0.894,0.749,0.355,0.65,1.0,0.857,0.41
14.56476,0.917,0.994,0.308,0.371,0.641,0.776,0.516,1.0,0.633,0.662,0.972,0.672
14.91805,0.523,0.672,0.537,0.705,0.749,1.0,0.772,0.533,0.724,0.777,0.607,0.651
15.39379,0.884,1.0,0.292,0.369,0.264,0.25,0.429,0.195,0.265,0.556,0.421,0.732
15.59224,1.0,0.676,0.505,0.454,0.288,0.362,0.187,0.189,0.53,0.588,0.954,0.236
15.70812,0.414,0.633,0.729,0.66,0.573,0.583,0.79,0.978,1.0,0.725,0.661,0.332
16.14948,1.0,0.533,0.674,0.281,0.315,0.432,0.55,0.446,0.62,0.376,0.318,0.644
16.41601,0.473,0.74,0.406,0.666,0.442,0.352,0.604,0.976,1.0,0.615,0.706,0.548
16.70617,0.524,0.522,0.28,0.547,0.444,0.502,0.219,0.513,0.46,0.357,0.526,1.0
16.85156,0.547,0.719,0.922,0.934,0.859,0.996,0.712,0.421,0.646,1.0,0.772,0.383
17.47846,0.078,0.175,0.108,0.045,0.074,0.05,0.157,1.0,0.162,0.067,0.249,0.181
17.66454,0.547,0.328,0.222,0.099,0.167,0.068,0.288,0.793,0.043,0.051,0.115,1.0
17.74766,0.164,0.153,0.059,0.113,0.128,0.054,0.294,0.702,0.119,0.117,0.289,1.0
17.87379,0.073,0.191,0.094,0.052,0.056,0.026,0.042,0.174,0.036,0.063,0.206,1.0
18.20993,0.162,0.245,0.403,0.125,0.172,0.102,0.148,0.683,0.411,1.0,0.59,0.679
18.36698,0.181,0.125,0.108,0.191,0.784,1.0,0.401,0.426,0.213,0.243,0.128,0.169
18.89007,0.513,0.399,0.346,0.451,0.716,1.0,0.647,0.697,0.478,0.555,0.479,0.574
19.17388,0.66,0.541,0.971,0.566,0.612,0.279,0.701,1.0,0.699,0.687,0.619,0.362
19.5049,0.758,0.979,0.352,0.593,0.597,0.308,0.304,0.535,0.397,0.362,0.372,1.0
19.64395,0.579,0.767,1.0,0.907,0.852,0.936,0.725,0.33,0.613,0.975,0.768,0.408
20.29973,0.541,0.456,0.473,0.953,1.0,0.584,0.596,0.314,0.355,0.373,0.579,0.807
20.47361,1.0,0.703,0.362,0.285,0.44,0.353,0.37,0.468,0.427,0.507,0.397,0.593
20.56132,0.836,0.706,0.644,1.0,0.906,0.878,0.667,0.971,0.368,0.528,0.457,0.669
20.74082,1.0,0.834,0.227,0.329,0.397,0.247,0.53,0.388,0.469,0.45,0.61,0.325
20.82848,0.444,0.404,0.412,0.529,0.509,0.871,0.325,1.0,0.59,0.691,0.302,0.48
21.03166,0.593,0.642,0.617,1.0,0.738,0.659,0.732,0.266,0.284,0.333,0.317,0.451
21.17678,0.533,0.529,0.442,1.0,0.68,0.727,0.643,0.607,0.478,0.461,0.343,0.558
21.70481,0.466,0.363,0.429,1.0,0.731,0.612,0.551,0.438,0.597,0.404,0.283,0.599
21.97156,0.198,0.433,0.451,0.338,0.224,0.467,0.995,1.0,0.484,0.168,0.098,0.285
22.0649,0.198,0.251,0.374,0.303,0.186,0.19,0.235,0.365,1.0,0.248,0.116,0.174
22.49995,0.592,1.0,0.924,0.813,0.619,0.855,0.54,0.304,0.499,0.74,0.52,0.28
23.04766,0.102,0.349,0.349,0.357,0.926,1.0,0.943,0.914,0.363,0.348,0.126,0.024
23.20331,0.093,0.416,0.935,0.853,1.0,0.536,0.189,0.189,0.17,0.099,0.072,0.097
23.64385,0.773,1.0,0.269,0.264,0.259,0.23,0.146,0.142,0.31,0.271,0.426,0.136
23.82385,0.801,0.993,0.9,0.904,1.0,0.987,0.604,0.632,0.721,0.643,0.769,0.3
23.9107,0.2,0.539,0.578,0.796,1.0,0.762,0.322,0.19,0.309,0.506,0.361,0.184
24.55401,0.295,0.361,0.189,0.156,0.173,0.493,0.378,0.573,1.0,0.434,0.479,0.222
24.65946,0.227,0.183,0.28,0.349,0.4,0.508,0.501,0.483,1.0,0.854,0.315,0.222
24.86862,0.504,0.653,0.468,0.478,0.686,0.888,1.0,0.505,0.638,0.498,0.56,0.446
24.93814,0.808,1.0,0.646,0.377,0.5,0.642,0.507,0.303,0.374,0.307,0.305,0.708
25.23488,0.68,0.62,0.676,0.547,0.538,0.473,0.688,1.0,0.635,0.295,0.357,0.288
25.40358,0.588,1.0,0.461,0.146,0.157,0.059,0.113,0.051,0.052,0.025,0.046,0.413
25.74735,0.437,0.842,0.767,0.77,1.0,0.997,0.822,0.822,0.425,0.426,0.138,0.02
25.84989,0.615,0.836,0.547,0.711,0.448,1.0,0.67,0.361,0.335,0.24,0.092,0.417
26.03646,0.059,0.251,1.0,0.193,0.031,0.057,0.093,0.09,0.138,0.102,0.066,0.061
26.28803,0.464,1.0,0.631,0.639,0.411,0.4,0.07,0.074,0.025,0.02,0.022,0.024
26.45211,0.85,1.0,0.479,0.344,0.384,0.19,0.147,0.105,0.201,0.149,0.207,0.469
26.64426,1.0,0.961,0.807,0.845,0.565,0.544,0.309,0.379,0.652,0.576,0.996,0.593
26.73188,0.248,0.645,0.706,0.97,1.0,0.853,0.397,0.262,0.402,0.683,0.495,0.274
27.33088,0.145,0.836,1.0,0.029,0.013,0.023,0.064,0.039,0.05,0.137,0.073,0.068
27.52698,0.406,1.0,0.291,0.313,0.451,0.356,0.219,0.57,0.229,0.14,0.171,0.294
27.84762,0.079,0.091,0.098,0.12,0.207,1.0,0.664,0.203,0.163,0.168,0.053,0.088
28.22993,0.607,0.84,0.746,1.0,0.848,0.775,0.481,0.285,0.582,0.666,0.409,0.318
28.7229,0.06,0.04,0.068,0.086,0.169,0.211,0.18,1.0,0.601,0.233,0.106,0.063
29.26281,0.198,0.43,0.396,0.236,0.29,0.451,0.293,1.0,0.318,0.097,0.113,0.168
29.52984,0.783,0.499,0.131,0.141,0.146,0.148,0.631,0.666,0.981,0.972,1.0,0.129
29.61129,0.292,0.726,0.736,0.828,0.886,1.0,0.663,0.18,0.513,0.788,0.632,0.281
30.19583,1.0,0.926,0.441,0.392,0.462,0.381,0.372,0.389,0.297,0.214,0.435,0.192
30.26494,0.223,0.227,0.24,0.257,0.386,0.49,0.524,0.489,1.0,0.798,0.338,0.164
30.51029,0.582,1.0,0.745,0.7,0.507,0.662,0.691,0.585,0.789,0.421,0.549,0.729
30.84195,0.616,0.493,0.811,0.463,0.443,0.599,0.553,0.834,0.897,0.475,1.0,0.342
31.05696,0.689,1.0,0.639,0.245,0.19,0.057,0.126,0.102,0.07,0.03,0.068,0.602
31.34553,0.28,0.292,0.198,0.087,0.253,0.524,0.366,0.997,1.0,0.087,0.054,0.346
31.5444,0.101,0.058,0.093,0.145,0.278,0.404,0.201,0.898,1.0,0.343,0.15,0.093
31.93705,0.849,1.0,0.089,0.048,0.06,0.064,0.162,0.183,0.248,0.174,0.448,0.068
32.05102,0.249,0.692,0.471,0.384,0.319,0.407,0.223,1.0,0.324,0.106,0.111,0.146
32.35116,0.72,0.499,0.139,0.145,0.141,0.146,0.649,0.682,1.0,0.993,0.957,0.13
32.43932,0.226,0.549,0.691,0.788,1.0,0.992,0.605,0.125,0.346,0.658,0.413,0.183
33.32644,0.028,0.063,0.056,0.159,1.0,0.077,0.062,0.048,0.121,0.306,0.086,0.277
33.57701,0.12,0.104,0.061,0.278,1.0,0.078,0.097,0.068,0.091,0.19,0.114,0.893
33.66467,0.076,0.06,0.041,0.291,1.0,0.314,0.064,0.061,0.142,0.2,0.106,0.4
33.78576,0.672,0.898,0.849,0.745,0.653,1.0,0.507,0.311,0.502,0.725,0.496,0.294
34.36236,0.084,0.21,1.0,0.573,0.33,0.593,0.156,0.115,0.13,0.087,0.066,0.052
34.82875,1.0,0.992,0.977,0.993,0.662,0.813,0.256,0.255,0.087,0.079,0.036,0.026
34.94005,1.0,0.888,0.072,0.066,0.194,0.368,0.123,0.16,0.271,0.142,0.402,0.119
35.11995,0.287,0.365,0.334,0.341,0.876,1.0,0.466,0.492,0.146,0.089,0.128,0.092
35.20635,0.116,0.272,0.338,0.511,1.0,0.513,0.187,0.099,0.138,0.244,0.142,0.088
35.99678,0.234,0.27,0.235,0.351,0.431,0.647,0.6,0.516,1.0,0.857,0.191,0.135
36.17628,0.215,0.288,0.219,0.107,0.265,1.0,0.137,0.255,0.386,0.11,0.102,0.168
36.52576,0.6,0.555,0.592,0.471,0.457,0.437,0.634,1.0,0.78,0.284,0.315,0.252
36.69828,0.778,1.0,0.863,0.46,0.294,0.089,0.179,0.112,0.1,0.046,0.093,0.703
36.94322,0.566,1.0,0.074,0.066,0.063,0.133,0.13,0.079,0.084,0.056,0.049,0.082
37.14404,0.098,0.213,0.228,0.233,0.833,0.882,1.0,0.981,0.421,0.409,0.138,0.018
37.32776,0.063,0.244,1.0,0.193,0.031,0.056,0.094,0.088,0.141,0.104,0.068,0.061
37.58222,0.465,1.0,0.63,0.638,0.41,0.4,0.069,0.075,0.031,0.022,0.02,0.025
37.74617,0.822,1.0,0.502,0.423,0.404,0.201,0.175,0.34,0.49,0.18,0.228,0.484
37.9415,0.952,0.859,0.72,0.877,0.499,0.547,0.361,0.912,0.851,0.737,1.0,0.577
38.02844,0.174,0.497,0.543,0.769,1.0,0.767,0.32,0.164,0.288,0.466,0.333,0.189
38.68925,0.085,0.118,0.064,0.238,0.047,0.195,0.124,0.96,1.0,0.07,0.063,0.051
38.82395,0.417,1.0,0.301,0.338,0.465,0.4,0.248,0.606,0.256,0.151,0.189,0.305
39.14989,0.78,0.878,0.817,0.748,0.557,0.69,0.517,0.708,0.614,1.0,0.427,0.822
39.52032,0.627,0.836,0.738,1.0,0.851,0.78,0.479,0.302,0.607,0.688,0.418,0.321
40.01946,0.068,0.046,0.078,0.091,0.164,0.214,0.179,1.0,0.608,0.25,0.099,0.066
40.55923,0.195,0.502,0.407,0.265,0.318,0.508,0.332,1.0,0.331,0.122,0.119,0.172
40.84363,0.546,0.349,0.099,0.092,0.248,0.257,0.694,0.706,1.0,0.973,0.794,0.126
40.90921,0.352,0.851,0.821,0.799,0.856,1.0,0.758,0.294,0.63,0.932,0.803,0.375
41.37823,0.273,0.206,0.105,0.121,0.099,0.327,0.166,0.463,1.0,0.193,0.079,0.143
41.56395,0.345,0.253,0.059,0.07,0.134,0.26,0.162,0.402,1.0,0.257,0.082,0.072
41.63283,0.321,0.266,0.186,0.243,0.329,0.466,0.442,0.575,1.0,0.844,0.259,0.171
41.82558,0.669,0.735,0.533,0.256,0.373,0.507,0.3,0.467,1.0,0.308,0.281,0.423
42.17293,0.774,0.671,0.7,0.612,0.54,0.504,0.711,1.0,0.806,0.335,0.379,0.262
42.34934,0.587,1.0,0.054,0.083,0.186,0.173,0.097,0.117,0.237,0.222,0.283,0.068
42.5273,0.5,1.0,0.064,0.117,0.166,0.309,0.253,0.475,0.579,0.066,0.045,0.274
42.82912,0.099,0.063,0.099,0.133,0.285,0.405,0.202,0.829,1.0,0.321,0.137,0.089
43.23546,0.561,1.0,0.042,0.045,0.05,0.041,0.059,0.081,0.086,0.06,0.159,0.039
43.3824,0.191,0.494,0.367,0.293,0.314,0.457,0.282,1.0,0.32,0.106,0.109,0.155
43.64748,0.773,0.509,0.133,0.155,0.161,0.159,0.617,0.659,1.0,0.961,0.995,0.124
43.72893,0.377,0.893,0.852,0.803,0.849,0.996,0.8,0.352,0.674,1.0,0.882,0.421
44.18154,0.156,0.175,0.173,0.433,0.616,0.174,0.084,0.442,1.0,0.474,0.095,0.143
44.38485,0.234,0.342,0.268,0.522,0.942,0.216,0.11,0.415,1.0,0.453,0.118,0.145
44.64009,0.29,0.265,0.171,0.277,0.239,0.122,0.221,0.35,1.0,0.354,0.113,0.15
44.89714,0.473,0.771,1.0,0.989,0.587,0.584,0.424,0.192,0.235,0.412,0.371,0.262
45.0873,0.535,1.0,0.86,0.214,0.343,0.502,0.262,0.144,0.08,0.125,0.209,0.373
45.32485,0.058,0.109,0.127,0.198,0.295,1.0,0.178,0.062,0.173,0.064,0.037,0.041
45.72077,0.081,0.036,0.016,0.042,0.097,1.0,0.091,0.016,0.177,0.02,0.007,0.012
46.05832,0.429,1.0,0.131,0.134,0.106,0.089,0.17,0.161,0.603,0.553,0.423,0.023
46.23633,0.334,0.855,0.809,0.83,0.935,1.0,0.485,0.473,0.28,0.244,0.096,0.013
46.41188,0.743,0.938,0.574,0.456,0.556,1.0,0.704,0.545,0.952,0.369,0.327,0.181
46.53887,0.301,0.726,0.732,0.548,0.635,0.745,0.673,1.0,0.585,0.81,0.663,0.269
47.00295,0.014,0.009,0.067,0.033,0.016,0.071,0.136,1.0,0.187,0.013,0.092,0.031
47.43156,0.333,0.219,0.271,0.225,0.102,0.145,0.405,1.0,0.338,0.094,0.204,0.373
47.64785,0.221,0.184,0.147,0.102,0.106,0.177,0.448,1.0,0.362,0.305,0.614,0.093
47.82195,0.139,0.208,0.3,0.144,0.297,0.372,0.532,1.0,0.264,0.225,0.384,0.164
47.99456,0.084,0.14,0.279,0.266,0.332,0.443,0.239,1.0,0.191,0.193,0.236,0.15
48.87243,0.5,1.0,0.051,0.105,0.134,0.122,0.071,0.078,0.216,0.212,0.14,0.079
49.04871,0.546,1.0,0.082,0.117,0.115,0.095,0.382,0.747,0.276,0.046,0.183,0.135
49.23782,0.092,0.179,0.152,0.136,0.514,0.533,0.886,1.0,0.479,0.472,0.137,0.077
49.3171,0.977,1.0,0.191,0.156,0.218,0.264,0.156,0.206,0.573,0.536,0.539,0.232
49.4,0.773,1.0,0.733,0.495,0.404,0.062,0.136,0.137,0.072,0.077,0.11,0.478
49.66594,1.0,0.239,0.034,0.093,0.039,0.036,0.026,0.221,0.045,0.016,0.059,0.19
49.91129,1.0,0.193,0.049,0.201,0.088,0.023,0.036,0.264,0.063,0.046,0.097,0.274
50.15574,1.0,0.374,0.046,0.164,0.04,0.018,0.025,0.11,0.071,0.024,0.061,0.306
50.35791,1.0,0.267,0.015,0.199,0.055,0.01,0.017,0.128,0.031,0.013,0.14,0.167
50.54299,1.0,0.292,0.011,0.136,0.051,0.007,0.014,0.123,0.033,0.012,0.109,0.2
50.70689,0.558,1.0,0.763,0.42,0.471,0.282,0.369,0.357,0.337,0.511,0.517,0.223
51.08399,0.084,0.086,0.055,0.307,1.0,0.386,0.024,0.109,0.109,0.03,0.016,0.109
51.33469,0.076,0.041,0.038,0.358,1.0,0.325,0.032,0.147,0.122,0.019,0.015,0.126
51.60376,0.406,1.0,0.301,0.289,0.603,0.259,0.211,0.314,0.24,0.148,0.079,0.196
51.70059,0.515,1.0,0.104,0.1,0.222,0.121,0.08,0.071,0.355,0.313,0.341,0.059
51.85238,0.536,1.0,0.056,0.222,0.537,0.385,0.107,0.116,0.137,0.066,0.066,0.102
52.0595,0.246,0.831,0.846,0.823,1.0,0.952,0.266,0.35,0.12,0.082,0.199,0.228
52.14653,0.44,0.773,0.506,0.463,0.436,0.416,0.475,0.532,1.0,0.955,0.419,0.225
52.22703,0.148,0.3,0.323,0.418,1.0,0.549,0.32,0.126,0.273,0.333,0.247,0.222
52.76113,0.067,0.048,0.06,0.473,1.0,0.302,0.066,0.158,0.158,0.038,0.054,0.129
53.01438,0.353,1.0,0.16,0.188,0.499,0.347,0.258,0.559,0.627,0.185,0.081,0.455
53.11741,0.139,0.245,0.197,0.192,1.0,0.233,0.14,0.182,0.208,0.05,0.082,0.348
53.44104,0.149,0.135,0.137,0.584,1.0,0.584,0.122,0.36,0.35,0.08,0.196,0.192
53.63415,0.593,1.0,0.494,0.141,0.74,0.13,0.118,0.155,0.124,0.059,0.056,0.424
53.98499,0.569,0.602,0.133,0.11,1.0,0.233,0.304,0.861,0.789,0.395,0.229,0.523
54.14376,0.091,0.059,0.08,0.432,1.0,0.413,0.052,0.139,0.13,0.04,0.035,0.208
54.38095,0.85,0.617,0.264,0.314,0.453,0.369,0.251,0.497,0.481,0.334,0.185,1.0
54.5273,0.502,1.0,0.063,0.118,0.176,0.15,0.042,0.04,0.266,0.264,0.153,0.044
54.69456,0.606,1.0,0.136,0.507,0.933,0.514,0.152,0.16,0.069,0.031,0.042,0.24
54.88304,0.133,0.608,0.603,0.599,1.0,0.924,0.298,0.321,0.071,0.037,0.123,0.134
54.96726,0.754,0.656,0.459,0.468,0.264,0.233,0.479,0.483,0.963,0.921,1.0,0.374
55.02807,0.535,1.0,0.679,0.313,0.191,0.164,0.156,0.123,0.089,0.066,0.075,0.401
55.32082,0.063,0.052,0.036,0.233,1.0,0.43,0.038,0.152,0.097,0.017,0.025,0.109
55.58667,0.076,0.036,0.042,0.363,1.0,0.293,0.032,0.127,0.09,0.03,0.043,0.104
55.84336,0.122,0.021,0.072,0.374,1.0,0.311,0.038,0.245,0.336,0.075,0.048,0.312
56.07061,0.037,0.025,0.042,0.255,1.0,0.312,0.036,0.128,0.209,0.055,0.071,0.152
56.37574,0.29,1.0,0.87,0.851,0.994,0.904,0.148,0.217,0.176,0.139,0.412,0.228
56.46449,0.883,1.0,0.448,0.448,0.289,0.538,0.173,0.082,0.075,0.151,0.085,0.372
56.72494,0.19,0.11,0.051,0.052,0.232,1.0,0.215,0.048,0.156,0.083,0.018,0.058
56.96844,0.086,0.067,0.034,0.079,0.177,1.0,0.129,0.04,0.171,0.118,0.025,0.042
57.26295,0.153,0.447,0.416,0.437,0.927,1.0,0.644,0.638,0.252,0.229,0.1,0.035
57.34789,0.419,1.0,0.106,0.116,0.164,0.152,0.147,0.134,0.507,0.458,0.381,0.045
