start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.86,1.0,0.403,0.393,0.291,0.295,0.151,0.166,0.073,0.102,0.147,0.08
0.14435,1.0,0.477,0.045,0.044,0.053,0.054,0.063,0.054,0.197,0.198,0.796,0.058
0.2858,1.0,0.328,0.019,0.005,0.027,0.004,0.005,0.047,0.012,0.006,0.024,0.35
0.68141,1.0,0.206,0.013,0.026,0.026,0.006,0.136,0.093,0.02,0.044,0.027,0.65
0.96857,1.0,0.107,0.047,0.064,0.123,0.089,0.11,0.117,0.132,0.458,0.208,0.719
1.40027,0.12,0.034,0.044,0.019,0.143,1.0,0.078,0.695,0.147,0.025,0.009,0.022
1.76726,0.135,0.025,0.006,0.017,0.24,1.0,0.288,0.017,0.011,0.021,0.005,0.012
2.20871,0.083,0.136,1.0,0.134,0.029,0.049,0.154,0.145,0.103,0.083,0.045,0.057
2.40154,0.037,0.025,0.01,0.005,0.014,0.212,1.0,0.12,0.009,0.006,0.012,0.233
2.91887,0.03,0.046,0.079,0.007,0.008,0.009,0.044,1.0,0.115,0.027,0.008,0.021
3.22821,1.0,0.619,0.076,0.079,0.104,0.099,0.214,0.22,0.579,0.586,0.965,0.048
3.36141,0.237,0.258,0.083,0.067,0.095,0.066,0.096,0.237,0.35,1.0,0.624,0.401
3.80771,0.173,0.155,0.066,0.086,0.109,0.352,1.0,0.185,0.096,0.191,0.126,0.22
4.3424,0.656,1.0,0.039,0.107,0.167,0.064,0.097,0.068,0.044,0.127,0.121,0.218
4.50757,0.014,0.015,0.059,0.241,1.0,0.127,0.01,0.059,0.006,0.004,0.002,0.028
4.8361,0.016,0.024,0.196,0.211,1.0,0.218,0.01,0.085,0.009,0.026,0.003,0.047
5.14993,0.052,0.053,0.263,0.331,0.401,0.286,0.106,1.0,0.151,0.046,0.009,0.179
5.38109,1.0,0.678,0.511,0.509,0.434,0.43,0.74,0.727,0.42,0.418,0.665,0.582
5.4639,0.496,0.419,0.313,0.107,0.118,0.145,0.383,0.67,1.0,0.967,0.787,0.405
5.74041,0.096,0.013,0.109,0.014,0.012,0.003,0.006,0.095,0.034,1.0,0.103,0.019
6.13841,0.266,0.247,0.423,0.196,0.228,0.216,0.25,0.515,0.565,1.0,0.27,0.17
6.65882,0.781,1.0,0.123,0.082,0.104,0.098,0.14,0.138,0.185,0.203,0.415,0.005
6.79338,0.032,0.464,1.0,0.355,0.082,0.01,0.003,0.004,0.008,0.023,0.003,0.024
7.01052,0.143,0.407,1.0,0.145,0.053,0.073,0.009,0.014,0.009,0.019,0.005,0.025
7.29732,0.456,0.911,1.0,0.415,0.18,0.048,0.018,0.075,0.01,0.013,0.014,0.036
7.58141,1.0,0.759,0.103,0.149,0.202,0.127,0.147,0.158,0.137,0.154,0.198,0.102
7.71596,0.382,0.381,0.336,0.53,0.349,0.557,0.249,0.259,1.0,0.373,0.541,0.283
8.58644,0.362,0.505,0.306,0.188,0.543,1.0,0.543,0.199,0.21,0.09,0.066,0.175
8.79433,0.02,0.102,0.048,1.0,0.226,0.003,0.005,0.007,0.007,0.001,0.042,0.006
9.15873,0.02,0.038,0.087,1.0,0.412,0.024,0.031,0.403,0.048,0.007,0.037,0.013
9.46812,0.799,1.0,0.283,0.254,0.137,0.173,0.179,0.325,0.221,0.139,0.162,0.196
10.22068,1.0,0.564,0.156,0.058,0.095,0.143,0.025,0.109,0.25,0.018,0.029,0.065
10.72707,1.0,0.359,0.098,0.147,0.145,0.153,0.229,0.279,0.277,0.12,0.153,0.745
11.20204,1.0,0.031,0.011,0.267,0.025,0.007,0.017,0.234,0.023,0.013,0.021,0.552
11.50857,1.0,0.112,0.033,0.021,0.013,0.57,0.051,0.07,0.011,0.015,0.013,0.512
11.819,0.627,0.151,0.291,0.082,0.195,0.231,0.328,0.18,0.243,0.202,0.577,1.0
12.32023,0.537,1.0,0.726,0.108,0.082,0.048,0.082,0.074,0.186,0.703,0.172,0.091
12.49696,0.195,0.156,0.384,0.039,0.026,0.021,0.046,0.056,0.137,0.094,0.083,1.0
12.76857,0.834,1.0,0.485,0.136,0.165,0.163,0.261,0.261,0.394,0.421,0.458,0.217
12.93093,0.688,1.0,0.465,0.113,0.105,0.095,0.106,0.108,0.153,0.211,0.22,0.603
13.03909,0.042,0.201,0.058,0.009,0.006,0.041,0.01,0.025,0.202,0.112,1.0,0.036
13.40141,0.227,1.0,0.248,0.015,0.01,0.089,0.011,0.042,0.194,0.081,0.181,0.513
13.51823,0.136,1.0,0.233,0.032,0.035,0.187,0.041,0.058,0.409,0.08,0.352,0.429
13.69451,0.106,0.684,0.397,1.0,0.244,0.357,0.211,0.509,0.402,0.1,0.109,0.262
13.94902,0.156,0.254,0.175,1.0,0.256,0.047,0.031,0.05,0.03,0.019,0.039,0.053
14.43138,0.031,0.022,0.01,0.057,0.008,0.007,0.014,0.051,1.0,0.087,0.013,0.01
15.00522,0.777,1.0,0.087,0.17,0.093,0.072,0.241,0.569,0.824,0.053,0.184,0.025
15.16853,0.116,0.116,1.0,0.099,0.018,0.01,0.005,0.01,0.006,0.013,0.003,0.005
15.67315,0.5,1.0,0.311,0.031,0.032,0.03,0.052,0.068,0.079,0.078,0.109,0.384
16.27986,0.377,0.6,0.34,0.043,0.162,0.014,0.074,0.277,0.09,0.03,0.03,1.0
16.52077,1.0,0.444,0.135,0.06,0.08,0.059,0.113,0.2,0.142,0.032,0.07,0.51
16.75193,0.621,0.173,0.018,0.031,0.031,0.01,0.048,0.027,0.023,0.024,0.036,1.0
16.92658,0.878,0.95,0.476,0.73,0.731,0.585,0.471,1.0,0.426,0.205,0.051,0.465
17.24721,1.0,0.495,0.044,0.014,0.032,0.032,0.04,0.054,0.043,0.033,0.018,0.232
17.67293,1.0,0.206,0.072,0.039,0.046,0.03,0.06,0.174,0.02,0.018,0.024,0.606
18.00667,0.535,1.0,0.782,0.119,0.339,0.146,0.047,0.072,0.037,0.14,0.032,0.195
18.3493,0.215,0.14,0.064,0.02,0.173,1.0,0.115,0.294,0.069,0.024,0.007,0.011
18.75156,0.531,0.25,0.227,0.247,0.596,1.0,0.953,0.977,0.507,0.157,0.138,0.208
19.23338,0.124,0.164,0.62,0.109,0.041,0.016,0.094,0.219,0.678,1.0,0.53,0.091
19.42467,0.144,0.238,0.344,0.178,0.871,0.869,1.0,0.997,0.239,0.245,0.134,0.119
19.51587,0.038,0.039,0.021,0.014,0.015,0.302,1.0,0.075,0.008,0.01,0.018,0.521
19.78957,0.081,0.045,0.091,0.09,0.125,0.404,1.0,0.594,0.087,0.039,0.059,0.278
20.21297,0.179,0.217,0.061,0.041,0.069,0.046,0.071,0.13,0.155,0.72,0.124,1.0
20.81093,0.59,1.0,0.182,0.163,0.052,0.044,0.051,0.114,0.138,0.18,0.075,0.135
21.01773,0.612,0.25,0.183,1.0,0.075,0.05,0.077,0.06,0.089,0.262,0.076,0.143
21.39732,0.882,0.911,0.97,0.543,1.0,0.348,0.519,0.862,0.635,0.703,0.581,0.594
21.94376,0.166,0.215,1.0,0.147,0.196,0.026,0.025,0.1,0.024,0.025,0.019,0.08
22.18054,0.053,0.019,0.106,0.024,0.139,0.021,0.043,1.0,0.185,0.021,0.019,0.037
22.45891,0.886,1.0,0.739,0.74,0.718,0.719,0.838,0.839,0.531,0.195,0.216,0.988
22.70676,0.08,0.012,0.268,0.028,0.02,0.004,0.008,0.131,0.018,1.0,0.148,0.009
23.26063,0.063,0.02,0.56,0.033,0.025,0.018,0.044,0.051,0.045,1.0,0.23,0.029
23.70807,0.144,0.362,1.0,0.124,0.016,0.008,0.027,0.098,0.092,0.029,0.019,0.028
23.89664,0.566,0.118,1.0,0.046,0.666,0.177,0.043,0.362,0.055,0.052,0.011,0.052
24.35814,1.0,0.571,0.362,0.415,0.269,0.143,0.185,0.265,0.112,0.037,0.054,0.288
24.63039,1.0,0.571,0.409,0.432,0.356,0.395,0.764,0.817,0.9,0.876,0.853,0.628
24.69896,0.1,0.146,0.094,0.335,0.075,0.044,0.081,0.487,1.0,0.08,0.059,0.046
25.46644,0.039,0.065,0.064,0.107,0.029,0.01,0.013,0.283,0.731,1.0,0.057,0.022
25.66395,0.437,0.622,0.251,0.17,0.111,0.098,0.257,0.319,0.733,0.426,1.0,0.058
25.84213,0.172,0.273,0.774,0.958,0.208,0.128,0.298,1.0,0.541,0.224,0.221,0.156
26.22698,0.022,0.024,0.293,0.146,0.027,0.032,0.063,1.0,0.164,0.011,0.031,0.034
26.54077,0.064,0.025,0.11,0.347,0.017,0.01,0.019,0.057,1.0,0.024,0.012,0.01
26.73828,0.37,1.0,0.222,0.213,0.075,0.473,0.2,0.459,0.355,0.072,0.066,0.121
27.31932,1.0,0.707,0.198,0.194,0.321,0.374,0.385,0.468,0.487,0.182,0.163,0.149
28.10172,1.0,0.416,0.075,0.944,0.076,0.019,0.02,0.071,0.018,0.018,0.02,0.091
28.33982,0.981,0.302,0.111,1.0,0.081,0.058,0.059,0.265,0.035,0.088,0.506,0.2
28.56653,0.891,0.256,0.014,0.02,0.022,1.0,0.191,0.047,0.01,0.013,0.016,0.23
28.71111,1.0,0.291,0.013,0.012,0.035,0.643,0.243,0.073,0.021,0.017,0.017,0.154
28.92698,0.763,0.379,0.644,0.176,0.161,0.218,0.312,0.504,0.62,0.264,0.286,1.0
29.40771,0.677,0.216,0.932,0.084,0.023,0.012,0.022,0.017,0.121,0.116,0.02,1.0
29.65937,0.903,0.107,0.366,0.121,0.009,0.012,0.009,0.007,0.009,0.026,0.023,1.0
29.87741,0.737,0.229,0.132,0.123,0.134,0.124,0.179,0.218,0.479,0.788,0.726,1.0
30.0756,0.08,0.31,0.063,0.029,0.016,0.041,0.034,0.064,0.368,0.051,1.0,0.443
30.45374,0.147,0.942,0.174,0.025,0.344,1.0,0.133,0.028,0.16,0.077,0.25,0.04
30.73283,0.415,0.999,1.0,0.955,0.304,0.06,0.094,0.092,0.065,0.01,0.023,0.186
30.9619,0.279,0.421,0.092,0.052,0.039,0.058,0.093,0.576,1.0,0.085,0.057,0.063
31.51265,0.221,0.035,0.017,0.148,0.025,0.026,0.046,0.124,1.0,0.127,0.071,0.361
32.13528,0.733,1.0,0.81,0.283,0.095,0.062,0.093,0.125,0.151,0.059,0.023,0.388
32.33746,0.389,0.869,1.0,0.175,0.015,0.005,0.003,0.012,0.008,0.006,0.003,0.033
32.54698,1.0,0.771,0.141,0.143,0.251,0.244,0.385,0.411,0.447,0.444,0.424,0.096
32.7205,1.0,0.939,0.343,0.15,0.23,0.223,0.278,0.277,0.296,0.298,0.611,0.049
32.85764,0.526,1.0,0.711,0.015,0.009,0.005,0.005,0.013,0.016,0.012,0.008,0.12
33.09111,1.0,0.1,0.089,0.026,0.035,0.041,0.035,0.048,0.021,0.019,0.038,0.502
33.60331,0.072,1.0,0.814,0.283,0.182,0.054,0.029,0.035,0.018,0.057,0.031,0.085
33.87193,0.074,0.172,0.124,0.442,1.0,0.285,0.024,0.009,0.008,0.003,0.008,0.133
34.12834,1.0,0.677,0.054,0.048,0.12,0.113,0.187,0.178,0.425,0.427,0.873,0.011
34.27247,0.652,0.251,0.024,0.02,0.209,1.0,0.102,0.049,0.057,0.059,0.074,0.303
34.7088,0.795,0.388,0.285,0.398,0.472,0.444,0.299,0.154,0.102,0.16,0.039,1.0
34.9029,0.849,0.405,0.037,0.047,0.225,0.295,0.258,0.062,0.061,0.123,0.197,1.0
35.00544,0.345,0.105,0.015,0.049,0.172,0.174,0.175,0.027,0.022,0.059,0.112,1.0
