start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.441,0.989,1.0,0.261,0.145,0.25,0.19,0.136,0.17,0.233,0.104,0.223
0.51356,0.619,0.379,0.643,0.109,0.181,1.0,0.297,0.666,0.28,0.471,0.609,0.403
1.23673,1.0,0.374,0.36,0.075,0.458,0.203,0.058,0.505,0.171,0.551,0.397,0.389
1.79392,0.421,0.328,0.287,0.27,1.0,0.338,0.182,0.277,0.296,0.941,0.232,0.533
2.13474,0.974,0.685,0.067,0.102,0.188,0.227,0.458,0.567,0.404,0.338,0.299,1.0
2.25202,0.905,0.492,0.407,0.14,0.184,0.169,0.108,0.368,0.575,1.0,0.579,0.158
2.46113,1.0,0.302,0.053,0.095,0.272,0.185,0.245,0.945,0.421,0.343,0.278,0.327
2.56599,0.161,0.655,1.0,0.286,0.041,0.017,0.025,0.211,0.049,0.026,0.016,0.069
2.78517,0.269,0.172,0.199,0.185,0.132,0.109,0.068,0.387,0.868,1.0,0.522,0.1
3.07669,1.0,0.459,0.062,0.107,0.112,0.076,0.231,0.943,0.516,0.379,0.218,0.443
3.21619,0.315,0.214,0.422,0.091,0.148,1.0,0.119,0.748,0.152,0.404,0.46,0.223
3.76195,0.397,0.326,0.428,0.101,0.101,1.0,0.175,0.314,0.143,0.276,0.318,0.097
3.93011,1.0,0.322,0.356,0.056,0.432,0.139,0.043,0.619,0.118,0.629,0.404,0.275
4.45166,0.258,0.094,0.104,0.09,0.356,0.16,0.129,0.184,0.706,1.0,0.733,0.115
4.62054,0.233,0.127,0.59,0.29,1.0,0.223,0.122,0.118,0.498,0.528,0.537,0.125
4.79501,0.345,0.264,0.303,0.139,0.745,0.377,0.065,0.307,0.149,1.0,0.276,0.196
5.05596,0.943,0.465,0.359,0.172,0.161,0.231,0.353,0.509,0.599,0.781,0.704,1.0
5.381,0.298,0.453,0.379,0.315,0.647,1.0,0.343,0.235,0.33,0.372,0.214,0.11
5.76408,0.348,0.369,0.168,0.784,0.174,0.708,0.092,0.268,1.0,0.477,0.975,0.243
6.51338,0.333,0.483,0.47,0.36,0.176,1.0,0.176,0.747,0.313,0.392,0.961,0.267
7.06485,0.403,0.269,0.292,1.0,0.326,0.542,0.291,0.267,0.322,0.215,0.294,0.745
7.33832,0.236,0.682,0.222,0.228,0.119,0.234,0.22,0.177,1.0,0.304,0.197,0.471
7.63923,0.726,0.337,0.382,1.0,0.477,0.51,0.185,0.241,0.512,0.256,0.67,0.671
7.92984,0.542,0.294,0.341,0.732,0.277,0.498,0.282,0.462,1.0,0.501,0.36,0.412
8.28476,1.0,0.901,0.232,0.46,0.295,0.471,0.327,0.491,0.497,0.398,0.777,0.269
8.4468,0.145,0.146,0.391,0.093,0.337,0.063,0.142,0.479,0.401,1.0,0.293,0.227
8.97478,0.215,0.383,1.0,0.474,0.164,0.298,0.227,0.235,0.116,0.301,0.303,0.134
9.35306,0.449,0.236,0.26,1.0,0.333,0.68,0.493,0.329,0.579,0.676,0.982,0.16
9.61383,0.393,0.638,1.0,0.447,0.545,0.333,0.603,0.786,0.521,0.855,0.349,0.408
9.90925,0.636,0.24,0.311,0.321,0.27,0.071,0.069,0.077,0.097,0.189,0.195,1.0
10.18186,1.0,0.415,0.043,0.08,0.456,0.124,0.049,0.036,0.243,0.247,0.434,0.381
10.36209,1.0,0.835,0.019,0.056,0.234,0.106,0.204,0.158,0.423,0.399,0.691,0.333
10.51265,0.271,1.0,0.142,0.094,0.149,0.279,0.132,0.09,0.157,0.153,0.218,0.207
10.65673,0.023,0.404,1.0,0.185,0.026,0.012,0.017,0.007,0.01,0.043,0.01,0.04
10.94494,0.419,0.221,0.58,0.102,0.212,1.0,0.148,0.719,0.185,0.515,0.808,0.361
11.66218,1.0,0.378,0.347,0.072,0.336,0.217,0.057,0.604,0.213,0.526,0.441,0.235
12.19624,0.613,0.336,0.359,0.161,0.977,0.622,0.156,0.312,0.329,1.0,0.206,0.65
12.45764,0.416,0.384,0.276,0.19,0.353,1.0,0.157,0.47,0.15,0.241,0.087,0.205
12.81161,0.17,0.107,0.177,0.031,0.099,0.083,0.042,0.172,0.253,1.0,0.66,0.041
13.24104,0.108,0.132,0.061,0.027,0.136,0.085,0.053,0.105,0.586,1.0,0.577,0.102
13.50249,0.286,0.151,0.524,0.08,0.172,1.0,0.125,0.702,0.133,0.554,0.712,0.214
14.23365,1.0,0.377,0.307,0.057,0.371,0.231,0.056,0.529,0.155,0.547,0.48,0.257
14.74975,0.372,0.289,0.381,0.262,0.728,1.0,0.326,0.187,0.158,0.545,0.408,0.193
15.36032,1.0,0.754,0.782,0.119,0.227,0.163,0.157,0.228,0.142,0.069,0.132,0.492
15.65896,0.79,1.0,0.504,0.16,0.35,0.681,0.221,0.041,0.068,0.174,0.049,0.376
15.92322,0.46,1.0,0.823,0.137,0.452,0.942,0.341,0.377,0.221,0.671,0.28,0.266
16.13787,0.404,0.388,0.316,0.778,0.15,0.68,0.086,0.372,0.818,0.725,1.0,0.485
16.77624,0.374,0.731,0.759,1.0,0.63,0.866,0.211,0.722,0.37,0.46,0.896,0.233
17.16027,0.346,0.703,0.47,0.137,0.077,0.431,0.227,1.0,0.38,0.239,0.353,0.134
17.29274,0.288,0.2,0.306,1.0,0.453,0.615,0.225,0.621,0.369,0.148,0.669,0.398
17.57701,0.639,1.0,0.424,0.066,0.202,0.173,0.056,0.095,0.199,0.143,0.196,0.397
17.89338,0.529,0.352,0.393,0.872,0.696,1.0,0.442,0.212,0.281,0.122,0.173,0.209
18.18689,0.431,0.487,0.65,1.0,0.563,0.517,0.251,0.148,0.249,0.211,0.341,0.537
18.52426,0.692,1.0,0.232,0.46,0.321,0.648,0.276,0.376,0.398,0.305,0.827,0.241
18.68041,0.235,0.214,1.0,0.14,0.6,0.1,0.215,0.625,0.281,0.957,0.587,0.393
19.14472,0.732,0.603,0.861,0.228,1.0,0.164,0.323,0.388,0.457,0.791,0.44,0.28
19.24313,0.566,1.0,0.525,0.271,0.891,0.42,0.409,0.436,0.368,0.561,0.11,0.362
19.35918,0.209,0.475,1.0,0.607,0.151,0.38,0.232,0.268,0.063,0.111,0.143,0.063
19.61533,0.178,0.771,1.0,0.831,0.172,0.355,0.55,0.14,0.069,0.087,0.137,0.081
19.82984,0.178,0.19,0.93,0.384,0.382,0.236,0.458,0.581,0.594,1.0,0.816,0.351
20.20707,0.075,0.1,0.106,0.031,0.04,0.102,0.062,0.049,0.127,0.606,1.0,0.083
20.43383,0.084,0.153,1.0,0.3,0.072,0.111,0.273,0.189,0.246,0.736,0.24,0.328
20.55066,0.517,0.134,0.135,0.159,0.247,0.106,0.088,0.061,0.129,0.142,0.089,1.0
20.85723,1.0,0.531,0.193,0.062,0.087,0.085,0.074,0.181,0.116,0.167,0.201,0.79
21.19397,0.343,0.271,0.563,0.209,0.903,0.557,0.201,0.205,0.367,1.0,0.198,0.351
21.55995,0.59,0.517,0.64,0.128,0.902,0.941,0.305,0.252,0.521,1.0,0.469,0.168
21.71642,0.366,0.261,0.734,0.123,0.785,0.496,0.181,0.186,0.358,1.0,0.362,0.243
21.82685,0.223,0.271,1.0,0.251,0.261,0.24,0.086,0.061,0.092,0.519,0.157,0.111
22.29673,0.667,0.34,0.375,0.221,0.685,0.933,0.351,1.0,0.214,0.95,0.148,0.222
22.4883,0.107,0.27,1.0,0.229,0.387,0.063,0.126,0.15,0.179,0.531,0.145,0.255
22.98785,0.622,0.172,0.106,0.096,0.922,0.109,0.224,0.249,0.35,1.0,0.225,0.722
23.16807,0.513,0.269,0.352,0.404,1.0,0.324,0.26,0.352,0.305,0.772,0.454,0.868
23.80045,0.136,0.278,0.715,0.107,0.348,0.269,0.16,1.0,0.138,0.977,0.271,0.132
24.16644,0.035,0.244,1.0,0.085,0.111,0.1,0.054,0.178,0.03,0.446,0.299,0.052
24.51478,0.105,0.182,0.687,0.15,0.329,0.321,0.238,0.691,0.283,1.0,0.522,0.215
25.06045,0.475,1.0,0.531,0.262,0.266,0.596,0.212,0.564,0.386,0.528,0.188,0.132
25.20508,0.158,0.382,1.0,0.234,0.584,0.611,0.048,0.036,0.089,0.132,0.039,0.12
25.46621,0.403,0.412,1.0,0.226,0.819,0.88,0.147,0.084,0.135,0.624,0.216,0.171
26.40045,1.0,0.578,0.87,0.815,0.305,0.218,0.183,0.585,0.131,0.501,0.787,0.25
27.01043,0.59,0.229,0.651,0.5,0.103,0.179,0.219,1.0,0.122,0.471,0.48,0.157
27.32381,1.0,0.286,0.331,0.596,0.292,0.543,0.141,0.262,0.394,0.54,0.466,0.392
27.66095,0.642,0.221,0.209,0.621,0.5,0.484,0.41,0.325,0.164,1.0,0.233,0.181
27.92766,0.649,0.213,0.168,0.456,0.336,1.0,0.344,0.721,0.221,0.998,0.413,0.131
28.35138,1.0,0.674,0.387,0.379,0.162,0.808,0.19,0.19,0.402,0.636,0.741,0.141
28.50236,1.0,0.327,0.384,0.147,0.138,0.303,0.129,0.217,0.388,0.784,0.675,0.664
28.95546,0.238,0.402,0.423,0.16,0.335,0.12,0.145,1.0,0.227,0.485,0.228,0.214
29.31551,0.676,0.571,0.27,0.07,0.78,0.154,0.123,0.887,0.475,1.0,0.63,0.283
29.46635,0.344,0.36,0.317,0.094,0.368,0.147,0.101,0.641,0.462,1.0,0.83,0.265
29.86698,0.426,0.31,0.212,0.202,0.1,0.292,0.243,0.262,1.0,0.455,0.573,0.134
29.98898,0.265,0.347,0.44,0.52,0.247,0.17,1.0,0.46,0.334,0.894,0.263,0.438
30.18649,1.0,0.463,0.199,0.198,0.28,0.257,0.267,0.271,0.137,0.152,0.506,0.472
30.48204,0.284,0.246,0.174,0.375,0.482,0.158,0.126,0.226,0.269,0.379,1.0,0.485
31.21297,0.943,0.357,1.0,0.25,0.06,0.032,0.074,0.07,0.054,0.048,0.083,0.445
31.49896,0.348,0.191,0.609,0.102,0.118,1.0,0.169,0.626,0.133,0.464,0.375,0.195
32.2351,1.0,0.467,0.26,0.063,0.372,0.203,0.138,0.542,0.167,0.495,0.46,0.253
32.78086,0.561,0.534,0.395,0.463,1.0,0.806,0.298,0.189,0.27,0.667,0.134,0.252
33.042,0.683,0.357,0.307,0.634,1.0,0.916,0.196,0.316,0.128,0.078,0.054,0.294
33.37878,1.0,0.875,0.915,0.238,0.29,0.523,0.13,0.514,0.217,0.214,0.125,0.593
33.59814,0.106,0.654,1.0,0.517,0.174,0.017,0.015,0.163,0.047,0.025,0.014,0.05
33.81456,0.144,0.245,0.469,0.078,0.057,0.037,0.023,0.065,0.329,1.0,0.766,0.132
34.09683,0.362,0.144,0.581,0.085,0.134,1.0,0.14,0.529,0.184,0.38,0.625,0.272
34.82989,1.0,0.399,0.256,0.102,0.367,0.204,0.111,0.514,0.163,0.51,0.484,0.346
35.38721,0.254,0.398,0.297,0.087,0.384,1.0,0.186,0.104,0.122,0.254,0.084,0.261
35.70009,0.683,0.459,0.249,0.088,0.192,0.277,0.06,0.141,0.93,1.0,0.947,0.414
35.9737,1.0,0.389,0.141,0.187,0.247,0.278,0.162,0.285,0.151,0.077,0.123,0.597
36.25841,0.34,0.326,0.079,0.036,0.12,0.157,0.095,0.096,0.433,1.0,0.704,0.175
36.67007,0.823,1.0,0.951,0.946,0.697,0.688,0.588,0.595,0.474,0.461,0.806,0.757
36.74059,0.267,0.295,0.153,0.543,0.13,0.617,0.078,0.269,0.486,0.528,1.0,0.275
37.37188,0.374,0.709,0.584,0.765,0.48,1.0,0.258,0.92,0.542,0.564,0.769,0.266
37.8551,0.173,0.137,0.129,0.355,0.16,0.32,0.095,0.32,1.0,0.427,0.666,0.301
38.20816,0.529,1.0,0.408,0.213,0.163,0.103,0.11,0.144,0.144,0.134,0.189,0.775
38.48014,0.572,0.407,0.817,1.0,0.43,0.625,0.267,0.384,0.185,0.167,0.203,0.566
38.81737,0.556,0.455,0.771,0.899,0.714,1.0,0.199,0.201,0.248,0.145,0.238,0.697
39.12562,0.652,1.0,0.154,0.386,0.211,0.397,0.217,0.378,0.361,0.275,0.403,0.138
39.27769,0.285,0.251,0.593,0.147,0.443,0.136,0.184,0.695,0.5,1.0,0.795,0.471
39.56118,0.293,0.321,1.0,0.122,0.662,0.116,0.324,0.715,0.324,0.736,0.439,0.5
39.8629,0.167,0.593,1.0,0.369,0.137,0.204,0.202,0.261,0.077,0.111,0.123,0.075
40.14163,0.318,0.445,0.236,0.51,0.137,0.615,0.727,0.252,0.49,1.0,0.819,0.166
40.39705,0.143,0.258,0.431,0.276,0.343,0.225,0.313,0.851,0.558,1.0,0.639,0.293
40.83814,0.054,0.083,0.06,0.014,0.029,0.057,0.027,0.022,0.232,0.479,1.0,0.093
41.08277,0.481,0.189,0.146,0.12,0.156,0.161,0.134,0.154,0.439,1.0,0.725,0.74
41.48245,0.035,0.295,1.0,0.041,0.022,0.009,0.017,0.014,0.015,0.029,0.013,0.082
41.83646,0.431,1.0,0.773,0.13,0.12,0.552,0.15,0.517,0.342,0.2,0.327,0.558
42.07447,0.559,0.297,0.359,0.298,0.346,0.485,0.834,0.986,0.799,0.847,1.0,0.815
42.15578,0.304,0.43,1.0,0.115,0.044,0.08,0.075,0.117,0.155,0.549,0.293,0.425
42.37088,1.0,0.736,0.206,0.124,0.156,0.745,0.676,0.599,0.774,0.763,0.333,0.084
42.53896,0.068,0.105,0.147,0.057,0.117,0.106,0.051,0.029,0.043,1.0,0.261,0.096
42.7658,0.2,0.465,0.361,0.088,0.143,0.099,0.122,1.0,0.161,0.165,0.201,0.396
43.03283,1.0,0.927,0.547,0.205,0.172,0.25,0.244,0.386,0.269,0.309,0.132,0.408
43.36304,0.656,0.474,0.512,0.309,0.322,0.28,0.243,0.26,0.256,0.901,0.592,1.0
43.66454,0.641,0.57,0.468,0.25,0.315,1.0,0.269,0.454,0.282,0.787,0.572,0.655
44.0185,0.237,0.248,0.225,0.152,0.207,1.0,0.145,0.14,0.268,0.231,0.279,0.164
44.41528,0.124,0.482,0.889,0.242,0.121,0.879,0.228,1.0,0.203,0.097,0.487,0.186
44.71111,0.324,1.0,0.618,0.157,0.13,0.695,0.192,0.56,0.361,0.714,0.366,0.21
45.0405,0.111,0.183,0.121,0.048,0.216,0.129,0.137,0.097,0.134,1.0,0.145,0.065
45.34757,0.745,0.42,0.292,0.248,0.279,0.229,0.185,0.888,0.249,0.238,0.265,1.0
45.60349,0.654,0.331,0.212,0.238,0.245,0.425,0.22,0.239,0.309,0.881,1.0,0.433
45.99887,0.297,1.0,0.523,0.131,0.129,0.207,0.2,0.302,0.386,0.503,0.125,0.254
46.32971,0.437,1.0,0.58,0.107,0.103,0.254,0.168,0.466,0.283,0.692,0.607,0.415
46.63138,0.186,0.305,0.084,0.163,0.123,1.0,0.326,0.119,0.141,0.173,0.162,0.217
46.95669,0.337,1.0,0.537,0.149,0.111,0.355,0.159,0.256,0.636,0.341,0.448,0.389
47.15973,0.084,0.206,0.062,0.155,0.032,0.091,0.13,0.19,1.0,0.246,0.221,0.031
47.28236,1.0,0.481,0.275,0.056,0.052,0.102,0.072,0.144,0.326,0.124,0.1,0.315
47.49066,0.342,0.469,0.135,1.0,0.101,0.097,0.118,0.177,0.575,0.55,0.445,0.051
47.65329,0.041,0.084,0.18,0.057,0.031,0.037,0.044,1.0,0.358,0.365,0.128,0.088
47.85651,0.195,0.172,0.176,0.107,0.134,1.0,0.153,0.551,0.145,0.194,0.094,0.161
48.15868,0.038,0.096,0.074,0.059,0.025,0.07,0.035,0.046,0.084,0.165,1.0,0.161
48.61655,0.099,0.276,0.131,0.024,0.018,0.063,0.058,1.0,0.079,0.043,0.143,0.065
48.80866,0.58,0.477,0.414,0.387,0.446,1.0,0.218,0.37,0.236,0.208,0.262,0.158
48.94159,0.812,0.693,0.122,1.0,0.078,0.122,0.119,0.257,0.46,0.429,0.616,0.11
49.10989,0.125,0.2,0.158,0.089,0.06,0.074,0.046,0.33,1.0,0.529,0.22,0.049
49.42381,0.223,0.188,0.151,0.107,0.119,0.176,0.077,0.487,0.931,1.0,0.546,0.172
49.76091,0.072,0.101,0.105,0.145,0.102,0.122,0.043,0.097,0.37,1.0,0.452,0.073
50.05116,1.0,0.863,0.238,0.182,0.322,0.767,0.322,0.371,0.454,0.463,0.174,0.155
50.21995,0.09,0.624,1.0,0.221,0.019,0.041,0.081,0.019,0.017,0.048,0.015,0.058
50.45179,0.291,1.0,0.48,0.056,0.042,0.106,0.129,0.055,0.136,0.112,0.102,0.068
50.73619,1.0,0.409,0.546,0.308,0.266,0.443,0.29,0.594,0.449,0.522,0.757,0.763
51.03746,0.087,0.365,1.0,0.107,0.02,0.012,0.014,0.026,0.015,0.087,0.077,0.04
51.42118,0.567,0.125,0.034,0.148,0.044,0.033,0.041,0.03,0.039,0.102,0.031,1.0
51.73392,0.213,0.34,0.158,0.155,1.0,0.644,0.038,0.025,0.042,0.099,0.069,0.167
52.02984,0.054,0.114,0.112,0.031,0.14,0.066,0.025,0.089,0.117,1.0,0.202,0.059
52.33274,0.075,0.154,1.0,0.101,0.092,0.13,0.193,0.636,0.379,0.509,0.544,0.088
52.58726,0.178,0.069,0.283,0.064,0.036,0.057,0.088,1.0,0.164,0.167,0.153,0.087
52.76671,1.0,0.382,0.135,0.025,0.029,0.018,0.009,0.062,0.018,0.018,0.027,0.34
52.96381,1.0,0.935,0.187,0.212,0.218,0.181,0.325,0.239,0.418,0.467,0.821,0.194
53.06417,0.25,0.261,0.031,0.014,0.145,1.0,0.045,0.064,0.204,0.184,0.114,0.033
53.23846,0.228,0.252,0.205,0.131,0.441,0.916,0.142,0.06,0.046,0.112,1.0,0.242
53.5683,0.119,0.083,0.079,0.118,0.834,0.285,0.099,0.067,0.444,1.0,0.646,0.185
53.81873,0.029,0.034,0.034,0.033,0.119,0.088,0.063,0.066,0.102,1.0,0.331,0.047
54.03211,0.028,0.076,1.0,0.181,0.064,0.054,0.118,0.285,0.064,0.12,0.077,0.041
54.27134,0.277,0.065,0.056,0.055,0.164,1.0,0.033,0.027,0.091,0.164,0.052,0.226
54.61964,0.058,0.079,0.082,0.033,0.08,1.0,0.05,0.083,0.043,0.075,0.083,0.06
