start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.767,0.971,1.0,0.781,0.926,0.772,0.649,0.86,0.969,0.765,0.635,0.716
0.16771,0.083,0.127,0.156,0.258,1.0,0.232,0.615,0.233,0.369,0.12,0.103,0.445
0.29002,0.104,0.1,0.286,0.113,0.419,0.17,0.385,1.0,0.314,0.096,0.112,0.591
0.58009,0.122,0.124,0.319,0.145,1.0,0.254,0.414,0.569,0.316,0.079,0.108,0.618
0.82921,0.187,0.767,0.439,0.486,0.882,0.406,0.666,0.65,0.29,0.346,0.279,1.0
1.66617,0.235,0.913,0.239,0.304,0.162,0.16,0.711,1.0,0.342,0.201,0.157,0.629
1.77052,0.13,0.281,0.198,0.161,0.08,0.064,0.357,1.0,0.194,0.262,0.113,0.464
1.94104,0.151,0.374,0.163,0.295,0.318,0.183,1.0,0.428,0.213,0.837,0.27,0.778
2.47868,0.965,0.989,0.574,0.426,0.928,0.322,0.619,1.0,0.47,0.405,0.3,0.939
2.91397,0.333,0.31,0.317,0.258,1.0,0.465,0.402,0.291,0.2,0.445,0.261,0.983
3.37737,0.286,0.953,0.384,0.32,0.529,0.199,0.678,1.0,0.323,0.276,0.168,0.789
3.63986,0.281,0.634,0.523,0.39,1.0,0.38,0.509,0.369,0.253,0.481,0.471,0.856
3.95887,0.29,0.893,0.281,0.207,0.122,0.189,0.327,1.0,0.213,0.314,0.68,0.524
4.21977,0.379,0.229,0.302,0.294,0.215,0.203,0.435,0.513,0.156,0.248,0.245,1.0
4.74789,0.37,0.181,0.285,0.299,0.478,0.205,0.655,0.812,0.447,0.376,0.453,1.0
5.13066,0.189,0.265,0.482,0.217,1.0,0.363,0.605,0.517,0.408,0.259,0.333,0.648
5.35179,0.191,1.0,0.342,0.292,0.86,0.339,0.935,0.787,0.304,0.384,0.255,0.858
5.89814,0.189,0.747,0.309,0.237,0.571,0.335,0.427,1.0,0.253,0.375,0.252,0.721
6.47846,0.817,1.0,0.28,0.258,0.186,0.209,0.417,0.128,0.168,0.163,0.249,0.343
6.54812,0.137,0.337,0.086,0.335,0.393,0.256,0.624,0.384,0.235,1.0,0.279,0.468
