start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.842,0.759,0.714,0.795,0.563,0.702,0.63,0.619,0.712,0.758,0.877
0.20635,0.005,0.004,0.005,0.001,0.004,0.037,0.011,0.009,0.011,0.075,1.0,0.024
0.56186,0.03,0.006,0.008,0.019,0.118,1.0,0.14,0.003,0.003,0.012,0.135,0.139
0.7166,0.143,0.015,0.019,0.016,0.084,1.0,0.155,0.009,0.029,0.088,0.629,0.832
0.85401,0.021,0.17,0.007,0.003,0.015,0.175,0.014,0.008,0.013,0.065,1.0,0.027
1.20472,0.226,0.417,0.066,0.062,0.138,0.559,0.207,0.351,1.0,0.48,0.952,0.219
1.68168,0.19,0.033,0.086,0.184,0.064,0.025,0.007,0.099,1.0,0.079,0.016,0.026
1.98503,0.995,0.322,0.091,0.565,0.037,0.035,0.092,0.117,1.0,0.154,0.15,0.476
2.31052,1.0,0.13,0.229,0.49,0.153,0.091,0.017,0.037,0.174,0.058,0.069,0.332
2.6215,0.053,0.084,0.032,0.031,0.138,0.247,1.0,0.091,0.026,0.018,0.028,0.027
3.0956,0.021,0.279,0.028,0.03,0.065,0.204,0.638,0.088,0.034,0.163,1.0,0.077
3.22059,0.083,1.0,0.075,0.02,0.059,0.119,0.356,0.042,0.045,0.069,0.804,0.054
3.39628,0.143,1.0,0.115,0.065,0.068,0.276,0.205,0.069,0.052,0.045,0.254,0.099
3.88853,0.085,0.073,0.013,0.036,0.036,0.094,0.125,0.352,1.0,0.317,0.075,0.031
4.20399,0.17,0.04,0.094,0.187,0.069,0.027,0.012,0.106,1.0,0.078,0.013,0.025
4.50213,0.607,0.202,0.057,0.38,0.024,0.021,0.033,0.115,1.0,0.098,0.106,0.303
4.81066,1.0,0.229,0.322,0.643,0.233,0.148,0.036,0.228,0.435,0.095,0.078,0.214
5.12635,0.046,0.08,0.027,0.074,0.139,0.069,0.037,0.041,0.067,0.257,1.0,0.105
5.57524,0.03,0.057,0.011,0.013,0.143,1.0,0.145,0.004,0.005,0.008,0.068,0.116
5.73039,0.118,0.248,0.031,0.014,0.052,0.723,0.162,0.007,0.028,0.108,1.0,0.693
5.87442,0.092,0.188,0.018,0.017,0.043,0.337,0.037,0.018,0.025,0.086,1.0,0.048
6.38177,0.118,0.938,0.091,0.032,0.149,0.663,0.065,0.034,0.089,0.028,0.193,1.0
6.53723,0.103,0.014,0.006,0.038,0.007,0.024,0.006,0.073,1.0,0.085,0.007,0.026
6.70449,0.142,0.038,0.096,0.201,0.072,0.029,0.01,0.096,1.0,0.078,0.019,0.023
7.0078,0.988,0.252,0.068,0.414,0.034,0.043,0.034,0.108,1.0,0.101,0.121,0.41
7.31546,1.0,0.161,0.191,0.504,0.157,0.099,0.024,0.108,0.295,0.04,0.065,0.213
7.62776,1.0,0.114,0.315,0.968,0.805,0.557,0.225,0.148,0.088,0.045,0.034,0.108
7.78957,0.022,0.126,0.023,0.018,0.046,0.117,1.0,0.052,0.041,0.073,0.159,0.04
8.24984,0.024,0.423,0.023,0.017,0.043,0.283,1.0,0.097,0.048,0.088,0.927,0.054
8.40608,0.079,1.0,0.133,0.17,0.267,0.408,0.877,0.169,0.278,0.184,0.507,0.054
8.89302,0.045,1.0,0.054,0.082,0.048,0.098,0.053,0.028,0.249,0.022,0.033,0.037
9.06181,0.141,0.025,0.007,0.033,0.009,0.013,0.013,0.126,1.0,0.158,0.009,0.04
9.20036,0.145,0.028,0.014,0.03,0.005,0.007,0.005,0.089,1.0,0.069,0.008,0.014
9.49841,0.484,0.11,0.029,0.044,0.011,0.05,0.024,0.092,1.0,0.095,0.062,0.225
9.81088,0.836,0.128,0.325,0.838,0.214,0.157,0.271,1.0,0.848,0.123,0.076,0.105
10.16449,0.025,0.039,0.16,0.409,0.182,0.036,0.024,0.496,1.0,0.12,0.024,0.029
10.27438,0.024,0.017,0.026,0.109,0.238,0.077,0.021,0.11,0.545,0.299,1.0,0.199
10.46113,0.155,0.024,0.042,0.208,0.036,0.146,0.085,0.238,1.0,0.145,0.521,0.559
10.58204,0.11,0.022,0.016,0.066,0.398,1.0,0.389,0.069,0.07,0.224,0.165,0.234
10.68082,0.21,0.938,0.199,0.039,0.194,1.0,0.097,0.155,0.687,0.192,0.791,0.064
11.69887,0.297,0.04,0.095,0.177,0.075,0.038,0.012,0.095,1.0,0.085,0.017,0.026
11.99283,1.0,0.302,0.033,0.176,0.026,0.042,0.1,0.182,0.315,0.06,0.064,0.397
12.49188,1.0,0.77,0.059,0.038,0.017,0.022,0.016,0.033,0.025,0.018,0.245,0.338
12.57442,1.0,0.321,0.191,0.361,0.205,0.053,0.032,0.096,0.149,0.042,0.03,0.306
12.67782,0.046,0.383,0.286,0.143,0.069,0.185,1.0,0.088,0.352,0.295,0.182,0.027
13.15968,0.644,0.704,0.151,0.033,0.061,0.116,0.237,0.12,1.0,0.08,0.052,0.08
13.41569,0.054,0.477,0.066,0.041,0.024,0.091,0.128,0.054,0.43,0.079,1.0,0.683
13.59596,1.0,0.295,0.035,0.038,0.067,0.196,0.297,0.109,0.152,0.018,0.035,0.427
13.85175,0.113,0.035,0.022,0.059,0.03,0.055,0.033,0.101,1.0,0.166,0.121,0.028
14.47138,0.604,0.185,0.058,0.176,0.024,0.036,0.081,0.158,1.0,0.092,0.088,0.293
14.78304,1.0,0.528,0.028,0.096,0.028,0.01,0.004,0.035,0.26,0.02,0.006,0.23
14.95215,1.0,0.169,0.04,0.05,0.03,0.018,0.058,0.409,0.319,0.087,0.075,0.221
15.16154,0.113,0.079,0.029,0.126,0.063,0.087,0.075,0.207,0.826,0.405,1.0,0.167
15.46567,0.107,0.122,0.132,0.09,0.33,1.0,0.237,0.042,0.056,0.142,0.713,0.128
15.73156,0.117,1.0,0.316,0.029,0.128,0.218,0.048,0.036,0.113,0.054,0.498,0.065
16.69424,0.229,0.049,0.12,0.259,0.085,0.045,0.017,0.089,1.0,0.091,0.021,0.02
16.99143,0.695,0.459,0.299,0.552,0.122,0.084,0.042,0.249,1.0,0.101,0.084,0.081
17.30803,0.056,0.278,0.074,0.547,0.091,0.166,0.134,0.235,1.0,0.139,0.059,0.038
17.62281,1.0,0.36,0.122,0.189,0.14,0.08,0.04,0.186,0.533,0.159,0.03,0.279
17.7459,0.049,0.053,0.044,0.027,0.063,0.319,0.448,0.082,0.118,0.102,1.0,0.089
18.4219,0.053,0.029,0.011,0.037,0.016,0.054,0.086,0.057,0.088,0.1,0.554,1.0
18.55256,1.0,0.124,0.03,0.03,0.058,0.153,0.085,0.108,0.094,0.126,0.196,0.603
18.86141,0.04,0.022,0.041,0.19,0.043,0.043,0.027,0.048,1.0,0.133,0.083,0.062
19.66045,1.0,0.059,0.02,0.166,0.016,0.025,0.011,0.099,0.742,0.057,0.02,0.107
19.95655,0.913,0.111,0.096,0.89,0.124,0.055,0.064,0.197,1.0,0.189,0.086,0.209
20.20145,0.047,0.027,0.06,0.364,0.107,0.099,0.064,0.109,0.763,0.401,1.0,0.174
20.45093,0.138,0.065,0.055,0.22,0.158,0.291,0.13,0.069,1.0,0.236,0.32,0.181
20.63669,0.137,1.0,0.059,0.038,0.119,0.56,0.094,0.126,0.882,0.106,0.85,0.067
21.6888,0.129,0.031,0.071,0.14,0.047,0.021,0.011,0.08,1.0,0.085,0.017,0.021
21.97714,1.0,0.12,0.029,0.091,0.029,0.038,0.041,0.14,0.451,0.146,0.22,0.299
22.48848,1.0,0.228,0.114,0.593,0.182,0.013,0.016,0.074,0.206,0.024,0.032,0.152
22.63365,0.317,0.211,0.837,1.0,0.349,0.145,0.15,0.136,0.226,0.494,0.578,0.101
22.77247,0.105,0.899,0.088,0.047,0.07,0.176,0.666,0.106,1.0,0.173,0.347,0.088
23.39365,0.016,0.225,0.031,0.021,0.04,0.211,1.0,0.178,0.042,0.176,0.809,0.041
23.522,1.0,0.188,0.012,0.009,0.014,0.113,0.435,0.102,0.016,0.031,0.16,0.436
23.73025,0.558,0.126,0.048,0.028,0.03,0.051,0.073,0.059,0.023,0.045,0.132,1.0
23.85932,0.102,0.062,0.018,0.066,0.041,0.097,0.069,0.162,1.0,0.255,0.232,0.082
24.30662,0.054,0.015,0.019,0.168,0.023,0.026,0.037,0.12,1.0,0.064,0.021,0.017
24.64227,1.0,0.068,0.021,0.136,0.025,0.018,0.02,0.084,0.46,0.071,0.043,0.141
24.94367,1.0,0.123,0.08,0.547,0.071,0.029,0.293,0.288,0.164,0.126,0.063,0.52
25.17029,0.094,0.062,0.048,0.315,0.121,0.112,0.124,0.151,0.669,0.379,1.0,0.133
25.46263,0.138,0.188,0.327,0.161,0.333,1.0,0.211,0.055,0.057,0.166,0.854,0.168
25.72254,0.08,1.0,0.121,0.017,0.04,0.271,0.047,0.029,0.091,0.052,0.551,0.07
26.38875,0.328,0.587,0.187,0.033,0.036,0.091,0.129,0.323,1.0,0.257,0.099,0.097
26.6858,0.17,0.045,0.091,0.192,0.058,0.019,0.012,0.109,1.0,0.072,0.022,0.033
26.98358,0.767,0.459,0.162,0.392,0.245,0.045,0.041,0.366,1.0,0.127,0.114,0.07
27.27701,0.061,0.179,0.055,0.345,0.053,0.075,0.08,0.169,1.0,0.124,0.041,0.038
27.57773,1.0,0.155,0.077,0.166,0.078,0.065,0.051,0.08,0.469,0.06,0.042,0.388
27.76481,0.043,0.14,0.057,0.025,0.06,0.394,0.526,0.074,0.132,0.118,1.0,0.114
28.36934,0.02,0.055,0.018,0.009,0.042,0.195,1.0,0.073,0.029,0.045,0.684,0.122
28.54499,1.0,0.107,0.039,0.039,0.078,0.132,0.171,0.195,0.316,0.08,0.085,0.741
28.83932,0.032,0.008,0.01,0.048,0.032,0.051,0.055,0.09,1.0,0.235,0.23,0.048
29.31528,0.069,0.023,0.037,0.338,0.046,0.021,0.026,0.133,1.0,0.252,0.021,0.018
29.58086,1.0,0.228,0.06,0.213,0.076,0.104,0.098,0.166,0.907,0.527,0.502,0.719
29.82236,1.0,0.184,0.11,0.186,0.165,0.816,0.494,0.127,0.549,0.083,0.041,0.202
30.05755,0.368,0.111,0.067,0.341,0.167,1.0,0.301,0.336,0.429,0.538,0.975,0.188
30.52222,0.196,0.107,0.095,0.108,0.16,1.0,0.25,0.278,0.893,0.124,0.893,0.1
30.87188,0.336,0.711,0.048,0.03,0.03,0.178,0.046,0.047,0.069,0.185,1.0,0.191
31.11333,0.12,1.0,0.229,0.064,0.218,0.945,0.182,0.046,0.249,0.138,0.546,0.076
31.36966,1.0,0.4,0.036,0.029,0.042,0.183,0.029,0.186,0.054,0.015,0.059,0.211
31.53224,0.106,0.054,0.053,0.061,0.07,0.117,0.104,0.189,1.0,0.128,0.047,0.031
31.83351,0.08,0.013,0.017,0.165,0.026,0.018,0.018,0.163,1.0,0.177,0.02,0.03
32.13075,0.896,0.118,0.03,0.118,0.023,0.032,0.022,0.244,1.0,0.244,0.105,0.35
32.39764,1.0,0.138,0.212,0.671,0.149,0.056,0.063,0.182,0.444,0.089,0.052,0.33
32.61374,0.13,0.103,0.215,0.373,0.225,0.133,0.794,0.985,1.0,0.673,0.114,0.064
32.7746,0.028,0.048,0.013,0.02,0.067,0.153,1.0,0.136,0.047,0.444,0.333,0.014
32.93751,0.213,0.052,0.076,0.362,0.175,0.095,0.25,0.221,1.0,0.42,0.33,0.072
