start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.67,1.0,0.988,0.937,0.669,0.431,0.67,0.651,0.655,0.347,0.27,0.679
0.24408,1.0,0.926,0.53,0.664,0.453,0.234,0.218,0.194,0.108,0.094,0.447,0.71
0.35991,0.779,0.945,0.377,1.0,0.632,0.52,0.506,0.492,0.602,0.492,0.591,0.739
0.65592,0.147,0.151,0.17,1.0,0.228,0.132,0.114,0.278,0.098,0.171,0.237,0.125
0.78975,0.247,1.0,0.817,0.422,0.298,0.406,0.199,0.176,0.124,0.242,0.55,0.637
0.89973,0.395,0.489,0.376,1.0,0.645,0.652,0.878,0.828,0.495,0.394,0.464,0.41
0.98635,0.808,0.471,0.266,0.682,0.232,0.358,0.792,0.461,0.246,0.239,0.495,1.0
1.10889,0.428,0.721,1.0,0.727,0.345,0.532,0.825,0.503,0.207,0.195,0.293,0.355
1.30599,0.278,0.367,0.321,1.0,0.398,0.476,0.909,0.583,0.768,0.31,0.285,0.266
1.53828,0.527,1.0,0.84,0.699,0.475,0.472,0.319,0.233,0.437,0.24,0.604,0.706
1.75234,0.769,1.0,0.142,0.144,0.12,0.075,0.119,0.121,0.433,0.41,0.712,0.037
1.90417,0.887,0.881,0.647,0.914,0.863,1.0,0.61,0.313,0.464,0.484,0.751,0.655
2.1766,0.587,0.422,0.495,0.582,0.453,0.546,0.776,0.56,0.628,0.646,0.841,1.0
2.49619,0.315,0.471,0.604,0.917,0.99,1.0,0.689,0.306,0.171,0.114,0.229,0.267
2.70512,0.797,0.402,0.186,0.274,0.182,0.249,0.293,0.393,0.193,0.264,0.308,1.0
2.82122,0.746,1.0,0.093,0.166,0.142,0.094,0.081,0.111,0.149,0.139,0.347,0.133
2.93129,0.855,1.0,0.149,0.251,0.116,0.078,0.099,0.093,0.144,0.16,0.401,0.27
3.0361,0.309,0.386,0.264,0.589,0.278,0.233,0.193,0.234,0.363,0.379,1.0,0.233
3.21029,0.435,0.651,0.624,1.0,0.542,0.138,0.178,0.165,0.17,0.165,0.259,0.413
3.44848,0.49,0.698,0.717,1.0,0.635,0.324,0.511,0.45,0.54,0.274,0.23,0.476
3.68059,0.49,0.507,0.379,1.0,0.474,0.722,0.45,0.304,0.477,0.417,0.353,0.389
3.8951,0.245,0.339,0.238,0.516,0.238,0.251,1.0,0.685,0.406,0.154,0.226,0.183
4.10395,0.242,0.236,0.17,0.499,0.19,0.129,0.147,0.168,1.0,0.197,0.158,0.113
4.21456,0.337,0.454,0.57,1.0,0.963,0.955,0.707,0.292,0.463,0.111,0.165,0.255
4.42322,0.849,0.373,0.195,0.502,0.2,0.259,0.334,0.434,0.694,0.244,0.279,1.0
4.53397,0.701,1.0,0.097,0.215,0.141,0.1,0.075,0.119,0.297,0.132,0.3,0.127
4.64975,0.964,1.0,0.26,0.332,0.132,0.111,0.104,0.13,0.713,0.217,0.485,0.3
