start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.036,0.3,1.0,0.224,0.021,0.018,0.014,0.154,0.127,0.026,0.01,0.025
0.29605,0.635,1.0,0.7,0.701,0.23,0.232,0.144,0.144,0.114,0.134,0.43,0.54
0.38794,0.097,0.448,1.0,0.468,0.11,0.006,0.042,0.036,0.027,0.107,0.022,0.219
0.57497,0.039,0.009,1.0,0.074,0.008,0.003,0.014,0.009,0.006,0.043,0.005,0.239
1.91506,0.025,0.01,1.0,0.051,0.005,0.001,0.009,0.004,0.003,0.053,0.003,0.156
2.62639,0.039,0.263,1.0,0.183,0.006,0.001,0.007,0.003,0.003,0.073,0.004,0.251
2.93007,0.032,0.199,1.0,0.13,0.015,0.003,0.018,0.002,0.002,0.083,0.005,0.223
3.26875,0.005,0.007,0.021,0.168,1.0,0.045,0.016,0.201,0.044,0.004,0.009,0.124
3.78417,0.005,0.004,0.016,0.342,1.0,0.067,0.007,0.204,0.04,0.003,0.005,0.068
4.1039,0.002,0.003,0.013,0.236,1.0,0.02,0.005,0.163,0.017,0.002,0.002,0.023
4.52104,0.002,0.003,0.009,0.181,1.0,0.014,0.003,0.156,0.013,0.002,0.002,0.025
5.01755,0.007,0.013,0.016,0.667,1.0,0.252,0.031,0.23,0.045,0.002,0.005,0.041
5.23247,0.144,1.0,0.087,0.166,0.37,0.143,0.245,0.695,0.2,0.013,0.037,0.109
5.33746,0.095,0.921,0.124,0.223,0.566,0.171,0.263,1.0,0.281,0.016,0.051,0.183
5.46068,0.005,0.008,0.014,0.561,1.0,0.174,0.02,0.18,0.019,0.002,0.004,0.038
5.71238,0.002,0.001,0.005,0.147,1.0,0.006,0.003,0.104,0.008,0.001,0.001,0.018
6.33937,0.002,0.002,0.007,0.409,1.0,0.066,0.003,0.109,0.011,0.001,0.001,0.022
6.65814,1.0,0.392,0.126,0.19,0.273,0.107,0.028,0.09,0.051,0.361,0.059,0.541
6.96454,1.0,0.043,0.007,0.004,0.05,0.004,0.003,0.084,0.007,0.303,0.012,0.133
7.55261,1.0,0.012,0.004,0.002,0.019,0.003,0.003,0.111,0.006,0.328,0.012,0.073
8.39887,1.0,0.246,0.129,0.006,0.025,0.007,0.018,0.187,0.028,0.483,0.052,0.526
8.63751,1.0,0.198,0.147,0.008,0.021,0.007,0.011,0.205,0.021,0.511,0.042,0.491
8.89188,1.0,0.5,0.024,0.005,0.012,0.003,0.015,0.138,0.027,0.355,0.435,0.022
9.0566,1.0,0.039,0.027,0.003,0.011,0.005,0.004,0.096,0.009,0.378,0.01,0.19
9.6371,1.0,0.048,0.017,0.012,0.022,0.015,0.012,0.105,0.012,0.335,0.013,0.236
10.17769,0.188,0.031,0.027,0.419,1.0,0.089,0.026,0.282,0.103,0.006,0.021,0.27
10.47741,0.158,0.083,0.026,0.675,1.0,0.256,0.031,0.318,0.107,0.006,0.033,0.245
10.68875,0.731,0.196,0.121,0.16,0.656,0.11,0.162,1.0,0.264,0.04,0.25,0.346
10.84005,0.102,0.005,0.01,0.122,1.0,0.006,0.004,0.192,0.021,0.002,0.003,0.058
11.52871,0.59,0.408,0.038,0.116,0.471,0.037,0.082,1.0,0.208,0.037,0.282,0.206
11.67546,0.552,0.276,0.037,0.08,0.483,0.031,0.081,1.0,0.107,0.011,0.217,0.171
11.85184,0.101,0.015,0.015,0.454,1.0,0.077,0.007,0.198,0.022,0.004,0.007,0.153
12.15501,0.105,0.025,0.016,0.583,1.0,0.137,0.008,0.188,0.026,0.005,0.007,0.146
12.41424,0.284,1.0,0.043,0.08,0.347,0.075,0.18,0.6,0.37,0.16,0.369,0.226
12.51397,0.116,0.01,0.01,0.459,1.0,0.05,0.005,0.14,0.017,0.004,0.004,0.084
12.8346,0.119,0.005,0.005,0.392,1.0,0.02,0.003,0.132,0.014,0.003,0.003,0.067
13.19029,0.12,0.007,0.005,0.418,1.0,0.026,0.004,0.137,0.013,0.002,0.002,0.068
13.5342,0.779,0.473,0.299,0.465,1.0,0.691,0.146,0.192,0.096,0.772,0.154,0.564
13.8332,1.0,0.182,0.011,0.004,0.038,0.003,0.01,0.085,0.022,0.394,0.025,0.417
14.08476,1.0,0.011,0.006,0.004,0.024,0.004,0.006,0.165,0.009,0.275,0.013,0.037
15.01007,1.0,0.177,0.009,0.004,0.035,0.004,0.004,0.16,0.013,0.439,0.02,0.308
15.29039,1.0,0.168,0.014,0.004,0.032,0.006,0.012,0.227,0.025,0.495,0.024,0.276
15.58376,1.0,0.29,0.032,0.006,0.039,0.005,0.012,0.228,0.027,0.616,0.043,0.402
15.82413,1.0,0.116,0.009,0.005,0.022,0.005,0.007,0.144,0.014,0.489,0.014,0.158
16.29941,1.0,0.025,0.004,0.003,0.016,0.002,0.003,0.11,0.008,0.329,0.013,0.054
