start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.985,0.609,0.574,0.427,0.43,0.254,0.272,0.237,0.198,0.286,0.195
0.1815,0.33,0.276,0.164,0.145,0.235,0.697,0.85,1.0,0.916,0.688,0.8,0.397
0.46902,0.046,0.847,1.0,0.064,0.009,0.005,0.005,0.004,0.004,0.004,0.003,0.003
0.6141,0.012,0.049,0.28,1.0,0.204,0.033,0.098,0.017,0.003,0.003,0.004,0.008
0.84286,0.002,0.01,0.005,0.015,0.004,0.191,1.0,0.013,0.002,0.002,0.002,0.001
0.99329,0.248,0.259,0.025,0.042,0.028,0.048,1.0,0.05,0.081,0.049,0.032,0.034
1.1854,0.236,0.235,0.105,0.082,0.04,0.056,0.071,0.349,1.0,0.121,0.063,0.088
1.30005,0.447,0.453,0.276,0.192,0.16,0.186,0.208,0.54,1.0,0.119,0.085,0.109
1.40544,0.15,0.149,0.132,0.268,0.364,0.411,1.0,0.558,0.415,0.23,0.169,0.135
2.0049,0.066,0.083,0.36,1.0,0.015,0.027,0.024,0.012,0.02,0.024,0.03,0.03
2.27601,0.297,0.475,0.241,1.0,0.02,0.056,0.016,0.015,0.022,0.031,0.027,0.167
2.61175,0.432,1.0,0.494,0.058,0.035,0.051,0.068,0.059,0.137,0.103,0.088,0.106
2.74422,0.446,1.0,0.038,0.02,0.013,0.024,0.014,0.009,0.01,0.018,0.061,0.133
2.96803,0.197,0.491,0.147,0.062,0.066,0.145,0.135,1.0,0.892,0.267,0.396,0.538
3.36744,0.09,0.093,0.039,0.027,0.015,0.027,0.011,0.364,1.0,0.028,0.038,0.045
3.62757,0.283,0.19,0.158,0.123,0.108,0.116,0.115,0.191,0.666,1.0,0.966,0.383
3.72095,0.402,0.505,0.333,0.115,0.104,0.123,0.086,0.094,0.089,0.061,0.167,1.0
3.86794,0.84,0.504,0.287,0.222,0.234,0.237,0.207,0.204,0.186,0.19,0.271,1.0
3.96571,0.277,1.0,0.017,0.005,0.01,0.025,0.004,0.005,0.009,0.006,0.009,0.033
4.16349,0.583,1.0,0.03,0.026,0.024,0.056,0.016,0.013,0.059,0.048,0.047,0.062
4.42322,0.621,1.0,0.258,0.042,0.039,0.055,0.044,0.031,0.04,0.054,0.046,0.166
4.51683,0.408,1.0,0.113,0.099,0.122,0.191,0.05,0.074,0.044,0.053,0.074,0.102
4.94644,0.622,1.0,0.153,0.107,0.119,0.118,0.05,0.075,0.043,0.06,0.099,0.446
5.20707,0.203,0.655,0.652,0.651,0.998,1.0,0.792,0.79,0.297,0.298,0.029,0.004
5.32095,0.307,0.842,0.782,0.713,0.996,1.0,0.716,0.711,0.23,0.234,0.021,0.018
5.4366,1.0,0.771,0.063,0.106,0.071,0.126,0.056,0.049,0.053,0.092,0.069,0.702
