start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.18,0.384,1.0,0.167,0.303,0.256,0.218,0.238,0.17,0.733,0.205,0.141
0.4702,0.238,0.256,1.0,0.177,0.438,0.207,0.185,0.181,0.144,0.73,0.253,0.156
0.84757,0.175,0.355,0.781,0.252,0.518,0.343,0.281,0.351,0.191,1.0,0.323,0.183
1.56159,0.112,0.246,1.0,0.121,0.177,0.192,0.177,0.164,0.094,0.349,0.124,0.084
2.00866,0.06,0.141,1.0,0.093,0.098,0.088,0.091,0.105,0.085,0.252,0.092,0.06
2.69882,0.164,0.363,1.0,0.181,0.261,0.277,0.271,0.23,0.219,0.514,0.179,0.17
3.11156,0.218,0.466,1.0,0.17,0.39,0.268,0.251,0.268,0.168,0.703,0.282,0.195
3.6342,0.082,0.222,1.0,0.102,0.168,0.148,0.167,0.083,0.098,0.388,0.102,0.063
3.83143,0.151,0.392,1.0,0.123,0.158,0.082,0.103,0.079,0.148,0.375,0.228,0.077
3.94871,0.35,0.446,1.0,0.264,0.332,0.295,0.338,0.361,0.224,0.568,0.236,0.2
4.3073,0.183,0.424,0.953,0.067,0.306,0.19,0.161,0.157,0.219,1.0,0.289,0.191
4.44689,0.229,0.64,1.0,0.214,0.225,0.131,0.241,0.249,0.23,0.667,0.342,0.207
4.63823,0.06,0.232,1.0,0.062,0.118,0.089,0.082,0.105,0.054,0.209,0.098,0.064
5.08934,0.092,0.301,1.0,0.08,0.131,0.101,0.088,0.103,0.074,0.232,0.119,0.068
5.25447,0.084,0.218,1.0,0.061,0.071,0.05,0.051,0.06,0.071,0.103,0.085,0.036
5.41569,0.08,0.294,1.0,0.136,0.178,0.136,0.157,0.102,0.107,0.252,0.115,0.095
5.80535,0.073,0.258,1.0,0.069,0.129,0.119,0.086,0.083,0.065,0.22,0.099,0.052
6.1595,0.432,1.0,0.872,0.218,0.208,0.312,0.371,0.344,0.394,0.654,0.29,0.17
6.28644,0.223,0.378,1.0,0.195,0.375,0.373,0.357,0.303,0.183,0.51,0.237,0.22
6.66281,0.263,0.419,1.0,0.235,0.515,0.271,0.25,0.312,0.245,0.74,0.309,0.187
7.18086,0.143,0.337,0.864,0.208,0.324,0.183,0.203,0.224,0.216,1.0,0.221,0.141
7.66218,0.216,0.403,0.988,0.213,0.474,0.272,0.291,0.3,0.251,1.0,0.289,0.177
8.08626,0.257,0.431,1.0,0.332,0.387,0.319,0.41,0.453,0.207,0.774,0.317,0.189
8.48095,0.04,0.136,1.0,0.042,0.077,0.082,0.059,0.07,0.043,0.282,0.061,0.05
8.81819,0.125,0.353,1.0,0.296,0.299,0.369,0.325,0.179,0.156,0.675,0.176,0.177
9.13692,0.11,0.338,1.0,0.13,0.21,0.104,0.204,0.165,0.175,0.369,0.187,0.124
9.42712,0.386,0.578,0.841,0.173,0.281,0.257,0.289,0.141,0.186,1.0,0.388,0.26
9.56059,0.245,0.389,1.0,0.21,0.49,0.3,0.327,0.346,0.194,0.798,0.302,0.185
10.47773,0.19,0.447,0.859,0.24,0.297,0.159,0.257,0.227,0.229,1.0,0.263,0.172
10.74975,0.167,0.324,1.0,0.162,0.198,0.183,0.207,0.265,0.166,0.434,0.145,0.113
11.13401,0.11,0.431,1.0,0.119,0.126,0.101,0.079,0.064,0.077,0.117,0.083,0.058
11.2312,0.08,0.301,1.0,0.083,0.091,0.081,0.09,0.074,0.059,0.16,0.13,0.092
11.48186,0.135,0.267,1.0,0.166,0.239,0.225,0.143,0.185,0.118,0.278,0.156,0.151
11.70327,0.046,0.125,1.0,0.077,0.065,0.081,0.102,0.07,0.045,0.16,0.052,0.056
12.06848,0.242,0.434,1.0,0.149,0.176,0.172,0.16,0.222,0.302,0.791,0.343,0.12
12.21333,0.494,0.766,1.0,0.353,0.366,0.313,0.291,0.287,0.389,0.562,0.474,0.215
12.31751,0.073,0.22,1.0,0.069,0.113,0.113,0.137,0.122,0.07,0.236,0.079,0.06
12.72494,0.249,0.804,1.0,0.424,0.337,0.412,0.48,0.203,0.417,0.869,0.365,0.198
12.96535,0.027,0.316,1.0,0.046,0.05,0.043,0.093,0.023,0.077,0.453,0.02,0.029
13.46599,0.017,0.173,1.0,0.014,0.019,0.018,0.048,0.013,0.031,0.209,0.014,0.012
15.1756,0.079,0.813,1.0,0.265,0.048,0.046,0.084,0.016,0.208,0.406,0.115,0.02
15.38113,0.022,0.721,1.0,0.166,0.019,0.029,0.072,0.016,0.117,0.307,0.049,0.015
15.6176,0.011,0.23,1.0,0.018,0.012,0.008,0.023,0.016,0.031,0.165,0.01,0.01
16.24027,0.458,1.0,0.094,0.017,0.013,0.012,0.02,0.013,0.013,0.02,0.074,0.008
16.36417,0.018,0.214,1.0,0.014,0.016,0.014,0.029,0.012,0.035,0.207,0.017,0.011
17.93134,0.413,1.0,0.041,0.017,0.008,0.011,0.031,0.012,0.033,0.036,0.016,0.012
18.06376,0.124,0.826,1.0,0.29,0.033,0.021,0.038,0.016,0.091,0.137,0.043,0.018
18.25624,0.019,0.312,1.0,0.033,0.012,0.016,0.034,0.009,0.026,0.122,0.012,0.009
18.73828,0.396,1.0,0.039,0.014,0.01,0.023,0.039,0.008,0.012,0.019,0.035,0.008
18.8766,0.311,1.0,0.019,0.011,0.011,0.022,0.045,0.013,0.02,0.032,0.008,0.005
19.02912,0.02,0.35,1.0,0.041,0.013,0.018,0.045,0.011,0.023,0.126,0.014,0.014
19.47052,0.083,0.862,1.0,0.271,0.028,0.038,0.065,0.007,0.048,0.096,0.019,0.029
19.67868,0.042,0.294,1.0,0.029,0.016,0.027,0.052,0.02,0.018,0.063,0.032,0.019
20.16844,0.476,1.0,0.055,0.044,0.035,0.054,0.067,0.022,0.006,0.014,0.066,0.007
20.28594,0.011,0.303,1.0,0.023,0.015,0.028,0.06,0.019,0.018,0.06,0.021,0.012
20.7966,0.502,1.0,0.048,0.024,0.025,0.046,0.051,0.01,0.013,0.016,0.096,0.01
20.91283,0.043,0.284,1.0,0.018,0.02,0.029,0.062,0.018,0.037,0.08,0.052,0.012
21.79175,0.113,0.83,1.0,0.278,0.027,0.06,0.111,0.02,0.043,0.095,0.032,0.036
21.9902,0.061,0.617,1.0,0.032,0.018,0.033,0.077,0.009,0.017,0.072,0.016,0.016
22.31533,0.019,0.512,1.0,0.008,0.013,0.029,0.07,0.01,0.01,0.042,0.011,0.025
22.67365,0.068,0.611,1.0,0.015,0.021,0.034,0.08,0.011,0.013,0.031,0.016,0.029
23.00594,0.201,1.0,0.132,0.109,0.039,0.062,0.103,0.024,0.033,0.058,0.059,0.01
23.18449,0.046,0.354,1.0,0.07,0.071,0.052,0.123,0.033,0.074,0.411,0.041,0.038
23.94599,0.015,0.263,1.0,0.022,0.02,0.013,0.028,0.01,0.054,0.306,0.017,0.011
24.70322,0.25,1.0,0.165,0.006,0.006,0.02,0.041,0.013,0.016,0.013,0.006,0.004
24.85764,0.051,0.742,1.0,0.25,0.027,0.038,0.081,0.014,0.096,0.159,0.039,0.02
25.0619,0.021,0.725,1.0,0.129,0.011,0.039,0.092,0.01,0.085,0.195,0.033,0.009
25.31034,0.1,0.796,1.0,0.304,0.043,0.037,0.075,0.017,0.184,0.287,0.071,0.026
25.50349,0.23,1.0,0.071,0.01,0.014,0.023,0.053,0.015,0.014,0.019,0.017,0.005
25.66889,0.222,1.0,0.083,0.016,0.012,0.021,0.048,0.009,0.02,0.037,0.024,0.008
25.83438,0.012,0.315,1.0,0.017,0.013,0.01,0.026,0.013,0.036,0.22,0.03,0.009
26.58109,0.321,1.0,0.119,0.021,0.013,0.013,0.02,0.012,0.027,0.037,0.008,0.005
26.72054,0.017,0.394,1.0,0.065,0.012,0.011,0.02,0.014,0.043,0.137,0.023,0.007
27.09392,0.009,0.267,1.0,0.016,0.009,0.009,0.018,0.01,0.023,0.141,0.024,0.005
27.66041,0.009,0.264,1.0,0.01,0.01,0.007,0.019,0.009,0.029,0.174,0.015,0.008
28.61234,0.3,1.0,0.038,0.016,0.009,0.011,0.03,0.018,0.018,0.019,0.015,0.003
28.76549,0.018,0.297,1.0,0.029,0.01,0.01,0.026,0.01,0.026,0.123,0.019,0.009
29.24776,0.013,0.704,1.0,0.071,0.014,0.016,0.031,0.006,0.046,0.138,0.02,0.007
29.52327,0.017,0.304,1.0,0.037,0.018,0.015,0.038,0.01,0.016,0.107,0.021,0.012
29.99415,0.097,0.85,1.0,0.247,0.027,0.031,0.055,0.009,0.041,0.087,0.022,0.007
30.20068,0.026,0.744,1.0,0.171,0.01,0.02,0.044,0.007,0.027,0.044,0.008,0.015
30.43574,0.021,0.615,1.0,0.016,0.013,0.022,0.042,0.006,0.01,0.032,0.009,0.012
30.75283,0.428,1.0,0.02,0.006,0.014,0.028,0.06,0.024,0.021,0.028,0.063,0.007
30.88472,0.043,0.232,1.0,0.032,0.016,0.021,0.042,0.01,0.018,0.07,0.019,0.009
31.48494,0.182,1.0,0.017,0.004,0.005,0.012,0.037,0.01,0.005,0.01,0.017,0.011
31.66363,0.082,0.808,1.0,0.265,0.03,0.03,0.068,0.009,0.022,0.051,0.021,0.022
31.87129,0.03,0.66,1.0,0.082,0.013,0.021,0.052,0.007,0.013,0.061,0.014,0.01
32.14762,0.64,1.0,0.022,0.011,0.013,0.039,0.066,0.022,0.045,0.052,0.23,0.007
32.24431,0.559,1.0,0.18,0.063,0.1,0.114,0.189,0.034,0.095,0.106,0.167,0.095
32.34385,0.32,1.0,0.112,0.061,0.052,0.066,0.085,0.029,0.022,0.03,0.026,0.037
32.49941,0.294,1.0,0.147,0.065,0.049,0.063,0.131,0.012,0.015,0.023,0.012,0.021
32.65206,0.02,0.295,1.0,0.034,0.031,0.019,0.062,0.012,0.047,0.34,0.017,0.01
33.14204,0.012,0.643,1.0,0.128,0.034,0.022,0.046,0.013,0.134,0.314,0.048,0.008
33.38902,0.01,0.256,1.0,0.027,0.013,0.016,0.044,0.011,0.038,0.177,0.01,0.009
