start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.176,0.054,0.081,0.027,0.027,0.108,0.202,0.048,0.026,0.02,0.02
1.22317,0.505,0.54,0.208,0.22,0.217,0.133,0.187,1.0,0.26,0.092,0.05,0.031
2.58331,0.865,1.0,0.402,0.22,0.123,0.107,0.218,0.102,0.222,0.266,0.229,0.367
2.95841,0.505,1.0,0.357,0.092,0.039,0.057,0.141,0.154,0.381,0.099,0.099,0.275
3.09138,0.144,1.0,0.364,0.07,0.054,0.046,0.344,0.068,0.184,0.071,0.134,0.229
3.38444,0.622,1.0,0.096,0.047,0.024,0.062,0.635,0.108,0.356,0.082,0.065,0.079
3.52998,0.175,1.0,0.277,0.066,0.033,0.029,0.332,0.053,0.142,0.057,0.073,0.204
3.88367,0.644,1.0,0.179,0.099,0.062,0.067,0.277,0.083,0.154,0.06,0.076,0.342
4.06376,0.609,1.0,0.189,0.102,0.04,0.079,0.853,0.11,0.349,0.078,0.146,0.332
4.42381,0.941,1.0,0.195,0.146,0.097,0.09,0.877,0.148,0.428,0.107,0.179,0.546
4.82998,0.35,0.832,0.193,0.178,0.096,0.079,1.0,0.117,0.433,0.127,0.129,0.634
5.07941,1.0,0.689,0.249,0.146,0.136,0.132,0.708,0.194,0.31,0.187,0.137,0.8
5.22426,0.871,1.0,0.255,0.079,0.088,0.452,0.478,0.207,0.426,0.062,0.076,0.385
5.36522,0.482,1.0,0.134,0.063,0.042,0.679,0.144,0.082,0.407,0.094,0.122,0.376
5.7527,0.791,1.0,0.163,0.101,0.053,0.961,0.1,0.127,0.421,0.131,0.182,0.41
6.20553,0.132,0.137,0.076,0.036,0.033,1.0,0.112,0.075,0.235,0.061,0.022,0.143
6.32703,0.507,0.549,0.256,0.034,0.09,1.0,0.149,0.056,0.196,0.12,0.069,0.312
6.42617,0.497,0.307,0.069,0.066,0.032,1.0,0.069,0.049,0.301,0.088,0.076,0.325
6.79143,0.616,0.472,0.112,0.121,0.06,1.0,0.118,0.135,0.526,0.129,0.069,0.347
6.94803,0.511,0.899,0.155,0.075,0.044,1.0,0.121,0.108,0.445,0.119,0.174,0.367
7.39515,0.592,1.0,0.194,0.063,0.041,0.275,0.152,0.155,0.412,0.134,0.117,0.381
7.76825,0.653,1.0,0.243,0.094,0.417,0.091,0.076,0.141,0.268,0.097,0.089,0.306
7.97628,0.932,1.0,0.563,0.574,0.865,0.492,0.228,0.237,0.47,0.328,0.711,0.644
8.04549,0.23,0.565,0.327,0.052,1.0,0.138,0.058,0.093,0.091,0.075,0.243,0.104
8.25478,0.099,1.0,0.368,0.038,0.736,0.115,0.052,0.274,0.178,0.047,0.241,0.128
