start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.479,0.49,0.44,0.432,0.742,0.716,0.996,0.996,0.993,1.0,0.705,0.073
0.18399,0.053,0.042,0.03,0.239,0.494,0.486,1.0,0.287,0.046,0.026,0.054,0.151
0.76952,0.779,1.0,0.199,0.203,0.409,0.408,0.432,0.432,0.33,0.326,0.325,0.022
0.9044,0.437,0.416,0.206,1.0,0.761,0.144,0.082,0.052,0.033,0.024,0.055,0.734
1.16014,0.073,0.053,0.044,0.521,1.0,0.121,0.16,0.064,0.024,0.023,0.051,0.107
1.66454,0.285,0.319,0.555,1.0,0.568,0.604,0.289,0.079,0.058,0.027,0.13,0.213
1.85878,0.467,0.723,0.166,0.159,0.443,0.446,0.923,0.921,1.0,1.0,0.468,0.084
2.00399,0.34,0.426,0.054,0.051,0.329,0.327,0.845,0.845,1.0,0.999,0.585,0.024
2.13302,0.155,0.062,0.053,0.222,0.119,0.201,1.0,0.148,0.059,0.012,0.031,0.174
2.39243,0.035,0.058,0.045,0.077,0.151,0.234,0.784,0.058,0.029,1.0,0.105,0.06
2.62844,0.148,0.057,0.014,0.006,0.035,0.302,1.0,0.149,0.076,0.123,0.023,0.133
2.86218,0.087,0.162,0.071,0.166,0.135,0.267,1.0,0.07,0.038,0.621,0.08,0.128
3.10549,0.06,0.033,0.043,0.471,1.0,0.151,0.069,0.015,0.007,0.043,0.009,0.098
3.36757,0.009,0.02,0.016,0.354,1.0,0.226,0.025,0.005,0.008,0.158,0.015,0.041
3.60395,0.02,0.017,0.013,0.112,1.0,0.031,0.018,0.012,0.008,0.059,0.016,0.03
4.08585,0.043,0.043,0.04,0.584,1.0,0.196,0.028,0.006,0.011,0.036,0.013,0.068
4.34349,0.009,0.014,0.015,0.451,1.0,0.29,0.006,0.003,0.008,0.104,0.012,0.033
4.57088,0.022,0.022,0.03,0.125,1.0,0.048,0.05,0.04,0.025,0.036,0.014,0.033
5.06195,0.072,0.512,1.0,0.476,0.711,0.153,0.039,0.031,0.011,0.05,0.021,0.103
5.32893,0.066,0.153,1.0,0.26,0.192,0.06,0.071,0.042,0.024,0.174,0.077,0.077
5.80971,0.004,0.48,1.0,0.282,0.037,0.013,0.008,0.003,0.007,0.215,0.019,0.009
6.04349,0.015,0.152,1.0,0.098,0.069,0.065,0.119,0.051,0.016,0.058,0.026,0.036
6.53247,0.022,0.149,1.0,0.118,0.04,0.044,0.066,0.066,0.035,0.106,0.017,0.032
7.0034,0.017,0.132,1.0,0.138,0.134,0.015,0.028,0.014,0.009,0.06,0.022,0.029
7.51506,0.01,0.162,1.0,0.081,0.011,0.006,0.01,0.012,0.009,0.072,0.021,0.016
7.99274,0.052,0.465,1.0,0.185,0.105,0.034,0.022,0.007,0.011,0.067,0.021,0.115
8.25166,0.019,0.417,1.0,0.367,0.056,0.002,0.007,0.003,0.006,0.14,0.021,0.015
8.48322,0.05,0.462,1.0,0.325,0.056,0.013,0.017,0.01,0.012,0.056,0.021,0.03
8.7122,0.019,0.426,1.0,0.26,0.068,0.015,0.009,0.008,0.009,0.278,0.03,0.044
8.95642,0.067,0.242,0.23,0.331,0.314,0.208,1.0,0.087,0.066,0.052,0.027,0.159
9.22467,0.025,0.197,0.243,0.205,0.176,0.265,1.0,0.065,0.045,0.587,0.064,0.027
9.45256,0.123,0.051,0.026,0.013,0.03,0.234,1.0,0.115,0.063,0.084,0.018,0.104
9.71138,0.028,0.11,0.089,0.026,0.062,0.286,1.0,0.077,0.033,0.552,0.052,0.015
9.9498,0.051,0.025,0.052,0.503,1.0,0.151,0.109,0.014,0.007,0.035,0.019,0.107
10.20454,0.009,0.018,0.023,0.367,1.0,0.243,0.035,0.004,0.008,0.167,0.018,0.042
10.438,0.021,0.018,0.03,0.12,1.0,0.05,0.053,0.044,0.024,0.05,0.012,0.037
10.9151,0.026,0.015,0.018,0.115,1.0,0.033,0.016,0.008,0.008,0.061,0.019,0.044
11.40889,0.052,0.049,0.031,0.547,1.0,0.205,0.038,0.006,0.011,0.043,0.009,0.062
11.66018,0.006,0.02,0.02,0.441,1.0,0.237,0.009,0.004,0.008,0.134,0.014,0.044
11.89991,0.071,0.522,1.0,0.652,0.991,0.234,0.018,0.009,0.015,0.067,0.038,0.279
12.15034,0.038,0.436,1.0,0.265,0.391,0.153,0.013,0.009,0.018,0.537,0.06,0.042
12.37528,0.053,0.488,1.0,0.327,0.122,0.036,0.025,0.012,0.011,0.117,0.025,0.04
12.61447,0.032,0.408,1.0,0.233,0.152,0.027,0.009,0.01,0.011,0.286,0.025,0.059
12.86336,0.054,0.495,1.0,0.407,0.263,0.029,0.045,0.031,0.01,0.059,0.019,0.072
13.12975,0.056,0.14,1.0,0.223,0.069,0.054,0.06,0.037,0.029,0.21,0.067,0.062
13.61787,0.007,0.512,1.0,0.366,0.047,0.011,0.008,0.004,0.012,0.39,0.034,0.011
13.84399,0.022,0.073,1.0,0.072,0.054,0.04,0.097,0.03,0.013,0.086,0.03,0.033
14.5663,0.027,0.447,1.0,0.213,0.076,0.009,0.008,0.01,0.008,0.16,0.024,0.056
14.81574,0.057,0.512,1.0,0.377,0.272,0.024,0.052,0.033,0.017,0.113,0.022,0.07
15.09288,0.005,0.438,1.0,0.444,0.104,0.008,0.014,0.005,0.006,0.179,0.016,0.01
15.31052,0.023,0.421,1.0,0.19,0.023,0.009,0.01,0.007,0.011,0.051,0.013,0.026
15.57651,0.205,1.0,0.432,0.031,0.036,0.017,0.023,0.022,0.015,0.289,0.102,0.005
15.71932,0.286,1.0,0.515,0.079,0.046,0.053,0.058,0.048,0.101,0.538,0.212,0.049
15.84794,0.599,1.0,0.2,0.019,0.025,0.051,0.156,0.034,0.032,0.188,0.046,0.172
16.39891,0.271,0.331,0.081,0.034,0.059,0.112,0.314,0.045,0.06,0.194,0.36,1.0
16.88685,0.09,0.056,0.043,0.431,0.997,0.325,0.088,0.036,0.145,0.059,0.193,1.0
17.07669,0.192,0.335,0.119,0.181,1.0,0.052,0.034,0.027,0.042,0.103,0.048,0.087
18.18431,0.066,0.072,0.063,0.418,1.0,0.115,0.044,0.023,0.185,0.065,0.033,0.072
18.53741,0.054,0.311,0.007,0.096,0.385,0.062,0.013,0.29,1.0,0.318,0.094,0.08
18.66163,0.098,0.412,0.965,0.734,0.979,0.459,0.171,0.283,1.0,0.371,0.115,0.145
18.85524,0.04,0.11,1.0,0.248,0.452,0.048,0.016,0.11,0.512,0.248,0.065,0.046
19.2268,0.017,0.127,1.0,0.091,0.056,0.022,0.059,0.025,0.078,0.258,0.111,0.022
21.16712,0.008,0.208,1.0,0.092,0.011,0.005,0.006,0.006,0.007,0.058,0.01,0.01
21.59324,0.243,1.0,0.345,0.087,0.089,0.087,0.035,0.034,0.062,0.177,0.058,0.043
21.72707,0.01,0.484,1.0,0.142,0.01,0.004,0.006,0.004,0.006,0.069,0.009,0.006
21.99615,0.025,0.12,1.0,0.119,0.047,0.024,0.455,0.133,0.033,0.073,0.041,0.032
