start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.416,0.487,0.212,0.273,0.708,0.699,0.963,0.936,1.0,0.968,0.859,0.099
0.18454,0.432,1.0,0.326,0.207,0.25,0.3,0.157,0.334,0.377,0.25,0.316,0.701
0.38209,0.489,0.27,0.097,0.075,0.607,0.625,1.0,0.984,0.459,0.412,0.645,0.084
0.54009,0.139,0.319,0.15,0.124,0.33,0.336,0.803,0.785,1.0,0.902,0.396,0.1
0.71406,0.234,0.726,0.224,0.254,0.119,0.335,0.143,0.263,1.0,0.125,0.17,0.176
1.07501,0.458,1.0,0.455,0.393,0.298,0.406,0.365,0.257,0.34,0.155,0.348,0.227
1.2424,0.259,1.0,0.144,0.167,0.177,0.329,0.159,0.14,0.64,0.111,0.115,0.129
1.56662,0.177,0.995,0.146,0.213,0.156,0.398,0.395,0.286,1.0,0.486,0.309,0.242
2.10141,0.221,0.631,0.11,0.272,0.13,0.548,0.223,0.171,1.0,0.142,0.22,0.445
2.4322,0.279,1.0,0.183,0.488,0.177,0.484,0.237,0.2,0.975,0.372,0.36,0.165
2.61719,0.228,0.732,0.139,0.266,0.171,0.533,0.221,0.17,1.0,0.149,0.208,0.264
2.96658,0.11,1.0,0.137,0.252,0.18,0.402,0.128,0.173,0.949,0.097,0.159,0.208
3.31451,0.114,0.451,0.058,0.164,0.101,0.225,0.115,0.143,1.0,0.097,0.167,0.166
3.8371,0.262,1.0,0.256,0.392,0.222,0.318,0.145,0.129,0.651,0.309,0.274,0.115
4.00503,0.275,1.0,0.324,0.302,0.154,0.252,0.147,0.14,0.278,0.166,0.122,0.144
4.1629,0.188,1.0,0.237,0.333,0.182,0.23,0.132,0.124,0.352,0.245,0.18,0.142
4.32444,0.202,1.0,0.289,0.222,0.106,0.19,0.132,0.131,0.328,0.227,0.131,0.104
4.47556,0.07,1.0,0.08,0.149,0.094,0.158,0.109,0.106,0.477,0.102,0.092,0.092
5.04476,0.166,0.198,0.105,0.181,0.086,0.092,0.891,0.106,0.154,0.144,0.19,1.0
5.46816,0.175,1.0,0.196,0.169,0.102,0.283,0.209,0.116,0.501,0.168,0.138,0.294
5.86889,0.121,0.822,0.079,0.094,0.065,0.408,0.119,0.117,1.0,0.111,0.084,0.115
6.23465,0.201,0.983,0.168,0.107,0.099,0.658,0.1,0.097,1.0,0.127,0.116,0.211
6.57184,0.1,0.573,0.055,0.082,0.072,0.376,0.067,0.075,1.0,0.052,0.071,0.12
7.10499,0.118,0.646,0.128,0.116,0.107,0.538,0.098,0.152,1.0,0.09,0.095,0.149
7.55832,0.153,0.821,0.125,0.157,0.15,0.694,0.123,0.154,1.0,0.133,0.193,0.494
7.97025,0.132,0.5,0.126,0.127,0.098,0.354,0.087,0.174,1.0,0.09,0.085,0.166
8.18526,0.434,0.817,0.327,0.114,0.18,0.38,0.144,0.307,1.0,0.236,0.182,0.157
8.30127,0.448,1.0,0.286,0.191,0.21,0.778,0.284,0.193,0.947,0.187,0.162,0.174
8.44054,0.278,1.0,0.229,0.174,0.248,0.559,0.248,0.343,0.808,0.177,0.1,0.139
8.65528,0.322,1.0,0.188,0.105,0.123,0.298,0.098,0.122,0.243,0.084,0.091,0.099
8.82925,0.394,1.0,0.204,0.202,0.123,0.348,0.164,0.139,0.332,0.115,0.117,0.107
9.00395,0.479,1.0,0.201,0.289,0.165,0.281,0.157,0.094,0.365,0.102,0.184,0.228
9.16621,0.385,1.0,0.197,0.285,0.111,0.183,0.126,0.125,0.256,0.102,0.123,0.164
9.34059,0.501,1.0,0.22,0.303,0.196,0.328,0.175,0.102,0.365,0.153,0.163,0.164
9.49696,0.641,1.0,0.18,0.31,0.214,0.783,0.494,0.469,0.714,0.211,0.205,0.212
9.64794,0.348,0.518,0.237,0.241,0.293,0.656,0.364,0.513,1.0,0.243,0.202,0.212
9.86317,0.503,1.0,0.235,0.23,0.224,0.237,0.182,0.215,0.431,0.166,0.194,0.157
10.00177,0.37,1.0,0.356,0.329,0.253,0.646,0.426,0.506,0.98,0.308,0.199,0.233
10.19941,0.477,1.0,0.278,0.492,0.243,0.656,0.351,0.238,0.627,0.211,0.199,0.208
10.37927,0.438,1.0,0.251,0.354,0.301,0.371,0.328,0.198,0.354,0.171,0.274,0.233
10.5537,0.687,1.0,0.088,0.076,0.077,0.134,0.059,0.043,0.245,0.203,0.513,0.143
10.71034,0.325,1.0,0.318,0.356,0.192,0.571,0.435,0.33,0.711,0.374,0.364,0.272
10.88431,0.748,0.984,0.477,0.279,0.196,0.141,0.114,0.134,0.186,0.054,0.072,1.0
11.01234,0.179,1.0,0.35,0.106,0.106,0.145,0.153,0.147,0.182,0.134,0.139,0.18
11.40676,0.659,1.0,0.077,0.046,0.079,0.057,0.109,0.07,0.099,0.053,0.133,0.054
11.58091,0.526,0.062,0.045,0.118,0.063,0.031,0.074,0.043,0.044,0.055,0.064,1.0
