start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.723,0.704,0.698,0.263,0.266,0.106,0.099,0.187,0.196,0.452,0.03
0.14825,1.0,0.166,0.184,0.236,0.144,0.076,0.058,0.055,0.057,0.05,0.101,0.868
0.49134,1.0,0.594,0.338,0.528,0.712,0.443,0.302,0.295,0.193,0.267,0.385,0.329
0.59188,0.451,0.169,0.045,0.073,1.0,0.147,0.036,0.452,0.072,0.031,0.192,0.333
0.86435,1.0,0.16,0.048,0.027,0.688,0.07,0.018,0.515,0.115,0.016,0.31,0.337
1.09161,1.0,0.426,0.026,0.048,0.436,0.083,0.081,0.498,0.066,0.029,0.567,0.292
1.25469,1.0,0.119,0.179,0.041,0.608,0.215,0.045,0.21,0.058,0.04,0.157,0.167
2.01388,1.0,0.09,0.22,0.046,0.21,0.906,0.08,0.341,0.027,0.075,0.251,0.036
2.78644,0.804,0.121,0.272,0.058,0.16,1.0,0.197,0.5,0.101,0.088,0.261,0.066
3.12957,0.682,0.162,0.416,0.114,0.426,0.228,0.076,1.0,0.353,0.06,0.496,0.207
3.33179,0.638,0.185,0.269,0.047,0.468,0.096,0.037,1.0,0.166,0.026,0.297,0.186
3.54372,0.641,0.032,0.119,0.022,0.197,0.039,0.017,1.0,0.068,0.017,0.199,0.049
4.3824,0.954,0.157,0.494,0.111,0.386,0.119,0.073,1.0,0.173,0.312,0.309,0.253
4.93442,0.185,0.031,0.038,0.026,0.16,1.0,0.047,0.147,0.031,0.569,0.034,0.046
5.53202,0.224,0.018,0.008,0.021,0.081,0.538,0.035,0.072,0.016,1.0,0.014,0.011
6.08322,0.494,0.088,0.014,0.046,0.506,1.0,0.194,0.068,0.062,0.925,0.054,0.055
6.28594,0.177,0.057,0.012,0.028,0.345,1.0,0.181,0.058,0.038,0.887,0.036,0.018
6.50771,0.304,0.087,0.012,0.043,0.291,0.679,0.096,0.082,0.079,1.0,0.128,0.045
6.65819,0.221,0.037,0.008,0.022,0.289,1.0,0.121,0.033,0.021,0.632,0.041,0.018
6.94707,0.223,0.062,0.011,0.028,0.182,0.918,0.183,0.073,0.05,1.0,0.071,0.057
7.13469,0.338,0.075,0.104,0.041,0.099,1.0,0.059,0.213,0.074,0.549,0.044,0.021
7.98145,0.186,0.044,0.69,0.044,0.054,0.544,0.078,1.0,0.06,0.146,0.311,0.042
8.4527,0.177,0.405,1.0,0.195,0.153,0.473,0.316,0.616,0.121,0.13,0.209,0.163
8.51506,0.344,0.119,0.565,0.147,0.106,1.0,0.118,0.568,0.204,0.276,0.331,0.092
8.91592,0.405,0.096,0.156,0.058,0.388,0.383,0.07,0.434,0.146,1.0,0.143,0.115
9.07297,0.465,0.071,0.038,0.033,0.099,0.267,0.051,0.262,0.136,1.0,0.159,0.097
9.21342,0.327,0.027,0.013,0.018,0.138,0.319,0.027,0.056,0.024,1.0,0.017,0.017
9.57315,0.151,0.106,0.365,0.102,0.346,0.241,0.034,0.081,0.049,1.0,0.239,0.072
9.82227,0.125,0.045,1.0,0.061,0.126,0.169,0.037,0.105,0.096,0.25,0.201,0.048
9.99705,0.388,0.169,0.834,0.128,0.519,0.371,0.188,0.337,0.296,1.0,0.59,0.102
10.13079,0.186,0.194,1.0,0.102,0.253,0.26,0.1,0.102,0.122,0.225,0.389,0.087
10.21129,0.055,0.054,1.0,0.057,0.13,0.183,0.041,0.208,0.052,0.193,0.307,0.058
10.43778,0.171,0.167,1.0,0.061,0.249,0.162,0.059,0.116,0.072,0.407,0.506,0.08
10.83274,1.0,0.093,0.177,0.03,0.139,0.092,0.088,0.128,0.222,0.35,0.177,0.038
11.00045,1.0,0.067,0.032,0.014,0.057,0.144,0.071,0.138,0.163,0.262,0.108,0.057
11.16825,1.0,0.127,0.059,0.025,0.146,0.395,0.031,0.173,0.072,0.572,0.11,0.052
11.39596,0.414,0.106,0.027,0.019,0.15,0.287,0.023,0.084,0.083,1.0,0.116,0.043
11.9815,0.085,0.046,0.026,0.016,0.114,0.215,0.023,0.109,0.061,1.0,0.06,0.025
12.98018,0.07,0.031,0.186,0.015,0.038,0.117,0.023,1.0,0.084,0.19,0.214,0.07
13.31587,0.165,0.06,0.168,0.045,0.031,0.084,0.227,1.0,0.204,0.18,0.27,0.135
13.40834,0.063,0.029,0.316,0.047,0.056,0.173,0.111,1.0,0.093,0.084,0.387,0.102
13.80417,0.688,0.049,0.561,0.041,0.144,0.616,0.192,1.0,0.35,0.368,0.738,0.066
13.97234,0.214,0.029,0.198,0.024,0.06,1.0,0.077,0.496,0.063,0.057,0.256,0.106
14.20032,0.205,0.02,0.224,0.041,0.065,1.0,0.066,0.425,0.061,0.146,0.897,0.066
15.0346,0.124,0.129,1.0,0.084,0.046,0.374,0.102,0.101,0.049,0.598,0.54,0.347
15.24902,0.054,0.057,1.0,0.054,0.029,0.366,0.079,0.036,0.075,0.523,0.614,0.08
15.67855,0.044,0.03,0.423,0.02,0.024,0.22,0.078,0.015,0.057,0.281,1.0,0.063
16.24091,0.333,0.131,0.858,0.039,0.029,0.271,0.085,0.042,0.539,0.655,1.0,0.01
16.41683,0.046,0.044,0.879,0.026,0.029,0.316,0.083,0.025,0.096,0.454,1.0,0.048
17.07234,0.037,0.052,0.286,0.033,0.018,0.1,0.03,0.02,0.024,0.156,1.0,0.095
18.4439,1.0,0.098,0.033,0.024,0.271,0.779,0.19,0.666,0.053,0.294,0.034,0.163
18.72676,1.0,0.455,0.07,0.105,0.142,0.153,0.12,0.088,0.055,0.243,0.194,0.131
18.79664,0.846,0.08,0.013,0.017,0.243,1.0,0.106,0.495,0.042,0.192,0.022,0.089
19.12603,0.2,0.06,0.016,0.048,0.229,1.0,0.353,0.391,0.076,0.327,0.06,0.019
