start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.901,0.947,1.0,0.902,0.721,0.667,0.679,0.674,0.465,0.396,0.485,0.524
0.69646,0.029,0.008,0.005,0.534,1.0,0.226,0.085,0.12,0.039,0.014,0.01,0.152
0.81687,0.015,0.011,0.022,0.175,1.0,0.24,0.071,0.101,0.127,0.031,0.009,0.116
1.01111,0.01,0.009,0.013,0.039,0.11,0.299,1.0,0.434,0.06,0.022,0.008,0.025
1.15497,0.005,0.017,0.007,0.026,0.022,0.372,1.0,0.256,0.105,0.027,0.012,0.025
1.36399,0.004,0.009,0.004,0.008,0.004,0.008,0.086,0.204,0.18,1.0,0.18,0.01
1.52186,0.021,0.029,0.022,0.024,0.006,0.019,0.232,1.0,0.486,0.279,0.027,0.049
1.69601,0.004,0.025,0.004,0.006,0.003,0.013,0.103,0.499,1.0,0.067,0.006,0.003
2.05492,0.127,1.0,0.312,0.014,0.005,0.006,0.041,0.116,0.228,0.062,0.007,0.012
2.2078,0.076,1.0,0.16,0.011,0.005,0.006,0.021,0.071,0.083,0.055,0.01,0.024
2.38376,0.063,0.401,0.062,0.005,0.005,0.02,0.101,0.295,1.0,0.244,0.022,0.008
2.57039,0.068,1.0,0.181,0.012,0.005,0.009,0.016,0.038,0.04,0.005,0.007,0.022
2.73583,0.087,1.0,0.189,0.004,0.001,0.002,0.002,0.005,0.045,0.006,0.002,0.005
2.88299,0.116,1.0,0.136,0.237,0.028,0.031,0.071,0.146,0.15,0.083,0.047,0.023
3.07732,0.098,1.0,0.196,0.201,0.048,0.035,0.059,0.177,0.419,0.055,0.02,0.262
3.4307,0.016,0.022,0.026,0.428,1.0,0.207,0.06,0.146,0.029,0.013,0.006,0.077
3.57052,0.003,0.001,0.003,0.183,1.0,0.046,0.025,0.04,0.064,0.012,0.002,0.033
3.77859,0.003,0.009,0.01,0.165,0.129,0.266,1.0,0.222,0.047,0.008,0.006,0.012
3.93238,0.016,0.066,0.013,0.058,0.026,0.337,1.0,0.375,0.198,0.07,0.018,0.016
4.14553,0.009,0.014,0.01,0.012,0.005,0.007,0.089,0.146,0.305,1.0,0.299,0.01
4.25283,0.044,0.023,0.008,0.038,0.007,0.008,0.019,0.177,1.0,0.187,0.059,0.021
4.48644,0.017,0.027,0.005,0.025,0.009,0.009,0.301,0.818,1.0,0.194,0.036,0.014
4.66068,0.141,0.016,0.005,0.009,0.009,0.01,0.028,0.013,0.02,0.013,0.053,1.0
4.83116,0.172,0.512,0.155,0.005,0.002,0.002,0.009,0.008,0.022,0.006,0.045,1.0
4.98163,0.196,0.326,0.07,0.013,0.004,0.006,0.039,0.012,0.021,0.018,0.049,1.0
5.16698,0.152,1.0,0.173,0.013,0.012,0.047,0.033,0.085,0.272,0.051,0.012,0.026
5.4971,0.065,1.0,0.097,0.002,0.003,0.026,0.002,0.004,0.075,0.008,0.001,0.004
5.6824,0.061,1.0,0.109,0.068,0.006,0.018,0.028,0.076,0.154,0.01,0.006,0.004
5.8337,0.121,1.0,0.083,0.058,0.006,0.018,0.036,0.108,0.15,0.015,0.012,0.468
6.00195,0.041,1.0,0.277,0.038,0.004,0.013,0.014,0.005,0.028,0.008,0.004,0.27
6.17079,0.058,0.175,0.533,0.458,1.0,0.21,0.057,0.148,0.035,0.021,0.01,0.16
6.31615,0.566,0.209,0.035,0.17,1.0,0.236,0.074,0.104,0.131,0.032,0.01,0.16
6.51243,0.016,0.016,0.017,0.043,0.128,0.402,1.0,0.562,0.098,0.027,0.011,0.03
6.63297,0.01,0.021,0.009,0.023,0.017,0.32,1.0,0.193,0.096,0.02,0.011,0.027
6.87283,0.006,0.007,0.002,0.007,0.004,0.007,0.075,0.179,0.179,1.0,0.189,0.012
7.02508,0.069,0.097,0.125,0.251,1.0,0.295,0.385,0.922,0.693,0.09,0.043,0.084
7.42508,0.176,0.447,0.218,1.0,0.606,0.033,0.05,0.147,0.183,0.109,0.075,0.08
7.68608,0.098,1.0,0.212,0.01,0.006,0.005,0.007,0.039,0.129,0.024,0.01,0.024
7.92803,0.048,1.0,0.262,0.01,0.008,0.022,0.093,0.263,0.423,0.13,0.017,0.019
8.1093,0.042,1.0,0.085,0.781,0.385,0.012,0.008,0.02,0.045,0.007,0.015,0.019
8.39401,0.637,1.0,0.186,0.109,0.012,0.014,0.035,0.074,0.08,0.035,0.052,0.328
8.58077,0.081,0.486,0.078,0.091,0.017,0.018,0.047,0.594,1.0,0.429,0.365,0.188
8.76635,0.022,0.019,0.028,0.061,0.017,0.032,0.08,0.291,1.0,0.203,0.029,0.083
8.9337,0.295,0.04,0.014,0.134,0.641,0.043,0.067,0.074,0.054,0.046,0.162,1.0
9.12553,0.437,1.0,0.025,0.248,0.905,0.11,0.015,0.059,0.097,0.009,0.014,0.059
9.28821,0.1,0.054,0.018,0.061,0.019,0.146,1.0,0.092,0.088,0.026,0.14,0.745
9.63556,0.008,0.017,0.011,0.013,0.004,0.007,0.091,0.165,0.236,1.0,0.25,0.011
9.75692,0.012,0.033,0.006,0.025,0.005,0.011,0.054,0.183,1.0,0.222,0.018,0.032
9.96562,0.01,0.018,0.005,0.025,0.004,0.013,0.159,0.711,1.0,0.088,0.015,0.008
10.17637,0.022,0.025,0.015,0.042,0.029,0.014,0.017,0.155,1.0,0.708,0.268,0.018
10.33084,0.175,0.536,0.193,0.024,0.004,0.003,0.006,0.006,0.01,0.02,0.205,1.0
10.47324,0.368,0.304,0.046,0.035,0.006,0.004,0.018,0.023,0.034,0.023,0.089,1.0
10.662,0.083,0.368,0.105,0.076,0.021,0.055,0.111,0.247,1.0,0.414,0.756,0.693
10.82776,0.036,0.45,0.08,0.098,0.035,0.008,0.023,0.162,1.0,0.573,0.134,0.009
10.99111,0.021,0.442,0.059,0.074,0.008,0.005,0.007,0.121,1.0,0.037,0.008,0.005
11.16526,0.036,0.433,0.071,0.139,0.008,0.005,0.058,0.184,1.0,0.061,0.011,0.005
11.32916,0.027,0.164,0.085,0.117,0.014,0.015,0.022,0.178,1.0,0.025,0.009,0.196
11.67846,0.026,0.02,0.022,0.453,0.953,0.179,0.067,0.184,1.0,0.149,0.009,0.145
11.81741,0.01,0.026,0.017,0.083,0.557,1.0,0.868,0.223,0.069,0.019,0.008,0.052
12.01642,0.008,0.008,0.012,0.047,0.101,0.292,1.0,0.431,0.05,0.018,0.007,0.023
12.15388,0.006,0.017,0.007,0.027,0.022,0.363,1.0,0.264,0.106,0.026,0.011,0.026
12.36562,0.004,0.008,0.003,0.007,0.003,0.007,0.082,0.196,0.179,1.0,0.186,0.011
12.52077,0.02,0.024,0.021,0.023,0.006,0.02,0.235,1.0,0.496,0.288,0.031,0.048
12.69057,0.005,0.025,0.005,0.007,0.004,0.015,0.115,0.54,1.0,0.067,0.006,0.004
13.05043,0.095,1.0,0.277,0.012,0.007,0.006,0.037,0.106,0.221,0.055,0.007,0.015
13.2142,0.069,1.0,0.157,0.012,0.005,0.005,0.023,0.089,0.107,0.059,0.01,0.027
13.38821,0.025,0.375,0.072,0.004,0.003,0.011,0.112,0.191,1.0,0.236,0.015,0.008
13.56871,0.068,1.0,0.18,0.012,0.005,0.01,0.016,0.038,0.04,0.004,0.007,0.021
13.73474,0.078,1.0,0.176,0.004,0.001,0.002,0.001,0.004,0.044,0.005,0.001,0.006
13.88612,0.119,1.0,0.14,0.241,0.027,0.028,0.07,0.149,0.156,0.081,0.045,0.024
14.07646,0.099,1.0,0.209,0.211,0.05,0.037,0.06,0.18,0.413,0.057,0.02,0.269
14.44349,0.014,0.011,0.01,0.488,1.0,0.205,0.079,0.129,0.031,0.008,0.005,0.072
14.56943,0.004,0.003,0.004,0.182,1.0,0.046,0.025,0.04,0.064,0.013,0.002,0.034
14.77751,0.003,0.01,0.019,0.108,0.076,0.283,1.0,0.147,0.058,0.008,0.006,0.011
14.9858,0.027,0.154,0.074,0.141,0.056,0.253,0.983,1.0,0.241,0.13,0.036,0.035
15.14444,0.008,0.014,0.009,0.01,0.005,0.006,0.082,0.146,0.285,1.0,0.284,0.011
15.25637,0.023,0.02,0.016,0.021,0.01,0.009,0.019,0.205,1.0,0.531,0.07,0.023
15.35973,0.019,0.03,0.016,0.047,0.027,0.067,0.348,0.945,1.0,0.117,0.021,0.014
15.69732,0.436,0.391,0.109,0.057,0.019,0.017,0.044,0.036,0.107,0.053,0.06,1.0
15.97669,0.808,0.563,0.111,0.05,0.01,0.005,0.05,0.023,0.021,0.032,0.066,1.0
16.13605,0.093,1.0,0.553,0.064,0.008,0.089,0.084,0.219,0.806,0.238,0.019,0.017
16.33397,0.036,1.0,0.086,0.044,0.004,0.028,0.005,0.006,0.168,0.026,0.003,0.005
16.50385,0.016,1.0,0.082,0.016,0.004,0.024,0.002,0.003,0.076,0.008,0.002,0.004
16.68358,0.344,0.544,0.056,0.057,0.028,0.052,0.103,0.151,0.257,0.127,0.258,1.0
17.14948,0.06,0.058,0.078,0.542,1.0,0.337,0.118,0.201,0.928,0.198,0.018,0.197
17.30286,0.023,0.009,0.028,0.28,0.825,0.176,0.059,0.185,1.0,0.047,0.009,0.095
17.51583,0.014,0.007,0.018,0.07,0.119,0.326,1.0,0.29,0.098,0.018,0.009,0.027
17.65333,0.008,0.017,0.006,0.026,0.012,0.242,1.0,0.107,0.057,0.014,0.008,0.026
17.83365,0.015,0.022,0.012,0.015,0.011,0.023,0.124,0.282,0.289,1.0,0.196,0.015
18.01143,0.247,0.255,0.3,1.0,0.307,0.019,0.053,0.261,0.2,0.094,0.098,0.202
18.21583,0.047,0.029,0.025,0.058,0.742,0.252,0.287,0.781,1.0,0.161,0.014,0.092
18.40227,0.194,1.0,0.308,0.516,0.518,0.345,0.066,0.202,0.262,0.124,0.073,0.101
18.76585,0.226,1.0,0.685,0.014,0.007,0.008,0.033,0.095,0.151,0.07,0.014,0.056
18.86553,0.06,1.0,0.279,0.013,0.011,0.025,0.084,0.25,0.787,0.18,0.018,0.013
19.06971,0.149,0.958,0.302,0.748,1.0,0.039,0.034,0.072,0.066,0.026,0.058,0.064
19.20857,0.045,1.0,0.531,0.999,0.058,0.009,0.009,0.016,0.044,0.017,0.101,0.016
19.3927,0.177,0.491,0.062,0.097,0.022,0.032,0.07,0.266,1.0,0.352,0.324,0.706
19.94667,0.645,0.166,0.051,0.224,0.868,0.111,0.127,0.097,0.034,0.033,0.144,1.0
20.11011,0.151,1.0,0.459,0.562,0.965,0.318,0.041,0.025,0.178,0.055,0.018,0.118
20.22308,0.287,0.291,0.038,0.123,0.156,0.201,1.0,0.295,0.144,0.025,0.079,0.185
20.50349,0.286,0.046,0.021,0.063,0.014,0.037,0.392,0.265,0.054,0.053,0.086,1.0
20.6556,0.015,0.017,0.013,0.014,0.008,0.011,0.082,0.161,0.416,1.0,0.37,0.019
20.7512,0.008,0.021,0.005,0.021,0.006,0.006,0.046,0.113,1.0,0.291,0.023,0.03
20.92621,0.017,0.022,0.012,0.038,0.023,0.047,0.303,0.762,1.0,0.135,0.02,0.013
21.16104,0.078,0.025,0.02,0.043,0.061,0.015,0.028,0.073,0.811,1.0,0.367,0.137
21.3059,0.602,0.517,0.191,0.012,0.004,0.004,0.014,0.023,0.027,0.017,0.025,1.0
21.44966,0.399,0.315,0.044,0.011,0.007,0.007,0.025,0.022,0.047,0.019,0.05,1.0
21.65692,0.199,0.424,0.17,0.017,0.026,0.053,0.258,0.202,0.902,0.776,1.0,0.753
21.79365,0.07,0.717,0.085,0.099,0.04,0.017,0.02,0.114,1.0,0.557,0.173,0.022
