start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.938,0.46,0.481,0.404,0.343,0.331,0.188,0.323,0.332,0.271,0.415,1.0
0.29805,0.883,1.0,0.703,0.405,0.489,0.511,0.327,0.313,0.746,0.689,0.859,0.284
0.38259,0.004,0.004,0.008,0.009,0.018,0.014,0.026,1.0,0.174,0.011,0.004,0.006
0.84698,0.011,0.009,0.011,0.009,0.012,0.01,0.024,1.0,0.168,0.03,0.009,0.011
1.13256,0.017,0.019,1.0,0.304,0.023,0.01,0.012,0.223,0.051,0.015,0.014,0.019
1.44617,0.008,0.005,0.204,0.037,0.019,0.014,0.027,1.0,0.191,0.02,0.009,0.01
1.75324,0.01,0.012,0.176,0.025,0.013,0.017,0.024,1.0,0.162,0.022,0.009,0.008
2.09551,0.028,0.036,0.59,0.139,0.025,0.024,0.028,1.0,0.22,0.033,0.015,0.027
2.37887,0.013,0.01,0.062,0.037,0.029,0.013,0.04,1.0,0.444,0.046,0.015,0.025
2.72299,0.018,0.012,0.083,0.027,0.014,0.015,0.025,1.0,0.133,0.02,0.009,0.015
3.02413,0.029,0.022,0.568,0.052,0.019,0.013,0.039,1.0,0.21,0.035,0.017,0.022
3.25179,0.017,0.011,0.081,0.024,0.04,0.026,0.07,1.0,0.539,0.053,0.007,0.015
3.60984,0.012,0.011,0.124,0.021,0.024,0.02,0.025,1.0,0.103,0.024,0.009,0.014
3.89469,0.021,0.021,1.0,0.183,0.022,0.012,0.018,0.145,0.1,0.018,0.011,0.016
4.19687,0.033,0.017,0.612,0.072,0.114,0.881,0.114,0.282,1.0,0.098,0.018,0.057
4.50449,0.038,0.023,0.414,0.048,0.051,1.0,0.05,0.132,0.503,0.065,0.018,0.023
4.83497,0.986,0.081,0.845,0.299,0.087,0.561,0.08,0.219,1.0,0.116,0.05,0.126
5.14236,0.057,0.021,0.164,0.044,0.135,1.0,0.153,0.139,0.962,0.079,0.015,0.026
5.43896,0.044,0.023,0.151,0.044,0.047,1.0,0.056,0.094,0.265,0.043,0.017,0.025
5.75238,1.0,0.077,0.266,0.274,0.078,0.28,0.089,0.507,0.457,0.086,0.083,0.126
6.06009,0.077,0.018,0.074,0.034,0.166,0.81,0.159,0.186,1.0,0.092,0.018,0.025
6.30322,0.062,0.015,0.066,0.026,0.044,1.0,0.056,0.127,0.152,0.025,0.011,0.016
6.6654,1.0,0.095,0.19,0.887,0.087,0.772,0.102,0.638,0.315,0.069,0.048,0.102
6.96,0.107,0.015,0.063,0.109,0.141,0.917,0.203,0.142,1.0,0.055,0.014,0.029
7.09465,0.076,0.009,0.033,0.017,0.027,1.0,0.066,0.083,0.203,0.014,0.004,0.006
7.26054,0.127,0.017,0.075,0.024,0.043,1.0,0.059,0.148,0.165,0.045,0.014,0.016
7.57633,1.0,0.09,0.151,0.599,0.091,0.922,0.08,0.268,0.249,0.094,0.073,0.125
7.88227,0.029,0.005,0.017,0.014,0.018,0.06,0.038,1.0,0.36,0.042,0.008,0.011
8.19025,0.043,0.014,0.027,0.02,0.016,0.141,0.027,1.0,0.162,0.027,0.007,0.009
8.49796,0.072,0.023,1.0,0.414,0.038,0.16,0.029,0.457,0.13,0.035,0.026,0.025
