start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.165,0.047,0.053,0.169,0.185,0.691,0.605,0.157,0.083,0.096,0.331
0.26268,1.0,0.029,0.048,0.011,0.042,0.012,0.041,0.139,0.004,0.004,0.005,0.084
0.63229,1.0,0.036,0.07,0.022,0.068,0.059,0.344,0.286,0.016,0.008,0.004,0.079
0.9985,1.0,0.102,0.029,0.025,0.377,0.082,0.05,0.161,0.058,0.009,0.012,0.367
1.16753,0.834,0.186,0.042,0.088,0.252,0.378,1.0,0.685,0.124,0.025,0.026,0.337
1.35868,1.0,0.038,0.053,0.021,0.076,0.058,0.385,0.343,0.027,0.019,0.011,0.081
1.71193,1.0,0.023,0.049,0.027,0.097,0.039,0.084,0.189,0.013,0.008,0.006,0.079
2.09406,0.036,0.04,0.056,0.155,0.87,1.0,0.32,0.066,0.03,0.059,0.03,0.069
2.81016,0.005,0.005,0.008,0.006,0.164,1.0,0.147,0.026,0.007,0.071,0.004,0.003
3.18902,0.037,0.113,0.214,0.092,0.444,1.0,0.523,0.077,0.037,0.042,0.013,0.022
3.54222,0.002,0.005,0.012,0.004,0.007,0.034,0.216,1.0,0.174,0.005,0.003,0.014
3.92331,0.011,0.011,0.028,0.017,0.046,0.146,0.157,1.0,0.088,0.014,0.011,0.027
4.47664,0.034,0.027,0.059,0.052,0.088,0.326,0.909,1.0,0.406,0.738,0.275,0.049
4.67297,1.0,0.054,0.019,0.007,0.021,0.039,0.271,0.477,0.045,0.022,0.012,0.078
5.02816,1.0,0.071,0.015,0.014,0.049,0.018,0.019,0.348,0.028,0.005,0.012,0.22
5.2059,1.0,0.113,0.035,0.037,0.236,0.029,0.02,0.243,0.04,0.003,0.011,0.318
5.38689,0.524,0.359,0.277,0.167,0.311,0.371,1.0,0.705,0.275,0.14,0.099,0.314
5.71773,0.737,0.135,0.252,0.104,0.156,0.421,0.912,1.0,0.166,0.069,0.052,0.216
5.93197,1.0,0.042,0.345,0.04,0.159,0.071,0.293,0.782,0.062,0.02,0.007,0.088
6.28667,0.5,0.065,0.125,0.33,1.0,0.317,0.117,0.713,0.085,0.07,0.091,0.187
