start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.612,0.817,1.0,0.836,0.616,0.439,0.775,0.513,0.261,0.137,0.374,0.448
0.40703,1.0,0.602,0.516,0.573,0.207,0.191,0.5,0.494,0.489,0.49,0.94,0.862
0.49361,0.192,0.238,0.071,0.061,0.027,0.029,0.225,0.045,0.027,0.026,0.044,1.0
0.82304,0.95,0.477,0.045,0.096,0.071,0.106,0.414,0.336,0.721,0.731,1.0,0.263
0.91905,0.166,0.087,0.059,0.418,0.017,0.048,0.276,0.031,0.013,0.019,0.054,1.0
1.26005,0.294,0.255,0.238,0.415,0.278,0.078,0.924,0.074,0.014,0.091,0.169,1.0
1.5966,0.075,0.106,0.414,0.768,0.942,0.195,1.0,0.22,0.334,0.231,0.311,0.486
2.37937,0.265,0.444,0.089,0.125,0.234,0.097,0.295,0.13,1.0,0.165,0.386,0.221
2.58825,0.078,0.083,0.071,0.208,0.071,0.026,0.103,0.054,1.0,0.156,0.142,0.37
3.03002,0.341,0.34,0.134,0.109,0.08,0.082,0.195,0.042,0.207,0.1,0.227,1.0
3.84612,0.469,0.184,0.091,0.173,0.108,0.13,0.657,0.217,0.673,0.634,1.0,0.867
3.98884,0.349,0.165,0.095,0.134,0.043,0.08,0.863,0.032,0.016,0.036,0.48,1.0
4.33651,0.352,0.227,0.123,0.436,0.312,0.086,0.98,0.156,0.041,0.087,0.455,1.0
4.54576,0.304,0.153,0.108,0.431,0.329,0.172,1.0,0.103,0.068,0.168,0.555,0.38
4.70776,0.055,0.077,0.118,0.397,1.0,0.172,0.773,0.254,0.313,0.108,0.176,0.335
5.30567,0.157,0.599,0.12,0.152,0.266,0.089,0.336,0.133,1.0,0.272,0.446,0.163
5.53256,0.074,0.092,0.046,0.148,0.082,0.041,0.109,0.087,1.0,0.158,0.097,0.29
6.03737,0.169,0.326,0.142,0.15,0.105,0.09,0.219,0.102,0.284,0.205,0.371,1.0
6.78136,1.0,0.299,0.011,0.034,0.012,0.022,0.154,0.047,0.118,0.109,0.795,0.125
6.95501,0.586,0.24,0.032,0.326,0.044,0.116,1.0,0.14,0.074,0.07,0.447,0.203
7.13982,0.526,0.452,0.064,0.293,0.938,0.304,1.0,0.109,0.072,0.019,0.079,0.39
7.35438,0.43,0.136,0.096,0.634,0.16,0.207,1.0,0.167,0.017,0.014,0.111,0.797
7.56431,0.502,0.575,0.291,0.198,0.715,0.17,1.0,0.166,0.046,0.018,0.062,0.644
7.8483,0.215,0.315,0.46,0.316,0.232,0.206,1.0,0.144,0.054,0.041,0.23,0.089
8.01728,0.107,0.097,0.07,0.223,0.399,0.123,0.617,0.217,1.0,0.326,0.03,0.166
8.28435,0.28,0.207,0.172,0.365,0.262,0.143,1.0,0.111,0.127,0.03,0.044,0.145
8.74798,0.095,0.134,0.149,0.651,0.156,0.082,1.0,0.108,0.034,0.02,0.107,0.389
8.96281,0.1,0.442,0.138,0.123,0.1,0.182,1.0,0.112,0.134,0.093,0.477,0.302
9.2424,0.337,0.248,0.085,0.063,0.021,0.024,0.245,0.038,0.259,0.085,0.228,1.0
9.56109,1.0,0.581,0.045,0.026,0.01,0.013,0.054,0.02,0.25,0.239,0.856,0.372
9.7293,0.342,0.176,0.044,0.07,0.02,0.016,0.095,0.064,1.0,0.126,0.095,0.908
9.93764,0.882,1.0,0.054,0.111,0.027,0.021,0.03,0.08,0.88,0.215,0.329,0.734
10.14753,0.287,0.117,0.031,0.309,0.04,0.014,0.047,0.082,0.813,0.141,0.165,1.0
10.38522,0.459,1.0,0.124,0.55,0.083,0.025,0.025,0.081,0.434,0.129,0.333,0.49
10.59846,0.046,0.079,0.101,1.0,0.112,0.111,0.238,0.068,0.045,0.132,0.398,0.225
12.07778,0.446,0.11,0.043,0.124,0.031,0.046,0.148,0.032,0.047,0.045,0.297,1.0
12.48023,0.264,0.343,0.165,0.471,0.104,0.076,0.176,0.059,0.03,0.027,0.203,1.0
12.71252,0.61,0.554,0.075,0.454,0.064,0.271,0.623,0.202,0.285,0.293,1.0,0.354
12.81778,0.262,0.131,0.262,0.311,0.071,0.272,1.0,0.161,0.013,0.11,0.652,0.653
13.04413,0.425,0.26,0.516,0.44,0.167,0.124,0.392,0.296,0.297,0.422,1.0,0.677
13.11791,0.142,0.082,0.042,0.127,0.088,0.126,1.0,0.087,0.03,0.047,0.197,0.27
13.28145,0.062,0.08,0.053,0.143,0.118,0.066,1.0,0.17,0.016,0.039,0.457,0.209
13.46245,0.095,0.072,0.118,0.237,0.813,0.178,1.0,0.103,0.119,0.084,0.488,0.188
13.62367,0.079,0.07,0.046,0.195,1.0,0.172,0.46,0.233,0.413,0.064,0.162,0.12
13.74644,0.115,0.123,0.095,0.373,1.0,0.223,0.861,0.307,0.528,0.066,0.199,0.217
13.87406,0.099,0.119,0.129,0.284,1.0,0.099,0.37,0.111,0.363,0.219,0.176,0.104
14.0419,0.092,0.761,0.155,0.1,0.151,0.029,0.077,0.048,1.0,0.134,0.159,0.111
14.28585,0.577,0.399,0.195,0.264,0.2,0.151,0.246,0.096,0.67,0.178,0.167,1.0
15.44676,0.532,0.497,0.494,1.0,0.279,0.38,0.974,0.595,0.671,0.712,0.551,0.521
15.53274,0.275,0.186,0.159,0.122,0.027,0.068,0.511,0.028,0.029,0.028,0.211,1.0
15.81306,0.427,0.165,0.19,0.358,0.339,0.205,0.879,0.186,0.051,0.21,1.0,0.938
16.05093,0.379,0.068,0.164,0.126,0.059,0.121,1.0,0.153,0.013,0.024,0.167,0.764
16.24281,0.049,0.046,0.071,0.22,1.0,0.116,0.843,0.117,0.212,0.085,0.159,0.344
16.95605,0.196,0.758,0.303,0.161,0.244,0.134,0.481,0.116,1.0,0.199,0.558,0.337
17.15351,0.318,0.269,0.102,0.157,0.149,0.091,0.18,0.062,0.495,0.153,0.169,1.0
18.36422,1.0,0.282,0.033,0.101,0.013,0.034,0.195,0.04,0.261,0.245,0.97,0.101
18.53007,0.509,0.146,0.108,1.0,0.091,0.116,0.638,0.214,0.02,0.014,0.07,0.943
18.73274,0.627,0.467,0.1,0.212,1.0,0.216,0.787,0.171,0.106,0.04,0.056,0.951
18.99973,0.5,0.239,0.089,0.681,0.198,0.086,0.859,0.23,0.023,0.024,0.091,1.0
19.22671,0.475,0.696,0.092,0.2,0.494,0.251,1.0,0.182,0.089,0.019,0.049,0.666
19.43569,0.076,0.064,0.014,0.215,0.083,0.048,1.0,0.196,0.038,0.005,0.023,0.116
19.67932,0.094,0.061,0.04,0.08,0.225,0.135,0.556,0.16,1.0,0.319,0.019,0.143
19.90585,0.056,0.121,0.17,0.356,0.19,0.204,1.0,0.121,0.149,0.029,0.033,0.118
20.19524,0.542,0.966,0.414,0.441,0.945,0.394,1.0,0.257,0.237,0.14,0.266,0.21
20.3166,0.34,0.16,0.187,0.48,0.435,0.274,1.0,0.16,0.235,0.084,0.206,0.92
20.40454,0.264,0.466,0.329,0.548,0.159,0.126,1.0,0.14,0.043,0.028,0.222,0.546
20.63098,0.138,0.607,0.136,0.142,0.155,0.205,1.0,0.142,0.077,0.077,0.265,0.183
20.83424,0.462,0.196,0.073,0.048,0.016,0.034,0.167,0.066,0.193,0.085,0.113,1.0
21.17678,1.0,0.663,0.076,0.043,0.025,0.039,0.093,0.039,0.279,0.268,0.992,0.447
21.30417,0.559,0.19,0.029,0.092,0.013,0.012,0.056,0.028,0.217,0.071,0.076,1.0
21.57741,0.603,0.424,0.026,0.044,0.011,0.013,0.024,0.036,1.0,0.279,0.547,0.196
21.7454,0.564,0.131,0.024,0.368,0.023,0.011,0.034,0.054,0.503,0.095,0.057,1.0
22.00054,0.368,0.318,0.234,0.514,0.069,0.047,0.14,0.079,0.483,0.12,0.269,1.0
22.47134,0.453,0.142,0.124,0.279,0.186,0.082,0.251,0.071,0.059,0.017,0.109,1.0
22.69746,0.358,0.054,0.098,0.213,0.132,0.086,0.173,0.031,0.021,0.018,0.125,1.0
23.0868,0.91,0.132,0.155,0.229,0.123,0.09,0.124,0.053,0.228,0.231,1.0,0.571
23.25465,0.052,0.089,0.055,0.092,0.088,0.49,1.0,0.141,0.074,0.039,0.064,0.277
24.02254,0.128,0.382,0.056,0.016,0.043,0.41,1.0,0.253,0.092,0.022,0.056,0.082
24.22454,0.122,1.0,0.203,0.018,0.026,0.12,0.285,0.14,0.263,0.11,0.12,0.054
