start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.217,0.649,1.0,0.428,0.297,0.272,0.32,0.281,0.213,0.226,0.136,0.23
0.14522,0.028,0.035,0.044,1.0,0.076,0.028,0.035,0.047,0.051,0.052,0.566,0.065
0.41202,0.033,0.042,0.041,1.0,0.08,0.044,0.037,0.036,0.057,0.038,0.364,0.061
0.69646,0.047,0.043,0.052,1.0,0.113,0.063,0.047,0.044,0.063,0.061,0.39,0.117
1.94467,0.1,0.075,0.103,1.0,0.156,0.13,0.091,0.074,0.098,0.068,0.764,0.318
2.24095,0.11,0.078,0.092,1.0,0.136,0.127,0.126,0.077,0.076,0.042,0.651,0.261
2.51905,0.037,0.023,0.019,0.056,1.0,0.075,0.039,0.031,0.083,0.032,0.046,0.478
2.78689,0.036,0.019,0.016,0.043,1.0,0.091,0.026,0.024,0.076,0.03,0.058,0.521
3.43075,0.015,0.011,0.013,0.018,1.0,0.039,0.016,0.012,0.029,0.012,0.033,0.151
4.84698,0.029,1.0,0.037,0.013,0.217,0.045,0.572,0.034,0.027,0.033,0.102,0.031
5.02109,0.016,1.0,0.027,0.012,0.117,0.03,0.809,0.022,0.016,0.015,0.064,0.018
5.26531,0.023,0.965,0.02,0.009,0.075,0.063,1.0,0.024,0.018,0.018,0.053,0.018
5.39279,0.016,1.0,0.02,0.005,0.053,0.029,0.391,0.015,0.019,0.014,0.048,0.012
5.52045,0.017,1.0,0.025,0.008,0.056,0.041,0.747,0.028,0.017,0.015,0.048,0.018
5.64834,0.03,0.593,0.044,0.018,0.083,0.049,1.0,0.05,0.029,0.026,0.104,0.045
6.18821,0.028,0.803,0.034,0.015,0.073,0.054,1.0,0.037,0.028,0.014,0.052,0.032
6.31583,0.027,1.0,0.032,0.013,0.059,0.04,0.341,0.039,0.032,0.022,0.043,0.022
6.43755,0.04,1.0,0.043,0.019,0.05,0.046,0.604,0.037,0.025,0.018,0.055,0.061
6.79741,0.048,0.794,0.044,0.015,0.049,0.057,1.0,0.054,0.035,0.021,0.045,0.04
6.9019,0.113,1.0,0.107,0.062,0.101,0.13,0.911,0.125,0.05,0.068,0.138,0.144
7.24989,0.045,1.0,0.077,0.016,0.009,0.013,0.036,0.015,0.078,0.011,0.009,0.083
7.59773,0.057,1.0,0.175,0.023,0.009,0.009,0.051,0.011,0.036,0.009,0.008,0.108
7.81283,0.052,1.0,0.092,0.037,0.009,0.013,0.06,0.018,0.033,0.02,0.018,0.556
8.38803,0.092,0.549,0.051,0.041,1.0,0.029,0.03,0.018,0.025,0.008,0.015,0.154
8.96413,0.034,0.048,0.043,0.045,1.0,0.048,0.017,0.01,0.025,0.008,0.008,0.202
9.50236,0.027,0.034,0.058,0.068,0.937,0.035,0.034,0.035,1.0,0.046,0.01,0.129
9.96181,0.009,0.021,0.041,0.052,1.0,0.059,0.029,0.019,0.544,0.016,0.008,0.09
10.42562,0.022,0.031,0.048,0.054,0.831,0.119,1.0,0.081,0.26,0.022,0.019,0.035
11.19823,0.003,0.015,0.007,0.008,0.278,0.022,1.0,0.024,0.042,0.004,0.009,0.005
11.73646,0.004,0.012,0.011,0.022,0.771,0.03,1.0,0.017,0.027,0.004,0.007,0.007
12.08558,0.003,0.009,0.01,0.034,0.836,0.064,1.0,0.03,0.017,0.004,0.009,0.005
12.27755,0.014,0.018,0.019,0.029,0.732,0.037,1.0,0.061,0.066,0.806,0.04,0.017
12.66127,0.01,0.019,0.014,0.04,0.242,0.03,0.612,0.039,0.096,1.0,0.149,0.011
12.89887,0.008,0.02,0.031,0.039,0.477,0.018,0.232,0.025,0.042,1.0,0.025,0.009
13.43243,0.014,0.048,0.025,0.965,0.571,0.051,0.135,0.03,0.049,1.0,0.096,0.012
13.78122,0.01,0.024,0.034,0.579,1.0,0.048,0.091,0.02,0.125,0.856,0.131,0.018
13.99565,0.048,1.0,0.061,0.108,0.339,0.021,0.022,0.026,0.022,0.089,0.018,0.016
14.52925,0.062,1.0,0.071,0.082,0.753,0.03,0.058,0.024,0.071,0.078,0.022,0.453
15.09873,0.03,0.648,0.039,0.035,1.0,0.02,0.02,0.014,0.016,0.021,0.016,0.096
15.66762,0.022,0.037,0.052,0.055,1.0,0.053,0.013,0.01,0.018,0.007,0.009,0.207
16.20045,0.017,0.031,0.073,0.053,1.0,0.034,0.019,0.023,0.734,0.026,0.008,0.152
16.77587,0.004,0.012,0.032,0.034,1.0,0.029,0.009,0.021,0.177,0.01,0.004,0.054
17.33941,0.017,0.03,0.04,0.033,0.939,0.088,1.0,0.044,0.117,0.011,0.01,0.021
17.90317,0.005,0.029,0.011,0.011,0.356,0.032,1.0,0.027,0.031,0.006,0.007,0.005
18.45392,0.015,0.02,0.02,0.025,0.654,0.053,1.0,0.059,0.068,0.446,0.05,0.021
19.56766,0.007,0.017,0.017,0.022,0.638,0.018,0.233,0.022,0.032,1.0,0.02,0.008
20.13837,0.015,0.035,0.034,0.661,0.506,0.054,0.112,0.026,0.036,1.0,0.057,0.019
20.65977,0.052,1.0,0.06,0.132,0.465,0.03,0.087,0.023,0.032,0.147,0.023,0.151
21.24549,0.058,0.878,0.068,0.103,1.0,0.101,0.119,0.047,0.057,0.55,0.052,0.25
22.34862,0.024,0.031,0.053,0.105,1.0,0.06,0.023,0.02,0.218,0.034,0.015,0.22
22.8776,0.028,0.035,0.07,0.137,0.913,0.095,0.036,0.037,1.0,0.055,0.012,0.196
23.21342,0.013,0.017,0.041,0.032,1.0,0.057,0.023,0.024,0.356,0.174,0.014,0.086
23.99846,0.033,0.09,0.036,0.037,0.491,0.058,1.0,0.071,0.176,0.027,0.039,0.031
