start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.991,0.277,0.265,0.408,0.405,0.575,0.575,0.754,0.733,0.799,0.196
0.16803,0.083,0.211,0.452,1.0,0.173,0.032,0.044,0.066,0.043,0.097,0.393,0.064
0.35383,0.064,0.024,0.04,0.065,0.066,1.0,0.063,0.025,0.033,0.073,0.05,0.037
0.67302,1.0,0.109,0.046,0.052,0.045,0.11,0.083,0.064,0.029,0.146,0.473,0.772
0.87687,0.043,0.048,0.023,0.014,0.021,0.063,0.016,0.013,0.048,0.172,1.0,0.1
2.04304,0.161,0.046,0.217,0.026,0.025,0.2,0.044,0.024,0.241,0.276,1.0,0.136
2.21723,0.061,0.047,0.197,0.032,0.02,0.101,0.026,0.01,0.015,0.173,1.0,0.253
2.40322,0.257,0.086,0.09,0.04,0.049,0.158,0.144,0.125,0.352,0.453,1.0,0.142
2.54259,1.0,0.066,0.079,0.036,0.049,0.089,0.054,0.088,0.076,0.136,0.396,0.428
2.69982,0.085,0.844,0.108,0.046,0.025,0.116,0.022,0.036,0.286,0.219,1.0,0.236
2.91791,0.273,1.0,0.331,0.031,0.042,0.092,0.03,0.076,0.351,0.225,0.574,0.167
3.43583,1.0,0.132,0.083,0.034,0.057,0.132,0.101,0.34,0.217,0.175,0.45,0.251
3.6044,0.368,1.0,0.129,0.047,0.039,0.102,0.027,0.079,0.11,0.055,0.4,0.136
3.93057,0.511,0.993,0.171,0.049,0.039,0.098,0.083,0.105,0.632,0.568,1.0,0.286
4.09265,0.297,1.0,0.242,0.135,0.163,0.302,0.19,0.088,0.134,0.187,0.789,0.442
4.42939,0.879,0.239,0.041,0.027,0.078,1.0,0.19,0.062,0.027,0.114,0.924,0.517
4.73651,0.168,0.117,0.017,0.038,0.073,1.0,0.212,0.02,0.011,0.092,0.161,0.112
5.22485,0.624,0.978,0.789,0.81,0.953,1.0,0.748,0.744,0.389,0.497,0.49,0.2
5.32834,0.179,0.041,0.015,0.037,0.087,1.0,0.191,0.022,0.018,0.094,0.111,0.038
5.82336,0.219,0.053,0.015,0.014,0.141,1.0,0.14,0.018,0.009,0.028,0.219,0.048
6.10005,1.0,0.562,0.123,0.044,0.085,0.155,0.092,0.092,0.075,0.18,0.112,0.233
6.25197,0.208,1.0,0.068,0.037,0.084,0.4,0.04,0.026,0.1,0.149,0.136,0.058
6.56522,0.262,0.459,0.173,0.084,0.283,1.0,0.207,0.124,0.34,0.163,0.181,0.074
7.00626,0.326,0.604,0.126,0.058,0.162,1.0,0.228,0.178,0.224,0.092,0.142,0.087
7.45986,0.394,0.113,0.382,1.0,0.737,0.913,0.213,0.086,0.048,0.121,0.219,0.082
7.87732,0.172,0.316,0.12,0.327,0.376,0.701,1.0,0.366,0.075,0.085,0.103,0.061
8.26063,0.059,0.283,0.185,0.836,0.659,1.0,0.599,0.569,0.23,0.228,0.368,0.11
8.41116,0.306,0.801,0.199,0.235,0.12,0.587,1.0,0.098,0.102,0.147,0.503,0.228
9.16063,0.072,0.253,0.121,0.088,0.172,1.0,0.82,0.295,0.261,0.185,0.149,0.043
