start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.573,0.457,0.459,0.143,0.143,0.171,0.172,0.418,0.415,0.429,0.077
0.13397,0.003,0.005,0.004,0.053,1.0,0.031,0.002,0.004,0.003,0.002,0.002,0.005
0.44231,0.056,0.007,0.003,0.019,0.53,0.021,0.002,0.002,0.002,0.007,0.025,1.0
0.72766,0.126,0.009,0.008,0.054,0.271,0.096,0.008,0.014,0.066,1.0,0.301,0.637
0.87646,0.018,0.029,1.0,0.083,0.116,0.007,0.002,0.002,0.002,0.506,0.083,0.13
1.15361,0.014,0.01,0.3,0.037,0.076,0.005,0.01,1.0,0.191,0.351,0.066,0.057
1.44045,0.004,0.004,0.039,0.01,1.0,0.023,0.002,0.145,0.043,0.054,0.01,0.008
1.72408,0.018,0.018,0.08,0.083,1.0,0.114,0.048,0.193,0.327,0.868,0.472,0.022
1.83043,0.059,0.008,0.012,0.005,0.14,0.009,0.008,0.056,0.037,0.387,0.096,1.0
2.11274,0.038,0.017,0.025,0.013,0.115,0.017,0.032,1.0,0.214,0.475,0.274,0.541
2.28308,0.09,0.014,0.01,0.01,0.073,0.014,0.053,0.519,0.416,1.0,0.537,0.28
2.39923,0.005,0.003,0.004,0.054,1.0,0.03,0.003,0.05,0.019,0.24,0.044,0.031
2.71029,0.057,0.004,0.003,0.026,0.636,0.025,0.002,0.025,0.01,0.132,0.052,1.0
2.98748,0.308,0.018,0.014,0.2,0.458,0.241,0.021,0.053,0.228,0.876,0.408,1.0
3.10059,0.019,0.031,1.0,0.073,0.157,0.008,0.003,0.011,0.006,0.397,0.066,0.188
3.41778,0.014,0.008,0.255,0.03,0.091,0.006,0.01,1.0,0.188,0.307,0.061,0.129
3.7054,0.003,0.003,0.037,0.01,1.0,0.023,0.002,0.139,0.041,0.041,0.009,0.014
3.98816,0.021,0.016,0.053,0.087,1.0,0.124,0.046,0.182,0.232,0.748,0.443,0.03
4.09088,0.061,0.008,0.016,0.004,0.156,0.01,0.008,0.065,0.026,0.433,0.101,1.0
4.36902,0.086,0.014,0.021,0.008,0.084,0.01,0.026,0.745,0.147,0.451,0.275,1.0
4.54018,0.069,0.018,0.017,0.013,0.046,0.017,0.035,0.287,0.165,1.0,0.392,0.156
4.65624,0.007,0.004,0.006,0.066,1.0,0.038,0.003,0.056,0.021,0.24,0.039,0.056
4.94381,0.053,0.004,0.004,0.02,0.628,0.02,0.002,0.022,0.009,0.135,0.048,1.0
5.24363,0.217,0.012,0.01,0.143,0.3,0.165,0.02,0.032,0.204,1.0,0.546,0.697
5.35175,0.019,0.028,1.0,0.073,0.136,0.007,0.002,0.006,0.005,0.537,0.083,0.16
5.66943,0.016,0.008,0.227,0.026,0.079,0.006,0.01,1.0,0.194,0.355,0.07,0.089
5.95143,0.003,0.003,0.033,0.01,1.0,0.024,0.003,0.158,0.048,0.051,0.01,0.01
6.23338,0.019,0.019,0.069,0.075,1.0,0.101,0.04,0.213,0.287,0.868,0.475,0.032
6.34553,0.06,0.01,0.011,0.004,0.124,0.01,0.011,0.108,0.033,0.406,0.097,1.0
