start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.172,0.105,0.091,0.153,1.0,0.416,0.419,0.144,0.122,0.111,0.198,0.556
0.3542,0.058,0.033,0.012,0.029,0.048,0.013,0.072,0.021,0.025,1.0,0.242,0.16
0.51696,0.316,0.056,0.103,0.262,0.943,0.374,0.157,0.065,0.095,0.154,0.311,1.0
0.73202,0.114,0.082,0.024,0.044,0.101,0.138,1.0,0.183,0.039,0.049,0.053,0.158
0.90594,0.085,0.045,0.017,0.067,0.053,0.023,0.132,0.034,0.043,1.0,0.273,0.245
1.06204,0.362,0.034,0.009,0.049,0.028,0.014,0.092,0.022,0.017,0.067,0.058,1.0
1.17234,0.223,0.163,0.073,0.206,0.782,0.668,1.0,0.324,0.146,0.119,0.15,0.69
1.43324,0.051,0.033,0.011,0.025,0.048,0.013,0.071,0.02,0.023,1.0,0.236,0.135
1.59637,0.307,0.056,0.1,0.25,0.909,0.374,0.156,0.067,0.1,0.163,0.316,1.0
1.81166,0.121,0.083,0.025,0.044,0.102,0.143,1.0,0.19,0.042,0.052,0.054,0.172
1.98485,0.082,0.043,0.015,0.064,0.054,0.022,0.126,0.033,0.039,1.0,0.265,0.232
2.142,0.366,0.036,0.008,0.051,0.029,0.016,0.091,0.022,0.015,0.069,0.062,1.0
2.25215,0.227,0.169,0.08,0.216,0.834,0.69,1.0,0.332,0.152,0.128,0.144,0.728
2.51329,0.058,0.033,0.012,0.026,0.047,0.013,0.064,0.02,0.022,1.0,0.234,0.156
2.68136,0.299,0.051,0.096,0.261,1.0,0.38,0.158,0.069,0.097,0.152,0.3,0.919
2.8966,0.111,0.079,0.023,0.042,0.1,0.137,1.0,0.174,0.035,0.046,0.047,0.166
3.0707,0.08,0.043,0.015,0.065,0.053,0.022,0.125,0.034,0.047,1.0,0.281,0.22
3.22195,0.365,0.032,0.008,0.053,0.028,0.014,0.093,0.021,0.014,0.064,0.056,1.0
3.33215,0.217,0.162,0.072,0.198,0.786,0.657,1.0,0.324,0.146,0.12,0.148,0.696
3.59896,0.047,0.033,0.012,0.028,0.047,0.013,0.062,0.02,0.027,1.0,0.247,0.135
3.76245,0.325,0.052,0.098,0.255,0.827,0.373,0.151,0.07,0.1,0.165,0.304,1.0
3.96558,0.099,0.079,0.026,0.047,0.12,0.211,1.0,0.232,0.054,0.07,0.069,0.169
4.15179,0.081,0.044,0.016,0.062,0.053,0.021,0.121,0.032,0.046,1.0,0.288,0.227
4.30721,0.173,0.115,0.1,0.15,1.0,0.435,0.438,0.162,0.125,0.108,0.197,0.489
4.68993,0.051,0.034,0.012,0.028,0.049,0.014,0.068,0.022,0.044,1.0,0.275,0.119
4.84127,0.322,0.054,0.1,0.268,0.994,0.394,0.158,0.07,0.101,0.164,0.307,1.0
5.05633,0.104,0.08,0.023,0.041,0.099,0.137,1.0,0.182,0.038,0.045,0.048,0.148
