start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06358,0.119,0.255,0.37,0.408,0.376,0.245,0.324,1.0,0.459,0.134,0.193,0.155
0.2819,0.23,0.297,0.277,0.55,0.235,0.165,0.572,1.0,0.453,0.24,0.122,0.267
0.62771,0.579,0.612,0.763,1.0,0.517,0.52,0.701,0.943,0.751,0.687,0.745,0.685
0.94018,1.0,0.794,0.66,0.89,0.495,0.307,0.463,0.928,0.515,0.339,0.355,0.778
1.26544,0.864,0.333,0.229,0.364,0.32,0.255,0.526,1.0,0.548,0.201,0.169,0.616
1.35878,0.134,0.198,0.222,1.0,0.164,0.144,0.198,0.514,0.221,0.163,0.336,0.209
1.93329,0.927,0.487,0.711,0.9,0.361,0.387,0.541,1.0,0.371,0.227,0.597,0.631
2.26485,0.202,0.341,0.429,0.511,0.257,0.444,0.394,1.0,0.517,0.191,0.258,0.369
2.6117,0.111,0.25,0.32,1.0,0.189,0.131,0.512,0.726,0.18,0.154,0.182,0.092
2.77247,0.349,1.0,0.167,0.179,0.065,0.085,0.133,0.387,0.201,0.127,0.296,0.158
2.90109,0.224,1.0,0.133,0.608,0.354,0.196,0.325,0.421,0.265,0.14,0.447,0.131
3.04535,0.214,0.344,0.617,0.602,0.373,0.21,0.582,1.0,0.568,0.35,0.179,0.293
3.2742,0.437,0.78,0.947,0.915,0.613,0.393,0.672,0.918,0.82,0.354,1.0,0.447
3.61501,0.919,0.492,0.452,0.429,0.293,0.296,0.437,1.0,0.419,0.216,0.264,0.457
3.95955,0.711,0.3,0.179,1.0,0.267,0.127,0.272,0.549,0.177,0.101,0.281,0.3
4.11052,1.0,0.757,0.275,0.812,0.204,0.256,0.381,0.674,0.265,0.227,0.822,0.248
4.27311,0.496,0.312,0.313,1.0,0.297,0.274,0.269,0.576,0.227,0.211,0.329,0.308
4.62018,1.0,0.304,0.375,0.42,0.253,0.158,0.375,0.716,0.39,0.256,0.289,0.676
4.95211,0.086,0.075,0.269,1.0,0.27,0.489,0.114,0.411,0.292,0.176,0.502,0.101
5.12599,0.438,0.489,0.369,0.605,0.281,0.294,0.604,1.0,0.742,0.138,0.43,0.306
5.27587,0.143,0.129,0.69,1.0,0.281,0.134,0.378,0.858,0.302,0.101,0.36,0.083
5.45719,0.454,0.373,0.397,0.517,0.19,0.333,0.589,1.0,0.421,0.302,0.796,0.204
5.63741,0.251,0.372,0.357,1.0,0.237,0.142,0.486,0.815,0.367,0.159,0.279,0.234
5.97483,0.118,0.267,0.569,0.704,0.261,0.128,0.243,1.0,0.296,0.162,0.341,0.102
6.11333,0.144,0.268,0.357,0.2,0.431,0.325,0.196,0.42,0.377,1.0,0.246,0.169
6.37995,0.615,0.21,0.216,0.294,0.512,0.227,0.264,0.711,0.387,1.0,0.351,0.518
6.83823,0.227,0.29,0.287,0.852,0.554,0.149,0.21,0.491,0.303,1.0,0.476,0.189
7.36544,0.329,0.211,0.286,0.201,0.159,0.292,0.18,0.323,0.292,0.471,1.0,0.276
7.7317,0.268,0.409,0.478,0.385,0.243,0.391,0.677,1.0,0.636,0.257,0.349,0.403
8.04571,0.116,0.37,1.0,0.826,0.243,0.136,0.759,0.92,0.217,0.123,0.16,0.248
8.17923,0.136,0.318,0.399,0.305,0.272,0.304,0.305,1.0,0.424,0.158,0.266,0.194
8.36907,0.499,0.513,0.612,0.716,0.5,0.43,0.662,1.0,0.405,0.243,0.878,0.677
8.7029,0.091,0.229,0.508,1.0,0.144,0.127,0.181,0.382,0.114,0.165,0.515,0.102
8.86934,0.152,0.253,0.265,0.217,0.499,0.327,0.302,0.408,0.575,1.0,0.361,0.096
9.09683,0.153,0.077,0.144,0.126,0.079,0.302,0.096,0.295,0.131,0.133,1.0,0.09
9.23628,0.723,0.2,0.316,1.0,0.687,0.219,0.289,0.534,0.294,0.94,0.401,0.521
9.57723,0.318,0.275,0.243,0.797,0.603,0.128,0.231,0.565,0.343,1.0,0.356,0.263
10.12449,0.287,0.456,0.556,0.42,0.398,0.711,0.425,0.767,0.57,0.486,1.0,0.444
10.76408,0.099,0.245,0.241,1.0,0.235,0.373,0.201,0.95,0.442,0.145,0.297,0.117
10.95433,0.44,0.346,0.195,0.796,0.221,0.346,1.0,0.485,0.585,0.156,0.188,0.212
11.3663,0.197,0.156,0.3,1.0,0.414,0.2,0.309,0.441,0.425,0.114,0.352,0.139
11.90059,0.352,0.221,0.226,0.102,0.264,1.0,0.49,0.501,0.305,0.219,0.144,0.189
