start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.878,0.105,0.1,0.108,0.115,0.15,0.161,0.224,0.247,0.255,0.32
0.23202,0.09,1.0,0.165,0.032,0.048,0.183,0.043,0.044,0.377,0.025,0.024,0.038
0.65746,0.07,0.381,0.058,0.146,0.015,0.028,0.021,0.084,1.0,0.047,0.01,0.019
0.85986,0.119,1.0,0.086,0.25,0.032,0.065,0.043,0.047,0.441,0.022,0.024,0.021
1.23528,0.054,0.3,0.045,0.114,0.046,0.086,0.042,0.058,1.0,0.039,0.012,0.008
1.67646,1.0,0.229,0.027,0.08,0.049,0.132,0.041,0.044,0.106,0.017,0.022,0.046
2.05093,0.384,0.157,0.026,0.052,0.037,0.193,0.03,0.06,1.0,0.022,0.012,0.03
2.40984,0.183,0.043,0.023,0.214,0.035,0.242,0.032,0.1,1.0,0.043,0.005,0.016
2.61896,0.434,0.129,0.066,0.636,0.107,0.287,0.093,0.094,1.0,0.101,0.061,0.288
2.8439,0.213,0.079,0.05,0.601,1.0,0.201,0.065,0.139,0.917,0.061,0.028,0.068
3.06907,0.048,0.022,0.016,0.186,0.554,0.074,0.024,0.059,1.0,0.038,0.022,0.11
3.4698,0.054,0.052,0.02,0.224,1.0,0.105,0.02,0.026,0.196,0.023,0.013,0.248
4.74875,0.171,0.737,0.132,0.06,0.142,0.329,0.057,0.199,1.0,0.068,0.039,0.056
4.88798,0.08,0.576,0.056,0.192,0.021,0.059,0.035,0.069,1.0,0.038,0.018,0.031
5.73986,0.117,0.308,0.051,0.149,0.082,0.194,0.067,0.067,1.0,0.067,0.023,0.022
6.24082,1.0,0.36,0.049,0.098,0.024,0.083,0.019,0.231,0.217,0.05,0.016,0.197
6.36685,1.0,0.314,0.037,0.123,0.07,0.363,0.091,0.354,0.928,0.119,0.049,0.058
6.65882,0.679,0.155,0.048,0.218,0.067,0.473,0.07,0.257,1.0,0.068,0.031,0.033
7.09288,0.262,0.055,0.033,0.331,0.576,0.193,0.059,0.079,0.613,0.04,0.057,1.0
7.70812,0.107,0.028,0.014,0.32,0.614,0.104,0.023,0.056,1.0,0.035,0.041,0.775
7.94118,0.069,1.0,0.064,0.088,0.251,0.022,0.01,0.011,0.06,0.01,0.016,0.152
8.15696,0.072,1.0,0.044,0.239,0.929,0.091,0.031,0.026,0.183,0.03,0.03,0.402
8.93415,0.093,1.0,0.06,0.205,0.84,0.086,0.032,0.028,0.108,0.011,0.019,0.241
9.24617,0.079,0.344,0.057,0.031,0.053,0.168,0.031,0.103,1.0,0.041,0.039,0.08
9.40512,0.072,0.572,0.077,0.142,0.041,0.085,0.04,0.107,1.0,0.048,0.027,0.058
9.86794,0.104,1.0,0.09,0.204,0.029,0.06,0.025,0.039,0.595,0.036,0.021,0.05
10.09542,0.446,1.0,0.192,0.311,0.076,0.429,0.107,0.153,0.763,0.158,0.018,0.055
10.21129,0.157,0.393,0.048,0.142,0.059,0.16,0.052,0.061,1.0,0.063,0.019,0.024
10.73746,1.0,0.384,0.045,0.094,0.051,0.078,0.021,0.289,0.317,0.079,0.035,0.175
10.86739,0.768,0.205,0.033,0.093,0.051,0.325,0.051,0.172,1.0,0.064,0.036,0.047
11.58544,0.193,0.068,0.018,0.205,0.057,0.109,0.038,0.05,0.275,0.03,0.043,1.0
11.95111,0.145,0.037,0.021,0.205,0.344,0.05,0.035,0.076,1.0,0.038,0.034,0.511
12.35878,0.195,0.057,0.074,0.516,0.415,0.242,0.122,0.157,0.608,0.143,0.055,1.0
12.46385,0.109,1.0,0.072,0.216,0.819,0.071,0.064,0.039,0.304,0.022,0.024,0.413
13.03202,0.101,1.0,0.057,0.163,0.932,0.067,0.037,0.026,0.156,0.016,0.021,0.38
13.43878,0.109,1.0,0.06,0.111,0.786,0.088,0.049,0.035,0.087,0.013,0.019,0.242
13.74113,0.086,0.71,0.129,0.065,0.174,0.302,0.058,0.075,1.0,0.036,0.039,0.122
14.08299,0.084,0.363,0.056,0.142,0.049,0.07,0.024,0.071,1.0,0.031,0.022,0.066
14.36136,0.141,1.0,0.053,0.208,0.051,0.114,0.05,0.069,0.983,0.045,0.041,0.136
14.71048,0.142,0.47,0.043,0.131,0.04,0.1,0.04,0.055,1.0,0.053,0.018,0.043
15.19206,1.0,0.239,0.027,0.112,0.072,0.171,0.06,0.166,0.56,0.096,0.073,0.098
15.50526,0.891,0.222,0.029,0.09,0.057,0.246,0.056,0.18,1.0,0.067,0.048,0.065
15.93492,1.0,0.458,0.115,0.635,0.091,0.705,0.166,0.455,0.604,0.113,0.076,0.117
16.11537,0.414,0.137,0.025,0.301,0.136,0.232,0.099,0.114,0.374,0.05,0.061,1.0
16.48626,0.273,0.066,0.048,0.296,0.272,0.133,0.067,0.138,0.407,0.062,0.041,1.0
16.62635,0.128,0.07,0.032,0.249,0.396,0.081,0.08,0.084,1.0,0.04,0.057,0.876
16.95655,0.14,1.0,0.085,0.238,0.777,0.094,0.087,0.068,0.54,0.034,0.044,0.623
17.47279,0.125,0.816,0.08,0.176,1.0,0.086,0.07,0.046,0.229,0.036,0.038,0.431
18.24594,0.084,0.939,0.152,0.078,0.307,0.31,0.068,0.082,1.0,0.044,0.042,0.194
18.60522,0.135,1.0,0.076,0.196,0.088,0.099,0.043,0.067,0.935,0.043,0.043,0.132
19.23265,0.175,0.579,0.077,0.151,0.049,0.131,0.031,0.192,1.0,0.159,0.033,0.071
19.36517,0.204,0.534,0.05,0.155,0.087,0.179,0.068,0.063,1.0,0.068,0.028,0.064
19.72005,1.0,0.252,0.03,0.125,0.075,0.182,0.069,0.161,0.677,0.109,0.078,0.104
20.00444,0.926,0.235,0.029,0.089,0.057,0.239,0.058,0.185,1.0,0.071,0.054,0.069
20.43324,1.0,0.443,0.102,0.514,0.079,0.571,0.155,0.391,0.359,0.09,0.062,0.12
20.60671,0.5,0.157,0.033,0.33,0.135,0.276,0.11,0.151,0.374,0.064,0.07,1.0
20.98544,0.213,0.079,0.035,0.245,0.35,0.106,0.088,0.103,1.0,0.048,0.059,0.919
21.49501,0.176,0.936,0.103,0.203,1.0,0.1,0.092,0.059,0.372,0.042,0.046,0.491
22.74476,0.094,0.972,0.141,0.088,0.422,0.301,0.063,0.078,1.0,0.036,0.038,0.196
23.1093,0.09,0.531,0.055,0.126,0.081,0.113,0.027,0.043,1.0,0.025,0.022,0.08
23.45224,0.105,0.639,0.046,0.154,0.052,0.107,0.038,0.068,1.0,0.042,0.029,0.095
23.73642,0.115,0.543,0.044,0.123,0.028,0.074,0.033,0.059,1.0,0.047,0.021,0.059
24.11986,0.745,1.0,0.253,0.424,0.238,0.298,0.175,0.167,0.323,0.186,0.109,0.351
24.19501,0.906,0.321,0.038,0.146,0.076,0.15,0.068,0.158,1.0,0.108,0.075,0.105
24.50866,0.962,0.27,0.034,0.097,0.057,0.181,0.052,0.208,1.0,0.075,0.055,0.08
24.88023,1.0,0.389,0.058,0.327,0.061,0.489,0.135,0.305,0.55,0.089,0.057,0.097
25.11143,0.959,0.282,0.056,0.484,0.155,0.584,0.168,0.287,0.628,0.109,0.108,1.0
25.48327,0.288,0.09,0.029,0.263,0.211,0.137,0.086,0.096,0.735,0.05,0.054,1.0
25.86136,0.231,0.056,0.053,0.32,0.243,0.135,0.087,0.108,0.438,0.078,0.042,1.0
25.99429,0.154,0.571,0.067,0.28,0.584,0.116,0.107,0.108,1.0,0.054,0.067,0.989
26.37143,0.136,1.0,0.095,0.148,0.664,0.072,0.06,0.042,0.277,0.024,0.031,0.394
27.19705,0.466,0.993,1.0,0.478,0.325,0.136,0.118,0.085,0.196,0.058,0.036,0.507
27.48671,0.764,1.0,0.227,0.091,0.126,0.119,0.308,0.321,0.605,0.5,0.571,0.017
27.60236,0.696,1.0,0.08,0.059,0.154,0.155,0.317,0.331,0.282,0.251,0.116,0.039
27.7302,0.624,1.0,0.183,0.146,0.066,0.069,0.021,0.026,0.084,0.044,0.082,0.018
27.86531,0.363,1.0,0.168,0.042,0.034,0.027,0.01,0.009,0.06,0.008,0.01,0.057
28.21211,0.108,1.0,0.144,0.018,0.006,0.014,0.005,0.007,0.072,0.007,0.004,0.007
28.73891,1.0,0.789,0.823,0.363,0.177,0.078,0.057,0.091,0.242,0.081,0.037,0.594
28.96812,0.83,1.0,0.036,0.115,0.14,0.129,0.547,0.576,0.886,0.838,0.627,0.03
29.09991,0.295,0.284,0.072,0.109,0.295,0.323,0.694,0.738,1.0,0.754,0.256,0.049
29.2341,0.781,0.198,0.1,0.48,0.281,0.415,0.564,0.661,1.0,0.553,0.181,0.157
29.3785,0.311,0.268,0.409,0.324,0.127,0.138,0.053,0.177,1.0,0.226,0.043,0.258
29.6054,0.319,0.097,0.055,0.227,0.248,0.257,0.569,0.601,0.782,0.603,0.33,1.0
29.73401,0.045,0.029,0.023,0.116,0.078,0.026,0.025,0.295,1.0,0.113,0.02,0.084
30.21433,0.852,0.244,0.438,0.205,0.154,0.041,0.046,0.025,0.092,0.021,0.011,1.0
30.48825,0.773,0.588,0.394,0.202,0.249,0.074,0.181,0.042,0.039,0.016,0.063,1.0
30.71052,1.0,0.433,0.068,0.163,0.26,0.087,0.153,0.036,0.182,0.163,0.767,0.783
30.87651,0.406,0.431,0.452,0.266,0.227,0.058,0.139,0.04,0.039,0.057,0.075,1.0
31.11447,0.267,0.167,0.022,0.076,0.121,0.034,0.147,0.02,0.032,0.02,0.132,1.0
31.36934,1.0,0.567,0.064,0.135,0.074,0.062,0.165,0.152,0.493,0.498,0.818,0.293
31.47256,0.936,0.26,0.048,0.051,0.045,0.045,0.082,0.031,0.33,0.337,1.0,0.123
31.62658,1.0,0.587,0.057,0.097,0.052,0.033,0.217,0.16,0.524,0.531,0.964,0.063
31.73642,0.217,1.0,0.592,0.066,0.041,0.023,0.017,0.007,0.042,0.007,0.008,0.163
31.98839,0.944,1.0,0.327,0.264,0.172,0.175,0.251,0.259,0.461,0.417,0.415,0.019
32.1132,0.75,1.0,0.156,0.12,0.081,0.086,0.116,0.116,0.134,0.108,0.204,0.011
32.23819,0.67,1.0,0.19,0.136,0.066,0.068,0.016,0.027,0.094,0.027,0.143,0.006
32.35719,0.31,1.0,0.266,0.056,0.036,0.047,0.095,0.194,0.264,0.075,0.1,0.071
32.73179,0.114,1.0,0.164,0.028,0.012,0.03,0.01,0.013,0.17,0.014,0.009,0.022
33.22989,0.868,0.759,1.0,0.488,0.229,0.096,0.077,0.355,0.999,0.153,0.035,0.635
33.46912,0.306,0.345,0.013,0.024,0.132,0.139,0.712,0.723,1.0,0.975,0.449,0.006
33.62245,0.193,0.176,0.075,0.081,0.416,0.428,0.912,0.924,1.0,0.958,0.443,0.034
33.73823,0.124,0.06,0.021,0.082,0.196,0.199,0.738,0.751,1.0,0.919,0.372,0.007
33.88132,0.736,0.411,0.815,0.652,0.187,0.27,0.087,0.396,1.0,0.095,0.06,0.436
34.10961,0.297,0.06,0.054,0.195,0.337,0.315,0.806,0.779,1.0,0.965,0.585,0.572
34.23084,0.045,0.015,0.018,0.149,0.088,0.024,0.051,0.269,1.0,0.108,0.028,0.087
34.71306,0.57,0.487,1.0,0.498,0.342,0.112,0.518,0.193,0.241,0.05,0.044,0.632
34.98567,0.4,1.0,0.678,0.353,0.346,0.098,0.251,0.117,0.089,0.025,0.06,0.47
35.20649,0.052,0.353,0.189,0.216,1.0,0.932,0.92,0.857,0.162,0.153,0.083,0.054
35.37533,0.519,1.0,0.943,0.498,0.473,0.257,0.881,0.216,0.133,0.069,0.19,0.699
35.61655,0.042,0.316,0.034,0.038,0.15,0.212,1.0,0.145,0.036,0.029,0.049,0.078
35.88717,0.481,0.913,0.824,0.833,1.0,1.0,0.855,0.843,0.667,0.667,0.141,0.134
35.96127,0.045,0.338,0.233,0.224,1.0,0.97,0.988,0.948,0.192,0.201,0.056,0.036
36.13016,0.105,0.521,0.474,0.449,0.907,0.902,1.0,0.984,0.599,0.608,0.216,0.022
36.23741,0.527,0.887,1.0,0.203,0.13,0.122,0.161,0.038,0.137,0.022,0.023,0.402
36.48512,1.0,0.98,0.151,0.106,0.061,0.076,0.24,0.24,0.608,0.527,0.732,0.007
36.62376,0.739,1.0,0.138,0.111,0.176,0.187,0.276,0.278,0.35,0.3,0.363,0.015
36.73823,0.765,1.0,0.142,0.146,0.057,0.068,0.026,0.054,0.153,0.027,0.169,0.008
36.8766,0.209,1.0,0.113,0.019,0.012,0.021,0.009,0.005,0.047,0.006,0.005,0.017
37.23206,0.146,1.0,0.193,0.012,0.005,0.013,0.006,0.006,0.058,0.006,0.005,0.01
37.71007,0.857,0.798,1.0,0.459,0.277,0.105,0.117,0.095,0.384,0.092,0.044,0.457
37.98812,0.614,0.612,0.03,0.074,0.322,0.34,0.845,0.884,1.0,0.867,0.483,0.02
38.12662,0.403,0.227,0.094,0.196,0.4,0.398,0.763,0.808,1.0,0.868,0.458,0.061
38.23705,0.28,0.11,0.033,0.077,0.177,0.207,0.68,0.705,1.0,0.88,0.439,0.024
38.37678,0.466,0.444,0.669,0.418,0.154,0.175,0.07,0.307,1.0,0.125,0.044,0.335
38.61383,0.204,0.193,0.039,0.256,0.229,0.211,0.409,0.411,0.553,0.396,0.195,1.0
38.73741,0.067,0.051,0.019,0.148,0.12,0.031,0.04,0.157,1.0,0.076,0.023,0.108
