start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.666,0.538,0.48,0.495,0.66,0.786,0.829,0.803,0.658,0.607,0.4
0.38045,0.231,0.071,0.118,0.314,0.066,0.044,0.051,1.0,0.059,0.05,0.19,0.078
0.67351,0.477,0.122,0.13,0.577,0.119,0.06,0.065,1.0,0.067,0.069,0.379,0.099
0.84744,0.453,0.03,0.082,0.217,0.02,0.047,0.111,1.0,0.041,0.019,0.203,0.052
1.06721,0.551,0.057,0.083,0.299,0.046,0.084,0.142,1.0,0.059,0.056,0.32,0.213
1.38159,0.765,0.178,0.173,0.429,0.12,0.061,0.109,1.0,0.202,0.115,0.504,0.065
1.54336,0.635,0.223,0.614,0.192,0.049,0.086,1.0,0.422,0.209,0.242,0.166,0.119
1.89388,0.472,0.202,0.374,0.105,0.049,0.195,1.0,0.101,0.24,0.054,0.038,0.051
2.17048,0.532,0.175,0.246,0.075,0.035,0.373,1.0,0.127,0.274,0.162,0.171,0.369
2.58308,0.382,0.266,0.468,0.103,0.053,0.241,1.0,0.084,0.198,0.056,0.073,0.075
2.87361,0.539,0.084,0.088,0.376,0.131,0.045,0.142,1.0,0.111,0.083,0.217,0.096
3.07098,0.726,0.129,0.149,0.579,0.099,0.078,0.348,1.0,0.058,0.086,0.335,0.155
3.37959,0.401,0.098,0.138,0.599,0.099,0.053,0.171,1.0,0.109,0.069,0.311,0.096
3.50608,0.523,0.08,0.104,0.355,0.072,0.089,0.178,1.0,0.138,0.106,0.418,0.362
3.77333,0.451,0.098,0.112,0.389,0.082,0.066,0.443,1.0,0.085,0.165,0.338,0.118
3.98857,0.841,0.367,0.405,0.601,0.267,1.0,0.424,0.618,0.221,0.419,0.895,0.315
4.37751,0.705,0.167,0.294,0.965,0.812,0.188,0.134,0.629,0.137,0.297,1.0,0.289
4.56866,0.475,0.135,0.624,1.0,0.491,0.109,0.191,0.477,0.215,0.535,0.615,0.448
4.67315,0.672,1.0,0.62,0.594,0.329,0.441,0.351,0.411,0.416,0.74,0.838,0.385
4.89361,0.081,0.119,0.061,0.058,0.059,0.076,0.197,0.159,0.19,1.0,0.44,0.079
5.2283,0.123,0.076,0.287,0.041,0.04,0.172,0.055,0.072,0.482,0.314,1.0,0.135
5.51007,0.361,0.137,0.949,0.21,0.13,0.629,0.14,0.204,0.919,0.433,1.0,0.175
5.7639,0.115,0.101,0.763,0.168,0.117,0.505,0.087,0.274,0.618,0.752,1.0,0.059
5.89261,0.258,0.087,0.561,0.14,0.082,0.619,0.128,0.174,0.805,0.437,1.0,0.101
6.14766,0.253,0.235,0.845,0.16,0.095,0.463,0.155,0.315,0.979,0.427,1.0,0.172
6.34562,0.199,0.152,0.171,0.066,0.133,0.158,0.335,0.156,0.264,1.0,0.313,0.163
6.72177,0.369,0.34,0.284,0.085,0.181,0.144,0.51,0.301,0.286,1.0,0.076,0.1
6.9551,0.397,0.277,0.114,0.142,0.258,0.441,0.729,0.247,0.395,1.0,0.1,0.11
7.28426,0.359,0.323,0.191,0.177,0.295,0.366,0.797,0.359,0.369,1.0,0.182,0.099
7.45315,0.544,0.209,0.124,0.147,0.226,0.177,0.81,0.233,0.315,1.0,0.177,0.035
7.59302,0.192,0.257,0.441,0.132,0.131,0.315,0.184,0.146,0.831,1.0,0.658,0.125
7.80254,0.255,0.121,0.45,0.116,0.109,0.363,0.129,0.246,1.0,0.423,0.611,0.095
8.20825,0.366,0.243,0.55,0.199,0.193,1.0,0.353,0.326,0.968,0.531,0.63,0.273
8.43469,0.331,0.206,0.577,0.176,0.18,0.647,0.26,0.56,1.0,0.569,0.477,0.203
8.74766,0.027,0.063,0.125,0.039,0.035,0.078,0.052,0.033,0.303,1.0,0.174,0.018
8.87615,0.094,0.137,0.565,0.098,0.07,0.544,0.524,0.073,0.312,0.425,1.0,0.083
9.13664,0.313,0.476,0.683,0.237,0.185,0.78,1.0,0.207,0.244,0.937,0.742,0.085
9.33442,0.084,0.187,0.517,0.157,0.079,0.326,0.398,1.0,0.202,0.53,0.566,0.027
9.46771,0.192,0.159,0.832,0.334,0.043,0.386,0.154,0.182,1.0,0.408,0.944,0.129
9.6468,1.0,0.436,0.415,0.592,0.455,0.435,0.879,0.979,0.66,0.405,0.389,0.17
9.74109,0.524,0.849,0.403,0.243,0.196,0.472,0.719,0.936,0.456,0.174,0.253,1.0
9.9205,0.131,0.219,1.0,0.045,0.031,0.051,0.119,0.057,0.058,0.157,0.054,0.147
10.05982,0.534,0.071,0.165,0.77,0.06,0.04,0.052,1.0,0.052,0.063,0.359,0.13
10.24063,0.976,0.199,0.381,1.0,0.186,0.107,0.136,0.809,0.105,0.113,0.871,0.227
10.5483,0.549,0.303,0.187,0.345,0.131,0.061,0.05,1.0,0.301,0.095,0.384,0.177
10.64612,0.65,0.146,0.192,0.371,0.114,0.105,0.235,1.0,0.088,0.116,0.315,0.286
10.9361,1.0,0.258,0.466,0.388,0.121,0.099,0.517,0.99,0.206,0.221,0.374,0.131
11.47107,1.0,0.354,0.522,0.253,0.07,0.246,0.88,0.231,0.238,0.129,0.136,0.157
11.6395,0.533,0.14,0.277,0.071,0.023,0.253,1.0,0.183,0.174,0.055,0.028,0.055
11.74884,0.665,0.218,0.31,0.156,0.074,0.242,1.0,0.19,0.186,0.218,0.221,0.16
11.95841,0.595,0.098,0.176,0.125,0.053,0.343,1.0,0.247,0.192,0.056,0.091,0.161
12.08036,1.0,0.358,0.503,0.197,0.151,0.37,0.893,0.27,0.17,0.196,0.161,0.287
12.30639,1.0,0.198,0.258,0.599,0.119,0.104,0.253,0.844,0.16,0.135,0.404,0.177
12.69528,1.0,0.117,0.134,0.151,0.072,0.062,0.155,0.531,0.093,0.078,0.307,0.164
12.87007,1.0,0.204,0.122,0.356,0.089,0.087,0.274,0.665,0.109,0.082,0.333,0.149
13.00327,1.0,0.164,0.23,0.613,0.178,0.122,0.307,0.832,0.194,0.195,0.497,0.472
13.48612,1.0,0.334,0.192,0.46,0.19,0.106,0.138,0.28,0.113,0.174,0.313,0.358
13.63011,0.379,0.262,0.385,0.206,0.743,0.146,0.3,0.956,0.288,0.32,1.0,0.202
14.06544,0.473,0.23,0.373,0.15,1.0,0.178,0.213,0.42,0.152,0.508,0.756,0.467
